comment,rating
"📍大的豬肉飯
有家常菜的感覺，沒有吵雜的音樂很溫馨，飯裡面有滷汁，不會乾乾的，豬肉片的部分比想像中的嫩，油豆腐是贈送的（超好吃推推，個人喜好油豆腐大約滷豆腐）

📍大的香腸飯
一半香腸切片，但是這個價格真的蠻值得的，香腸好吃飯也好吃，價格非常親民

📍滷豆腐
蠻好吃的，但是油豆腐更好吃，不喜歡吃油豆腐的我，可以接受吃他們的油豆腐，油豆腐不會乾

📍QQ皮
不確定是什麼東西，吃起來有點像豬皮，一個人吃會有點膩，除非本來就喜歡吃偏由油膩膩的東西

如果吃豬肉飯建議點‘’套餐‘’系列，圖片中所有+起來總共$120，爆炸便宜🫣，物價通膨的現在，還保有親民的價格真的非常不簡單，會在回顧～

⬆️不建議太多人來吃，建議2人來吃，3人以上就要分開坐了，但座位8人以內
服務
內用
餐點類型
晚餐
平均每人消費金額
$1-200",5
"CP值高 便宜又大碗
少數我會給評論的餐廳 希望可以一直營業
飯上有菜脯 配上香腸簡直點睛之筆
豬頭皮超級恰到好處 既Q彈不軟爛 份量也拿捏的剛剛好
服務
內用
餐點類型
晚餐
平均每人消費金額
$1-200
餐點：5
服務：5
氣氛：5
建議的餐點
豬肉飯 qq皮 套餐 2, 魯豬皮",5
"隱藏在巷弄中的神秘小店
豬肉飯醬汁入味恰到好處
飯上菜脯增添風味
豬肉片軟硬適中
油豆腐又嫩又香
還有兩片香腸點綴
大推！
餐點：5
服務：5
氣氛：5",5
"CP值很高，豬肉飯也很美味不膩的餐廳
服務
內用
餐點類型
晚餐
平均每人消費金額
$1-200
餐點：5
服務：5
氣氛：5",5
"便宜，餐點算是中間偏上，唯一的小缺點是沒冷氣
老闆很幽默也很熱情
就跟麵包一樣，會讓人一直想發笑
餐點：4
服務：5
氣氛：5",5
"便宜好吃 cp值高 美中不足的地方是夏天座位會有蟲子（但沒有蒼蠅蚊子真是謝天謝地）
餐點：5
服務：5
氣氛：4",5
"古色古香的裝潢 銅板價的價格
一碗（小）意外的飽到翻過去
樸實的一碗飯 裝滿闆娘的用心",5
"套餐平價，店內很有古代風，QQ皮好吃！
老闆和老闆娘都很親切！",5
"滿滿的台灣復古風
古早味餐點 全雲林僅此一家 大推
尤其是採用 高級豬中里肌肉（俗稱貓鼠肉）脆嫩口感超讚

別忘找風趣有智慧的老闆聊天

餐點價位漂亮，老闆來跟大家交朋友的友情價

大推給各位
餐點：5
服務：5
氣氛：5",5
CP值很高的一間小店，在這個物價飛漲的時代，還有這麼便宜的價格，東西也好吃，坐在小店門口吃飯，不知道為什麼覺得很溫馨～,5
好難得找到可以50元吃到飽的套餐，只是蚊子有點小小多，可能是在菜市場隔壁吧！,4
沒拍到海帶湯，CP值超高，這樣只要50元。,5
老闆停電還幫我們做，人很好,5
"樸實的小店，有老闆和老闆娘的巧思佈置
家常菜驚為天人，像是「深夜食堂」老闆深藏不露",5
好吃古早味中式飯堂,5
"老闆非常親切
份量多可以吃的很飽！",5
"虎尾極少數優質店家 CP值妥高
服務
外帶
餐點：5
服務：5
氣氛：4",5
好吃又大碗 便宜吃粗飽的好選擇,5
好扯欸！以為35元的豬肉飯是小盒的，結果份量蠻多的，而且鋪在飯上面的不只豬肉還有香腸，而且老闆還有給集點卡，集滿五個就可以換一個十元湯品，是偶然看到的一家店，我覺得好讚,5
"便宜又好吃
老闆和闆娘都很親切
服務
內用
餐點類型
晚餐
平均每人消費金額
$1-200",5
好吃又便宜，老闆老闆娘人也都很好，超級推薦！！！！,5
"少見的佛心店家！
善良、樸實、溫馨！
滿滿的人情味😊
平均每人消費金額
$1-200
餐點：5
服務：5
氣氛：5
建議的餐點
魯豬皮, 地瓜 葉",5
"東西很好吃
服務
內用
餐點類型
晚餐
平均每人消費金額
$1-200
餐點：5
服務：5
氣氛：5",5
一家裝潢很有臺灣傳統特色的店 而且餐點便宜又大碗,5
"便宜又大碗超級讚
老闆還送我們2ㄓ小香蕉
待人和善～",5
老闆人很好，消費可以集點。店內擺設很復古，喜歡這種復古感，以及古早味的口味。,5
餐點非常便宜卻不馬虎，老闆很親切，有回到家吃飯的感覺。,5
"食材用心，餐點美味，
平價又實在旳好味道。
服務
內用
餐點類型
其他
平均每人消費金額
$1-200
餐點：5
服務：5
氣氛：5
建議的餐點
魯豬皮
特殊餐點
豬肉是使用很好吃的部位(豬老鼠肉) 涼拌小黃瓜好吃 紫米芋頭糕很棒(需預購)",5
服務很棒、食物便宜，老闆很親切，甚至會指出我的錯誤並大度的包容我，我很感謝老闆,5
"好吃又便宜
服務
內用
餐點類型
晚餐
平均每人消費金額
$1-200
餐點：5
服務：5
氣氛：3
建議的餐點
魯豬皮",5
銅板價，豬肉飯很對味，QQ皮也滷的透，很好吃,5
好吃，便宜，滿滿的人情味,5
餐點美味，物超所值，溫馨自在的好地方,5
"便宜好吃
但是太油可以先幫忙抽脂嗎",4
真的蠻好吃的不過東西選擇比較少一點~,4
老闆跟老闆娘很親切有人情味的古早店,5
"好吃又便宜
經濟又實惠👍 …",5
"物超所值 老闆很親切
餐點：5
服務：5
氣氛：4",5
"便宜好吃
服務
內用
餐點類型
晚餐
平均每人消費金額
$1-200
餐點：5
服務：4
氣氛：4",5
餐點便宜好吃，適合學生來。,5
好吃 ，老闆很用心經營,5
很好吃又便宜,5
"很親切, 有特色。",4
"便宜又好吃
服務
外帶
餐點類型
午餐
平均每人消費金額
$1-200
建議的餐點
魯豬皮",5
好吃的古早味。香腸好吃,4
便宜 吃超飽,5
超佛心的老闆,5
量多又好吃,5
便宜好吃,5
虎科人必吃店之一,5
用膳的好地方,5
頂天了,5
好吃,5
老闆風趣,5
"高cp 豪ㄘ
服務
外帶
餐點類型
晚餐",5
古色古鄉,5
可以,3
好吃！,5
好吃便宜,5
,5
,3
,5
,5
,5
,5
,5
,5
,5
,4
,2
,4
,5
,5
,5
,5
,5
,4
,3
,5
,2
,5
,5
,5
,4
,3
,5
,4
,5
,5
,3
,5
,4
,5
,4
,3
,5
,4
,5
,5
,5
,5
,5
,5
,4
,5
,5
,5
,4
,5
,4
,5
