comment,rating
"平價好吃😋
座位也好坐舒適👍🏻
每樣餐點都在水準上👍🏻
缺點就是比較難停車而已🥲
服務
內用
餐點類型
晚餐
平均每人消費金額
$1-200
餐點：5
服務：5
氣氛：5",5
"好久沒吃了~~就來吃了 ！
漲蠻多的 餐點也好像沒以前好吃

但整體就還行
服務
內用
餐點類型
午餐
餐點：4
服務：4
氣氛：4",5
"在虎尾每次要吃焗烤會想到的就是這家，吃那麼多次第一次點他的披薩，出乎我意料的好吃！
服務
內用
餐點類型
晚餐
平均每人消費金額
$200-400
餐點：5
服務：5
氣氛：5
建議的餐點
海鮮濃湯&橙汁鳳梨披薩
停車位
停車不方便
附近的停車場
不提供停車位
停車場
最好騎機車來，汽車在中正路上不好找車位",5
"餐點好吃，櫃檯小姐服務態度超好，拿零錢在結帳不好意思拿一元的，她發現還貼心的說可以拿一元的她幫忙數，座位也很舒適，很適合用餐的好地方！
服務
內用
餐點類型
午餐
平均每人消費金額
$1-200
餐點：5
服務：5
氣氛：5
建議的餐點
海鮮義大利麵 焗烤, 海鮮濃湯&橙汁鳳梨披薩",5
"好吃又便宜，不論何時都適合來品嚐美食的好去處。
服務
內用
餐點：5
服務：5
氣氛：5",5
"自己覺得整體來說口味跟價錢CP值是很高的，因為從台北下去玩，當地的朋友推薦這間店才去試試🥹在這邊也推薦大家可以吃

我們是4個人一起去吃點了四份套餐總價剛好1000元，一人平均$250就吃的很飽
跟台北的相比起來口味上我也覺得好一些
目前吃過的奶油義大利麵口味第一名🥇
☝️這是偷吃別人一口才知道的所以也不準確

我自己點了一份泡菜牛肉焗烤飯（看評論有人說好吃就想說點看看）還有酥皮濃湯😽泡菜牛肉焗烤飯我給4顆星，調味不錯、肉量不會到少，小小缺點在整體吃下來只有泡菜的酸特別出眾，有些風味有被蓋過，所以吃下來會有點膩口，需要搭配其他東西
酥皮濃湯的酥皮真的好好吃🤤

還有一個特點是上菜速度很快，翻桌率高，禮拜六的晚上去，客人幾乎是學生情侶黨，比較多年輕人🤣這也是價格實惠的證明吧（？
以上推薦文給大家參考～口味都是我個人感受而已呦💖
服務
內用
餐點類型
晚餐
平均每人消費金額
$200-400
餐點：5
服務：4
氣氛：5",5
"小孩愛吃披薩跟義大利麵
服務
內用
餐點類型
晚餐
平均每人消費金額
$1-200
餐點：5
服務：5
氣氛：5",5
第一次來吃蛤蜊義大利麵，腥味非常重，吃到整個反胃，而且蛤蜊還是用撬開的。,1
"平價義式料理的超值選擇！
·義式肉醬蛋包飯超好吃，薯條脆、蛋包熟度剛剛好，吃起來很嫩，搭配肉醬也不會過鹹
·焗烤海鮮飯也不會太鹹，但又很入味，每一口都有濃濃海鮮味，吃起來超滿足
·玉米濃湯跟南瓜湯一喝就知道是花時間熬的，不是用粉泡出來的，真的超好喝❤️
·吉拿棒也在水準之上，很少餐廳會提供，好幸福～
服務
內用
餐點類型
午餐
平均每人消費金額
$200-400
建議的餐點
玉米濃湯飯, 海鮮義大利麵 焗烤, 干貝蝦仁濃湯, 派翠克起司雞肉飯, 海鮮濃湯&橙汁鳳梨披薩, 勁爆脆雞&花枝圈&奶香起司炸雞腿, xo醬海洋總匯燉飯, 勁爆脆雞&橙汁鳳梨披薩, 薯條",5
"焗烤料多但味道不夠，像一層料舖上去而已
飯的味道很淡，表現普通
披薩薄皮底部是脆的，有一點點牽絲
義大利麵番茄醬蠻酸的，不過份量蠻足的
檸檬腿排大推！雞肉很嫩很多汁～好吃！
起司薯球很像薯餅加起司的感覺，沒很喜歡
而脆薯真的很脆，和肯德基味道相像
雞塊跟麥當勞很像，醬則是跟肯德基差不多
奶茶跟外面便宜飲料店賣的味道一樣
熱巧克力奶的巧克力和奶味不重，比較像是阿華田粉下去沖泡的，覺得不好喝
位置充足，環境乾淨，店員態度淡淡的",4
