comment,rating
"東西很好吃！白醬燉飯奶味很夠好喜歡 豬排偏薄但超大塊的女生吃會很飽！咖哩醬味道也是偏濃 讚讚 店內裝潢很溫馨還有提供不會很甜的冬瓜茶喔（附上一張老闆認真的模樣
服務
內用
餐點類型
晚餐
平均每人消費金額
$1-200
餐點：5
服務：5
氣氛：5",5
"義大利麵的青醬很濃郁，但麵條感覺沒到很入味，可是酥皮雞球也很脆香很好吃，還有覺得這裡的酥皮南瓜濃湯很濃郁很香，大推酥皮南瓜濃湯。
餐點類型
晚餐
平均每人消費金額
$1-200
餐點：4
服務：5
氣氛：5",5
"機排CP值高,義大利麵吃粗飽份量很大,口味上可。室內空間循環不佳，身上有油煙味。
餐點：4
服務：5
氣氛：3",4
"只能說價格便宜，份量很多。但義大利麵沒有入味，比較可惜。
雞排與豬排很好吃不乾柴，特別推薦這兩份主食。
服務
內用
餐點類型
晚餐
平均每人消費金額
$1-200
餐點：3
服務：5
氣氛：4",4
"出餐小慢，咖喱辣度我覺得一般人大概都可以接受，而且咖喱濃淡剛好，雞球偏普，上面的起司跟飯還有咖喱攪在一起不錯
//
今天又去吃了一次，番茄紅醬蔬食蔬菜義大利麵95元，酸酸甜甜但吃到後面小膩，份量我覺得有足夠，另外還點了玉米濃湯，放到後面有一點凝固，熱熱喝好喝但是到越後面也蠻膩的，而且偏甜
服務
內用
餐點類型
午餐
平均每人消費金額
$1-200",4
"📍交通位置：
虎尾市區、101文具店對面
附近不一定有停車位 要稍微繞一下

📍環境氛圍：
明亮、鄉村的溫馨風格，
從裝潢及佈置都有巧思～

有讓人到家的感覺
有機會再來內用試試♡

📍人員態度：
人員蠻親切～
到達店裡就詢問是否有電話點餐或需要什麼服務

📍餐點：
餐點有商業套餐、義大利麵、燉飯，份量蠻飽足
也有單點的濃湯

蠻適合帶家人、朋友來聚餐❤️

當天點的餐點：
南洋咖哩酥炸雞球燉飯
紅醬去骨雞腿義大利麵
重咖哩燉雞肉飯 *2
黃金南瓜香煎牛肉片義大利麵
蒜味清炒香煎牛肉片義大利麵

咖喱辣味恰到好處，
小孩也還能接受

蒜味清炒的風味也蠻好
不想吃醬料可以考慮這風味～
清炒也將蒜香帶出

會讓人想一吃再吃❤️
服務
外帶
餐點類型
晚餐
平均每人消費金額
$1-200",5
平日中午來用餐，內用客人不算少，有搭配外送平台。單價很便宜，以價位來說口味尚可內用有紅茶無限續杯也可加價附濃湯與甜點，這次點馬鈴薯燉牛肉飯，味道不夠濃味道還可以。蔥爆豬肉片有四樣配菜份量不算小。整體用餐空間還算舒適。,4
"店內環境舒適，餐點價位也合理適中，濃湯喝起來很好喝，份量很多，甜點蜂蜜蛋糕也超好吃，還有無限喝的冬瓜茶，餐點方面這次用餐選擇了紅醬培根跟青醬蛤蜊義大利麵，味道濃郁且入味，培根煎的酥脆有嚼勁卻不會感到油膩，蛤蜊也是胖胖的非常好吃，重點是可以吃非常飽！

此外老闆也是笑臉迎人讓人覺得是一間非常高CP值的好店～有機會會再回訪的！",5
餐點份量多，要吃粗飽沒問題，可加價附濃湯與甜點，口味上就普通了點，義大利麵搭配的香煎牛肉片，稍微有點老，跟義大利麵整體並不怎麼搭，馬鈴薯燉牛肉飯，味道不濃郁，肉片同樣偏老了，處理上或許可以再加強一點。加價的南瓜濃湯，味道就十分濃郁，但甜點的蜂蜜蛋糕，稍嫌不精緻也乾了一點。內用有飲品無限續杯，整體用餐空間還算舒適，但店家位置不好停車喔。,4
韓式泡菜豬肉飯推推 重口味的人會喜歡糖醋雞也超讚 不過我的第一名是韓式起司雞排😍 服務人員的態度都超好 cp值也很高 不過停車位置就比較難找～ …,5
