comment,rating
"［餐點口味］
套餐搭配的濃湯、麵包、義大利麵、炸物、披薩都好吃，價位對應其餐點品質是可以的。
［餐點份量］ … 全文",5
"義大利麵點肉醬口味
雖然價位最低
但老實說7-11賣得還比較好吃 … 全文",3
"第一次來貴店用餐，覺得用餐空間裝潢很可愛，只是被安排在角落位置用餐很熱！
點了以下餐點👇👇👇
濃濃墨汁燉飯佐BBQ魷魚358元 … 全文",4
"餐點沒味道 比超商還不如…
打卡送的魷魚圈腥味很重
要收服務費 一餐花了500多
Cp值 超超超超低
餐點類型
晚餐…
全文",1
"裝潢非常乾淨明亮
用餐體驗很舒服😌 … 全文",5
"氣氛不錯可以輕鬆用餐，裝潢設計風格特別，與眾不同的感覺，外觀低調沒特別注意不會發現這家餐廳，餐點在透明玻璃內現做，可以看到大廚的功夫，🔥一直冒很像看表演！ …
服務…
全文",4
"墨汁BBQ魷魚好吃魷魚有烤過的香味，松露薯條好吃，戰俘豬排肉屬於較紮實那種切的比較辛苦，就見仁見智，服務態度棒！
服務
內用…
全文",5
"濃湯很好喝，但很少麵包蠻好吃的，也只有一個，義大利麵和Pizza就中規中矩不會想再吃第二次
服務
內用…
全文",3
"很有特色的文旅餐廳，餐點合家人的胃口，會再找時間2訪。
服務
內用…
全文",5
需要1成服務費，服務員們態度都不錯，低消是一份主餐，6歲以下不用低消，有升級加購套餐99元附的麵包好吃，濃湯口味也喜歡，主餐點了pizza，有備註番茄醬少，口味很喜歡，很放心孩子一起吃，飲料因為不想加錢選擇了90元內的綠茶(只是會希望飲料許願能有鮮奶選項或加購點給孩子喝)整體會更加餐點好吃，幼兒友善餐廳💙🙏 … 全文,5
"餐點不錯吃，人員很親切
服務
內用…
全文",5
"服務很到位，裝潢佈置的非常用心，綜合水果汁超級好喝
餐點：5
服務：…
全文",5
"店內環境舒服，店員小姊姊服務超好👍！用餐得很愉快~

✨松露牛肝菌野菇燉飯+焗烤 … 全文",5
"餐點好吃,座位間距不會太擠,種類很多,墨魚麵送來時有一點點腥味,應該是墨魚醬的關係,但吃的時候沒有腥味,和飯店配合的早餐很豐盛,有可愛的裝潢
服務…
全文",4
"家庭聚餐必會來的餐廳，店內的裝潢非常精美，服務員的態度服務也非常的好，目前已經造訪過3次，只是第一次並沒有拍照下來有點可惜。
爐烤戰斧豬排：第一次來點這個十分的驚艷，豬排吃起來不柴很嫩，加深了對這間餐廳的印象，家人只要來都推薦這道給朋友；可惜第3次造訪的時候第一次來的親戚說肉質有點柴，可能歹多加注意。 … 全文",5
"XO鴨胸燉飯味道很不錯 但是鹹度偏重口味～鴨胸就很一般  巧達濃湯則不推 沒什麼奶香味 雞肉塊口感跟味道也不是很好
餐點：5",5
"很狂的飲料🤣
夏威夷pizza的料給得很大方！
義大利麵不軟爛，味道也很濃郁，好ㄘ …
服務
內用…
全文",5
"一站起來撞到頭，吃飯過程整個頭痛不已，雖然給冰敷袋，但是過程不聞不問的，頭腫一個大包，輕微腦震盪！
一個不便宜的價格餐廳是這種危險場所，不會再去，而且對餐點等方面的事，我只能說其他還可以但主餐威靈頓牛排讓人很失望，就酥皮濃湯的酥皮包一包，吃起來並不知道自己還在喝酥皮濃湯的感覺嗎？沒有肉味的酥皮牛排！ … 全文",1
很棒的用餐環境，很好吃，服務態度五星級,5
"餐點好吃
飲料 一顆鳳梨好特別👍🏻 …",5
"不管是餐點的品質、服務人員的，還有餐廳的氣氛，都非常好耶！餐點裡的用料很實在，生菜沙拉用料豐富，非常豐盛的早餐！咖啡本來想要奶球，後來也給我了鮮奶，服務很好喔！
餐點：5…
全文",5
燉飯跟比薩料很多cp值很高，但是瑪格麗特比薩的味道沒出來，就像在吃普通的台式起司比薩....，收10%服務費卻要自己倒水，點完餐確認後還少送一份飲料，員工訓練有待加強。,3
"點了鮮脆魷魚烏賊義大利麵好吃，麵是墨魚黑黑的吃多不膩。瑪格麗特披薩也不錯，剛出爐熱熱的吃好吃。以上都是單點，想要飲料玉米濃湯需要加點升級，還有10%服務費。東西還不錯，只是在虎尾價位算有點高。
服務…
全文",4
"隨餐的麵包超好吃（超想單買回家），是有義式香草香味的（我就為了麵包又來光顧的）。裝潢很讚很特別，適合約會或跟朋友閒聊。價位中高口味普普。
服務…
全文",5
認真不行欸，強烈懷疑評價是靠打卡評分送贈品換來的，以這個餐點份量的價格，在臺北都能點整份套餐了，竟然還只是單點，裡面就三四塊小小的牛肉，整盤完全沒有配菜，點了拼盤吃起來像氣炸鍋熱出來的，雞翅超級柴，魷魚圈不脆，雞米花也超乾，鴨胸吃起來就普通鴨胸沒什麼記憶點。三個人用餐，餐具籃裡面只有2張衛生紙和一個濕紙巾，是要互相擦嘴巴嗎 全文,2
"滿分五顆星
🌟🌟🌟🌟服務：不錯，笑容都有
🌟🌟🌟上菜速度：普通 … 全文",5
"現烤PIZZA剛出爐好吃
一顆蘋果披薩口味非常特別
可以嚐鮮
服務
內用…
全文",5
"服務還不錯，但餐點好不好吃得看品項，大部分都還不賴，但價格偏高，cp值偏低。
餐點：3…
全文",3
"東西偏鹹，打評論有送杯套，棒棒

送餐速度快！開放式廚房有格擋透明玻璃，也沒有油煙味。",4
