comment,rating
"跑來花掉文化幣，指導老師很親切、專業。不用擔心在做的時候遇到困難，老師都會稍微幫忙一下。整個環境也讓人很放鬆，滿推薦過來敲敲打打的👍。
還有兩隻貓咪可以擼喔！！
平均每人消費金額
$1,200-1,400
餐點：5
服務：5
氣氛：5",5
"在餐點跟空間裡面有許多小巧思，整個體驗很舒適，老闆與老闆娘都很親切。附近是其他眷村聚落，走走逛逛在這邊度過很棒的一個下午。
服務
內用
餐點類型
其他
平均每人消費金額
$200-400
餐點：5
服務：5
氣氛：5",5
"剛好經過發現的一家店，複合式的空間，早上11點多已經有三組人在做金工
我們是經過進來喝杯咖啡消暑～ 朋友覺得咖啡太像飲料沒有咖啡味道，不過我還蠻喜歡我點的紫米紅豆鮮乳～🙂
服務
內用
餐點類型
其他
餐點：4
服務：5
氣氛：5",4
"店員很細心的教導如何做戒指
是一個很好的體驗
主要是比較喜歡做戒指的部分
會花一些時間和精力才會得到自己做的戒指
餐點的部分
餐點的味道和份量都挺多的 飲料也很好喝
貓咪也很可愛
服務
內用
餐點類型
早午餐
餐點：5
服務：5
氣氛：5
停車位
很多停車位
附近的停車場
免費停車場",5
"默默關注朴子店 一直沒時間去
沒想到居然在虎尾開了分店～
趕快找個時間來做金工
環境舒適 指導老師很親切～
旁邊還有貓咪陪伴 太可愛了
一直分心😍
服務
內用
餐點類型
午餐
平均每人消費金額
$800-1,000
餐點：5
服務：5
氣氛：5",5
"來之前有在哀居詢問一些細項都很有耐心的回覆
當天來這邊做金工，金工老師很仔細的解說
也會給予建議
還有很親人的貓貓😍😍😍
服務
內用
餐點類型
早午餐
餐點：5
服務：5
氣氛：5",5
"金工體驗非常有趣，貓貓好可愛！環境很棒～～
餐點：5
服務：5
氣氛：5",5
"有可愛的貓貓、老師相當親切、有耐心地提供指導，在這裡可以有很棒的金工體驗 ：）
餐點：5
服務：5
氣氛：5",5
"餐點好吃，服務親切，老闆很用心經營，還可以一起來體驗金工。
餐點：5
服務：5
氣氛：5",5
"隱藏在眷村裡的咖啡廳
店員很親切 有很可愛店貓😍
可以預約做銀戒
服務
內用
餐點類型
其他
平均每人消費金額
$1,400-1,600
餐點：5
服務：5
氣氛：5",5
金工結合餐飲，是很有趣的組合！店家裝潢有品味，餐點美味,5
"店裏有店貓 太可愛了🤩
環境也很舒服
店員也很細心跟耐心協助
做完金工 還能來眷村走走❤️
服務
內用
餐點類型
其他
餐點：5
服務：5
氣氛：5",5
"教學很仔細，價格也很親民！
飲料跟甜點看起來也很可口，
而且還有可愛貓貓陪伴。
餐點：5
服務：5
氣氛：5",5
"詳細的服務 做完還可以在店內消費
有隻可愛喵
大家趕快來報名😍
超好玩的金工🥳
餐點：5
服務：5
氣氛：5",5
自己動手作戒指很有趣，還有飲料可以喝🍵 …,5
"因為朋友的介紹 來這邊DIY做戒指
指導的過程很專業且很有耐心，環境也很舒服～還有貓咪！！！！！！！
服務
內用
餐點：5
服務：5
氣氛：5",5
