comment,rating
炸雞腿 雞腿排 肉嫩不柴 皮脆可惜太含油且炸雞不熱 ，雞屁股好吃（大屁股）,3
"點了雞腿、腿排、米血、雞塊，無一不驚艷，堪稱雲林之最也不為過，好吃又便宜，硬要講缺點只能說米血不能切，但不影響口感，讚！
服務
外帶
餐點類型
其他
平均每人消費金額
$1-200
餐點：5
服務：5
氣氛：5",5
"胡椒粉很香！！跟一般炸物店的胡椒粉香味不同～雞屁股必點！炸雞也可以！
服務
外帶",5
"老闆娘人很客氣，待客友善！對常客也很好！
環境算衛生！灑粉區蠻乾淨。
油算是乾淨，炸物不會焦黑~

最有名就是雞屁股了！
雞屁股炸的剛好，真的好吃！皮也很香，再加一點點小辣，口感味道更讚！每次去都會必買~
雞塊、雞腿和雞翅都很好吃，不油膩、有雞汁、肉質嫩！
而且雞翅7支100元，CP值真的高~
現在很少還有7支100的！
花枝丸也好吃Q彈。
梅干地瓜綿密好吃也很甜~
價格便宜又好吃，下午需要解解嘴饞時，三人行算是好選擇~

老闆娘動作又快，不會讓客人等太久！
有時候老闆娘都會多送一些炸物，覺得蠻開心的😂",5
"虎尾最好ㄘ的炸雞屁股&米血
就算冷掉也超級無敵好吃",5
"超好吃 打趴很多炸雞店
炸雞雞屁股 鎖水多汁 必推！",5
"米血超好吃 晚餐之前買一塊當點心剛好
服務
外帶
餐點類型
其他
平均每人消費金額
$1-200
餐點：5
服務：5
氣氛：5",5
"價格便宜又不錯吃，適合在上完課後買來當點心，大推花枝丸
服務
外帶
餐點類型
其他
平均每人消費金額
$1-200
餐點：5
服務：5
氣氛：5",5
"特別推薦炸雞翅，不知道是醃製還是香料粉的味道，特別好吃及酥脆，推薦宵夜可以嚐嚐看，品項不多但每個都很好吃！
服務
外帶
餐點類型
晚餐
平均每人消費金額
$1-200",5
"他們家的米血是我的心頭好，不會整個硬硬的，整片不切直接吃，超讚的。
老闆人超好的👍👍👍
推薦指數10顆星
服務
外帶
餐點類型
其他
平均每人消費金額
$1-200",5
