comment,rating
"辣味豚骨拉麵 ： 湯底不是期待的這麼濃（也是看起來的濃） 辣味也怪怪的 好像是生蔥和生洋蔥的辣。個人沒有很愛
川味牛肉：還不錯 算是好吃的麵

用餐環境：
1. 雖然不是第一家暗暗的店 不過覺得進去很暗用餐體驗好像也沒有特別好。（有可能這種設計是有特別的考量）
2. 空氣有點差 不是很流通 也蠻熱的",2
"湯頭普通，但麵條煮得很剛好，很讚喔！內用還可以免費加麵，免費的麵條給得非常非常有誠意，絕對吃的飽😋
餐點：5
服務：5
氣氛：5",4
"以這個價位來說 給過！
豚骨夠味 咖哩的也不錯 唐揚雞也很讚
平均每人消費金額
$400-600
餐點：5
服務：5
氣氛：5",5
"1.加麵不加價。
2.肉片偏薄
3.湯頭不錯
4.有提跟冬瓜茶（冬瓜白開水 難喝
5.是溏心蛋嗎？好像煮的有點熟
餐點：3
服務：3
氣氛：2",4
"外送 飲料選項有熱跟冷可以選 啊選熱的送來是冷的 麵不行湯也不行了也不行 包包款款 關了啦 錢不是這樣騙的 生意不是這樣做的 你們廚房的廚師是哪裡請的阿還是隨便拉掃地的來煮？
餐點：1",1
"拉麵好吃，湯底味道夠
炸豬排脆又有汁，可樂餅味道還可以
吃完還有小點心，店內也提供免費的麥茶及檸檬紅茶
以價格來說cp 值高
可以說是學生必定考慮的選項之一",5
"免費飲料有冬瓜茶、麥茶，不建議另外點飲料。
整體食物還不錯，想吃台式拉麵可以試試看。
服務
內用
餐點類型
晚餐",5
"CP值高，菜單多元化，來不及拍，就吃完了……
餐點：5
服務：5
氣氛：5",5
"辣豚骨口味很特別，湯頭濃郁麵吸湯汁，可免費加麵加湯，CP值算高。
餐點：5
服務：5
氣氛：5",5
"平價好吃的日式拉麵店，免費加大，偏向一些台灣味的日式拉麵，還有許多小菜可以加點享用，飲料暢飲，餐後還有贈送甜品，是用餐的好選擇。
因為平價，一碗麵裡面的料不多，叉燒薄薄的，筍干少少的，但湯頭還滿濃郁的，所以價格符合其料理品質。
座位不多但還滿舒服的環境，前來吃飯也方便停車。
惟較不理想的是，拉麵裡的糖心蛋沒什麼味道，然在虎尾這地區，在此~還有什麼好挑剔的呢！",3
魯花生很夠味，豚骨拉麵湯頭不死鹹，湯頭口感濃郁，重點內用加麵不用錢，環境乾淨，而且還會送小點心！（廁所超極乾淨）,5
"辣味拉麵真的好吃
湯頭也很夠味！
只是麵條的味道稍嫌不足～
但是加麵免費真的很滿足。
但是愛喝湯的加湯要20元喔～",4
"很推薦喔！這個價位吃到這樣的拉麵好幸福(((o(*ﾟ▽ﾟ*)o)))

溏心蛋也是好完美的熟度與味道，店家很用心，所以出餐稍稍慢❤️
環境不算高級但也乾淨整潔！",5
"第一次吃到麻油雞拉麵的選項，非常驚奇，而且超！級！好！吃！之前天氣冷，吃一碗真的身體都暖了起來。
其他的拉麵類都很推薦，不過我個人還沒有嘗試過冷麵的部分，或許等天氣熱一點會再來嚐鮮。
如果天氣冷想吃拉麵，我覺得在虎尾來說CP值很高，還可以免費加麵（真是學生的最愛），而且有免費的麥茶跟冬瓜茶可以喝，值得一推。",5
"整體不錯，但豚骨湯頭可再更濃郁會更好，或是供加價加濃，辣豚骨辣度還ok,，現場有提供免費麥茶及冬瓜，唐揚雞不推價格偏貴份量偏少，但可免費麵加大真的不錯，拉麵整體cp值算高，但以上小建議可改進會更好",4
"餐點蠻好吃的，麵加量不加價！！
小吃部分花生偏鹹，但是是好吃的！！
服務
內用
餐點類型
晚餐
平均每人消費金額
$200-400",5
豚骨拉麵-麵條跟筍乾好吃，湯頭鹹度不太夠，可惜蛋是水煮蛋;小菜份量少價格偏貴，炸豬排油，飲料沒什麼味道,4
可能太晚來店員看起來不太高興，店內裝潢有達到簡單但有味道，有免費麥茶或檸檬紅茶可以取用，拉麵就是 差不多差不多，吃完有一小杯綠豆薏仁湯解膩不錯👍 …,4
"中規中矩的地獄拉麵和唐揚雞及地瓜薯條
服務
內用
餐點類型
晚餐
平均每人消費金額
$1-200
建議的餐點",3
價位比以前調高一些些，麵與湯頭在虎尾地區算是前幾名，還有甜點，也有提供自取的冰麥茶與檸檬紅茶,4
"蠻普通的拉麵沒有好吃也不算難吃
麵很沒有味道跟湯很疏遠的感覺
但是免費加麵可以吃很飽",3
"拉麵還不錯 第二張圖片的那個乾麵什麼的就還好口味滿奇怪的
建議來可以吃拉麵就好",4
拉麵味道稍淡，份量很多，小菜沒有很好吃，整體環境昏暗！,3
以平價拉麵來說很不錯了 比同樣是一開頭的那家拉麵好太多 湯頭蠻濃的料給的也算多 店內有提供飲料  但有時候顛峰時間要等一段時間,5
沾麵口味濃厚獨特，唯份量小而價格昂貴，付餐飲料和拉麵極其不搭，且糖心蛋比皮蛋還硬，吃起來不甚習慣。,3
"湯頭喝起來味道很剛好^^
店內還有附免費的冬瓜茶
加麵也不用錢
服務
內用
餐點類型
晚餐
平均每人消費金額
$1-200",5
今天吃了豚骨拉麵和味增口味的拉麵，味道不會很鹹好吃，可以免費加麵，價位100出頭，感覺cp高，最後甜點是小碗的綠豆薏仁，滷花生滷得很透徹很喜歡，黃金泡菜普通，還可以用re紅包，推推～,5
"肉片是炙燒的感覺 超好吃滴
地獄拉麵可選小中大辣
是麻到喉嚨那種 滿好吃滴
拉豚骨拉麵比較溫和帶點奶香感
餐點裡會有生洋蔥和蔥（夾給對面哈哈）
還有筍子和木耳（讚讚）
最重要的還有拉麵和豚骨啦哈哈！",5
平價拉麵，湯頭口味適中，麵量可以調整，有附甜點蠻特別的。,4
"一家四人點四碗麵600元有找 ！Cp值高的拉麵店！用街口支付還有6趴回饋！讚啦！
服務
內用
餐點類型
晚餐
平均每人消費金額
$1-200",5
"便宜又好吃
服務
內用
平均每人消費金額
$200-400
餐點：5
服務：5
氣氛：5
建議的餐點
唐揚雞 滷花生 黃金泡菜, 好吃的拉麵
停車位
很多停車位
附近的停車場
免費路邊停車",5
"拉麵便宜又好吃,但唐揚雞不太推薦,價格高份量少!",4
"湯頭濃厚，麵體還蠻Q的，出差意外的美食
餐點類型
午餐",4
"湯頭濃郁～肉好吃，冬瓜茶也好喝
服務
內用
餐點類型
晚餐
平均每人消費金額
$200-400",5
虎尾的拉麵店中算料好實在的一家店，口味有調整過，比較偏台灣味，用餐時間常常爆滿。,4
"個人沒什麼錢，只點了豚骨拉麵跟黃金泡菜
先說麵，不錯吃，但覺得湯跟麵都各少了些什麼
溏心蛋讚，麵除了蔥還有洋蔥，讚
筍乾有點硬，還好
內用免費冬瓜茶不行，一開始還好，久了會倒胃
黃金泡菜，超讚，真希望每天都有得吃，吃什麼都配一點
服務
內用
餐點類型
晚餐
平均每人消費金額
$1-200
餐點：4
服務：5
氣氛：4",4
不錯吃，有素食，開到晚上八點半，年輕人不少喔～,5
"拉麵非常好吃 便宜又大碗 飲料也好喝 👍
服務
內用
餐點類型
午餐
平均每人消費金額
$400-600
餐點：5
服務：5
氣氛：5
建議的餐點
好吃的拉麵",5
平價cp高，免費加麵，真的好吃！,5
"拉麵好吃，還有附贈甜點
內用有免費紅茶，價位也不算貴",5
平價好吃，加麵不用錢，晚上去吃還算好停車。,5
"內用座位舒適，還有免費冬瓜茶可以喝！
拉麵普通，溏心蛋好吃，會再來二訪的店！
服務
內用
餐點類型
晚餐
平均每人消費金額
$1-200",5
蠻好吃的湯頭可以 加麵不用錢～,5
"店家有冬瓜茶免費供應，加麵不加價，湯頭好喝…

豚骨拉麵…主食豬肉有著明顯的腥味…加價牛肉=3片牛肉火鍋肉片。

塔香海鮮拉麵…蝦子好吃，吃蝦子前先自己挑黑色沙線。

餐點…真的需要耐心等候！
餐點類型
晚餐
平均每人消費金額
$1-200",3
味道不錯，可免費加麵,4
我從幾年前就一直在吃他們家的，但是今天吃到不知道為什麼淡到像是礦泉水加麵，而且不只我，我們全家都這麼覺得，雖然蛋跟肉還是一樣香，但是湯頭完全就是礦泉水，不知道是不是不小心，但是還是希望可以注意一下，回覆之前的品質,2
"出餐順序有問題，先入座，等了很久發現隔壁桌送餐了，去詢問，回答我餐點每份準備時間不一定，然後馬上我的餐就上來了（豚骨拉麵是特殊餐點嗎）。....這應該不是餐點時間問題，而是出餐沒照順序吧
不是第一次來，但是是第一次讓我覺得服務不是很理想。客人不是最大，但合理的要求希望得到合理的回應。",3
好吃的拉麵 湯頭不錯喝👍內用可以加麵，有冬瓜茶可以喝 …,5
料好實在 變化多  有燙青菜,4
超好吃，便宜又大碗（能免費加麵），每次去都吃兩碗。大推～,5
平價價位、加麵不加價、超飽足。,5
"服務人員親切，餐點好吃
餐點：5
服務：5
氣氛：4",5
改良過的台灣口味，CP值還可以，價格一般，加麵不加價，今日店內還有冬瓜茶、麥茶暢飲，1大2小點了乾拌麵和味增拉麵，貼心地還有幫乾拌麵附上一碗大味增湯，餐後還提供3份紅豆湯，感覺蠻不錯的！,4
"味道還行，平日加麵免費，cp值高，地方乾淨。停車看運氣。服務良好
服務
內用
餐點類型
晚餐
平均每人消費金額
$1-200",4
"環境很好，廁所也很乾淨，也都備有酒精衛生紙！
內有免費檸檬紅茶、麥茶供使用！
結帳會主動詢問是否加麵！
吃豚骨口味很美味
湯頭直接喝光！
之後還上甜點～
真的很值得吃～～😋",5
味美好吃，加麵不用錢,5
辣豚骨拉麵好吃，會想再來,4
"很少在平價的拉麵店品嚐到好吃的冷麵
店裡還有飲料可以喝
最後還有附上甜點
店員結帳時還很貼心的問是否要加麵（加麵不用錢）
更讓人驚喜的是
店員還特地詢問我們家的一歲半孩能不能吃甜點
服務態度很棒，食物也很好吃",5
"Cp值高的拉麵店
湯頭很好 只可惜麵體沒明確提供給消費者選擇軟硬，有點過爛
加麵很划算
很棒的店，還有甜點！",5
"態度極差，外送來湯都灑了，我跟他們反應 他們除了怪外送員就是怪外送平台，三碗湯用三角形方式平放，提起來會擠壓導致蓋子有機率會被擠開
跟他們反應 他直接問我  要不然你想怎樣? 你直接去申請退款阿
然後又是無止境的怪外送員跟外送平台
爛死了 又難吃",1
服務生服務態度好、推薦豚骨拉麵配上炸蝦超對味,5
店內員工翻倒餐點噴濺到我們，外套褲子鞋子無一倖免，當下除了工讀生道歉外，也不見老闆出來做處理，最後離開時其他員工還目送我們離開，絲毫沒有一絲要幫我們處理、善後或賠償，店內的危機處理能力及誠意還有很大的進步空間。,1
從桃園來，點了一份素食拉麵，還有涼麵。食材很新鮮，湯頭和麵都好吃。超過我的期待。,5
"請貴店盡快裝置餐飲業用抽油煙機！
不要再把油煙利用風扇排到人家車庫
車子會卡油煙！油煙味擾鄰
害我們窗戶都開不了。
非常困擾非常困擾非常困擾。
私訊給你們兩次了。完全沒改善。",1
叫了外送服務，加海鮮45（美中不足，魚片應該是使用養殖魚，土味非常重，很不ok)，可以改進會更好💪💪💪 …,4
"便宜又好吃！還可以加麵。
餐點：5
服務：5
氣氛：5",5
辣豚骨口味很特別，湯頭濃郁麵Q彈，可免費加麵加湯，現場有提供免費麥茶及冬瓜，飯後還有附贈綠豆湯，CP值很高,5
杯子可能沒洗乾淨，很臭！出於好意跟店員提醒，以免有類似情況影響其他客人，很客氣的告知後，店員一句話都沒說也沒有道歉就把杯子拿走了！！！我黑人問號！,1
覺得拉麵還可以，炸物偏油。內用環境悶熱，還沒吃就覺得熱，吃了麵後整個人更熱了。,3
內用有麥茶跟檸檬紅，蕎麥麵(柴魚)好吃，且有附味噌湯跟甜點，冷麵加麵要多20元。,4
店長很用心，總是有新料理推出，東西也好吃，加麵免費吃到飽，很推薦的拉麵店,5
湯頭濃郁消魂，麵條Q彈口感好想，真的好吃…,5
很好吃，又可加麵吃到飽,5
拉麵不錯吃，但比我晚20分鐘的客人麵都上了我的還沒來。,2
"很好吃
不過我都吃起司玉米，特別喜歡不想換口味XD
上菜就很餓趕快吃了，所以沒有食物遺照0_0",5
"湯頭濃郁 不膩~ 有免費加麵，吃完還有甜點，很用心的店家。
服務也不錯~",5
肉好好吃喔～我吃過目前最好吃的肉～很香～面還可以加份量～又平價～讚，停車稍稍不便．旁邊都住家,5
好吃，加麵不加錢,5
平價CP值高，免費加麵，日式口味，但鹹淡適中，叉燒很香，有附甜湯,5
廚師認真製作麵好湯香濃，泡菜和黑木耳讚，送飯後小甜點紅豆湯,5
"奶油玉米拉麵推推🍽️
餐點：5
服務：5
氣氛：5",5
"湯頭味道普通不濃郁，麵條也普通，沒有讓人驚艷的感覺，
但是候位卻要等很久，用高腳椅面壁吃拉麵實在是不太舒適。",1
價錢平易近人，可惜味道普通了一點，整體來說是間cp值很高的餐廳~~,4
價位中間，份量十足，味道不會太死鹹，可以免費加麵,5
"等了40分鐘...我的麵才上桌。
比我晚來的2桌客人都吃完回家了。",3
服務親切，價錢適中，湯頭甜美，麵Q好吃，加麵不加錢，值得去品味。,5
川味牛肉拉麵，香辛料調味得恰到好處，既不會太辣又食得下口，真不枉等待很久的飢餓。,4
"店裡蠻乾淨付款方式也多元，味道比較見人見智
服務
內用
餐點類型
午餐",4
糖心蛋好吃，加一整大碗湯20元，很划算,5
燒肉有淡淡焦香味，湯頭尚佳，涼麵(沾醬)相當美味新鮮。,4
料多實在，又可免費加麵，很替大學生著想的好店家!,5
"環境：4
餐點：2 口味一般
服務：3
價錢：4 算便宜 份量足 cp值可以",3
份量很夠、叉燒好吃～可惜最近湯頭變比較鹹。,4
湯很好喝 麵條Q彈 肉質很好吃,5
"第一次吃湯頭鹹淡剛好
第二次去太鹹…麵吃一吃
喝茶不喝湯了",4
"不鹹，肉片特別好吃
湯頭讚",5
湯頭鹹淡適中 還有免費飲品提供 餐後還有甜湯 小菜好吃 推薦黃金泡菜,5
"不定期推出新菜色及活動，
內用環境整潔乾淨，
會讓人想一直來光顧 👍 …",5
平價拉麵店，不可選麵條軟硬、湯頭濃淡，整體是大眾化口味。,4
好吃！很棒的湯頭,5
環境乾淨衛生，食材也新鮮，很合我的胃口。,5
"半熟玉子 一顆要30元 覺得很貴
不過味道還不錯",4
我跟我老公都喜歡它的辣牛肉拉麵🍜 …,5
拉麵好吃，用餐環境舒適,5
平價，加麵不加錢。口味道地，令人回味無窮！！,5
平價好吃😋，乾拌麵有點鹹，起士豬排很讚 …,5
"好吃又平價～～～～
燙青菜（高麗菜+和風醬）很好吃😝 …",5
味道不错 还可以免费加面,5
"很好吃
服務
內用
餐點類型
午餐
平均每人消費金額
$1-200
餐點：5
服務：5
氣氛：5
建議的餐點
好吃的拉麵",5
麵食很好吃 可是炸物加了海苔粉頗微扣分,4
環境優等，有日式居酒屋的氛圍，餐點好吃，服務熱忱，是適合用餐與聚會的環境。,5
服務態度佳 廁所很乾淨,5
份量多，價格便宜，很適合學生,5
餐點中規中矩，服務態度良好，附的餐後甜點恰到好處。,3
