comment,rating
"第一次到餐廳用餐，食材新鮮，份量夠～
炙燒鮭魚丼飯很精緻～味增湯好喝～
價位中等，有機會一定再次蒞臨
旁邊很多收費停車場，不會沒位子
餐點：5
服務：5
氣氛：5",5
"📌鮭魚加鮭魚卵丼
不太喜歡這道的盤器（會黏飯），個人也覺得比較不好清洗（？

📌特上握壽司
每個品項油花都表現的不錯

🅿️對面就是停車場很好停車
餐廳市內空間小巧，靠牆座位稍微擁擠了點
服務
內用
餐點類型
晚餐
平均每人消費金額
$600-800
餐點：4
服務：5
氣氛：4
建議的餐點
綜合握壽司
停車位
很多停車位
附近的停車場
付費停車位",5
"餐點不錯！新鮮！價格偏中高，餐點若選定生魚片類，成年男性吃不飽唷！
服務
內用
餐點類型
晚餐
平均每人消費金額
$200-400
餐點：3
服務：3
氣氛：4",3
"東西夠新鮮而且好吃，價格算是中等，老闆感覺酷酷的，但是很認真在做大家的餐點，坐位不算多，也有吧檯可坐，可看著老闆快速的做著每道料理，等於是嘴巴吃著眼睛也吃著~享受
服務
內用
餐點類型
午餐
平均每人消費金額
$400-600
餐點：5
服務：5
氣氛：5",5
"這是我第二次來享用，菜色依舊如此豐富，份量也是相當十足，值得回顧。
服務
內用",5
"餐點精緻美味
不妨可列入口袋名單
每樣都值得推薦❤️
服務
內用
餐點類型
晚餐
平均每人消費金額
$400-600
餐點：5
服務：5
氣氛：5",5
"生魚片中的大蝦上菜時已經被主廚撥爛了一段，觀感不是很好。
涼拌洋蔥還未食用完畢，但湊巧有兩組客人入店，老闆直接比我們這一桌表示他們要走了，可以坐那一桌。（很不被尊重的感覺）
服務
內用
餐點類型
午餐
平均每人消費金額
$600-800
停車場
對面有收費停車場（非特約）",3
"第一次是好友帶我去，後來自己又帶朋友去了好幾次。沒有厲害裝潢，樸實的店長爸爸幫忙上菜，只有實在料理，無菜單套餐很適合有選擇障礙的我～

套餐從600/800/1000陸續吃到這次1500⋯每一階都好吃，食材新鮮就是棒，但1500實在太多了，下次我還是吃1000就好。🤣🤣
服務
內用
餐點類型
晚餐
平均每人消費金額
$1,000-1,200",5
"好吃！出餐速度很快！
內用位置不多想吃的記得訂位比較好喔！
門口就有一個停車場👏 完美👍🏼

生食都很美，但不吃生食的熟食也很好吃
服務
內用
餐點類型
晚餐
平均每人消費金額
$400-600",5
"經過好幾次店家，第一次進來用餐
餐點美味價格合理CP值很高😊😊
服務
內用
餐點類型
晚餐
平均每人消費金額
$200-400
餐點：5
服務：5
氣氛：5
建議的餐點
茶碗蒸, 綜合握壽司, 鹽烤鯖魚, 軟殼蟹壽司, 客製化生魚片拼盤, 花壽司, 椒麻雞, 海鮮沙拉, 海驪生魚片, 鹽烤雞腿定食, 炸豬排定食, 比目魚壽司, 薑汁燒豬肉
停車位
很多停車位
附近的停車場
付費室內停車場",5
"今天點了綜合生魚壽司、還有忘了拍照的豬排定食、鮭魚炒飯、軟殼蟹壽司，全部都非常好吃，老闆很親切，兩個老人家（應該是老闆的爸媽）辛勤的工作態度讓人佩服，繼續加油，會再訪的！（小小的建議，生魚壽司的芥末可以少一點）
服務
內用
餐點類型
晚餐
平均每人消費金額
$200-400
餐點：5
服務：5
氣氛：5
建議的餐點
茶碗蒸, 綜合握壽司",5
"今天點的是無菜單料理～～
樣樣都好吃😋
食材新鮮又沒味～～
海產最怕不新鮮了！
但這完全可吃到海鮮的甜味～
魚也烤的恰恰酥軟..
光看這些擺盤技巧精緻..視覺看了就很享受
簡單的茶碗蒸蛋～～滿滿鮮味..
老闆很親切～
很推薦大家來嚐鮮看看～^_^",5
"吃了好幾次 每一次都吃太飽了🥲真的很好吃 可惜吃太快忘了拍照 只來得及拍一個鯃魚
服務
內用
餐點類型
午餐
平均每人消費金額
$200-400
餐點：5
服務：5
氣氛：5
建議的餐點
茶碗蒸, 綜合握壽司, 花壽司, 椒麻雞, 炸豬排定食
特殊餐點
辣味香腸炒飯真的很好吃！很有特色~",5
