comment,rating
"之前吃都是牛肉塊…
今天來吃肉變少了…

而且原汁牛肉麵變成原汁牛肉片嗎？
好慘…
😮‍💨
餐點：5
服務：5
氣氛：4",1
"第一次來到虎尾店吃三商，
一直熱愛吃原味牛肉麵的我，
今天不例外也是點原味牛肉麵，
一進到店裡，沒什麼客人，
店員也讓我等了一會才走過來櫃檯點餐，
第一次遇到臉上帶著「賽臉」的短髮胖胖店員，好像我欠她一百萬一樣，
服務態度真的是差到爆！
後來想問停車折抵的問題，
我直接到服務中心問，
根不想看到她，也不想問她😅
拒吃這家啦！！！
餐點：2
服務：1
氣氛：1",1
"很適合親子，點了一個加飯的套餐，先上先拍，其它沒拍到，加飯部分是另外裝～
服務
內用
餐點類型
晚餐
平均每人消費金額
$200-400
餐點：5
服務：5
氣氛：5",5
"飲料裡面有蒼蠅
店員看到卻跟我說「應該是後來飛進去的」
然後人就走了？ 處理態度是這樣？
服務
內用
餐點類型
晚餐
平均每人消費金額
$200-400",1
"吃了幾次，麵永遠都是硬的，而且肉少的可憐
店員還在家樂福門口抽煙，無視禁煙標誌
中午12點左右
服務
內用
餐點類型
午餐
平均每人消費金額
$1-200
餐點：1
服務：1
氣氛：1",1
"唯一能點的就是從年輕時開始吃的「原汁牛肉麵」(因為可以無限自加還不錯的“酸菜”)。但現在大碗的已漲到165元，CP值就很不值了！
更不要說它們一向很掉漆的服務了，尤其是這一家，不但沒有“服務”概念，還完全無視於客人之存在！
拒絕再去吃！
服務
內用
餐點類型
晚餐
平均每人消費金額
$1-200
餐點：4
服務：1
氣氛：1",2
"爛到爆 點外送半筋半肉麵 裡面只有兩小塊筋 其他全都是肉 就是想吃筋才會點好嗎？ 然後客服也不會處理 連補償都沒有 心情差到極點 餐飲業是服務業的一環 不會做就不要做 後廚眼睛是瞎了嗎 兩小塊 不到我半根手指份量的牛筋 這樣的餐點也敢端出來賣？氣死人 沒見過那麼爛的半筋半肉牛肉麵 要去吃的請三思
餐點：1
服務：1
氣氛：1",1
"大人跟孩子都喜歡他們的牛肉麵，小菜有多樣可以選擇，服務人員也都很親切有禮
服務
內用
餐點類型
晚餐
平均每人消費金額
$1-200
餐點：5
服務：5
氣氛：5
建議的餐點
滷豆干, 半筋半肉牛肉麵, 番茄肉醬乾拌麵
停車位
很多停車位
附近的停車場
免費停車場
停車場
基本有在家樂福裡面吃飯消費，就可以免費停車了",5
"點餐服務員連自家產品都搞不清楚 ，拉麵跟白麵都分不清。發現錯誤卻無能力應對，店長跑去哪裡？廚房把粗細兩種麵混在一碗，乾麵跟湯麵都分不清楚。ㄧ次非常不愉快的巧福經驗，差  差 差...
服務：1",1
"傍晚去用餐的
女服務員不知道在囂張什麼 不想做可以離職知道嗎？態度超不屑的..
我是怎樣了 欠妳錢喔？
服務
內用
餐點類型
晚餐
餐點：1
服務：1
氣氛：1",1
"服務不錯 上餐快
服務
內用
餐點類型
午餐
平均每人消費金額
$1-200
餐點：5
服務：5
氣氛：5
建議的餐點
半筋半肉牛肉麵",5
點了套餐組合半筋半肉牛肉麵+番茄肉醬乾拌麵，還有小菜和飲料，這樣250元有找，吃的很滿足呦😋😋😋 …,4
"剛剛去店裡問餐點，一位30歲左右綁馬尾的晚班女員工，態度超級差，這樣的員工難道公司沒有教育？店長沒有教育？是在趕客人嗎？以後也不會再去吃，我是花錢吃飯，不是花錢受氣的，你們對員工教育再繼續這樣，誰敢去吃飯。。。
服務
外帶",1
"為什麼每次外帶都這麼油,明明內用完全不會啊....",2
環境舒適乾淨寬敞，剝皮辣椒雞麵，一點點辣味，有雞腿肉，湯頭偏淡。推蘭州拉麵，牛腱肉配牛肚，比半斤半肉及牛三寶好吃。咖哩飯濃郁，辣度不適合小孩，紅蘿蔔不腥。,5
牛肉麵界的麥當勞，全國均一價、口味一致、裝潢相似，有一定的顧客群，偶爾推出新菜單，不變的經典是牛肉麵、牛肉蓋飯、排骨飯等，適合全家大小一起用餐,4
"我第一次愛上牛肉麵是三商巧福的牛肉麵
經過多年吃過各種牛肉麵
還是忘不了三商巧福牛肉麵
但這次再吃
突然整個感覺都沒了
除了牛肉不好吃
連湯也變了
CP值低啊",2
"牛肉麵不錯，還可以加湯，服務態度尚可，還有免費的酸菜與辣椒可以自取
服務
內用
餐點類型
晚餐
平均每人消費金額
$1-200
建議的餐點
原汁牛肉麵&現燙青菜, 半筋半肉牛肉麵",4
清燉牛肉湯麵各地水準都一樣，小菜也不差，因位在家樂福，停車場好使用！,5
可惜，麵都煮爛了。入口即化，原應該是牛肉麵。就當作吃【牛肉麵糊】。,1
"最近因為疫情 所以都外帶
這幾次的經驗兩次忘記給酸菜
一次忘記給湯包
我不知道外帶酸菜是要自己用嗎
因為店員也沒請我自己用
這種回家才發現東西沒齊真的很..
希望櫃檯能用點心
或者請客人自己裝酸菜
餐點是還算不錯吃
尤其喜歡番茄肉醬麵",3
"紅燒牛筋麵 解鎖新品
餐點：4
服務：4
氣氛：4",4
5/15下午來吃，但第一次吃到三商巧福那麼難喝的湯頭，吃過很多家三商巧福，就這家體驗最差，點套餐也沒問我要不要換小菜，我根本不想吃燙青菜，麵跟肉跟其他家沒啥差別，但湯頭不知到加了多少水，是我喝過的湯最淡最淡的，反應給穿一位穿紅上衣，咖啡圍裙的點餐的服務人員這問題，她回答湯頭煮起來一大鍋就是這樣.....有點傻眼，難道我在別家巧福喝的湯頭好喝都是錯覺？？讓我有一種你們是不是做生日活動要省成本的感覺..我第一次點大碗牛肉麵吃不到一半走人...,1
"今天吃飯開心
因為睿元服務態度很好、積極
應該要好好嘉獎一下",5
"信用卡拒絕交易，銀行回覆是三商巧福這裡連線有問題，不是信用卡有問題。
之前來用餐會送上筷子衛生紙辣椒酸菜，現在要自己拿也不說。
餐點還行，2個紕漏。",2
"店員態度到底在不爽什麼😄👍🏻 …
服務：1
氣氛：1",1
價格越來越不親民了，原汁牛肉麵從十幾年的79到現在已漲到115元，加麵也從10元漲到20元，現在一碗大牛等於135元，麵條漲十塊已很久了也沒覺得不好，但一碗原牛從79、89、99、109、到現在的115，我實在是不敢恭維.....,3
"服務態度不是很好尤其櫃檯的服務人員
明明有看到有人在櫃檯了還是當沒看到一樣
服務
內用
餐點類型
晚餐
平均每人消費金額
$1-200",1
"今天下午14：30分來吃三商巧福，櫃台點餐小姐態度一整個讚，整場內場一個人整理的乾乾淨淨的，好久沒遇過這麼優的服務人員了，讚。
P. S：牛蒡絲可不可以換回來脆脆的口感啊~
軟軟的吃不習慣啊！",5
起先服務的態度真的差，客人有疑惑也不清楚交代，要不是笨蛋差點就被坑錢了，還說什麼這樣會比較便宜比較划算的，算下來根本就比較貴啊，而且我們還跟他們解釋之後卻是給我一個嘴臉，我是不知道這位是店長還是誰反正跟其他店員穿的不一樣，這樣的態度根本連就一顆星都不值得吧，還有不知道是杯子沒有洗乾淨還是怎麼的飲料盛滿竟然還有油浮在飲料上，麵煮到爛湯也很油，湯頭更是沒味道，到底是牛肉湯還是開水！花這筆真的不值得！,1
"服務人員 在忙外送餐點 請我等一下看一下 結果 他忙完竟然幫後走進來的客人點餐？請問那我在等什麼 非常有事 教育訓練待加強
服務
外帶
餐點類型
午餐",1
整體環境舒適，點餐店員算是有問必答，單點的原汁牛肉麵份量不大，建議加點成套餐或加大比較會有飽足感，口味一般，牛肉肉質算是軟爛好咀嚼。,4
"牛肉麵好吃
但員工內部混亂",4
魯豬棒腿好吃,5
"上菜的店員服務態度有夠差，端上來直接甩頭走掉，也不講清楚是什麼麵，去問他也愛理不理的
時間8/9 12:30",1
"時間8/8 13:40-50
櫃檯到底是什麼態度？
先把客人晾在櫃檯三分鐘
然後一直說要等喔
奇怪 我們從頭到尾沒有說不等
你如果不想接客人可以直接說",1
感覺統一企業的員工應該業積壓力很大…單點個餐點要講好幾次，對我就是要單點…隔壁的福勝亭也是,3
"湯才是重點，每次來湯都是喝完的。
服務
內用
餐點類型
晚餐
平均每人消費金額
$1-200",5
牛肉湯125 沒有肉！,1
維持一貫的水準，平日中午人也蠻多的。,5
點餐請記得第一時間講細節，不要等全部點完才講，不然會被先做，而且店員不會問你,1
我的麵等了30分鐘 確認完還送錯餐,1
單點的雞腿沒炸到熟就上菜！很後悔沒拍照片！,1
"服務態度有待加強，
且餐未送完單子就收走...",1
30年的好滋味，經典原汁牛肉麵，湯頭好，麵條Q彈，多種套餐，麵飯皆可選擇。,4
讓人放心的穩定品質，在哪吃都不會踩到地雷，這種安心感也是種賣點,4
裡面寬敞 買了東西不錯吃 缺點出餐太慢了,4
環境舒適 加麵大碗,4
"店員徐嘉聆態度很不錯
服務
外帶
餐點類型
晚餐
平均每人消費金額
$1-200
餐點：5
服務：5
氣氛：4",5
"服務態度極差 很不削
謝謝 都不會講",1
"就是三商巧福
口味一致 份量可 用餐環境舒適",3
牛肉麵的味道很棒,5
牛肉麵店基準,3
沒以前好吃了⋯,2
店長態度非常糟糕,1
店員態度不佳,1
東西好吃 而且很近,5
吃喝方便，乾淨,5
地方大，乾淨,3
好吃 店員親切,5
服務態度不佳,1
美味,5
工作,4
,4
,5
,4
,5
,3
,5
,4
,1
,2
,4
,5
,3
,4
,3
,4
,4
,5
,5
,5
,5
,5
,5
,4
,5
,5
,4
,3
,5
,5
,5
,5
,5
,4
,4
