comment,rating
"聽住附近的朋友說：這間是經常會有人排隊的香腸店，所以特地跑來朝聖感受一下！的確，真的是會排隊，因為東西都是現烤、現包的，所以需要等待.現烤的香腸需要時間，小小的等待一下是必需的，除非你運氣好，剛好遇到有剛烤好的香腸可以馬上打包！
香腸咬起來口感還蠻不錯的，肉質很彈牙，應該是很新鮮吧！香氣不會太重，適合不喜歡香料味太重的朋友們，青菜蘿蔔各有所好！
服務
外帶
餐點類型
其他
平均每人消費金額
$1-200
餐點：4
服務：4
氣氛：3
建議的餐點
大腸包小腸大套",4
"🏠路邊傳來的烤肉香，下午時段還不少當地人來購買。販售烤物及各式炸物，隱身民宅的簡式燒烤＋鹽酥雞攤，另也有生的食材可購買。

🌭羊小腸＋米腸，又稱小套，羊小腸並非是羊肉香腸，而是用羊腸衣的豬肉香腸。羊小腸較細長，豬絞肉的口感紮實，肥瘦比例佳，醃製香氣不錯，糯米腸經烤過表皮薄脆，米香四溢，夾著小黃瓜、鹹菜入口，挺滿足的台式下午茶。
服務
外帶
餐點類型
其他
平均每人消費金額
$1-200
餐點：4
服務：4
氣氛：4",4
"點了一份小套$45
吃起來超好吃的!!!!
第一次吃羊小腸，原本以為吃起來會有羊肉的味道，朋友笑著跟我說我想太多了🤣
吃起來不會太鹹，肉汁飽滿。
而且米腸不會像有的店那樣像塑膠咬不斷，這邊米腸很好吃。",5
只有雲林才有的「羊腸」，一樣是台灣豬肉（萊豬根本假議題，到現在根本沒看過任何店家賣萊豬，國民黨只會造謠，啥事也不會），差別在於是使用羊的腸衣，一般大腸包小腸都不會太差，而這家好吃的因素在於配菜，都是店家自己醃漬或是再處理，可以解解肉的膩,5
點了小套搭配小黃瓜 鹹菜 還有店家附的蒜頭 真的很對味 香腸是好吃的 但少了些碳香味,5
老板娘親切，大腸包小腸好吃，尤其是香腸,5
"連歪嘴挑剔的南部大腸包小腸達人都說讚👍🏻內餡不死鹹，搭配小黃瓜爽口又難忘，最重要的是香腸是好吃的香腸啊⋯⋯黯然銷魂啊⋯
服務
外帶
餐點類型
其他
平均每人消費金額
$1-200",5
買了1斤(190元)羊腸香腸，回家烤肉.真的好吃~,5
老闆娘親切，不管是烤香腸還大腸包小腸都是一絕，還有碳烤雞排跟炸雞雞排甜不辣都很讚,5
好好吃的香腸，推,4
大腸包小腸口味獨特，糯米腸Q軟香腸不油膩鹹菜香，好吃！,4
下午茶墊墊肚子 50元 一組 ！口味ok,4
好吃，推,5
從小吃到大，不管香腸還是雞排都好吃！,5
他這每逢星期一休息要燒烤東西或炸雞排先電話預購比較不用等,4
很有特色的羊腸香腸,4
"好吃
餐點：4
服務：4
氣氛：3",4
他們的羊小腸好吃 關東煮也不錯,5
店家手腳太慢！生意太興隆！所要排隊喔！,4
烤物超讚，配醃黃瓜超爽,5
有羊腸香腸 很特別,4
香腸口味佳 配菜恰到好處,5
香腸好吃又廉價,5
超好吃👍 …,5
香腸雞排好吃,5
好吃喔😋 …,5
好香好好吃～,5
讚,5
物美價廉~,3
好吃,5
滋味普通,3
好吃,5
,5
,4
,4
,5
,5
,5
,5
,5
,5
,5
,5
,5
,4
,5
,5
,5
,4
,3
,4
,4
,5
,5
,5
