comment,rating
"很幸運抽到母親節大餐
帶著媽媽和其他親人一起出發用餐
每道菜大家都很喜歡
以我們七個大人竟然可以好幾盤光盤
就知道味道很讚
兩個小孩也都很喜歡烤鴨❤️

謝謝招待
服務
內用
餐點類型
午餐
平均每人消費金額
$600-800
建議的餐點
魚翅, 鮮甜的一條魚, 櫻花蝦米糕",5
"虎尾在地老字號餐廳，宴席料理菜單非常用心，從基本3000起跳，根據個人預算一清二楚，也可以加價調整菜色。當然也有單點菜單，可以嘗試到許多廚師團隊們的手路菜，更有不時的新菜推出。這裡空間寬敞，廁所也乾淨，上菜的阿姨服務很好，旁邊還有獨立的格局可以親友團聚歡唱，感覺一切都OK，可以來試試。
服務
內用
餐點類型
午餐
平均每人消費金額
$400-600
餐點：4
服務：4
氣氛：4",4
"因訂購人數太多，
年菜太早提供(下午四點),
所用裝盤均無法直接再加熱，
需轉換到自家鍋具才能加熱，
轉換過程擺設容易移位，
失去外帶即食目的！
服務
外帶
餐點類型
晚餐",3
"服務很棒👍
小孩抓週辦生日都有免費的佈置喔❤️ …",5
口味還可以有點重，但擺盤特別打把炸焦的點心藏在底下，不ok!,2
"老闆夫婦待人親切， 菜餚可口， 搭配得很好。
服務
內用
餐點類型
午餐
平均每人消費金額
$400-600
餐點：4
服務：5
氣氛：4
建議的餐點
鴨米糕
停車位
很多停車位
附近的停車場
免費路邊停車",4
"態度超好～～～大家可以來吃，超棒！！！
服務婆婆人超級讚讚讚！",5
雲林老字號，好朋友的婚禮在這舉辦，食材新鮮好吃，下次有聚餐會選在這！,5
餐點新鮮一盤的食材份量比其它多，這樣一桌5000元,4
"蒼蠅多是一家餐廳很禁忌的事！

喔對了，值得一推鰻魚米糕還有坡斯頓奶油派
蠻好吃的。其他都很還好🎈 …",1
非常開心的第一次參加五福園美食餐廳分享抽母親節大餐🥰店家態度很好，能帶家人去享受美食❤️ …,5
"好吃，用料實在、好停車
服務
內用
餐點類型
午餐
餐點：4
服務：5
氣氛：4
建議的餐點
烤松阪豬
停車位
很多停車位
附近的停車場
免費停車場, 免費路邊停車",4
居然可以吃到這麼肥美的處女蟳！,5
"抽到了母親節大餐
真的好開心
媽媽也說剛搬來虎尾就是去五福園請大家吃飯
服務
內用
餐點類型
午餐",5
來到貴寶地吃喜酒，祝新人的幸福以及餐廳生意都越來越好，長長久久,4
碗盤不乾淨，服務員態度很差，詢問反應問題理由一堆，沒有要幫忙解決的意思，菜色就別說了。,1
中午訂外送便當，紫米飯有些沒熟請店家要特別注意！,3
美味份量足，聚餐，辦桌都好,4
"員工服務態度親切！菜色很不錯吃！
回來虎尾首選第一私藏餐廳！
服務
內用
餐點類型
午餐
平均每人消費金額
$400-600",5
"北京烤鴨和肉絲炒飯很好吃
服務
內用
餐點類型
午餐
餐點：5
服務：5
氣氛：4",5
"我知道很多健康餐盒的菜都是常溫的，不會是熱的，但這間的菜都是冰的⋯⋯⋯ 我不喜歡這麼冰的熟食菜😂
如果可以改善冰冰的菜 會大大提升食慾 …",2
"健康餐真的很好吃😋
推一個👍 …",5
"適合家庭聚餐，很好吃😋
服務
內用
餐點類型
午餐",5
"出餐快~服務人員態度也很好~🥰 …
餐點類型
午餐",5
叫熊貓吃的舒肥餐還不錯吃，還會回購,4
好吃 我愛,5
買年菜 櫻花蝦米糕，一道750，結果上面只放了幾顆直徑1公分的干貝。CP值實在很低…,2
這個地方還能聽到很美的鳥叫聲，心情舒暢很多。,5
虎尾在地的老店家，菜色豐富，價位平民，老闆娘超接地氣的服務態度會讓自己感覺到是在自家吃飯一樣輕鬆自在。菜色更是多元化，如果想吃懷舊料理找這家就對了。,5
來這裡吃喜宴的，菜色不錯，油飯好吃、生魚片新鮮，龍蝦火鍋料多。美中不足的是飯後附的冰棒，吃起來味道太怪了，完全無法吞下，只好放棄。,4
"叫外送的健康餐盒..肉好吃，調味不錯
但讓我傻眼的是高麗菜是冰的！花椰菜也是！
水果也直接丟進便當裡一起放？
正常來講起碼要分開放，或是乾脆不給也可以
一個快要200的便當...吃到菜是冰的水果沾著便當裡醬料的感覺...非常沒有誠意，所以肉再怎麼ok我都只給一顆星！",1
價格實惠，食材新鮮,3
拿到的餐盒並沒有像看到的照片一樣豐富。而且肉吃起來感覺放很久，整個餐盒吃起來味道是好的但是是冷掉的。,2
"上菜上超級急….
桌子很不平衡。
服務
內用
餐點類型
午餐",2
"廁所髒污 間數太少
餐點：2
服務：2
氣氛：2",2
氣氛好、台菜有的口味有出來、簡單的食材意想不到的驚喜，很少有這樣的餐廳了，想破五星可惜無法,5
"服務人員沒有戴口罩上菜
端菜上桌時，用擦桌子的抹布去端菜盤的兩側
上菜時，因告知要上菜，卻站在客人後面，等客人閃躲",1
"吃清蒸的魚吃到不熟的 反應後直接收走也沒補上來 還要我自己去廚房說
很少給一顆星的我都忍不住給了一星 慘！",1
超美,5
服務細心，上菜小心謹慎，會留意客人用餐情況，適時更換餐盤，老闆熱情，菜色大碗滿意,5
雲堪改選理監事在五福園舉辦，菜色美味好吃，後學是素食\菜味同桌的老師認用好吃，綱友們有要開會可到五福園，歡迎大家！,4
餐點不錯，上菜的速度也快，除了虱目魚的產地，第一次吃桌菜吃到清蒸虱目魚，還挺妙的,3
宴會餐廳，也接受散客用餐。可以單獨點菜，價位中高，但是沒有刷卡、停車位有限,4
"讚
福氣 福務實
為 鄉親父老盡心盡力餐點
真才實料 場景乾淨俐落",5
八年前曾經在對面工作，老闆夫妻很親切，員工也是，菜色裝潢都很棒，很值得來用餐聚餐唷。,5
好吃👍 推薦 …,5
好吃,5
菜色不錯吃，個人覺得羹湯類有點鹹,4
健康餐盒很好吃 冰鎮的菜也合胃口,5
美味的料理，味美料鮮，直得一去再去,5
周邊好停車，還不錯,4
內用外帶合菜超方便又好吃,5
生魚片很新鮮，芋頭鴨肉（不知道是不是這個名字）很好吃,4
菜色不錯吃，都很有味道,4
老闆老闆娘都很熱心完成客人的需求，餐點又好吃，用餐環境舒適,5
"用餐時間過後借場地開會 未用餐
場地可辦喜宴
2樓有包廂",3
"菜色還可以，味道普通!
重點是送錯菜很傻眼😧 …",3
好吃的健康餐盒👍 …,5
"好吃😋
服務
內用
餐點類型
晚餐
平均每人消費金額
$1,000-1,200
提供特殊餐點
不確定",5
健康餐盒好吃 支持常開熊貓 拜託~~~,5
菜色還不錯！有經過可以去吃吃看！,4
不錯啦  好吃  便宜  外送服務到元長，實在有夠讚。,5
道地台灣味道 便宜有好吃 不虛此行 食在有過讚,5
"每年的尾牙都會在這吃飯🙆🙆
服務
內用
餐點類型
其他
平均每人消費金額
超過 $2,000
餐點：5
服務：5
氣氛：5
停車場
蠻多格的👍👍",5
場地大，但停車場少，味道尚可。,3
還不錯吃，家庭聚會可以考慮,5
東西好吃，價格稍貴,3
虎尾海鮮料理 蠻新鮮的一家店 場地蠻大的 備有停車場 喝酒不開車 開車不喝酒,3
團體合菜的海鮮新鮮，而且10人來吃份量剛好,4
用餐環境與用餐餐點不錯，價格合理。,5
平價餐廳菜色不錯朋友聚餐的好地方,4
"料多實在，味美實在，價格公道。
餐點：5
服務：5
氣氛：5",5
辦理婚宴場所，有停車場，服務好，菜色養生。,5
用料實在，餐點美味可口,5
好停車菜色好價錢便宜又好吃。,3
還不錯的台菜餐廳 價格公道,3
食物好吃 氣氛佳 服務態度好,3
新鮮美味，服務人員熱心客氣。,4
"宜闔家團聚  朋友聚餐  喜宴
價格公道菜色親民",4
老闆人很好 蒜頭餅也超好吃,5
好吧 可能不合我的胃口 覺得不好吃。,2
食物普通，裝潢尚可，場地適合多人,3
附有停車場的餐廳，餐點不錯吃。,4
"餐飲很好、停車場寬廣
服務
內用",5
餐點不錯吃，附停車場。,4
一分錢一分貨2500的菜很差,2
菜色不錯，但我朋友需要更大的椅子,3
場地好，料理讚，價錢中等,4
料多實在 值得再來,5
菜色豐富，口味極佳,5
環境不錯，廁所乾淨。空間舒適,5
"菜色棒 好吃
餐點：5
服務：5
氣氛：4",4
人多就是好吃,4
餐點吃起來好吃,5
小老闆人很親切 讚讚!!,4
重新裝潢，環境變漂亮了。,4
"虎尾地區最讚的
空間寬敞，飲食不錯",4
東西很好吃，很澎湃啊,4
菜色多，服務佳。,5
很普通 環境有需要改善,3
東西很多吃很飽,4
好吃又新鮮~!,5
菜色味美.場地優,4
平價、菜色豐富好吃,4
菜色好 很好吃,5
服務很好，食物新鮮,4
服務態度佳  菜肴新鮮,4
服務親切 ~~~ 美味可口,5
不新鮮，環境雜亂。,1
老闆親切通情達理服務好,5
"食在好所在！
服務
內用
餐點類型
午餐
平均每人消費金額
$400-600",5
美食餐廳真好吃,5
年輕老闆非常熱心熱情,4
司導餐不錯吃,4
適合大小宴會，賓至如歸。,5
場地乾淨  口味不錯,4
室內用餐太陽直射我的眼睛,1
菜色讃海鲜多很新鲜大`厨师讃啦,4
好吃，有空再來,5
非常好吃份量十足,5
料好價格實在,5
服務人員態度很好,4
期望未來能進步……,2
老字號 聚會婚慶皆宜,5
服務貼心❤️,5
價格高菜色普普,1
合菜還不錯,4
並沒有特別突出的地方,3
烹調方式越來越進步,4
料理平價實在,4
人員態度不佳,1
過年菜色很爛,1
美食清幽宴客的好地方。,5
服務態度普通,2
上菜速度很快！,3
整齊乾淨清潔,4
聚餐，場地不錯,4
服務很親切,5
出菜很慢。,3
餐盒不錯吃,3
吃飯宴客，好所在,4
辦桌，闔家聚餐,3
新鮮好吃,4
讚，好吃,5
可以再好一點,3
健康餐很棒,5
地點方便明顯,3
平價美食,4
聚會好去處,5
價廉物美的餐廳,3
餐點好吃,5
菜色不錯,4
好吃,5
人員態度不佳,1
還可以。,3
團體用餐地點,4
"傳統餐廳
服務
內用
餐點類型
午餐",5
😍😉😭💞❤️💕💕😘 …,3
口味，很道地,3
東西好吃,4
還不錯,3
新鮮好吃,4
讚👍👍👍 …,5
好停車,5
尚可,3
Cp值高,5
楊子接客中心,3
很親切,5
色香味俱全,5
食材新鮮。,4
還好,2
不錯,4
衛生美味,5
美味可口,5
出菜慢,1
很可以,5
好吃的食物,4
美食,4
好吃,5
有吃的,3
一般。,3
五福園。,3
清明聚餐,3
家庭聚餐,3
還不錯,4
好吃,5
好吃,5
讚,5
讚,5
"[1/26/23]4000美元，4個成人2個孩子。豬肉炒飯——MVP，白芝麻餅——還可以，藥材雞湯——沒什麼特色，魚翅湯——我喜歡，石斑魚——很難挑，法式扇貝——3號，還有橙子番石榴。我總覺得固定價格很貴。
服務
內用
餐點類型
午餐
平均每人消費金額
$800-1,000
餐點：3
服務：4
氣氛：4
建議的餐點
Shrimp Fried Rice, Clams on Iron Plate, Shark Fin Soup
停車位
很多停車位
附近的停車場
免費停車場
停車場
大停車場",4
,5
非常友善的家庭,5
很好吃\(*´ω`*)/,3
,5
,5
"好的
餐點：5
服務：5
氣氛：5",5
,5
,5
,2
,3
,4
,4
,4
,5
好的,5
食材新鮮,4
,4
,5
,5
,4
,4
,5
,4
,4
,3
,3
,4
,3
,5
,5
,4
,4
,4
,5
,5
,5
,5
,3
,4
,4
,3
,5
,3
,5
,5
,5
,5
,4
,3
,5
,4
,4
,4
,4
,3
,5
,3
,5
,5
,5
,3
,2
,4
,5
,4
,3
,3
,2
,4
,5
,3
,5
,4
,4
,3
,3
,4
,2
,5
,4
,4
,3
,2
,5
,4
,4
,4
,3
,4
,4
,5
,1
,4
,4
,3
,4
,5
,4
,4
,3
,1
,4
,4
,4
,5
,3
,3
,2
,3
,4
,3
,4
,4
,5
,3
,4
,5
,4
,3
,5
,5
,4
,2
,1
,3
,4
,4
,3
,2
,3
,3
,3
,5
,3
,3
,3
,4
,3
,3
,3
,4
,3
,4
,4
,2
,3
,4
,5
,5
,4
,5
,4
,5
,2
,4
,4
,3
,5
,4
,5
,3
,3
,4
,5
,4
,3
,3
,4
,5
,5
,3
,5
,4
,3
,5
,4
,4
,5
,4
,4
,2
,5
,5
,3
,3
,5
,3
,4
,4
,5
,3
,5
,4
,5
,5
,5
,4
,5
,5
,3
,5
,3
,3
,1
,3
,5
,4
,5
,5
,3
,3
,3
,3
,3
,2
,4
,5
,4
,3
,4
,3
,4
,4
,5
,4
,1
,4
,4
,3
,5
,5
,5
,5
,4
,5
,4
,3
,5
,3
,2
,4
,3
,5
,4
,5
,5
,4
,4
,5
,4
,5
,4
,5
,5
,4
,5
,4
,2
,4
,4
,4
,3
,4
,5
,5
,4
,2
,4
,5
,4
,5
,2
,4
,4
,5
,4
,4
,4
,4
,3
,3
,4
,3
,5
,4
,4
,4
,5
,3
,5
,3
,3
,5
,5
,3
,5
,4
,5
,5
,2
,4
,5
,4
,3
,5
,3
,5
,1
,4
,4
,4
,5
,4
,5
,4
,4
,4
,4
,4
,4
,4
,5
,3
,5
,4
,5
,5
,4
,5
,3
,5
,4
,5
,4
,4
,5
,3
,3
,4
,5
,5
,4
,3
,5
,4
,5
,3
,5
,4
,5
,3
,5
