comment,rating
"中午時段用餐，10:45現場已經多位等候。
新店位置斜對面有停車場。 … 全文",4
"飯糰跟綜合壽司其實真的很不推
免費的味噌湯～也就是店家誠意提供
我倒是會選擇拿冰箱飲品🤣🤣 … 全文",4
"用餐時段排隊的日料店我來囉，進門感受到日式風格裝潢，店員熱情招呼，提供麥茶、熱湯無限用，每道日料兒子都說鮮美好吃😋。 …
服務
內用…
全文",5
"在虎尾地區要排隊的壽司美食。等待的時間不算長 還可以接受。烤鯖魚肉質美味 手卷口感也很好。CP值高
服務
內用…
全文",4
"終於 開始營業了，用餐環境變更好了 。食材 一樣很好吃
服務
內用…
全文",5
"干貝培根串的干貝很乾柴，難以下嚥。
清蒸加納魚肉，肉質乾柴魚皮有點腥味。
揉打醋章魚很開胃，👍 … 全文",4
"在虎尾吃到比較好吃的日本料理，但我太太認為還是偏台式，生魚片的鮮度還可以，比較推薦的是明太子雞腿肉串
服務
內用…
全文",4
"最喜歡明太子烤雞肉～～～
店裡的味噌湯和麥茶可以自取，味噌湯偏甜，有豆皮壽司的那種甜味，旁邊有海帶芽可以自己加，加了之後比較好喝 … 全文",4
"我的虎尾日料首選
乾淨、新鮮、有水準
可以單點紫蘇大葉超級讚 … 全文",5
"餐點新鮮好吃，哇沙米還是現磨的吃起來很溫和，味噌湯不僅免費，也甜甜的很美味
服務
內用…
全文",5
"今天點的餐都很好吃😋
生魚片超級厚又很新鮮👍
室內裝潢也很好，環境乾淨整潔，服務親切 … 全文",5
"餐點很有水準，每一樣吃起來都很令人驚艷，價格剛看覺得偏高，吃了之後覺得完全對得起價格！👍 …
服務
內用…
全文",5
"野蔬沙拉偏普通，就是一般沙拉
櫛瓜可以點，櫛瓜多汁配上明太子帶出櫛瓜的鮮甜
明太子手羽很乾，口感偏柴，不說應該不知道有吃到明太子 … 全文",4
"如果有懂吃海鮮的朋友來虎尾我一定首推這家🥰
店內附贈喝到飽的味噌湯，用剩餘的鮭魚熬煮還有類似豆皮的漂浮物，還沒上菜就能體會到溫暖
生魚片新鮮美味~~連特大活體的龍蝦都進就知道這間店不簡單 … 全文",5
"優秀！優秀！優秀！不用去日本也可以吃到認真的日本料理！
台中一堆日本料理店真的可以收一收了！
服務
內用…
全文",5
"📍 井野板前料理
🗺️ 雲林縣虎尾鎮民主路18-15號 … 全文",5
"壽司的飯不行、握壽司又很喜歡塗一堆醬、不是很懂。其實像炙燒干貝的材料是ok的，只要在飯上下點功夫應該可以做得更好。其它東西都蠻粗的，想做日料應該再用點心。
服務…
全文",2
"生魚片很新鮮，厚度很厚！綜合生魚片裡面有五種不同的生魚片組成，價格便宜！
鮭魚親子丼的生魚片用稍微炙燒的方式來料理，魚肉吃起來比較鮮甜！
內用有提供有味增湯和麥茶可以享用！
服務…
全文",4
"茶碗蒸味道不是很優
一夜干烤很焦肉質軟爛
細捲酸酸的醬料不搭 … 全文",3
"用餐後覺得會回訪再點的有
📌松露干貝茶碗蒸
(松露味很提味 加上鮭魚卵在上面點綴 優秀） … 全文",5
"蓋飯好吃，味增湯（免費自取）料好實在也很棒。
服務
內用…
全文",4
"生魚片很不新鮮完全不冰也不好吃
醋飯也沒入味飯很硬
免費續的湯很難喝 … 全文",2
兩個不優的原因是！第一鮭魚卵不鮮甜感覺假假的。第二加上海景蓋飯放了太多芝麻柴魚鋪在飯上有點搶味道，建議紫蘇加薑片加新鮮山葵就夠了！因為該店海鮮都算新鮮用原味戰客人味蕾就好！當日只有這兩缺點😆但280的海景蓋飯我看台北應該350-380以上光這點就支持了！ … 全文,5
"餐點美味，推薦烤蝦和烤櫛瓜，味增湯好喝!
服務
內用…
全文",5
"食材還好，沒有特別新鮮也沒有不新鮮。味增湯煮過頭，太酸也有些膩。
丼飯不是太有誠意，每一片都又大又厚。而且只有一片，白飯上面還有鋪七島香鬆，只能說不是我喜歡的樣子。
山葵不新鮮，沒有香氣也給的少。 … 全文",2
"今天是歡送退休同事，42年的年資老主管！因為疫情只有比較熟識的五個人參加，連調任林園的阿娟（懷孕四個月）都北上參加啦！

在地人推薦的好店，真的很不賴喔！",5
"服務態度很好，食材夠新鮮！
愛吃日式海鮮料理的值得來這吃，價格也還算親民！
服務
內用…
全文",5
"150的蒜蒸蛤蠣 以為很大，結果很小顆就算了

數量也才16-17顆 … 全文",2
"每到用餐時間總是絡繹不絕的人潮
餐點價格算平價
新鮮現做 … 全文",5
兩位女性吃這樣剛好，美中不足的是鮭魚筋很多，味道不濃；茶碗蒸份量少但好吃；菇的調味較淡有些可惜。其他很棒！,4
"首先這間從門口開始就很好看，裡面也是整潔乾淨很有感覺，餐具也很乾淨
今天點的主餐是生魚蓋飯跟鮭魚親子蓋飯，蓋飯的魚肉非常新鮮甘甜，加上非常好吃的真正的芥末！那味道讓人難以忘懷，最大的亮點就是它的醋飯了，味道非常非常足夠，每一粒米都佈滿了醋，每一個口都很驚艷，然後蓋飯的飯量超級多，胃比較小的人要注意了⚠️ … 全文",5
"已回訪三次！每次用餐體驗都很棒！軟絲沙拉配胡麻醬好搭！鮮蝦魚卵飯糰口味醋飯酸再加上美乃滋甜小朋友會很愛，沒有拍到的綜合生魚片一上桌就被強光！很新鮮好吃！
自取碗筷及醬油碟，有無限暢飲的冰麥茶及味噌湯，內有魚塊及油條+天婦羅屑たねぬき（猜測），受長輩稱讚。
每次來都很多人排隊，建議可提早來附近虎尾糖廠逛逛，一開店就進場。 全文",5
"食材方面滿分。但A4桌位不適合4人座，A4隔壁桌6人座只坐2人，有明顯落差感……建議店家帶位注意一下。
服務
內用…
全文",4
"1.過年期間需要10趴服務費
2.可以用台灣pay
3.必點綜合壽司、鮭魚親子蓋飯（醋飯很好吃）、醬烤香菇（很入味）、蒜蒸蛤蜊（蒜頭加很多好喝）。 … 全文",5
炙燒胡麻牛肉丼飯好吃，炸牡蠣也很新鮮多汁美味搭配沾醬更好吃，烤秋刀魚也很貼心的捲起來方便食用，下次還會光顧！,5
"驚豔，氣氛溫馨親切的小店，餐點美味可口又有些巧思，價位還算是平實，讓我們外地客有了很滿足的用餐體驗
服務
內用…
全文",4
"今天點的烤雞腿 生菜沙拉 花壽司都很好吃
值得滿分 吃得津津有味
但後來的炙燒鮭魚肚丼飯卻非常的差 … 全文",5
"食材蠻好的，不過也因此費用略高
生魚片部分斷筋沒有完全，稍微可惜
握壽司是刷醬流派，丼飯好吃，燒烤類優秀
免費味噌湯前幾輪用餐會看到很多料
服務…
全文",4
虎尾超不錯的日式料理店，我點了明太子雞腿肉串，上面的明太子超香，雞腿肉軟嫩不柴，還有免費味噌湯能喝，很讚。,5
"真的很好吃，有的基本款真的CP值很高，像綜合壽司。
比較特別的海鮮確實單價略高。
不接受電話預約，現場排。
😁味噌湯和麥茶免費喝到飽😁 …",5
"有空時都會來這裡吃
餐點：5
服務：5…
全文",5
"算是平價的日式料理，不過也是有一些比較高價位的食材。
整體還不錯吃，但壽司的醋飯捏的水準還要加強，吃起來太緊密，口感不是很好。",4
"google找到的，中午很有人氣
日式料理有滿足到先生
兩個人約吃1200上下 … 全文",5
"雖然來客眾多，等待時間是值得的，因為物美價廉⋯物超所值呀！
炙燒鮭魚肚令人垂涎三尺，鮭魚蓋飯份量充足⋯一夜干焦香四溢，魚肉甜嫩⋯
生魚片冷度夠⋯彈牙！ … 全文",5
份量多，生魚片很新鮮，生魚片都切的超大塊，生魚蓋飯只要200元，吃的很過癮❤️而且魚湯是免費的可以續喝，還能吃到魚肉🐟 …,5
"非常好吃
下次還會回訪吃其他餐點
味增湯暢飲而且是好喝的",5
生意很好，無法事前訂位，請提早用餐或侯位。店內提供享用的味增湯魚料非常大塊，並非因為免費提供續湯而使用碎魚肉，相當有誠意。不過兩處的湯味道稍微不同，當天親友一致認同位於裡面另一間的味增湯味道更好！不論是和風沙拉，花枝沙拉，茶碗蒸（用料豐富）壽司，生魚片，花捲，炙燒鮭魚肚蓋飯，都表現相當優秀，廁所簡單乾淨還貼心的附上漱口水，牙線棒及女性生理用品，用餐完畢已接近一點半，門口仍有三組等候，建議提早前往。,4
"其實已經被要請好幾次要來這裡用餐
這一次終於來了
坐下來還沒搞清楚怎麼一回事 … 全文",5
"位於虎尾糖廠旁，食材新鮮，CP值高👍🏻
店內使用研磨山葵，與生魚片搭配口感滿分💯
餐廳有免費供應每日例湯，滿滿的配料浮游在湯上，值得喝個2～3碗。 …",5
來三次都點鮭魚親子蓋飯，店內有附味增湯、麥茶，味增湯魚角蠻多且好喝，山葵是正的，東西好吃會一直持續回訪。,5
