comment,rating
"在地人推薦的中式早餐
隱身在德興市場
一早4：30就開始營業了~

也有販賣壽司
可惜剛好賣完了😢

🔺滷肉飯35$
🔺爌肉飯50$
服務
內用
餐點類型
早餐
餐點：5
服務：5
氣氛：5",5
"📍控肉-瘦肉的部分軟爛，肥肉的部分肥而不膩，好吃推推🥹，但是飯有一點多，滷汁有點少
📍滷肉-就是肉燥飯，好吃
📍湯品-個人覺得還好，可點可不點
📍小菜-普，菜基本上都是涼涼冰冰的

～下次會回顧～
服務
內用
餐點類型
早餐
平均每人消費金額
$1-200
建議的餐點
控肉",5
"好吃的東西就是會讓你默默進肚子你卻沒發現已經吃完了🤣
餐點：5
服務：5
氣氛：5",5
"虎尾地區為數不多可以讓你早上吃到到地的滷肉飯，如果在這裡讀書沒吃等於白來
餐點：5
服務：5
氣氛：5",5
"吃了好多年的好味道，但是年輕人接手後似乎有些變了；而且在喝了涼湯兩三次後...去品嚐的次數就少了
服務
內用
餐點類型
早午餐
平均每人消費金額
$1-200
餐點：4
服務：3
氣氛：4
建議的餐點
魯肉飯",4
凌晨4：00就能吃到的台式早餐，煎魚的功夫很厲害，壽司和雞肉飯好好吃，紫菜湯、蜆仔湯好美味。,5
滷肉飯、爌肉飯、丸子飯都很值得點，醬汁都屬於偏甜的那種，小菜的選擇很多一樣10元很便宜，只是如果不是剛開店去的話小菜都冷冷的，還是要開店時去吃才能吃到熱熱的菜。,4
爌肉飯、滷豆包、白菜滷、肉丸子、小菜還有壽司跟味增湯等等都十分美味可口，推！,5
推薦丸子飯！,5
"4點半睡不著就來吃 舒舒服服
服務
內用
餐點類型
早餐
平均每人消費金額
$1-200
餐點：5
服務：5
氣氛：5
建議的餐點
魯肉飯",5
"隱身於早市內的平價早餐

1.丿字輩最親民的店家，口味也較合本人
2.個人控肉飯一直覺得不是他們的招牌；肉丸子飯也是他們的熱銷產品；滷肉飯也好吃（要搭配他們的辣醬）
3.配菜種類多，口味家常，想吃熱的要剛開店時來
4.蜆仔湯：湯鮮味好再加上一點薑絲，整個早上都元氣起來；味增湯：味增搭配小魚乾熬煮出淡淡的味道，豆腐給的也不手軟
5.壽司是他們的強棒，一定要冰過才好吃（等飯硬一點）；醋飯的調味和Q度，嫩薑的醃製都是一流的；有的會給在多話梅；每個壽司包的口味都不一樣，屬於蔬菜類型的（馬鈴薯泥的我不行@@）",4
"本人最喜歡吃滷肉飯和控肉飯。這間的真的魯的很好吃。小菜便宜又好吃，不過菜色滿固定的這點就見仁見智了。然後吃了很久才知道原來飯是可以加大的！
服務
內用
餐點類型
早餐
平均每人消費金額
$1-200",5
"老闆待人親切
早上能尻一上碗 簡直舒服至極！
服務
內用
餐點類型
早餐
平均每人消費金額
$1-200
餐點：5
服務：5
氣氛：5
建議的餐點
滷豆包, 控肉",5
黏黏油蔥酥版滷肉飯還行👌 …,4
"京川，兩撇，一撇，長興可謂虎尾爌肉飯四大天王
京川菜色齊全
兩撇精緻不油
一撇味偏重鹹
長興辣醬必加",4
"便宜又好吃👍肉丸子好吃到每次去都單點🤤白菜滷跟筍乾也很讚🤤
餐點類型
早餐
平均每人消費金額
$1-200",5
控肉飯還不錯但是有點小塊 爌肉飯的滷汁也不錯。 一碗要50有點貴 但如果 白飯單純淋汁不是淋這個。 網友推薦的丸子飯 有點失望 丸子應該是算是把滷肉集結起來的 味道普普 不過湯是蠻大碗的又便宜。 不過這間很早開如果 早上是5點沒有早餐店是這個倒是蠻 養胃的,4
"魯肉飯好吃
滷貢丸不錯
蜆仔湯好喝（很清）

外帶回家給家人吃
他們也覺得好吃

會再回訪👍
餐點類型
午餐
平均每人消費金額
$1-200",5
"雖然是虎尾在地人，但始終沒去過，過年初三因為家中小孩想吃，所以就第一次嘗試買了！
一試驚為天人啊！滷汁很多！小份的雞肉飯+味噌湯就很飽！米飯Q彈！雞肉絲Q甜～合起來會想一再去關顧！只是排隊的人很多！要有耐心",5
"目前早餐滷肉飯首選
餐點：5
服務：5
氣氛：5",5
"凌晨吃早餐的好選擇
服務
內用
餐點類型
早餐
平均每人消費金額
$1-200
建議的餐點
控肉",4
"好吃、老闆客氣
但是半夜一堆8+9、學店仔在吵
排隊也不會好好排，根本猴子
🐒🐒🐒 …",5
