comment,rating
"我點的是泡菜豬肉泡飯
食物是好吃的
但是室內臭味很濃
然後冷氣也沒有很強
每次都吃到滿頭大汗
希望能改善這兩點
服務
內用
餐點類型
午餐
平均每人消費金額
$1-200
餐點：5
服務：5
氣氛：3",4
"個人覺得麵食類不錯吃值得去吃，但是飯、湯、小菜實在是不行，還有等待的時間實在是太久了，想吃的人要有心理準備等上半小時
服務
內用
餐點類型
午餐
平均每人消費金額
$200-400
建議的餐點
炸醬麵 豬油拌麵",2
"京綺麵館，真的有驚奇感！！

首先，它的營業時間僅僅11點到14點，錯過也沒有。

再來，老闆的出餐速度真的不快，我可以理解現點現做，只要是好吃美味的餐點我是願意等待的。

餐點點了泡菜豬肉炒麵，麵條快追上烏龍麵的粗度，有點讓我驚訝，畢竟他們的炒麵與別間炒麵不同(我也沒問老闆他們，是本來就這樣？還是...)，泡菜偏很酸的那種，整份炒麵也很鹹。

然後，在服務上，我的經驗~
某位服務人員的態度確實沒有很親切，我先張望了店內有三桌已在用餐客人，於是直接口頭告知服務人員點餐，她有點兇的要我填單子，我一樣可以理解，所以默默畫好單子直接交給她，她又兇巴巴的要我進去坐了之後寫好桌號再拿給她，還好有另一位服務人員緩頰說，沒關係，你就看她坐哪一桌寫一下就好了，然後她嘴裡不知道念著什麼後，看著我進店後，大聲吆喝你要坐哪一桌？(一副我幹嘛不趕快坐的感覺，可是後面根本就沒其他客人啊？那時候接近1點) 因為我是一個人來用餐，但當下座位都是6人桌，我也很怕佔桌，不過她真的很兇，因此我一進店內就趕緊坐在門口桌了。

但的確心情會有點受到影響~服務真的是會大大扣分。",2
"炸醬麵很鹹，絲瓜蛤蜊麵普通。
內用區域的狗臭味真的非常濃，仔細聞會想乾嘔，嚴重影響食慾，兩隻貓咪也直接在餐桌上跳上跳下的，有點衛生疑慮，內用環境極差，想吃建議外帶，不過整體衛生十分有疑慮，不會想再去==
服務
內用
餐點類型
午餐
平均每人消費金額
$1-200",1
麵條很Q有嚼勁～～～口味種類選擇多，看起來都很好吃，當天點了香菇肉燥麵和咖哩麵，都有中上水準！香菇肉燥是古早味香氣十足、咖哩麵入味且肉質不乾澀，會想再嚐試其他種類，可惜只有中午營業～,5
"內用和外帶的人都蠻多的，怕等的人可以略過，內用裡面有一隻狗狗，介意或怕狗的人也可以略過，酸菜白肉麵肉很多蛤蜊也不少，麵條粗有嚼勁，可惜不夠酸
服務
內用
餐點類型
午餐
平均每人消費金額
$1-200
餐點：5
服務：5",5
"店內有很重的狗味、臭味
結帳時更是驚奇
貓咪竟然睡在打包食物的袋子上
旁邊就是煮麵、放餐具的地方
湯麵豬肉的腥味很重
衛生真的有待加強",2
"今天去看到店面口公告
2/1才開始營業哦🥲好想吃
-
心中No.1  泡菜豬肉麵
每個禮拜至少要吃一次
吃不膩的好吃！

10:55打11:40才能取餐🥲
⚠️建議提早1小時打電話
營業時間：11點～下午2點
服務
內用
餐點類型
午餐",5
豬肉麵好吃，麵條算是粗的像拉麵，肉燥飯很香很好吃，泡菜豬肉蓋飯，泡菜有辣，份量有一點少，但是很對味，吃起來還不錯，羊肉麵線很清淡，羊肉份量還不少，很推薦的店家，只是需要等待時間，附近也不是很好停車,4
"內用等很久，老闆一直在用外帶，無心顧內用餐點人的狀況
服務
內用
服務：1",1
