comment,rating
"環境明亮整潔，內用有蜂蜜水，只是餐點要等很久，另外覺得湯頭有點太鹹，不過除此之外都還不錯
服務
內用
餐點類型
午餐
平均每人消費金額
$1-200
餐點：4
服務：4
氣氛：4",4
"湯頭不錯，烏龍麵好吃，建議不要加價換牛肉，因為是牛五花湯會變油比較可惜。點餐後約需等15分鐘。
餐點：4
服務：5
氣氛：5",4
用餐環境乾淨明亮、寬敞舒適，麻辣湯頭還不錯，可惜麵的份量少了些，壽喜燒牛肉湯頭裡沒有壽喜燒醬汁，吃起來只是單純的牛肉清湯味。因為店內人手不足，所以點餐後還要等個20分鐘左右才吃得到。,4
"價格以鍋燒來講稍高，但看了內容物像小火鍋覺得還行～（有玉米、高麗菜、溏心蛋、蝦子、貢丸、魚板），內用有蜂蜜水可自行取用，蜂蜜味偏少也不甜～送餐速度小慢，入座沒多久整間店就客滿了，內用位置有點少，店門口停車位也少，貴店位置離學校很近，中午來吃可能要早一點才有位置。
服務
內用
餐點類型
午餐",4
"好吃~環境又舒服~
Cp值高~~~
還有蜂蜜水~",5
"先說結論，不難吃。點番茄豬肉烏龍，湯底普通，烏龍麵很奇特，有點透明感且很Q，跟其他烏龍麵不一樣。整體而言很像小火鍋，但如果要吃番茄鍋我寧願多花點錢吃六扇門
餐點：3
服務：3
氣氛：4",3
"有先打電話預定，電話的背景雜音有點大，導致店員的聲音聽起來有點糊糊的，聽不太清楚。

店員有把意麵和湯分開放，回到家只要將麵加進去湯裡，幾分鐘之後就可以吃了，不用擔心麵會糊掉或是回家還要丟麵下去煮，非常貼心~

伊府將鍋燒（清淡）意麵：喜歡清甜的湯頭，裡面有滿滿熬到軟爛浸滿湯汁入口即化的高麗菜，很對我的胃口。意麵跟一般的意麵口感不太一樣，比較膨鬆，而且加進湯裡非常容易吸飽湯汁，配著湯汁吃有一股像是雞絲麵的香氣，一開始吃不太習慣，但後面愈吃愈涮嘴。

香麻辣鍋燒意麵：辣度接近大辣，真的又辣又麻，愛吃辣的父親吃得很過癮！（照片是被吃得精光的麻辣湯）

意麵內容物是：蝦子×2,小丸子×2（好吃！）,蛤蜊×2,魚板×1,豬肉片×1,花椰菜×1,滷蛋×0.5,滿滿的高麗菜和玉米粒，份量比一般的鍋燒意麵大一點，還算不錯吃。",5
"超推素食蔬菜鍋燒意麵，蔬菜多、湯頭美味，沒有味素或過多調味，CP值超高，好處是醬粉類可以外加，可單純品嚐原汁原味，或是想吃辣或沙茶醬的可外加。建議店家可以放切條的豆包，肯定更棒！
服務
內用
餐點類型
晚餐
平均每人消費金額
$1-200
餐點：5
服務：5
氣氛：5",5
"網路訂餐有88折  點了蛤仔鍋燒意麵
裡面大概有9顆中蛤仔 2個小貢丸 一個玉米筍 一個魚板 一個凍豆腐 高麗菜 一塊豬肉 半個溏心蛋
料算豐富但也反應在價格上  湯清淡不油膩
看起來不多 但吃起來是很飽的",5
"店員親切，餐點還不錯吃^^
服務
內用
平均每人消費金額
$1-200
餐點：5
服務：5
氣氛：5",5
