comment,rating
"這是一家地點不錯，靠近星巴克、虎尾布袋戲館熱門景點🔥的豆花店！

週末悠閒時光😌過來捧個場，買個豆花和家人們分享一下下午時光，我們點了傳統豆花（可以加三種料），於是我們挑選芋圓、仙草、粉粿三種配料，但是櫃台人員告知仙草、粉粿都沒有了，此時才下午兩點，也是客人正多的時候，配料已經不足夠供應，建議可以改善，扣一顆星⭐️！

菜單都有的品項應該是需要備齊再營業🈺️，消費者沒有辦法選擇喜愛的配料是還滿可惜的，希望下次來可以獲得改善，整體而言還是給個好評！
餐點：4
服務：4
氣氛：5",4
"2023.10.08 鮮奶白豆花＄55 黑糖刨冰＄60

座位：
6~7桌四人桌，外面有2~3張吧檯座。

點餐：
櫃檯旁邊有菜單可以看，
內用的每一桌也都有放，
點餐都是直接跟老闆講 老闆直接現作。

餐點：
鮮奶湯底的白豆花真的是我的摯愛～
配料選花生、布丁、湯圓 口感很豐富，
鮮奶湯底是一半鮮奶一半紅糖湯底，
喝起來很好入口 不會有一次喝一大碗牛奶的膩感。
朋友點的黑糖刨冰可以選四種料，
黑糖加超級多真的好甜好甜好甜，
如果不是多人分食的話建議跟老闆調整甜度。

這家買過超級多次，
各種湯底都很好吃，
唯獨豆漿湯底跟豆花有點兜不起來（？
但這家還有賣其他品項開起來也不錯，
以後一定繼續支持～",5
"點的是黑糖豆花，可以選三種配料，cp值滿高的，黑糖的味道也不會到很甜，不喜歡太甜的朋友也可以試試！這間豆花店還有鮮奶、豆漿甚至黑糖鮮奶的湯底可以選擇，真的很棒！！！
餐點：5
服務：5
氣氛：5",5
"非常好吃的豆花店

而且有冷氣、店裡寬敞舒服，讓人覺得吃甜點真的是享受的事情。

食材都很新鮮，老闆娘說，粉粿除了夏天來不及自己製作外，其餘的都是自己親手料理，尤其豆漿，濃醇香…..

老闆娘說，豆漿可是他們很主要的消費市場，所以來這裡建議要點「豆漿豆花」

對了，豆漿可以選擇要不要加糖/無糖，很讚。

門口可以停機車，如果開車的話，可能要繞繞找一下下停車位。

但是….值得來",5
"❌進門時女店員在玩手機，然候問了一下要吃什麼就繼續滑，要點餐的時候另一位臉更臭的女店員就很兇的問要吃什麼，我也不知道為什麼點個餐這麼不順利？？？看到評論好久之前女店員就一直被說臉臭，店家也說會改進，我是也不知道有沒有改啦或許以前更臭🙄本來想吃甜點讓自己心情好，結果吃了一頭霧水還滿肚子氣，完全沒消火的感覺。之前跟朋友來是男店員，那時候覺得很棒，現在整個無法再推薦或是帶其他朋友來吃。
⭕️兩顆星是給豆花跟綠豆湯，食物實在是沒辦法再把星星給拉高，最大極限。
⭕️店內環境明亮，很乾淨，也看到其他店員（非滑手機跟臉臭的）會定時擦桌子避免桌面黏黏的。",2
"黑糖ㄘㄨㄚˋ冰很大一碗
還能選四種料 才60$
但是黑糖有點偏甜
可以少一點點~
餐點：5
服務：5
氣氛：5",5
"入內用餐感受非常好
整體給人的感覺與環境很舒服

櫃檯點完餐後老闆娘會很用心介紹

白豆花口味偏向傳統
黑豆花口感個人比較喜歡

很適合下午小聚八卦的地方",5
"豆花讚！濃醇豆香滿溢嘴中，還有配料可自己搭選。
黑糖剉冰的黑糖香，裡面還搭配了紅蔗糖調味更是一絕。",5
"紅豆牛奶刨冰
黑糖刨冰(包心圓 小湯圓 芋圓 大紅豆)
傳統手工豆花(紅豆 布丁 包心圓)
————————————————————
紅豆牛奶刨冰蠻普通的 只有吃到中間才有紅豆 上下全部都是滿滿的刨冰

配料的部分：包心圓個人很喜歡 跟芋圓一樣都很Q彈很有嚼勁  但小湯圓相對來說就沒什麼Q的感覺 另外布丁跟我們平常吃起來的口感不太一樣

還有豆花很綿密很好吃建議可以嚐看看 但份量沒有很多",4
豆漿豆花加上三種好料，不加糖... 結果是我吃過最不甜的甜點... 吃到就值得了,5
"停車：汽車僅路邊臨停長時間停放不太方便，附近有停車場，機車可以停在店門口

環境：寬敞、簡約、舒適

有內位用位置，吃點心的時間跟朋友一起聊天這環境很舒服又自在

服務態度：男老闆（年輕高帥有刺青）態度都很好而且很好聊，不過我買的時間只遇過一兩次，通常我遇到都是女員工居多，女員工就要看是誰，我只遇過一兩次態度不太友善的，就眼神很死，然後整體散發不友善感，會這樣說是因為如果聽不到客人講話的聲音就要再次反問，不是處在原地都不講，另外，不知道是她戴隱形眼鏡太乾澀所以翻白眼還是她就在對我翻白眼，不是很確定，但因為那次外帶遇到這狀況都不想去買，不然就會叫別人幫我買回來或者想買的時候都會看是誰在才決定要不要買。

豆花：白豆花、黑豆花，兩種都滿綿密有紮實的感覺，好吃！豆花不會太水，這間製作豆花調得比例就很剛好。
湯底：多元選擇
配料：多元選擇，都是店家自己做的。不過珍珠感覺比較偏硬一些，但也可能因為是煮起來放比較久才這樣吧？愛玉的部分，可能成分含愛玉的比例有差異，吃起來是偏脆？另外有次我微波一下吃熱的，就看見愛玉融化了。有自己買過天然手洗愛玉出來微波加熱後是不會融化的。芋頭塊煮的不錯吃有鬆又綿密的口感。其他料料也煮的很不錯！",4
"養生黑豆花豆漿湯底微糖剛剛好不會太甜～
店裡也好好拍照📷，有機會來虎尾一定要試試看！ …",5
"看網評蠻高的，因為第一次到訪不知道怎麼點，老闆娘也很熱心的介紹
首先先選要白豆花或黑豆花，再來選湯底
最後再選三樣料~

豆漿是無糖，可調整甜度
芋頭很好吃！其他的也很好吃^^",5
"雲林有名的豆花店，環境乾淨衛生，老闆娘親切有禮。
點了豆漿豆花，有蠻多配料可以選擇，配料芋圓、珍珠都很Q很好吃，豆漿稍嫌味道不足，豆花豆香還可以，整體搭配還不錯，而且蠻大碗的，CP值還不錯",4
"豆漿豆花整體有一定水準
配料芋圓、地瓜圓可以吃到餡料，值得讚賞，
但是珍珠的部分煮的有點太軟爛，個人不喜歡",3
"豆花挺好吃，地瓜圓的地瓜味滿夠的，雖然我原本想內用的，但服務生沒問直接用外帶餐具了，所以我就乾脆帶回家。
服務
外帶
餐點：5
服務：5
氣氛：5",5
"好吃，但老闆娘對前面的顧客口氣不太好，臉也很臭，另一個男老闆就蠻正常的。
服務
外帶
平均每人消費金額
$1-200
餐點：5
服務：4",5
"黑糖剉冰大推！！ 很香、有層次
料也很新鮮 尤其是包心粉圓 裡面餡料真材實料！ 🤩🤩
還有黑豆花👍🏻👍🏻
已經變成我們的例行性甜點店 …",5
"非常推薦的好店
傳統手工花生豆花+養樂多鮮奶
再一點碎冰
炎熱消暑的絕品！",5
"竟然有豆漿湯底還有黑豆花
很少有賣黑豆花的店
兩者都是我的最愛 還不吃爆
芋圓好吃大推 豆漿湯底是無糖的很健康
店內用餐環境很舒適 店面也頗有文青風
可惜售價方面不太平價
但偶爾吃還是很可以的",5
"店面環境很美 很像咖啡廳的風格
配料還蠻好吃的
豆漿可以自己調甜度 不錯",5
"豆花有黑豆～養生我喜翻
料大部分老闆娘自己做～～我喜翻
她的蒟弱好軟～豆花也滑嫩👍👍👍
而且很大碗哦🥳

可選豆漿+半糖，不甜不膩
服務也不錯～～推👏👏👏",4
當天去吃很可惜黑豆花沒有了，點了超濃豆漿白豆花和健康黑糖白豆花，可以任選三種料很棒!吃起來沒有驚豔感，但是好吃的，在暑氣當頭時來店裡吃個豆花涼快一下很舒服。,4
其實女店員只是戴口罩看起來比較兇，她其實笑起來很可愛～來品嚐的客人不要被評論誤導了，也當然每個人的感受不同。,5
那個芋頭，大又多到一整個誇張，紅豆是店家自煮非罐頭的，一碗冰配料多到爆，豆花、仙草都是一大碗公，CP值爆表，吃過一次一直念念不忘,5
"豆花普通 配料種類算少 去的時候可能比較晚
點的東西有些沒有 豆花溫度溫溫的很好入口
不燙口 菜單目錄很可愛",3
"日式風格的裝潢，店員服務親切。
白豆花口感綿密滑順，可依自行口味選擇搭配湯底。
真材實料的好滋味!!十分推薦!!
下回要品嘗看看獨特養生黑豆花!!",5
覺得給的選料偏少(看運氣?)，但豆花給很多，幸好豆花是好吃的很棉。然後無糖是真得很無糖，料(紅豆綠豆那種)本身吃不出有糖，愛無糖的覺得很棒。,4
"某些店員感覺在騙小朋友的錢，看到小朋友料給的比其他店員給的還要少，且服務態度不佳，客人進入店裡，服務人員還在滑手機，也臭臉面對客人
服務
外帶",1
"黑糖鮮奶豆花超好吃，濃郁奶香搭配淡淡茶味的黑豆豆花，來虎尾一定要來吃一碗

他的黑糖剉冰也不賴，料好實在，推推",5
"吃起來沒有負擔，清爽的感覺，乾淨衛生
服務
內用
餐點類型
午餐
平均每人消費金額
$1-200",5
"豆花控的一定要來吃(˶‾᷄ ⁻̫ ‾᷅˵)
-
有白豆花跟黑豆花兩種可以選
還可以自選三種配料，湯底除了傳統糖水還有豆漿跟鮮奶的選擇❤️
-
店內舒適
老闆娘很親切
路過虎尾可以來消暑一下呦！",5
超級好吃的豆花店，湯頭跟黑豆花都很滑順，一點都不會太甜膩，涼圓也好吃，很少看到豆花店可以加涼圓的，老闆娘也很親切蠻有耐心的，真的很喜歡！！,5
"豆花好吃實在沒話說
在台北很難找到這麼好吃的豆花了
只能去雲林朝聖
店裡的裝潢也很明亮
老闆人又很好
趕快再來台北開分店",5
"自己是google的貢獻者也是愛用者，來到外地當遊客時當然也是會參考推薦。這是其他人推薦的心頭好，價格不貴且冰品整個端上來的感覺超好，是喜歡紅豆牛奶冰的你，不可錯過的好味道。
整個冰上面的紅豆，熬煮的口感適中，搭配著不手軟的煉乳纏繞，讓整個夏天彷彿一下子涼爽了起來，裡面還有許多不同的冰品，等下次再來試試不同的味道。",5
黑糖刨冰很好吃，料很多冰份量也多，吃起來太爽了！仙草跟芋頭包心粉圓都很好吃，價格也很實在。,5
"黑糖刨冰/口味很純
跟自己每個月在家裡喝的的黑糖水很像

豆漿豆花/無糖也很好吃

價位方面，可能用料實在，
所以略高，
但整體來說還不錯😋😋😋",5
紅糖剉冰甜而不膩又會回甘，黑糖剉冰入口香味四溢，下次想來吃看看豆花🤤 …,5
"女員工態度真的超爆爛👎🏻
就不要吃而已啊
不知道在臭跩什麼
餐點：1
服務：1
氣氛：1",1
"有夠好吃 老闆娘人很nice又漂亮
豆花+黑糖 自選料 料多大推",5
"店內非常乾淨，招呼周到，寵物友善！

值得回訪的好店家
芋頭煮的非常好吃",5
"環境乾淨明亮
豆花好吃料豐富
老闆服務態度好
大推！",5
豆花口感綿密，搭配原味糖水清新涼爽口，加上自選3種配料，味蕾享受即刻加分。,5
豆花細緻，還可以選3種配料，豆漿湯底是無糖的，甜度另外加可以選擇，蠻不錯！,5
粉粿有自來水味，豆花配料份量較少，不太甜，應該是走健康路線。,3
"環境舒適、口味上有多種選擇，配料也不會過甜
重點是有豆漿豆花（無糖，可另外加糖）
整體上蠻推薦的👍 …",5
"一直聽說虎尾歷史街這有一間好吃的豆花店，今天終於找到囉～
豆花真的好Q，然後也不甜，可以透出原始的黑豆味，然後讓其它配料的味道更凸出，整體推薦大家有經過一定要來吃吃看喔

PS...好吃到想到要拍照時已經吃成這樣了 XD",5
開冷氣舒適，最愛黑糖鮮奶豆花！豆花是綿密的傳統手工味,5
"被甜品店耽誤的藝術家

年輕老闆娘以我的甜品為畫布，完成一幅令人賞心悅目又清涼消暑

食材用心製作，每樣都是經典
只是 自己裝不下",5
份量足，料多實在，紅糖及黑糖各有各的特色。,5
選擇傳統湯底（二砂）微甜清爽，豆花綿密，配料可選三種，芋頭綿密濃郁；花生細綿香濃，我個人覺得直接加成花生牛奶也很厲害；芋圓地瓜圓，是吃得出味道差異的，個人覺得這個地瓜圓很好吃，值得推薦,5
老闆親切有禮，除了豆花以外還有黑豆花選項，蠻意外的，且不嗜甜的人也不用擔心，湯底可以選擇無糖豆漿，料多大碗，豆花濃郁，環境乾淨整潔,5
"虎尾地區少見的黑豆花
再加上店家自己作的豆漿湯底
既養生又美味
配料部分也很優
花生綿密
珍珠Q彈
冬天來碗黑糖湯底的豆花
暖心又暖身
濃郁的黑糖香再上綿密的手工豆花
和Q彈的芋圓真的是味蕾的美好享受
是一家會讓人再度回訪的好食店！",5
店內很乾淨，豆花口感綿密，豆香濃郁，甜度不會太甜，芋頭很大塊，老闆很親切，值得再次造訪。,5
冰品好吃，態度親切，平價消費，大推！ 料的挑選再更多樣會更棒！,5
黑豆豆花香味很不錯，搭無糖豆漿跟芋頭甜度剛好，一不注意就吃完了，好吃推薦～,5
豆漿豆花好吃，不會太甜膩，豆香味很足，芋圓可以吃到很多芋頭在裡面😍😍 …,5
"店內的燈光很舒適，老闆娘也很親切
豆花就是豆花，吃完好飽",4
"夏天透沁涼
仙草好吃
豆花可調甜度👍👍 …",5
"抹布太臭 擦過去桌上都是濃濃的臭味 建議要常換抹布⋯⋯⋯
臭味+黑糖豆花味交雜=🤮🤮🤮 …",1
豆花很綿密細緻，入口即化，粉圓Q彈，花生也熬到綿密的口感，好吃😋 …,5
裝潢很日式但都花很台式，有傳統豆花的感覺還有剉冰類，料好實在還不錯吃!!,4
"剛買個花生豆花好像欠女店員一樣
告知除了花生豆花以外不要任何料
回我本來就沒有加任何東西
臉還歪到翻掉
看五個月前評論就有
是還沒走出低潮嗎….",1
超好吃的，大力推薦！有來虎尾鎮的必吃美食，多種搭配，可選擇。,5
挫冰好吃，料多實在，裝潢也很漂亮，環境很舒適，店員男的帥女的美，來這吃冰吃豆花真是一大享受,5
豆花很軟嫩，裡面的配料入口及化，芋頭熬煮的剛好，糖水也不甜膩,4
"非常優質的豆花，
服務也很客氣👍 …",5
"豆花很軟棉 ，甜度控制的很剛好
湯底除一般糖水 ，也有豆漿，鮮奶等選擇
值得推薦",5
豆花好吃 但女店員態度超差 每次來都這樣,3
很不耐煩的店員，原本的甜點感覺甜度都會減半,4
老闆很親切 豆花 芋圓 芋頭 都很入味好吃,5
豆花口感軟綿，可以選3種備料，大多都是常見傳統配料（ ⦿ᴗ⦿）,4
天冷！點碗燒仙草，口味不錯，但可惜燒仙草偏溫不夠熱~不知道是不是固定溫度。,4
"太好吃了，推薦。
甜湯湯底與料都可以選可以搭配，讚讚！",5
芒果牛奶冰好吃，推~！,5
