comment,rating
"酸溜溜酸菜魚鍋推推！
湯頭加了花椒，香氣滿滿不辣舌，配上白飯欲罷不能，整鍋酸辣酸辣的hen～上癮。
店內冷氣夠涼，可以乾爽的吃完乾爽的離開，值得常常吃！天天吃🤩😋🤩😋
服務
內用",5
肉加量的火鍋！王子麵、意麵、魯肉飯任你吃，二樓冰淇淋不太好吃！,5
"2022/10/29 下午，初訪，內用

一進去，會有人拿菜單來帶位入座，選好要吃的餐點，因為人手不足，及動線規劃的關係，請往裡面結帳（不要像我們和其他新客一樣呆呆的往門口放菜單的地方走回去😄）

可以刷linepay！

結帳完，會給小碗，也只有這麼一個碗🥣！

因為一個人結帳，我先去拿自助吧，還找不到碗裝飯，問店員哪裡有碗...才看到桌上多了一個碗...尷尬😅

咖啡機有冰的跟熱的，還有奶茶！但是個人覺得咖啡比較好喝。

冰品好吃😋

飯也吃了好幾碗，麵的話吃不下就沒拿了。

-

看到別人跟我們一樣用中信優惠，額外贈送豆皮、豬肉。吃的好飽。
服務
內用
餐點類型
午餐
平均每人消費金額
$200-400",4
平價火鍋店，自助吧很豐富，餐點好吃。,5
"開有好一陣子了，終於有機會來嚐鮮啦🤣🤣
點了一個原味鍋和兩個一烤一鍋🥘🍖🥘🍖，沒一會服務生就來送菜了，可能我們是晚上8點左右到的，所以送菜速度算還挺快的，沒讓人等太久，火鍋的內容和湯底還算可以，可惜肉片有點薄弱啊，再來自助吧的東西還算多，有點心，飲料和冰淇淋可以吃，而且吧檯挺乾淨的，衛生方面算不錯了👍👍 …",3
"之前是五星推薦的
11/5用餐很不爽。
單人桌很髒就算了，點酸菜湯底，豬肉加量，結果沒有加量！連隨鍋附的小碗盤都忘記給。太散漫了吧！店長不用教育嗎？
服務
內用
平均每人消費金額
$200-400
餐點：1
服務：1
氣氛：1",1
"菜色 都還不錯
跟其它 六扇門 分店 差不多

冰淇淋 口味 比較多

二樓很寬廣

女服務員 會幫顧客
換較大舒適的座位👍🏻

2022.12.31(六)  新年快樂 虎尾
服務
內用
餐點類型
午餐
平均每人消費金額
$1-200
餐點：5
服務：5
氣氛：5",5
"時間多的人可以來～吃過的六扇門裡面最不推！不是尖峰時段火鍋等20分鐘，滷鴨血有提醒還是等了50分鐘，上桌一句不好意思也沒有，竟然還是冷的，連其他客人的餐點都等得不耐煩比我們還久，員工很忙的很忙，閒的晃呀晃慢慢做他的事
服務
內用",1
"大抵還可以，經典原味與沙茶，湯頭是一樣的嗎？那也算一道不同火鍋嗎?冰淇淋硬度夠還不錯，果汁覺得有點淡，咖啡不知是否因加了巧克力，很有苦味。
服務
內用
餐點類型
午餐
平均每人消費金額
$1-200
餐點：3
服務：3
氣氛：3",3
"連鎖店吃過了幾家，虎尾分店也不少次光顧，這家店餐比較容易出錯，點完餐後記得要再看單子確認，餐點評價好吃，冰淇淋一二樓口味不同，有找不到的口味可去另一樓層看看。
服務
內用
餐點類型
晚餐
平均每人消費金額
$200-400",3
"平價火鍋店，飲料喝到飽，麵自己加，算很超值了，但是如果著重的是鍋裡面的食材，就比較沒有海鮮的豐富了。畢竟一分錢一分貨。
服務
內用
餐點類型
午餐",5
"超愛南瓜鍋 好吃啦！
平價火鍋 一人/多人皆可以享用，自助式區也很多可以吃到飽 真的CP值超高
服務
內用
餐點類型
晚餐
平均每人消費金額
$200-400",5
"二樓地上有些髒亂，可能晚上11、12點了有時忙到沒辦法過去清
餐點很好吃，蛤蜊大顆又新鮮，滷大腸也好吃，還有附王子麵跟意麵可以煮
會再過去吃的
服務
內用
餐點類型
晚餐
平均每人消費金額
$400-600
建議的餐點
川味麻辣鍋, 蛤蜊尬蝦鍋",5
"蔬食蔬菜鍋 好吃！
餐點：4
服務：4
氣氛：4",4
"進門剛剛好是23：00，營業時間到24：00。服務員說已經2300，已不能內用，改為外帶，減收10元。但只附一碗白飯，其他現場吃到飽的泡麵、白飯、飲料、咖啡、點心等都沒有，算起來很不划算。
服務
外帶
餐點類型
其他
平均每人消費金額
$200-400
餐點：4
服務：1
氣氛：1",2
"金髮男生服務員結帳態度超差，不能分開結帳，也完全不想聽我們說話，還叫我們自己處理，整個超不耐煩，體驗有夠差。
餐點：3
服務：1
氣氛：1",1
"菜裡有蝸牛 先收走才換鍋吃的很不安心
而且也沒有道歉",1
"今天來用餐一樣點牛奶鍋，要請店員幫忙加湯，店員說原味湯也可以，上次來用餐店員幫我加牛奶湯ㄟ，我當然也知道原味湯也可以，味道就變淡了不是嗎….？？我這樣點原味鍋就好了啊傻眼欸
還有點火鍋，菜盤很晚來就算了，高麗菜全部碎掉是在哈囉？？？
單點油條還軟掉…….
上次離峰時段來用餐是坐一樓員工都很主動～二樓員工就很懶散是員工的問題嗎～
菜梯是拿來送菜的，怎麼是給員工拿來玩的？這樣很不衛生欸傻眼⋯⋯⋯⋯⋯⋯
服務
內用
餐點類型
晚餐",1
"價格親民，環境也不錯
白飯、麵、飲料無限供應！還有冰淇淋、霜淇淋
麻辣鍋-鴨血吃起來播播的
椰香沙爹-普通",3
"今天來吃晚餐
帶位的女服務員服務態度非常好👍  做事也很積極
也很為我們客人著想  盡量幫我們喬可以坐在一起的位置    給她100分
服務
內用
餐點類型
晚餐
平均每人消費金額
$200-400
餐點：5
服務：5
氣氛：5
建議的餐點
霜淇淋跟咖啡, 火鍋套餐, 蛤蜊尬蝦鍋
停車位
停車位有點難找
附近的停車場
付費停車位",5
"以價錢親民取勝
品質就不能跟其他中高價位火鍋相比
例如湯底麻辣鍋 是一坨醬慢慢攪拌化開
鴨血不入味
但飯食及麵食都是吃到飽
也有飲料冰淇淋
是附近學生省荷包又能吃飽的最佳選擇",4
"用熊貓叫火鍋，但送來裡面一片肉片都沒有
已經不是第一次發生了==
我還多花錢增加肉片，結果一片都沒有
真的實在很誇張！？
我真的希望能改進",4
"七夕情人節去吃時，點了豬肉經典原味鍋（肉片加量）$180和蛤蜊尬蝦鍋（牛肉）$310，上桌後發現經典原味鍋肉偏少，因此詢問店員正常原味鍋肉片數大概多少，店員也很耐心說一般4-5片，因為自己不確定就說應該拿到6片，所以店員最後只有補兩片，但之後想起來有拍照，看照片後原本確實是拿到4片而已。
主要是希望未來加肉方面可以拿其他碟子裝，這樣比較清楚、減少疑慮。",3
"適合跟女友來吃鍋
餐點：5
服務：5
氣氛：5",5
"平價小火鍋有王子麵和鍋燒意麵免費供應🤩冰淇淋🍦看起來也超棒👍跟家人一起吃還可以共鍋🤩超值啊🤩
服務
內用
餐點類型
晚餐
平均每人消費金額
$1-200",5
"平價小火鍋，附餐品項多，如：飯、麵、冰淇淋、爆米花、飲料等無限享用。
服務
內用
餐點類型
晚餐
平均每人消費金額
$1-200
餐點：5
服務：5
氣氛：5",5
"物美而平價，用餐環境寬敞，都很不錯！唯一美中不足的是，一樓沒廁所，對於老人家很不方便；二樓的廁所也只有一間，也是需等候。所以無法給五星哦！
餐點：5",4
"六種飲料機、Bravo冰淇淋🍦、王子麵和鍋燒麵，沒有內用時間限制，可以悠閒地喝各種飲料邊聊天
服務
內用
餐點類型
晚餐
平均每人消費金額
$1-200",4
"週五晚上天氣變冷，人粉多，帶位妹妹很有耐心！人真棒！鍋鍋好吃
餐點：5
服務：5
氣氛：5",5
"搭配中信ATM的酷碰卷有兩鍋送一盤肉
算是小火鍋裡CP值很高的店家
但正因為價位低肉片類的吃起來都像是組合肉
不過料給的滿豐盛的
湯頭也很夠味 其實不太需要沾醬
大腸Q彈好吃 不過量不多滿可惜的
白飯 王子麵 鍋燒麵吃到飽 還有肉燥可加
爆米花（不甜）霜淇淋、飲料無限暢飲
只是我個人沒有很喜歡哈密瓜口味的霜淇淋
而且他下來的速度太快了
正常來說很難把霜淇淋擠的漂漂亮亮～
整間店唯一的缺點就是
飲料杯子跟醬料碟都是使用塑膠製品
對一般室內火鍋店來說算比較不環保一點
希望店家可以改用可重複使用的餐具～
結帳可以linepay很方便🤍",5
空間很舒服，吧台選擇也很多，王子麵和意麵可以免費拿，在百鍋群聚的虎尾應該能有一席之地～,5
"點海鮮牛肉，牛肉沒放到然後有加點杏鮑菇，但是杏鮑菇吃起來酸酸的
服務
外帶
平均每人消費金額
$200-400
餐點：3",3
"連一顆心都不想給，員工態度差，帶位27，有人坐，下樓告知，不知道是在忙還怎樣 態度非常差 不推
服務：1",1
"打電話外地藥膳跟沙叻鍋，結果回家發現是兩個咖喱，真的很無言
服務
外帶
餐點類型
晚餐
餐點：1
服務：1
氣氛：1",1
"以價錢來說
店裡環境、服務跟餐點算是不錯
可惜帶位人員宥琳的態度極度不耐煩
店裡音樂太大聲聽不到問什麼
店員宥琳重複一次問電話前四碼好像很痛苦
忘記送加點的火鍋料跟我們要明細
直接說：你們的明細借我看一下

後來補上火鍋料 也一句話沒有說
連句基本的謝謝跟不好意思都沒有

建議貴店帶位人員耐心及服務須加強訓練：）
服務
內用
餐點類型
晚餐
平均每人消費金額
$200-400
餐點：5
服務：1
氣氛：1",1
"請問.. 是否現在比較鄉鎮的六扇門門市都是這樣的素質？員工的素質越來越差！到底員工有沒有在教育？要是真的都一直這種素質？我看虎尾這家店早晚會倒！
服務
內用
餐點類型
晚餐
平均每人消費金額
$200-400
餐點：4
服務：1
氣氛：1
停車場
難停車⋯",1
"芮芩這個服務生很nice，他會願意陪我們客人聊天
餐點：5
服務：5
氣氛：5",5
"咖哩鍋鹹的像海水一樣，還在湯裡加沙茶……
服務
內用
平均每人消費金額
$1-200
餐點：2
服務：4
氣氛：4",3
"飯很難吃、飯很難吃、飯很難吃，又乾又超硬，還有的米心沒透 可以算沒煮熟了。

其餘的 便宜的價位 便宜的鍋底感 便宜的火鍋料 合理。

冰淇淋的餅乾 很好吃 冰也還可以。
服務
內用
餐點類型
晚餐",1
"用餐環境乾淨衛生，比大X連鎖好多了，每次來都滿意，食物好吃
服務
內用
餐點類型
午餐
平均每人消費金額
$1-200",5
cp值高，適合非特殊節日的小聚，新開店，所以乾淨清爽，這價格有冷氣，飲料，小食，是佛心來的。家人，朋友可約。,5
牛肉不知道是什麼做的，可以煮滾之後再煮20分鍾以上，還保持粉紅色，牛奶鍋也是奶粉泡的，實在詭異。,1
加購買牛肉結果整盤都是這種肥肉的 說要換也不給換,1
"更個/
店家態度很好，我自己也做過餐飲業也懂希望店裡面更好的感受，但我覺得現場人數過多的時候可以先把外送平台關閉，這樣才不會讓現場等候的等很久，購買人數多代表還是可以行的啦加油(⁎⁍̴̛ᴗ⁍̴̛⁎)

今天下午5:44到店外帶酸菜白肉和韓式泡菜郭以及加點兩份鯛魚，到家打開只有酸菜白肉鍋有一些些鯛魚肉....
我心心念念的鯛魚呢我還點了兩份？
一份菜單上寫5片60元，圖中的份量不可能有兩份吧？

客人很多可以理解，外場的妹子應該也是新人對點餐機沒有很了解，開幕不久手忙腳亂希望貴店不要為了快點出餐而忽略每個客人所點的餐點，等到解封的時候會再去吃，希望你們可以更好",5
平價cp值高的小火鍋，店內有霜淇淋、桶裝冰淇淋、餅乾、爆米花、意麵、王子麵、白飯吃到飽！,5
"環境整潔寬敞，而且還有二樓空間適合家庭聚餐，有自助吧CP值滿高的👍
服務
內用
餐點類型
午餐",5
"服務好、態度佳
以前在東海常吃六扇門
看到虎尾終於開設很高興
前面的評論好像說出餐比較慢
不過可能經過改善覺得還算快速
畢竟開店之初總有些地方要適應
至於湯頭還算濃郁好吃！
期待早日可以內用享受",5
很好吃～空間舒適且整潔，有分一二樓座位，座位多，但感覺冷氣有點冷，怕冷的人可以再帶個小外套唷,5
"天氣變冷，就會想到六扇門，好吃
服務
內用
餐點類型
晚餐
平均每人消費金額
$1-200",5
"牛奶鍋不管什麼喝都像原味鍋….
我不知道是牛奶放很少還是真的放錯鍋了 一點牛奶味都沒有 下次不會再去回顧了
覺得不是很ok
服務
內用
餐點類型
早午餐
平均每人消費金額
$1,000-1,200",1
"適合到白宮看電影前後用餐，價格便宜
服務
內用
餐點類型
午餐
平均每人消費金額
$1-200
餐點：5
服務：5
氣氛：5
建議的餐點
霜淇淋跟咖啡, 火鍋套餐",5
"爛死了 點餐完全不告知要等多久
只說等一下
等了40分鐘還沒好 還是說等一下

到底有沒有教育訓練。奉勸大家千萬不要來
看到下面留言 完全可以理解
他們就是故意不告知時間。
大群人在店內等候標準群聚

沒有要求實名制 直接檢舉",1
色、香、味俱全 超讚讚的，湯頭濃郁👍🏻👍🏻 …,5
"鴛鴦鍋適合一個人
共鍋要低消80

湯底喝起來有雞湯塊味道
中規中矩
不踩雷也沒驚艷

飯吃到飽是可以很餓的時候來吃",3
"員工張鈞翔非常認真且服務態度極佳，餐點好吃
服務
內用
餐點類型
晚餐
平均每人消費金額
$200-400
餐點：5
服務：5
氣氛：5",5
"乾淨整齊，湯頭很鹹，料少
服務
內用",5
"外表看起來很乾淨的店家
入桌後才發現
桌面根本沒在清潔
椅子上有水
地板有冰淇淋",1
"結帳服務態度良好、上菜速度快
服務
內用
餐點類型
晚餐
平均每人消費金額
$1-200
餐點：5
服務：5
氣氛：5
建議的餐點
川味麻辣鍋, 霜淇淋跟咖啡",5
"兩人去吃，被安排的座位，簡直是跟陌生人肩並肩坐在一起，餐點的部分是ok的，就是座位體驗很差。
餐點：4
服務：4
氣氛：3",4
"用餐環境佳！而且服務態度好
今天忘記拿包包還有一位叫宇程的服務生用跑的追過來還我！而且已經離店有一些距離了！用餐體驗很好！",5
已經付費了回來位置被坐走還要被移位。感覺極差。二樓晚班女服務生服務0分,1
"來吃兩次了，整體感受還算不錯，唯一一次座位被排至二樓靠近窗邊的地方，地板非常不平，人走過都會很大聲，地面也會起起伏伏的，用餐感受稍顯影響。
服務
內用
餐點類型
晚餐
平均每人消費金額
$1-200",3
雖然內用餐點有點延誤，但處理態度很好，謝謝～還會去用餐～,5
"之前去六扇門體驗都不錯~這次去虎尾的肉片的量稍少,服務勉強,看在餅乾冰其琳食材都不錯的份上給三顆星,有進步得空間~
餐點：3
服務：3
氣氛：3",3
"價格合理，青年人聚餐聊天的好地方。
服務
內用
餐點類型
午餐
平均每人消費金額
$1-200
餐點：3
服務：3
氣氛：3
建議的餐點
火鍋套餐",5
"空間寬敞明亮
平價火鍋首選
飲料點心自助Buffet

站在櫃檯前要結帳
喊內場跟菜台也不理
結果小姐在收拾空桌
要不是有外送提示音
罰站可能要從2分鐘變成5分鐘
服務
內用
餐點類型
晚餐
平均每人消費金額
$1-200
餐點：3
服務：2
氣氛：3",3
"東西好吃 價格親民 服務親切 值得推薦
服務
內用
餐點類型
午餐
平均每人消費金額
$1-200
餐點：5
服務：5
氣氛：5",5
"單點蛤蜊和鴨血，蛤蜊有很重腥味還有沙子，鴨血感覺放很久偏乾澀，營業時間寫到24:00，吃到一半就看到在收自助吧台區，感觀不大好，像在趕客人，點原味鍋不要火鍋料說會換成蔬菜但感覺跟沒有換量一樣
反映後只有說要補給我一張30元抵用卷
但最後給我的是25元鍋料免費兌換
再麻煩你們多注意食材的新鮮度
造成你們的不便也不好意思",1
"蠻好吃的，環境乾淨，音樂不會太大聲擾民，送菜快。美中不足的是爆米花7:30就收掉了⋯
服務
內用
餐點類型
晚餐
平均每人消費金額
$1-200",5
"最近出新口味酸菜魚湯底，滿好吃的😋
餐點：5
服務：5
氣氛：5",5
湯只有3分滿如何煮？,2
"內用圖方便，
只是老闆穿著好奇怪XD
挖一球冰淇淋在樓梯旁邊的座位，
在那邊吃起來，
覺得好享受XD
員工都好忙好忙@.@
能說是完全盡責，
跟去過的其家店差不多^^
除了竹北店...
服務
內用
餐點類型
午餐
平均每人消費金額
$200-400
特殊餐點
建議供應擺設可以集中在中間的位置， 好方便使用繞一圈概念拿取。
停車場
停車場如果可以去聯合其他的店家， 方案會比較方便喔！ 畢竟你/妳們還有一樓、二樓的樓層。",4
"對六扇門印象本來很差
但這間實在不錯
冰淇淋cp值很高",5
營業時間到24:00  最後點餐時間23:00。不到22:30進去問可否用餐，店員堅持寵物關籠才能用餐，可上次用餐時店員明明說不落地抱著即可，也讓我們進去用餐，ok 也不勉強 我們出去換間餐廳用餐，誰知一踏出餐廳便看到店員急忙在清洗飲料區，讓我不禁想哇 原來不是堅持要寵物關籠吧！而是想早點下班所以不願意接待我們這組客人，這種服務態度實在覺得不予置評，不必問我是否做過服務業，直接說我本身也是別間店的服務人員，可我也是接待客人到營業時間前一秒，即使提早要休息，也會實話跟客人說，而不是需要找各種理由推託，要嘛第一次用餐時就告知必須堅持關籠才能用餐，要嘛晚上直接說因沒客人了也想提早休息便好，不必一下可以一下不行的,1
"昨天買了一份牛奶鍋，吃到裡面的蔥是酸的，好像是壞掉了，而且上面的渣渣特別多，口感很差。

希望外帶裝沙茶醬能提供小碗，用夾鏈袋很容易溢出來讓整個手都是油的，體驗不好。",1
"這裡的冰淇淋真的好可愛喔！
服務
內用
餐點類型
晚餐
平均每人消費金額
$1-200
餐點：5
服務：4
氣氛：4
建議的餐點
霜淇淋跟咖啡",5
"價錢還行1百多
把廢吃到飽",5
"環境優良氣氛佳，服務人員頂🆙
餐點類型
午餐
服務：1",1
主打cp值，不好也不差，一言以蔽之，吃粗飽的。味道就不要太講究。,4
一樓中間的連坐桌可以排給超過四人的客人使用，如讓兩人或單人的客人坐，再用輕飄飄的防疫隔板隔開，發生用餐時隔板突然倒向火鍋，非常危險,3
藥膳鍋湯頭不錯喝。配料方面也都還不錯。,4
服務態度很好 菜單也介紹的很齊全,5
"鴨血有待加強ㄡ 沒味道😅😅
But其他都很讚！ …",3
"打電話叫外帶，男店員在電話內再三確認餐點後說20分鐘後來拿。
到現場取餐時，接待的男店員（不知道跟接電話是不是同一位）說他們沒有接到這筆訂單沒有做到⋯⋯
有可能客人很多訂單太多，導致這情況發生
但還是請店長好好對員工做教育訓練，不要讓其他客人遇到訂單被忘記又要浪費時間等待重做，謝謝！",2
疫情緊張竟然有一排桌子緊密排列無間隔 是想增加用餐中標的風險？隔板也很小 根本可以跟隔壁直接交流 想多要一個竟然回說沒有 桌子上面的油也沒擦乾淨 所以猜測也不會消毒過 這樣的店能拿到平均四星多好評覺得很神奇 是來用餐的人都有無敵星星所以不用在意衛生？,1
"服務態度很好，衛生也很棒
服務
內用
餐點類型
晚餐
平均每人消費金額
$1-200
餐點：5
服務：5
氣氛：5
建議的餐點
霜淇淋跟咖啡, 火鍋套餐
停車位
停車不方便
附近的停車場
免費路邊停車",5
"今天吃的咖哩鍋很甜⋯⋯加了高湯稀釋以為會好一點結果更甜了
服務
內用
餐點類型
晚餐",3
裝潢不錯，吧台東西很多，白飯王子麵和意麵可以無限吃還不錯,5
"多種湯底可以選擇
自助吧滿豐富的
有爆米花、冰淇淋、霜淇淋、飲料吧！
很滿足
服務
內用
餐點類型
午餐
平均每人消費金額
$200-400
餐點：4
服務：3
氣氛：3",4
"2樓的冰淇淋是吸睛焦點。很國外的夢幻味道
服務
內用",5
"好吃，免費飲料，小點心很多，但停車不容易，機車也一樣,熱門時段要侯位。
餐點：4
服務：4
氣氛：4",4
