comment,rating
"這地點外觀/氣氛真的不錯丶餐點方面各人感覺很像台式的鍋燒料理加入濃郁的日式湯頭～很有特色，味道也不差～值
餐點：5
服務：5
氣氛：5",5
"在虎尾天后宮附近的初八拉麵店，看到菜單讓人訝異的是光麵條選擇就有四種，每碗麵🍜用料豐盛再來點唐揚雞、黃金酥炸魚跟胡麻過貓。很特別的是吃麵有台式風味的感覺🤣下次到訪留個胃挑戰炙霸豚燒麵
餐點：4
服務：4
氣氛：4",4
"餐點優，店員服務好貼心問是否吃蝦，主動送來菜渣盤，值得推薦
平均每人消費金額
$200-400
餐點：5
服務：5
氣氛：5",5
"很漂亮的店！拉麵很台，但日式對我來說本來就過度濃郁，所以非常喜歡！像是豚骨海鮮湯麵，這點很棒，可以喝湯🤩
涼拌過貓頗糟糕，像是水加上纖維，拌的胡麻醬好吃。調味不錯，就是蔬菜本體一顆星都不值。
但是湯頭的蝦子超級新鮮，新鮮到不像是外面賣的（像是自家煮的新鮮！），所以五顆星！
為了湯頭會再回訪，不是日式拉麵店，是好吃的海鮮拉麵店～ …",5
"位於虎尾天后宮附近的台式拉麵店，符合台灣人的口味，拉麵料都蠻新鮮的，另外還有點了胡麻蔬菜、揚出豆腐及炸豬排。
🌟胡麻蔬菜燙青菜的水沒有瀝很乾，導致最底下一堆水，影響口感。
🌟炸豬排的肉質偏老，但是口味上不錯。
🌟揚出豆腐豆腐中規中矩。

結論：就是一間CP值很高的店，很適合大學生來吃！",5
"東西不錯吃！份量也給很足！唯一不足可能是冷氣不夠強吧
服務
內用
餐點類型
晚餐
平均每人消費金額
$200-400
餐點：5
服務：5
氣氛：5
建議的餐點
溏心蛋",4
"路過覺得還不錯吃，平價拉麵店

點了：
✅特濃豚骨 不會很鹹，配意麵蠻好吃的，意麵會吸湯汁，問到整體滿濃郁的
✅昆布拉麵  清湯好喝👍🏻
✅炸魚塊 普。",4
"環境跟佈置上都很日式，讓人有舒適的感覺。
餐點的部分味噌很濃郁而且小菜類的唐洋雞現炸的恰到好處，外酥裡嫩完美的把肉汁鎖在裡面。
服務上老闆娘跟老闆都很親切彬彬有禮的。
值得再來享用
服務
內用
餐點類型
晚餐
平均每人消費金額
$200-400
餐點：5
服務：5
氣氛：5",5
"湯很熱 完勝 吃拉麵 湯就是要熱 才完美
濃郁 鮮
用料實在CP值很可以  衛生新鮮
推👍
餐點類型
晚餐
平均每人消費金額
$1-200
親子友善程度
不錯 👍",5
"初八外觀是以日式神社為主要意象的屋簷，搭配各式和風燈籠，與整面的和室透明玻璃窗。 光是在外面看就如此吸引人，進到店面哩，放置許多日式風格的物品做布置與裝飾，

今天點的是豚骨湯頭的拉麵，口味偏清淡，喜歡濃郁湯頭的人應該要點特濃，日式拉麵口感還可以，不到很Q彈，但是蠻順口的。
蝦子算很大支，一碗有兩支，不喜歡吃海鮮可以跟店家說要換叉燒肉，味道還可以，肉片不到很厚，配料有溏心蛋（稍微生一點的口感）配料偏少
昆布湯頭清淡鮮甜，適合喜歡吃偏淡口味的。
打卡有送黑豆，很大一碟，還不錯吃。
湯匙建議店家更換，一點都不適合喝湯，有戴眼鏡的很容易撞到眼鏡。

以上言論僅代表本人口感、不代表店家一定好吃或不好吃，每個人口感不一樣，請見諒",4
