comment,rating
"海陸飯$85：排骨肉質偏柴，蝦仁裹很多粉，吃起來軟軟粉粉的，跟一般的蝦仁口感不太一樣，調味重油重鹹，不太合口味。
服務
外帶
餐點類型
午餐
平均每人消費金額
$1-200",2
"蝦仁飯 蝦仁口感感覺不太出來
不過味道還不錯

排骨飯 好吃 肉很嫩 味道有吃到肉裡

白菜滷 中規中矩

荷包蛋不錯 半熟有濃郁的蛋黃汁

配飯很讚",4
"看鬧著玩介紹來的，果真很好吃，難怪會引發鴨蛋之亂！不同於北部排骨飯的口味，也不會像南部的一樣太甜。尤其大推海陸飯，蝦仁很香，替排骨飯多增加了一股香氣很好吃，而且不會太油膩！內用有冷氣。可惜萬華的分店關了，在北部吃不到了😢
服務
內用
餐點類型
午餐
平均每人消費金額
$1-200
餐點：5
服務：5
氣氛：4",5
"就普通3星好吃度，排骨較鹹也好硬
份量超少勉強1／3盒耶！
這樣$85超貴……比台北還貴太扯了

重點是沒有好吃，好吃的話貴沒關係🥹
服務
外帶
餐點類型
午餐
平均每人消費金額
$1-200
餐點：1
服務：5
氣氛：3",1
"有冷氣就是大推！
排骨飯比較鹹香，蝦仁飯則較普通
但滷汁偏鹹所以滷味都有點過鹹
此外店家動作很快，服務親切",4
"燙青菜太鹹，紅燒草魚湯普通，蝦仁飯好吃。
服務
內用
餐點類型
晚餐
平均每人消費金額
$1-200
餐點：4
服務：5
氣氛：4
建議的餐點
蝦仁飯 半熟鴨蛋",4
"食物好吃，不貴
有冷氣+一個很大的電風扇…
唯獨房子可能老舊（包含廁所）
其他都很不錯
態度也很好",5
古早味排骨飯、控肉飯真的有驚豔到！好好吃～撒上一些胡椒粉 真的是印象中那個古早味👍三色蛋很特別是搭配美乃滋吃，味道不衝突，好吃😋 …,5
"用餐環境整潔，座位算舒適。
滷肉飯、焢肉飯鹹香不甜膩，蝦仁飯的蝦仁緊實，有入味；五味魷魚醬汁偏甜，會蓋過魷魚的味道，不過魷魚本身口感彈脆，處理的不錯；煎鴨蛋的油夠多，可能是要求半熟蛋，所以火侯稍微小了一點，蛋白的部分焦香脆口，蛋黃溫潤濃厚；滷排骨跟白菜滷確實是古早味，鹹香下飯；燙青菜跟骨仔肉份量很足；限量的魚頭湯有點可惜，土腥味稍微明顯，應該是事先炸好冷凍，有客人點才退出來煮湯，建議下湯鍋之前，先乾煎一下，會比較香，也少一點油耗味。",4
"自從被報導過後爆滿人
冷氣感覺沒什麼功用
煎蛋如果像台中一樣用麻油就有做到精髓可惜沒有不過15元不要太計較
飯太軟爛了 （快變成粥了）
海陸的蝦子只有四個
排骨跟豬腳都很軟爛
單點排骨飯還可以
草魚湯很鮮甜，上面一片魚🐟",4
