comment,rating
"最喜歡蒙特婁炙烤去骨雞腿排跟黑胡椒蒜味松阪豬，雞腿排肉超嫩，松阪豬不油不膩，黑胡椒蒜味味道超級香❤️
紫米飯很Q，不想吃那麼多米飯還可以少飯或者是更換地瓜👍🏻
清淡的蔬菜搭配特製的醬汁真的好好吃！
老闆娘服務好又親切❤️
原食煮藝是虎尾便宜又好吃的健康餐👍🏻
餐點：5
服務：5
氣氛：5",5
"飯減半可換地瓜，很有誠意，換的地瓜真的佔據半碗飯的位置，超大塊！非常有飽足感！

舒肥蒙特婁雞胸$85：菜色豐富，青菜是水煮過後不加任何調味的味道，幸好有附醬汁(類似微酸但比較清爽的胡麻醬?)沾著吃超好吃！地瓜鬆軟香甜，滷蛋滷得夠味不過鹹，，舒肥雞胸肉嫩，還有孜然香(?，不需沾醬，單吃就很好吃。紫米飯軟硬適中，Q軟不黏。整體而言，便宜又好吃，CP值高。

黑胡椒鹽蒜味松阪豬$130：口感脆脆的，很香，但底下厚厚一層油，不推。

法式炙燒豬排$100：調味清爽較不油，但有些許粉感，口感稍柴。

樹葡萄滷棒棒腿$90：滷得鹹香入味，鹹淡適中，雞腿肉嫩，是在虎尾最合我胃口的滷雞腿！
服務
外帶
餐點類型
午餐
平均每人消費金額
$1-200",5
"試了虎尾好幾間健康餐，原食煮藝是我的最愛！
雞胸肉鮮嫩多汁，鹹度適中也吃得到鮮甜。
三個水煮蔬菜會有變動，川燙加些許鹽巴，口味較為清淡但我非常喜歡！不油膩也不過度調味
大推地瓜跟滷蛋，地瓜的品質非常好，吃不到粗糙的纖維，滷蛋非常非常入味！
整體來說真的滿分，$85的雞胸肉還能保有品質跟口味真的很難得！必須推！！！！",5
"以為這種健康餐吃起來會很無聊！原來是我誤會他了～
紫米飯香又軟Q，主菜雞胸肉咬起來不會乾柴！調味我很喜歡！配菜方面顏色搭配的好看，雖然味道走清淡路線，但不失原本的風味，加上我最愛的滷蛋！最貼心的是飯減半還可以換地瓜！回虎尾必吃的健康餐
老闆娘總是面帶微笑超級親切！大推
服務
外帶
餐點類型
午餐
平均每人消費金額
$1-200
餐點：5
服務：5
氣氛：5",5
"新開的健康餐，雞胸肉的85，以價格來看菜色我覺得還行，沒什麼菜味🉑️，但下次想叫半飯或是不知道能不能換地瓜，對了沒有內用座位
服務
外帶
餐點類型
晚餐
平均每人消費金額
$1-200",4
"今天吃的是牛肉
上次吃過一次 東西好吃
但…..
不知道為什麼今天的肉有消毒水的味道
還是給五顆星🌟
服務
外帶
餐點類型
晚餐
平均每人消費金額
$1-200
餐點：5
服務：5
氣氛：5",5
"闆娘服務態度讚，飯減半可以換地瓜，對少吃精緻澱粉的人來說讚讚讚，食材非常新鮮口味也不會太重，價錢合理，一週吃五次就知道我多喜歡了吧，大家趕快來試看看👍
服務
外帶
餐點類型
午餐
平均每人消費金額
$1-200
餐點：5
服務：5
氣氛：5",5
"雞肉吃起來不乾柴 蔬菜保有甜味 煮得恰當 在虎尾終於找到一間好吃的蔬食
多加一顆星給闆娘 太漂亮了🙌
餐點：5
服務：5
氣氛：5",5
"點了一個鯖魚便當，蔬菜都是水煮的沒什麼味道，紫米飯量不多（薄薄一層）
魚新鮮…但份量小小片
地瓜也是水煮
吃起來中心還硬硬的不夠鬆軟
就是….吃一個減肥餐",3
"怕沒味道的我都加醬料，真的好吃
delicious啦～
餐點：5
服務：5
氣氛：5",5
"每周至少2天會吃，最喜歡附的沾醬。
餐盒菜色佳，配紫米飯很適合。
而且給的是滷蛋，不是白煮蛋。
服務
外帶
餐點類型
晚餐
平均每人消費金額
$1-200
餐點：5
服務：5
氣氛：5
建議的餐點
舒肥蒙特婁雞胸",5
"蔬菜非常新鮮且不油膩！如果覺得清淡可以加上店家附上的特調醬汁，搭配的剛剛好讓人胃口大開🤤
份量很大價格又實惠～
夏天來臨如果飯想減量還可以換菜或地瓜都可以跟店家告知，真的很貼心❤️非常推！！ …",5
"餐點美味好吃！是會再一直回購的店👍
服務
外帶
餐點：5
服務：5
氣氛：5",5
"菜色不錯，去骨雞腿排超好吃。若覺得菜的味道淡些，有附一小盒醬汁可以沾，還滿好的。
服務
外帶
餐點類型
午餐
平均每人消費金額
$1-200",5
"餐點好吃😋，是會常常回購的店家
服務
外帶
餐點類型
午餐
平均每人消費金額
$1-200
餐點：5
服務：5
氣氛：5
建議的餐點
舒肥蒙特婁雞胸",5
"價格便宜 服務好 口味佳
一定會再來買👍🏻
服務
外帶
餐點類型
午餐
平均每人消費金額
$1-200
餐點：5
服務：5
氣氛：5
建議的餐點
舒肥蒙特婁雞胸",5
"很不錯
水煮青菜很對味
雖然比較清淡可能有些人不太習慣，
但是我OK！",5
"目前印象不錯，很合胃口，又離家近，價位合理👍
餐點：5
服務：4
氣氛：3",5
"份量多又便宜 東西也好吃 推推😍 …
餐點：5
服務：5",5
"新開的健康餐！！推推❤️
主食及菜色都很可以欸❤️
吃過一次會想再回訪🤤 …",5
"還不錯
口味清淡
餐點：4
服務：5
氣氛：3",4
"顛覆健康餐的想像，只有好吃而已
餐點：5
服務：5
氣氛：5",5
"服務態度好！好吃！推推
餐點：5
服務：5
氣氛：5",5
"老闆娘可愛  東西好吃😋
服務
外帶
餐點類型
午餐
平均每人消費金額
$200-400
餐點：5
服務：5
氣氛：5",5
"美味 健康 價格合理
服務
外帶
餐點類型
午餐
平均每人消費金額
$1-200
餐點：5
服務：5
氣氛：5",5
雞腿好好吃🤤，虎尾竟然也開了‼️ …,5
新開健康餐，好吃！推,5
份量蠻大的，蔬菜新鮮，推推👍🏻 …,5
"好吃又清爽
餐點：5
服務：5
氣氛：5",5
好吃好吃,5
,5
,5
,1
,5
,5
,5
,5
,5
