comment,rating
"有飯麵可選，麵條還有多種選擇
藥膳排骨麵還不錯～
但內用還是使用免洗餐具",4
便當60元附湯 下午一點去買的 好吃又營養 米飯超Q 販賣的大姊親切 又給我加主菜不加錢,5
員工三菜一主菜價格40，便宜，整體而言還不錯,5
"早餐7：30開賣 有粥配小菜 員工價20元物超所值
饅頭多種口味一顆15元 但因為量少不早點來排隊根本買不到可能要7：15前來排才有機會",4
"陪華哥入院做檢查。
入院時，護理師拿了一張餐飲的簡介單，稍微的介紹一下。
本來想直接點餐，省下下樓買餐和等人的時間。
後來又因另轉斗六台大而作罷。
等回到虎尾台大，便向護理師要了一份剁碎餐和均衡營養全餐。
想試看看醫院的配餐，口味和菜色如何再來做調整。
因為餐點有專人配送，所以時間到，只要等吃飯就好了，對不喜歡排隊或者走去買餐的人很是方便。
早餐為稀飯和幾樣簡單的配菜（素）。
午餐為主食（飯）和三配菜一主菜搭配。
晚餐也和午餐一樣。
午晚餐都有湯，水果中午有，晚上則有瓶裝豆奶（小）。

口味上清淡不油膩，調味剛好，很好配飯和粥；菜色的變化多種，以少油少鹽和多樣的營養食物來搭餐。
讓人吃得飽外，也吃的營養。
加上價格便宜，讓人感受到其用心。",5
"極差的購買經驗，靠著壟斷市場常有店大欺客的情況。自身經驗是櫃檯阿姨結帳速度很快，但出餐速度卻跟不上卻只會一直催我往前排隊； 也看過有人在經10幾分鐘排隊後,出示剛提領的千元鈔票付帳時櫃檯卻拒絕找零。在病患照櫃檯阿姨要求至轉身到鄰近商店換小鈔時，卻直接將該保留商品銷售給下一位排隊的客人, 待病患完換鈔回來後，卻理直氣壯的說東西都賣完了, 誰叫你動作你們慢，行動不便還要自己來買",1
"位置在虎尾台大醫院的B1樓，旁邊有萊爾富，用餐便利。
便當營養均衡、調味清淡。另有湯品也有麵食販售。選擇不多，但是健康平價。座位區位置很多。",5
虎尾院區地處較偏鄉所以有個餐廳可以幫醫院員工及患者解決吃的問題..,4
"護士都很年輕
很好聊
細心照顧

餐廳很快就賣完了，附近太荒涼，中晚餐要早點去買不然只能吃風喝水😂",5
醫院雖不是很大，麻雀雖小五臟俱全，各科皆有，有安寧病房，地下二樓有助念室。安寧療護有佛堂、禱告室，醫護人員非常有愛心,4
台大虎尾院區雖然接近雲林高鐵，但午晚餐的選擇沒有很多，但院區的餐廳是最好的選擇，價格親民，而且健康養生，但如果能多開一家，讓人有多一點選擇。,5
一個便當50元，一主菜+3配菜，不油不膩很入口；還有現煮的麵食喔！,4
該院的胸腔科陳醫師很用心，只因注院時是住院醫師就很用心的關心著所有其他的病因。很棒！,2
"不錯，東西便宜好吃
來醫院可以順道下來，要早點到不然人超多",5
周邊沒有吃東西的店面，只有醫院的地下一樓有便利商店跟小餐廳，選擇性少.,3
醫生、護士都很親切，非常感謝陳若白醫生細心照護治療，能遇見陳醫生是我父親的福氣。,5
自助餐很平價， 味道也不錯，但對老年病人來說 ，主餐魚刺有點多,4
我覺得台大醫師是全國最棒的醫師，有良好的醫術群真實的很棒呢！,5
晚餐素食便當$65,1
台大的醫生比如說5張宏杰醫師也是一個好醫師有很多的醫師你去那邊治療的時候他們會盡全力幫助你,4
要注意路口號誌及速限，左轉燈亮了才轉，否則紅單會轉到你手上！,4
台大雲林医院腫瘤科設在這裏，因医療設備齐全在初期發現病情時，大部份可挽救其生命。,5
交通方便四通八達很方便，醫師親切，就是欠中醫部而已希望快增加中醫部，,5
難吃又沒得選擇,1
五十元就可點一份餐吃飽，口味也不錯。,3
"選項精簡,每樣食物都乾淨衛生,價格實惠",5
"素食什錦蔬菜湯
蕃茄蛋花湯
很好吃料多味道讚唷",4
餐廳的便當店，服務態度請改善，請多一些耐心!,1
價格很親民，食物有營養師把關，食安有保障。,4
營養師設計的餐點清淡美味健康營養，值得退薦,4
醫院附近空曠...沒有什麼餐廳和小吃...所以這兒是吃飯相較方便。,4
牛肉麵肉實在湯頭很好喝~~,5
