comment,rating
"藏在小巷子裡的店面，板娘人很好，然後有蛋有菜有泡菜的燒肉飯真的好好吃😋
服務
外帶
餐點類型
晚餐
平均每人消費金額
$1-200
餐點：5
服務：5
氣氛：5
建議的餐點
有蛋有菜有泡菜有豬肉的燒肉飯",5
"超級推薦！
份量多一定吃得飽
是台式咖哩的調味
加20元有八朵綠花椰菜
愛吃蔬菜的可以考慮
這次點牛肉口味
牛肉的份量也不含糊給好給滿
裡面還有紅蘿蔔跟馬鈴薯
吃完一整份的感覺非常滿足
店內的位置不多也不好停車
建議可以先訂餐後再直接外帶",5
"真的很好吃！
份量來說還算蠻大的
牛肉咖喱裡面不是牛肉片 是牛肉塊 入口即化 還蠻不錯的
額外加的炙起司讓整個味道很濃郁
飯粒粒粒分明 不會太濕也不會太乾
整體來說非常好吃！！
價格雖然貴了一點 但是可以說是物超所值
內用有冷氣以及飲料可以喝
店面小小的 吃飯時間人潮很多 可能要提前來比較適合
餐點類型
晚餐
平均每人消費金額
$1-200",5
"起司配的超棒 牛肉跟雞肉吃起來很嫩 推推
咖喱很好吃 我們有加蛋包 非常值得
老闆娘人很親切很可愛ʕ•ﻌ•ʔ
用餐時間人多要稍微等一下
店很小建議早一點到or先打電話詢問or外帶

可以加飯！
不過一份真的滿飽 可以吃完再加飯
（記得不要把咖喱吃完才加飯哦）

cp值很高 學生價
不知道要吃什麼就來這邊吃吧 不會失望的 ^•ﻌ•^",5
"在虎尾吃過最好吃的咖哩蛋包
真的是好吃到幹...咖...哩老師
極度推薦 5/5🌟
+飯+醬 內用+到飽不用錢👍
飲料喝到飽👍
100就算不加飯加醬我也會買單",5
"咖喱飯跟燒肉飯都很好吃
老闆娘很好客
尖峰時段常常客滿喔，要有排隊的心理準備😋 …",5
"咖喱飯和燒肉飯都好吃，老闆娘又親切👍
服務
內用
餐點：5
服務：5
氣氛：5",5
"咖喱口味溫順
蛋包滑嫩
是會再訪的店👍
服務
內用
餐點類型
晚餐
平均每人消費金額
$1-200",5
"▪️雞肉咖哩💲100⁡
外帶速度很快⁡
咖哩醬蠻多的⁡
我吃完還有剩一些⁡
醬裡面有紅蘿蔔、馬鈴薯、雞肉⁡
而馬鈴薯和雞肉有不少塊~⁡
沒有加飯的白飯份量對我剛好⁡
相當粒粒分明、口感較硬⁡
⁡
⚠️ 可以免費加飯！⁡
﻿﻿﻿﻿﻿⁡
🔎 No. 7號, Zhongyang St, Huwei Township, Yunlin County, 632⁡
🕦 16:00-21:00，週六公休",4
"來到虎尾必須去吃一次，真的不會後悔，這是我在虎尾吃到最好吃的咖哩飯，最重要的是份量很大，還可以再加飯加醬料，雖然價格有點小貴，但是值得的，會想要吃完之後再次光顧的店，餐點很快就沒有了，好多次想去吃才發現已售完，要吃要儘早。
服務
內用
餐點類型
晚餐
平均每人消費金額
$1-200",5
