comment,rating
"食物不錯吃，但整體跟台北分店不太一樣，不管是店內氣氛、食材種類、調味等都有點落差，且台北分店好像都有附比較特殊的調味粉，但這間只有辣椒粉，覺得有點小遺憾。
服務
內用
餐點類型
其他
平均每人消費金額
$200-400
餐點：4
服務：3
氣氛：3",4
"價格佛心，CP值爆錶全台，烤肉品質很棒，乾淨又衛生，激推！
服務
外帶
餐點類型
其他
平均每人消費金額
$1-200
餐點：5
服務：5
氣氛：4",5
"價格實在，喝酒談心好地方
服務
內用
餐點類型
晚餐
平均每人消費金額
$200-400
餐點：5
服務：5
氣氛：5",5
"口味不錯！但醬選普通+胡椒少，還是有一點偏鹹。老闆娘態度很棒！
服務
外帶
餐點類型
晚餐
平均每人消費金額
$1-200",4
"東西便宜烤的的味道不錯、服務人員很棒
服務
內用
餐點類型
其他
平均每人消費金額
$200-400
餐點：4
服務：5
氣氛：5",4
"推推 肉類，內臟類，推豆干豆皮很會烤，有肉汁。
別點，銀絲捲，很油，不推薦
有冷氣，位置不多，可外帶飲料內用，口味都可調整
店員很好，有問必達，很客氣
店內環境不錯

剛好遇到一桌大聲聊天的客人，我不想聽別人的感情八卦史
吵到不行，只想趕緊離開

客人本身素質，影響到其他人用餐的心情
服務
內用
餐點類型
晚餐
平均每人消費金額
$1-200
餐點：5
服務：5
氣氛：4",5
"可調整口味，很貼心店家吃完一輪，又吃了一輪，整體東西都好吃，價位超級親民，大家一定要來吃看看，太滿足了。
服務
內用
餐點類型
其他
平均每人消費金額
$1-200
餐點：5
服務：5
氣氛：5",5
"認真跟剛開幕的時候味道差有點多
茄子很NG 兩串都後半段沒有熟
然後雞皮有點過硬
點了重口味 可是感覺是清淡的

但是服務人員態度都很Nice
希望味道能跟剛營業的時候一樣
服務
外帶",1
口味適中，烤的恰到好處。重點是品相衛生乾淨。,5
"老闆員工人很好 餐點好吃 價格便宜 很推薦👍
餐點：5
服務：5
氣氛：5",5
"買豬肉蔥卷兩支，一串三塊，居然有一串只有兩塊。
吃起來有點冷掉了，不是現烤的嗎？
餐點：1
服務：4
氣氛：3",2
"味道很棒
價格很不錯
餐點：5
服務：5
氣氛：5",5
"餐點烤的剛剛好 也很入味
服務
內用
餐點類型
晚餐
平均每人消費金額
$1-200
餐點：5
服務：5
氣氛：5",5
幾個年輕人經營的店家，串燒賣相佳食材整理的很用心，接待客人也很週到有禮貌，烤好的食物吃起來有幸福滿足的感覺。就在林森路的大馬路邊，離家不遠，希望持續用心發展，以後可以經常光顧。,5
"新開幕，年輕老闆，食材新鮮CP高，推
服務
外帶
餐點類型
其他
平均每人消費金額
$1-200",5
"不推薦不喜歡吃重口味的人。
吃不慣的人會覺得各種東西都太鹹、太油了。
除此之外都很棒。
餐點：2
服務：5
氣氛：5",3
"太油而且份量沒有很多🤬😡🤬😡🤬
不應該背叛小煙囪來嘗試新店🥲
哈特利哥哥要生氣了😤 …",2
"好便好划 口味可以做調整 等待時間不會過長 但銀絲捲不推薦 有點油
服務
外帶
餐點類型
其他
平均每人消費金額
$1-200",5
"平價cp值高
但食材不太新鮮",3
"串燒烤得很好吃，很適合三五好友聊天配小吃的地方，外帶回家當宵夜也是不錯的選擇。
服務
內用
餐點類型
其他
平均每人消費金額
$1-200
餐點：5
服務：5
氣氛：5",5
"真的是有生以來吃過最便宜又好吃的串燒!!! Cp值高 趁熱吃超讚
虎尾有這種店太讚 😚
老闆說電話是056362200
服務
外帶
餐點類型
其他
平均每人消費金額
$1-200",5
醬跟肉都很好吃，但百頁豆腐有點太油了,4
"太油了  吃起來普普
服務
外帶
餐點類型
晚餐
平均每人消費金額
$1-200
餐點：3
服務：3
氣氛：3",3
好吃,5
"太油了，可以改善謝謝
平均每人消費金額
$1-200
餐點：3
服務：4
氣氛：4",3
烤肉醬刷的有點多偏濕較鹹，份量較其他間少。,3
老闆人帥 分量有很阿莎力 附近難得好吃的夜宵 之後會來繼續光顧的,5
"好吃醬汁多汁 推推！！🙌🏻🙌🏻
電話是05-6362200
老闆說這上面的電話更改不了
上面的電話幾乎沒在接😂
服務
外帶
餐點類型
晚餐
平均每人消費金額
$1-200",5
超扯，多算10元還少給一枝蜜汁雞肉串,1
"搬到雲林快2年 終於吃到合口味的燒烤了
覺得感動🥲 …",5
"服務態度很好
烤起來不會太乾
食材很新鮮",5
"櫃檯小姐服務態度非常好👍
燒烤吃起來味道剛剛好！ …",5
"跟台北比普通
餐點：3
服務：4
氣氛：3",3
CP高 很好吃,5
"價格便宜、食物好吃
推",5
"讚
餐點：5
服務：5
氣氛：5",5
好吃,5
喜歡🥰 …,5
"可以內用 讚
價格公開透明",5
,5
,5
,4
,5
,5
,4
,5
,5
,5
,1
