comment,rating
"口味有很多可以選擇，個人喜歡吃這間的海陸蛋雙拼，比較偏向台式的壽司，整體來說還不錯！
服務
外送
餐點類型
午餐",5
"壽司口味眾多，調味適中爽口，加上味噌湯或是椰奶，令人留戀的好滋味
服務
外帶
餐點類型
其他
平均每人消費金額
$1-200
餐點：5
服務：5
氣氛：5",5
口味選擇眾多，除一般日式口味，還有台式、韓式、泰式的不同內餡選擇，但內餡覺得處理上有點太乾了，大小是屬於一口可吃下的，一盒份量尚可不會很飽，以量來說價格偏高，菜單上的口味如果櫃上沒有，可以現點現做。,3
"食材新鮮又好吃！闆娘超親切又善良！下次肯定再來光顧！
服務
外帶
餐點類型
晚餐
平均每人消費金額
$600-800",5
好吃的圓味壽司🍣女生一盒剛剛好，飽足感滿分💯 …,5
眾多口味可以選擇，點餐出餐迅速，吃起來米粒分明，內餡豐富不馬虎，緊鄰虎尾糖廠和農博，也可以當作野餐選擇或下午茶，很推薦！,5
食材新鮮，用料大方，手工現包，還有美味的味增湯跟紅豆湯，好吃😋 …,5
種類多樣化，服務態度很好,5
價廉物美，服務親切，環境明亮乾淨！,5
"口味眾多、價格不高、乾淨衛生
服務態度讚",5
"點餐快速，味道在可接受範圍內，價位平實，對我而言是想吃壽司卻不想排隊又不想吃7-11的選擇。
服務
外帶
餐點類型
午餐",4
口味很多，吃過很多次覺得蠻好吃的😋小孩超愛茶碗蒸、紅豆湯（每次去必點） …,5
在虎科附近的新壽司，身為學生馬上去品嚐新開的店，本身偏好豆皮壽司，去的時候一定要來一碗味噌湯，飽足感upup。,5
"今天我點了八號餐點，但架上沒有八號餐點了，所以服務人員跟我說剩架上那些喔~  之後我就改了別的餐點並且選擇內用。
但我聽到有客人說要餐點，服務人員說架上沒有了，裡面的人馬上說你要幾個呢?我幫你做，要再等五分鐘喔~
接著又有客人來說要八號餐(對!就是我想吃的那個八號餐)，裡面的人又說可以幫他現做，但要等。
同是消費者，為什麼就不幫我現做呢?
我看起來很趕時間嗎? 為什麼不問問我可不可以等
我還選擇內用耶 代表我很悠閒阿
在裡面內用聽到的時候真的很傻眼啦!店家可以出來解釋一下我的疑惑嗎?
是員工訓練不佳嗎?",3
突然想解饞可以來這裡看看 加上空的食材可以現做 產品價格都平價 正常好吃 冬天想喝熱熱的 可以來喝味噌湯跟熱的紅豆湯,4
"口味多樣、味增湯好喝、茶碗蒸也不錯
但是壽司的飯太乾了，希望可以改進～",4
"口味新奇特別，適合嚐鮮
單純想吃外帶壽司的話對面那家比較好吃",4
"很棒的壽司店，能夠貼心準備素食壽司，又好吃，大推拉！
服務
外帶
餐點類型
午餐
平均每人消費金額
$1-200",5
"口味眾多，可惜米飯偏硬，醋味不夠，若能改善更是美味！
服務
外帶",3
"多種口味可以選擇
價位要思考一下
服務
外帶
餐點類型
午餐
平均每人消費金額
$1-200",4
吃了肉鬆和豆皮壽司，覺得份量有點少，壽司偏乾，味道不差,3
我覺得還不錯  排得上目前吃過的店前三名,5
"換了地點重新開幕，老闆似乎也不同人。
首推!!!!!!!泡菜豬肉  讚啦",5
非常好吃 服務態度也非常好👍 …,5
種類多好吃的壽司！喜歡13號配豆漿，服務親切,5
"服務周到 食物新鮮
吃的安心 會想再去消費👍👍👍 …",5
我第一次吃到用白飯做的壽司，飯超硬,1
肉茶口味讚👍🏻食材新鮮米飯軟硬適中 …,5
東西好吃 店員很漂亮服務又很好,5
茶碗蒸相當好吃，口感很滑順,5
不錯吃，有點小貴，不會常吃,4
肉鬆和飛魚卵香腸口味的壽司很好吃,4
味噌湯好喝，壽司不錯吃,4
下午兩點以後.不會等太久,3
外送沒有附醬油和芥末,1
服務態度親切，CP值高🤙🤙🤙 …,5
口味多種選擇，好吃👍 …,5
口味眾多，平價好吃,5
好吃 cp值高,5
好吃的跟鬼一樣,5
樣式不多，選擇較少,3
還好,3
超讚！,5
餐點新鮮 好吃,5
推,5
"方便
好吃",4
美味,5
店員親切,5
普普通通,3
粒粒分明,5
還好,2
一家專門賣日式蘇絲的店，品種很多，從魚、蝦到紫菜，都是蘇絲的主料，非常養眼，而且非常美味，來這裡每天都要嚐嚐。第一小感受這道菜,4
,5
,5
,4
,5
,5
,5
,5
,4
,5
,3
,1
,5
,5
,5
,5
,2
,3
,4
,5
,5
,5
,5
,5
,5
,5
