comment,rating
"推薦虎尾平價高CP值鐵板燒
剛裝潢過的店面明亮整潔，空間也大了許多
白飯、熱湯、飲料(無限量供應)
老闆親自站炒台料理，老闆手藝一級棒
價格實惠餐點香氣足夠，口味可告知老闆鹹或淡
上餐速度極快，忙碌時闆娘老闆的臉都會寫著很忙
重點可以帶小型寵物，覺得很體貼
是寵物友善餐廳耶！(太開心了🥳)
服務
內用
餐點類型
晚餐
平均每人消費金額
$200-400
餐點：5
服務：5
氣氛：5
建議的餐點
香煎雞腿排, 荷包蛋, 鐵板燒的基本配備 炒豆芽菜 炒高麗菜",5
"主餐好吃，但豆芽菜對我個人來說稍微鹹ㄧ點😭
服務
內用
餐點類型
晚餐
平均每人消費金額
$1-200
餐點：4
服務：5
氣氛：5
建議的餐點
香煎松阪豬",4
"以往對平價鐵板燒的印象（濃厚的胡椒調味）

因為小孩不吃胡椒調味的食物，特別交代不加胡椒，沒想到意外的好吃欸

天使紅蝦也很新鮮
服務
內用
餐點類型
晚餐
平均每人消費金額
$200-400",5
"好吃的鐵板燒，價格實惠，符合其收費。可以前來品嚐，7/20起開始實施集點卡的活動，不賴噢！
飯，例湯，飲料~無限享用，例湯料多，不小心就多喝了幾碗。
主食單點以上就會有雙蔬菜，單人套餐還有搭配鱈魚+鮮蝦，份量足夠。各項主食餐點，原肉烹煮吃得出鮮甜滋味以及主廚料理手法，新鮮不需過多調味。基本規格的餐點不變，陸續增加菜色中。
惟空間較小，用餐環境簡單乾淨，適合小家庭或少人用餐，週邊也比較不方便停車。
是簡單格局，純粹用餐，輕鬆品嚐，虎尾地區少數的鐵板燒店。",4
"餐點味道是還不錯，但是店裡卻有老鼠跑來跑去，建議衛生環境需要改善。此外，店裡免費提供的紅茶已經有兩次都喝到壞掉的，更換上去後飲料機的蓋子還不趕快蓋好，不知道是要餵老鼠還是怎樣，希望飲料這部份可以稍微留意一下，謝謝！還有，那位女店員的服務態度不是很好，給你3顆星已經算是很客氣了！
服務
內用
餐點類型
晚餐
平均每人消費金額
$1-200
餐點：4
服務：2
氣氛：3",3
很棒的鐵板燒店，雖空間不大，但雞腿香嫩、豚肉口感好，青菜清爽，紅茶好喝、不澀，起司蛋也不錯，鱈魚尚可，味噌湯也不錯(不會太鹹)，店內音樂搭上廚師炒菜聲，恰可掩蓋小朋友的哭鬧聲，不會覺得太吵。,5
"牛肉辣度與蛋熟度剛剛好，青菜小辣有點太辣，飲料甜度適中，不好停車

明明是加點，卻寫A套餐或B套餐，寫得不清不楚，容易讓人誤解計費方式",2
"每份餐點都由主廚精心製作，檯面位於正前方，可以看到主廚用心對待食材的樣子就像觀賞一場表演。
尤其是沙朗牛排，肉質鮮美，鮮嫩多汁，能感受到主廚的用心，海鮮也很新鮮，雞腿排用洋蔥、醬油下去調味，酥脆的外皮配上很嫩的肉質，想要吃一頓有菜、有肉的選擇，吃士朋鐵板燒就對了。
價格實惠，鐵板燒迷一定要吃吃看！",5
"晚餐時間吃的比較晚～
老闆 還接待我們～
服務態度真的不錯👍
餐點不錯吃～～
服務
內用
餐點類型
晚餐
平均每人消費金額
$200-400
餐點：5
服務：5
氣氛：5",5
6/12晚上7點內用時，看到一隻老鼠沿著牆壁上的水管往上爬到天花板，反應後得到的回覆是「哦我知道」，可見員工已經不是第一次在店裡見到攀岩老鼠嘍⋯⋯,1
