comment,rating
"Google 上搜到去用餐 看評價還不錯想說應該可以 結果點四菜一湯 只有一道海產新鮮 其他幾樣食材皆不新鮮 應該是冷凍很久 經過調味還是一口就吃的出來 吃到嘴裡的味道不怎麼好 不過還是禮貌的吃完 因為肚子餓…嗯 我知道經營餐廳不易 也辛苦，但食材方面真的要看店家與老闆的心態 將心比心吧！店家服務算不錯 還有配菜生切洋蔥絲的味道不錯
餐點：1
服務：3
氣氛：3",2
"星期日中午，幸運的話只有我們一家人，享受一頓好吃又豐盛的午餐
分別點了炒水蓮，吻仔魚煎蛋，炒螺肉，糖醋排骨，炸大腸，炒豬肝，烤班甲，烤五花肉⋯道道好吃",5
好吃的熱炒，吃很多次，可惜物價上漲，阿嬤炒蛋縮水很多🥲 …,5
"跟著網路5星評價，找到這間巷內這間熱炒店，點了六菜一湯加老闆熱情招待一道菜，被二大二小消滅的乾乾淨淨，口味如何，看倌自己評斷...
服務
內用
餐點類型
晚餐
平均每人消費金額
$200-400",5
"外帶一份蝦仁炒飯，哇！吃完整個愛上，以後都只來這家了！90元整盒飯都快爆開啦～份量很夠，而且飯粒還吃得到鍋氣香！

最重要的是裡面真材實料！不是那種普通蝦仁，是一整隻鮮蝦！！吃完一次直接上癮！給你們100分！
服務
外帶
餐點類型
晚餐
平均每人消費金額
$1-200
餐點：5
服務：5
氣氛：5",5
好吃，服務態度也很好，大家都很和善很溫柔,5
烤物好吃，這次點了烤牛排跟深海中卷，家人很愛。倒是炸物不推薦，水晶魚跟蚵仔酥的炸粉裹太厚，炸出的顏色偏深，感覺油可能經過長時間油炸了,3
"值得推薦的好地方
東西好吃又新鮮
服務
內用
餐點類型
晚餐",5
"平價好滋味，待客親切，料豐味美
餐點：5
服務：5
氣氛：5",5
"這家店的老闆，可能是從少林寺修煉回來的，手藝精湛，務必來吃個好料～
烘蛋，就是功力展現！好好吃😋 …",5
"朋友推薦來吃！真的非常棒！看起來很普通的蛋，吃起來卻非常的好吃跟下飯！
老闆跟老闆娘都很有熱情！很推薦各位來吃！而且一定要點炒飯👍非常的好吃！ …",5
"餐點好吃👍
女服務生笑容100分
下次還會來吃
餐點：5
服務：5
氣氛：5",5
"香煎豬肝，去除豬肝腥味，吃起來滑順可口！
檸檬魚，口感檸檬清香！",5
"感謝宏常旺老闆熱情的招待，菜量超大份CP值爆表，孩子們都吃的超飽😁
總結：服務熱情、細心、份量大、便宜！
下次一定會再次造訪👍👍👍 …",5
"餐點都蠻好吃的，顧著吃都忘了拍照😆
餐點：5
服務：5
氣氛：5",5
"好吃上菜快，一定要來吃的雲林熱炒店
餐點：5
服務：5
氣氛：5",5
"餐點好吃
用料實在
經濟實惠
餐點：5
服務：5
氣氛：5",5
"炒飯蠻好吃的，其他都還好
空間有點狹小
餐點：3
服務：4
氣氛：2",3
這香煎豬肝真的是出乎我的意料太猛了！不吃會後悔😎 …,5
"沒有像網路評價那麼好欸，好幾個菜都冷冷的，炒豬肉還有一些是冰的，吃起來口味也很普通🥹
服務
內用
平均每人消費金額
超過 $2,000",2
"平價又好吃，CP值高的一家熱炒店，每道菜都很好吃！！會再光顧的一家店
服務
內用
餐點類型
晚餐
平均每人消費金額
$1,000-1,200",5
"星期六下班後的公司聚餐，第一次來造訪，想不到讓人驚訝，出餐的速度很快，而且老闆夫妻倆也佷熱情的招呼，陪伴我們到最後一刻，下班後聚餐的好地方，推薦大家試試！
服務
內用
餐點類型
晚餐
平均每人消費金額
超過 $2,000",5
"用料實在 老闆為人熱情
蝦球是現剝的蝦子 好吃又新鮮
香煎豬肝超有特色
推推👍👍
餐點：5
服務：5
氣氛：5",5
"餐點好吃，服務棒
服務
內用
餐點類型
晚餐
餐點：5
服務：5
氣氛：5",5
"平價快炒，一份大約2人份左右
口味不錯適合下酒菜
服務
外帶
餐點類型
晚餐
平均每人消費金額
$200-400
餐點：4
服務：4
氣氛：4",5
"價位合理，口味不死鹹
服務
外帶
餐點類型
晚餐
平均每人消費金額
$400-600
餐點：5
服務：5
氣氛：5",5
"餐點平價好吃，環境也乾淨!
狗狗可以一起進店100分呦！❤",5
澎湖海釣知高魚4台斤👏🏻👏🏻👏🏻 …,5
