comment,rating
"虎尾老店，水餃非常紮實，尤其是滷肉飯好吃排行榜前幾名，湯品也好喝
服務
外帶
餐點類型
午餐
平均每人消費金額
$1-200
餐點：5
服務：3
氣氛：4
建議的餐點
鍋貼",5
"從高中的時候知道吃現在, 現在應該是第二代接手了 而且都已經分家過好幾次.
外出之後很久沒有過來吃了,今天吃起來味道算還不錯一樣是傳統的老味道 ,只是有一種比較奇怪的我今天不能接受鍋貼非常的好吃 ,但是鍋貼的醬料怎麼吃都覺得沒有以前的搭配.
從很多年前 常去吃的一定吃它的米糕飯跟酸辣湯 還有以前他的牛肉麵也非常的好吃 但是今天我沒有特別注意湯頭因為我沒有吃牛了 🤣🤣 如果還有這個品項 一定要去吃的味道真的還不錯 整體來說真的 單價算是平價 味道也ok 外地的人到虎尾可以過來嘗試看看.",4
"麻醬麵：沒芝麻香氣，調味普通，還可以。

豆腐湯：豆腐大塊，湯頭清爽，還不錯。
服務
內用
餐點類型
午餐
平均每人消費金額
$1-200",3
"選擇多樣
環境舒適
不太好停車
餐點：4
服務：4
氣氛：5",4
"鍋貼外皮不夠酥，內餡味道就一般，米糕飯的味道跟口感我很喜歡，米飯的部份很鬆軟，不是很硬很Q的那種，搭配的小黃瓜還很脆口，會想再去嚐嚐其他餐點
服務
內用
餐點類型
午餐
平均每人消費金額
$1-200
餐點：4
服務：4
氣氛：4",5
"大乾麵 辣香夠勁
鍋貼酥脆好吃
餐點：5
服務：5
氣氛：5",5
"停車不方便，出餐速度快，店員的服務態度不錯，價位一般，肉燥偏鹹但很香一定要拌勻在麵條內，餛飩麵的餛飩是小的，麵條有保持Q彈，沒有煮到過於軟爛。推薦水餃頗好吃，大顆有料會滿足。小菜的皮蛋豆腐，分量普通，醬偏鹹，可以建議不要淋、或自己加，上面放的不是柴魚片而是肉鬆蠻特別。
服務
內用
餐點類型
晚餐
平均每人消費金額
$1-200",4
"看到評論不錯來吃看看
結果點了麻醬麵 酸辣湯 水餃 鍋貼 泡菜
只有酸辣湯跟鍋貼還算可以 水餃皮也太硬不知道是沒煮熟還是太厚
泡菜有種台式泡菜加辣油的詭異搭配感  鍋貼只能說還可以但會覺得八方比較有味道 至於麻醬麵不予置評 完全吃不出什麼味道
餐點：1
服務：1
氣氛：2",1
"一訪感受普通
當時點滷肉飯，油味重到我吃不完
其他的東西沒印象了

二訪點水餃、鍋貼、牛肉麵
就平反了不少
水餃口感「結實」、鍋貼味道不錯
牛肉麵有約五塊肉
肉質軟嫩、中間的筋正好能抿化
麵條有彈性
湯頭雖然沒有到很香濃
但還算不錯的牛肉麵",4
"粄條還不錯 口感偏硬
水餃蠻好吃的 飽滿大顆 很有飽足感
服務人員很有禮貌",5
