comment,rating
"好吃 有包廂 能一家人聚會
可以點套餐 烤花魚很優秀",5
"簡餐還不錯吃、營養均衡！
唐揚雞鮮嫩！
服務
內用
餐點類型
午餐
平均每人消費金額
$200-400
餐點：4
服務：4
氣氛：4
停車位
很多停車位
附近的停車場
免費停車場",4
"好吃，感覺的出來每一道料理都是師傅的用心作品，用料實在與新鮮。只是單價不低，再翻翻google評論中網友們過往的菜單拍攝，算是近一年來漲幅較高的餐廳。
服務
內用
餐點類型
晚餐",4
"價位中高,空間不大,可先訂位,旁邊有停車場
服務
內用
餐點類型
午餐
平均每人消費金額
$400-600
餐點：4
服務：4
氣氛：4",4
"中價位 兩個人花1600左右吃的很飽
炸牡蠣很好吃！炸的很酥脆內裡軟嫩
這家生魚片比較貴
但是他送上桌的每一道料理都很好吃
推推
餐點：5
服務：5
氣氛：5",5
"隱身在住宅區的道地日料
每一道都色香味俱全
大推澎湖大明蝦毛毛蟲壽司跟烤午仔魚👍
旁邊有停車場大大加分

店家還很貼心的幫我們留意點的餐點會不會過多，建議我們先不要繼續出餐。
服務
內用
餐點類型
午餐
平均每人消費金額
$600-800",5
"點了生魚丼飯，有阿根廷紅蝦、鮭魚、旗魚、干貝一分切兩片 極少見的青紫蘇及一碗味磳湯。湯味道偏甜，紫蘇倒是很新鮮 味道香，纖維少，紅蝦也處理得很好，至少沒我討厭的腥味 (阿根廷紅蝦連烤起來都 腥)... 還有 白蘿蔔 跟應該不是工廠出品的薑，服務也很不錯。但 很可惜飯是調味過的... 將食材的甜味遮住了。
服務
內用
餐點類型
晚餐
平均每人消費金額
$200-400",4
"目前在虎尾吃過最佳的日本料理，山禾。

每天特別的漁獲，會另外寫在牆上，連日本的新鮮鰹魚和季節限定的螢光烏賊都有，而且價格不貴。多數料理是由傳統日式手藝製作，適合拍照傳IG的「創意料理＆壽司」也不是胡亂炫技，而是紮紮實實的美味，我們點的澎湖大明蝦毛毛蟲壽司就是其中之一。丼飯、定食和主廚推薦套餐相當經濟實惠，懶得想點哪些菜的可以直接選這些。
服務
內用
餐點類型
午餐
平均每人消費金額
$800-1,000
特殊餐點
可享用到菜單沒有的，每日限量食材。
停車場
專用停車場就在隔壁，非常方便。",5
"定食份量十足CP值極高，秋刀魚烤得很剛好沒有過熟，每一道配菜都不馬虎，和風醬沙拉新鮮酸甜吃起來毫無負擔，菠菜束搭配香濃胡麻醬，茶碗蒸口感綿密裡面還有個大蛤蜊，米飯粒粒分明搭配香鬆粉真想再續一碗，味噌湯不會死鹹還有洋蔥的清甜味，焦糖奶酪也很好吃。
握壽司的醃漬調味與底下的米粒處理恰到好處，刷過一層日本來的醬，完美。
盛合生魚片很新鮮，連旗魚的油花都很均勻入口馬上化開，還有少見的午仔魚生魚片稍微炙燒過香氣四溢。
水蓮是比較少吃的青菜，配上香菇雞蛋一起炒，很下飯。
店面非常溫馨擺設很有味道，裡面還有個十人包廂，適合聚餐 !",5
"蠻推薦澎湖明蝦毛毛蟲壽司，

製作看的出用心，蠻好吃的！

附近可能比較需要路邊停車，

有附免費熱茶可飲用，

位置有限，

若特地到附近想來這用餐，

仍比較建議訂位避免向隅。
服務
內用
餐點類型
晚餐
平均每人消費金額
$400-600",5
"抱持著偶爾豁出去一次的心態
點了500元套餐
油醋感覺的沙拉很開胃
接下來是生魚片盤
魚肉完全沒有腥味且都有厚度
其中鮭魚的滑順度及甜度更勝虎尾某些其他的日式料理店
接下來是唐揚雞的部分，軟嫩入味
而手卷似乎是鰻魚手捲，以蘋果絲代替苜蓿芽的部分
海苔脆，整體平衡很棒
接著是烤鯖魚，表皮薄脆魚肉帶有肉汁，並帶有烤過的香氣
握壽司的部分還有吃到魚子醬，很特殊
最後在以味道香濃的味噌湯及焦糖凍收尾
整體吃下來很享受！",5
"創意日料種類繁多，最近一次造訪，鮭魚生魚片價格頗高，鮭魚生魚片4片360😭（去年5片200），依然好吃～
菜單價格有調漲蠻多，網路上沒更新～
服務
內用
餐點類型
晚餐
平均每人消費金額
$600-800",3
"用餐環境乾淨舒適，餐點新鮮且品項豐富多元！蘿蔓喀滋蝦：口感清爽
毛毛蟲壽司：份量十足
唐揚雞：皮薄多汁，肉質鮮嫩
值得一訪再訪👍🏻 …",5
餐點超級好吃，唐揚雞的口感真的是皮薄肉多，生魚片丼飯也是很豐富還有干貝！澎湖大明蝦毛毛蟲壽司超讚，每次來必點，餐廳裡面有提供麥茶，旁邊還有小停車場,5
