comment,rating
"靠近學校CO值頗高的拉麵店
湯頭濃郁口感佳～
肉很大片～～
學生很多都加麵～會蠻飽的～
記得～～
用餐時間～需要避開學生用餐時間
上次就看到滿出來的學生（約12:30）
今天提早約11:50入席點餐～
服務
內用
餐點類型
午餐
平均每人消費金額
$200-400
餐點：5
服務：5
氣氛：5",5
"路過總是看到高棚滿坐，今日帶家人來用餐，吃的是拉麵，湯頭鮮甜.肉片軟嫩CP值很好。
服務
內用
餐點類型
午餐
平均每人消費金額
$1-200
餐點：5
服務：4
氣氛：5
建議的餐點
川息豚骨",5
"建議內用，整個氛圍覺得還不錯，雖然等點餐的時候櫃檯沒有人，小等了一下子，我點學生拉麵的叉燒豚骨95，麵條我覺得很讚，整體來說也很好吃店內有飲料，下一次想吃吃看有溏心蛋的
-
更 這次吃溏心蛋的 好吃
服務
內用
餐點類型
晚餐
平均每人消費金額
$1-200",5
"拉麵店居然有有飲料自助吧喝到飽 學生族的一大福音
拉麵雖然平價但也不馬虎 肉大片 還有附溏心蛋 不過九州白湯的湯頭味道有點淡 更喜歡麻辣湯頭的
服務
內用
餐點類型
晚餐
平均每人消費金額
$1-200
餐點：4
服務：3
氣氛：3",5
"室內環境舒適
餐點變花多樣
有點心可選擇
份量多可飽足
服務
內用
餐點類型
晚餐
平均每人消費金額
$1-200
餐點：5
服務：5
氣氛：5
建議的餐點
揚出豆腐, 川息豚骨, 唐揚雞
親子友善程度
有提供兒童椅",5
"內用空間舒服，有飲料機免費暢飲，隨便點幾道都沒有踩雷，整體不錯列入可再訪店家！
餐點：5
服務：5
氣氛：5",5
"湯頭濃郁，肉也大片鮮甜，麵也很好吃，滿推薦的。
服務
內用
餐點類型
晚餐
平均每人消費金額
$1-200
餐點：5
服務：4
氣氛：5
建議的餐點
川息豚骨",5
"丼飯的飯份量不算多，但是肉給的蠻多的，有免費的汽水飲料機可以喝，拉麵湯頭也可以請廚師不要做太鹹，這點蠻好的，唯一可惜就是附近不好找車位吧！
服務
內用
餐點類型
晚餐
平均每人消費金額
$1-200
餐點：5
服務：5
氣氛：4",5
"頭一次對加麵量的絕定會後悔，不只麵量足夠，叉燒大片份量十足。嘗試蒙古白湯味道濃郁的白湯有蒙古鍋的風味。札幌味噌濃濃的味噌湯味。有Q彈的博多拉麵跟口感稍硬的硬直拉麵可選。價格十分親民，會想要再來吃別種口味看看……
服務
內用
餐點類型
晚餐
平均每人消費金額
$1-200",5
"平價拉麵，湯頭不濃郁，對於重鹹的人可能不習慣！

我們有點唐揚雞，但，這真的不是唐揚雞，炸得不夠酥脆！

不過老闆還是很棒，至少有便宜的學生套餐！",4
濃郁湯頭搭配Q彈麵條加上口感極佳的大肉片，平價平凡卻又不失美味，值得再訪。,5
"我吃的是牡蠣丼170，味道還不錯，配料有牛蒡、玉米、泡菜。飯有點軟爛。整體來說還可以。牡蠣有三顆。
服務
內用
餐點類型
晚餐
平均每人消費金額
$200-400",4
"佈置很日式，裡面位置也很剛好，不會太擁擠，窗邊的位置很接地氣，重點餐點不會太貴，十分平價，不會因為平價就馬虎唷！有在水準之上，甚至免費暢飲的飲料也很好喝，來的話推薦可以多點炸物吃吃看，不會讓你失望的！
服務
內用
餐點類型
晚餐
平均每人消費金額
$1-200",5
"份量滿多的，料也滿多的，湯頭還不錯，唐揚雞也不錯，還有無限喝的飲料好吃😋
服務
內用
餐點類型
午餐
平均每人消費金額
$200-400
餐點：5
服務：5
氣氛：5
建議的餐點
唐揚雞",5
"是個適合學生的評價好去處
不會因為價格低就餐點馬虎
炸豬排有些許不值得
巔峰用餐時段時常需要等待
建議可以避開
服務
內用
餐點類型
晚餐
平均每人消費金額
$1-200",5
