comment,rating
"拉麵蠻好吃的，料多豐富，味噌湯頭濃郁、鹹度適宜，套餐附的唐揚炸豆腐很好吃。
炸豬排丼飯～豬排很厚實，可是單吃稍微味道不足，需要沾醬。
服務
內用
餐點類型
午餐
平均每人消費金額
$200-400
餐點：4
服務：5
氣氛：4
建議的餐點
雞白湯味噌拉麵 原味, 日式炸豆腐",4
"今天到虎尾工作，因為時間尚早，又值用餐時間，於是選了這一間丼飯。
我選了雞排丼飯套餐，還不錯吃，特別的亮點是免費附贈的雞骨白湯，非常好喝，推薦可以試試白湯拉麵。
店內兩位男工作人員，把店內維持的整潔乾淨，非常難得，值得推薦的好店。
服務
內用
餐點類型
午餐
平均每人消費金額
$200-400",5
"牛肉料理選擇頗多，愛吃牛的能來這裡吃，除了牛肉外也有雞肉、豬肉產品。
沒有冷氣！！如需吹著冷氣才能好好享受料理的，不推薦你來這裡。
有飯點、麵點可供選擇，也能選擇你要單點還是套餐。
有免費供湯。
服務
內用
餐點類型
午餐
平均每人消費金額
$200-400
餐點：5
服務：5
氣氛：4
建議的餐點
唐揚炸雞, 唐揚豆腐 溫泉蛋 時蔬",5
"Cp 值不高。
先說今天點了雞肉丼飯和豬肉丼飯。
雞肉，醃的不夠味。
豬肉則是太柴太乾。
至於附贈的[味噌湯］（應該是吧）喝起來怪怪的口味，或許是我習慣喝日式的味噌湯吧。

說到氣氛，其實也還好。
如果這樣的價位，理論上應該要免費加飯（至少也要免費加一碗），
開丼或者是很多丼飯店都免費加飯，或者是乾脆一桶飯放著讓你免費裝。
基本上大家也不可能吃太多。
而且，坦白說，您們的碗真的不太大，以一般男生應該吃不飽。
所以後來我們又去吃了其他宵夜。
換算下來
兩個人吃近500左右（400多），cp 值真的不太高。
不過……
可樂很好喝👍
服務
內用
餐點類型
晚餐
平均每人消費金額
$200-400
建議的餐點
唐揚豆腐 溫泉蛋 時蔬",3
拉麵微辣湯好入口，不過這室內溫度快跟室外差不多了，音樂又特大聲，有點阿雜,4
"餐點非常好吃，有免費雞湯可以喝。唯一比較可惜的是店內沒有冷氣，夏天中午去有點熱！
服務
內用
餐點類型
午餐
平均每人消費金額
$200-400
餐點：5
服務：5
氣氛：4
建議的餐點
極盛牛肉丼飯",5
"麻油雞湯麵真的味道超讚的👍
小孩的豬排分量多價錢也不高，真的很佛心❤️
服務生還貼心記得我有詢問過室內的座位❤️
一有空位立即告知我換到裡面😁（重點我還沒有要求一定要通知我喔😊）
服務
內用
餐點類型
晚餐
平均每人消費金額
$200-400",5
"從大學時就有來吃了
雞白湯不錯
餐點：4
服務：4
氣氛：4",4
"餐點備註雞腿焦一點，你這完全焦的就是盒子？
把盒子燒了拿出來給客人吃嗎？
餐點：1
服務：1
氣氛：1",1
"雞白湯免費取用，翻桌率很快，不用等太久。
服務
內用
餐點類型
晚餐
平均每人消費金額
$200-400
餐點：4
服務：4
氣氛：4
建議的餐點
雞白湯味噌拉麵 原味, 黯然銷魂飯",4
位於路邊，雲林故事館對面，鄰近布袋戲館，附近也有收費停車，方便順遊，內用有室內室外座位，店員都是年輕人，也都很客氣，麻香牛肉麵還不錯，但湯喝起來就是有種吃蔥燒牛肉泡麵的感覺，雞白湯底的拉麵也還不錯，內用就有雞白湯可自取，牛丼飯倒是覺得稍普通，青菜也普通，可能期待比較高，畢竟網路評價頗好，套餐選項有溫泉蛋、青菜、汽水等等的 ，也有組合餐，價格不算貴，一飯兩麵+豆腐+青菜+溫泉蛋剛好$500。,4
