comment,rating
"不是普通的黑白切，有豐富的餐廳菜色！口味深得消費顧客的認同！你可以來試試啊！好吃的！
服務
內用
餐點類型
晚餐
平均每人消費金額
$200-400
餐點：5
服務：4
氣氛：4
建議的餐點
開胃小菜 香菜花生我最愛",5
"一次聚會朋友帶去 每一道都很夠味 很適合🍺下酒
第二次到訪家人聚餐 其中點一道香菜蚵仔 有點較不新鮮 比較可惜

讓人印象深刻聚餐想到這一家 是他們的服務很親切
服務
內用
餐點類型
晚餐
平均每人消費金額
$200-400",3
海鮮麵超級好吃．．三杯青蛙，松板豬，炒螺肉，炒鱔魚都不錯．．另外小菜花生也很棒,4
"老闆親切 餐點好吃
服務
內用
餐點類型
晚餐
平均每人消費金額
$200-400
餐點：5
服務：5
氣氛：5",5
虎尾好吃的快炒店，炒工了得，上菜速度快，店面不大！如果想吃可以先訂位！,5
非常好吃，老闆很熱情招呼，店內座位不多，建議先訂位，今天點薑絲大腸、香煎松板豬跟燙青菜，都非常美味，推薦給你們,5
"很localㄉ快炒
老闆的態度很親切👍🏻
隔壁坐一大桌猴子喝酒蠻吵ㄉ，想體驗什麼氣氛的話這裡沒辦法
有一道麻油什麼雞超讚ㄉ，連薑母都好吃🥺
炸蚵很大顆，但是粉比隔壁母猴臉上的還厚，有一點點🤏🏻失望
炒麵也很會炒，我不太喜歡吃炒麵，所以被我稱讚的炒麵都很屌😎🥸🤓",5
"雞肉飯+蛤蠣湯美味、不貴、好吃😋
餐點：5
服務：5
氣氛：5",5
"很多老闆的拿手菜好吃
服務
內用
餐點類型
晚餐
平均每人消費金額
$200-400
建議的餐點
開胃小菜 香菜花生我最愛",5
"快炒類的火侯掌握的剛好，上菜速度快
人多的話建議可以先訂位",5
"好吃，服務好！
餐點類型
晚餐
餐點：5
服務：5
氣氛：5",5
"海鮮炒麵，個人感覺優！
服務
內用
餐點類型
其他
餐點：4
服務：3
氣氛：3",4
意外地發現蠻好吃的，老闆也很客氣，每道菜都有精心搭配，不會太鹹，味道很好。可惜只能和付現，不過可以收紙本五倍券。外甥女也說會很好吃😋 …,5
味道不錯，餐點好吃,5
朋友介紹第一次來，一定要點三寶-烤豬肉，酥炸粉腸，炸雞肉，是用苦茶油炸的，與酥脆的薑片搭配十分美味。,5
滷肉飯好吃，另外5道菜只有客家小炒不太ok其它都還蠻好吃的,4
很低調的外觀，裡面藏著好吃的料理，出乎意料的好吃，松阪豬很脆很好吃，湯超大鍋，老闆超級和善又客氣，釣完蝦去吃晚餐，因為那天去老闆剛好有空還免費幫忙料理，料理的好好吃😋 …,5
平價好吃，麻油料理為一大特色，適合朋友小酌（不要喝太多酒）,5
東西好吃有特色，尤其是三寶菜,4
菜色很多，招牌是一道什麼雞的忘記了，抱歉，可以喝酒的好地方,5
食材新鮮，料理口味棒，價格實在。,5
東西不錯吃 20年老店 座位少了些 值得去嚐嚐,4
"雞魯飯超好吃 所有小菜都好吃
推薦～",5
三五好友聚集的好地方，菜色美味吃飯或喝酒都不錯哦！,4
推薦滷肉飯跟雞滷飯！超好吃！,5
啥都好吃,5
好吃的沒話說,5
必點爆香雞肉.真的非常好吃,5
料理好吃，但價格不算便宜,4
感覺生意不錯 熱炒有味道,4
便宜實惠!!聚餐小酌的好地方,5
東西不錯吃 選擇多,4
家常菜非常好吃👍🏻 …,5
東西好吃，親切的服務,5
適合聚餐的地點,5
古早味的口味,5
價格便宜 菜色豐富,4
平價，親切，味美！,5
三寶好吃😋 …,5
魯雞飯！讚讚讚,5
炸粉腸好吃,4
"約朋友吃宵夜的地方
服務
內用
餐點類型
其他
平均每人消費金額
$400-600",3
餐點好吃,4
平價好吃,5
好吃,5
服務態度優,5
不錯吃,4
"分量少
服務
內用
餐點類型
晚餐
平均每人消費金額
超過 $2,000",2
超讚,5
喜愛的古早味,5
價格高,3
親民,4
不錯吃,2
好好吃,5
"這家店對於日本人來說似乎很難進入，但是工作人員很友善。
米飯便宜又好吃。
餐點：5
服務：4
氣氛：3",5
,5
"關於野豬...噗
餐點：3
服務：5
氣氛：4",5
,4
,4
,5
,5
,5
,4
,5
,4
,5
,5
,4
,5
,5
,5
,5
,5
,5
,5
,5
,5
,3
,3
,4
,3
,5
,3
,4
,5
,4
,5
,5
,5
,5
,4
,4
,5
,5
,3
,5
,5
,5
,3
,4
,5
,5
,5
,5
,1
,5
,5
,4
,5
,4
,3
,5
,4
,5
,5
,3
,4
,5
,5
,4
,5
,5
,3
,4
,5
,4
,5
,3
,5
,5
