comment,rating
"朋友推薦來嚐鮮、店主服務親切也會推薦餐點特色、烤物調味跟口感都不錯、會想再回訪的店👍👍👍
服務
內用
餐點類型
其他
平均每人消費金額
$400-600
餐點：5
服務：5
氣氛：5
建議的餐點
烤雞腿, 牛肉丼飯",5
"牛丼 烏龍麵主食的部分不錯剛好都一人份
鯖魚、青椒、黑板的羊肉串都很好吃
烤青椒有嚇到第一次吃到那麼好吃的青椒
餐點：5
服務：5
氣氛：4",5
"感覺這家的生啤比較大杯
整體上菜色都不錯吃，
唯一美中不足的是沒有送小盤的前菜（去過的居酒屋都會先送一盤小菜），只能先乾喝生啤等菜😆 …",4
"每週幾乎都會前去一兩次的居酒屋 因為就是喜歡放鬆的感覺 最近秋蟹肥美 只要有好食材老闆會通知一下 簡單的料理最能吃到海鮮的鮮甜美味 很謝謝主廚老闆的照顧 能讓我們在雲林小鄉鎮 吃得到高檔的食材料理。庒腳的串燒也非常好吃😋
服務
內用
餐點類型
晚餐
平均每人消費金額
$600-800",5
"食物好吃 老闆親切 停車方便
服務
內用
餐點類型
晚餐
平均每人消費金額
$400-600
餐點：5
服務：5
氣氛：5
建議的餐點
烤雞腿, 牛肉丼飯
停車位
很多停車位
附近的停車場
付費停車位
停車場
位子多 價格便宜",5
"老闆親切跟客人互動，加上燈光氛圍非常棒，餐點味道極佳吃起來真的好吃！！！
服務
內用
餐點類型
晚餐
平均每人消費金額
$800-1,000
餐點：5
服務：5
氣氛：5
建議的餐點
烤雞腿",5
"滑蛋牛肉烏龍麵的牛肉很厚，肉有嚼勁，但是很好咬，牛肉吃起來也很香！烏龍麵也很Q
麻糬口感很剛好，必點！
香菇烤得很好吃，胡椒下得有點重，調味建議可以放調味罐給客人使用",5
老闆很親切，杏鮑菇很嫩蠻好吃，牛肉丼的肉是滷的也不會死鹹,5
"東西蠻好吃的，但是價格不算便宜，或許兩人來可以點更多。
串燒類真的很好吃😋，可以點。
服務
內用
餐點類型
晚餐
平均每人消費金額
$600-800",4
"老闆很熱情！
價位親民，四個人點了兩個主菜，湯，甜點，兩份炸物，吃的算有飽！",3
"餐點好吃
大推豬排丼飯
老闆親切
而且好停車
會再來訪
服務
內用
餐點類型
晚餐
平均每人消費金額
$200-400
餐點：5
服務：5
氣氛：5
停車位
很多停車位",5
