comment,rating
"過用餐時間還是有人潮
料給的大方 可惜飯不夠軟爛 少了些粥的感覺
但整體還是不錯的 偏清淡～
從$65吃到現在$85
肉鬆超好吃🥳🥳
服務
內用
餐點類型
晚餐
平均每人消費金額
$1-200
餐點：4
服務：4
氣氛：3
建議的餐點
皮蛋瘦肉粥",4
"來到虎尾被推薦來巷弄的鍋燒麵
對面有滷味跟鍋燒麵同一間的滷味超香 菜搭配滷汁 超好吃 老闆與老闆娘人又很客氣 推推👍
服務
內用
餐點類型
晚餐",5
"湯頭很清甜，喝完不會口乾舌燥
煙燻脆腸也好吃～",5
"湯頭超讚用料實在👍👍
對面滷味攤也是老闆經營的，口味也超好
在地人推薦來虎尾必吃🤤🤤 …",5
"鍋燒意麵不用多說，大學吃了四年，只能用超好吃來形容啦！！！
滷味是闆娘新開的，也是超好吃，滷汁很香，在車上都忍不住流口水了🤤，一定要加辣，更香！！
服務
外帶
餐點類型
晚餐
平均每人消費金額
$1-200
建議的餐點
加大鍋燒意麵",5
"不論是鍋燒麵還是滷味全都是真材實料👍🏻
尤其是滷味，味道都充分的滷進食材裡頭，根本不需要過多的滷汁去泡著上桌，每每上桌都是色香味俱全的美食小吃🥰
說再多都不及親自試過嚐過，真心推薦給喜好滷味的饕客親自品嚐🫶🏻
老闆娘為人客氣誠信老實！ …",5
"老闆親切，人也很客氣，重點是東西也好吃，會讓人想一直回去買！！！
回訪相當多次，環境保持得很乾淨，食材新鮮，令人吃起來很安心很舒服。
個人給五星，因為真的很讚，推薦大家來吃！！！",5
吃那麼多滷味第一次看到有九層塔跟辣蘿蔔的組合，沒想到竟然非常好吃，而且價格也不會很貴，之後還會常來光顧,5
"因搬來土庫，之前常去中央路吃，土庫從開幕還沒漲價期就買了
每次火鍋料都切三分之一 蝦一隻蛤蜊2顆 丸子一顆菜幾片 肉絲超級少 每次說沙茶多一點 每次還是跟吃湯麵一樣沒味道。我覺得要漲價東西也不能越來越差吧..（以上跟總店差超多！！！要不是比較晚吃沒店還真不想買這間，來總店評價是要反映給總店知道，但總店品質五星
服務
外帶
平均每人消費金額
$1-200",5
"東西很好吃，但就是不好停車
服務
內用
餐點類型
晚餐
餐點：5
服務：5
氣氛：4",5
"不用劃單直接口頭與老闆點餐，老闆蠻熱情會閒聊一下，鍋燒以這價格表現不錯，菜色豐富（有海鮮、肉、蛋、菜），湯頭不會太鹹，送餐速度頗快！巷子內都找得到停車位～
服務
內用
餐點類型
晚餐",5
"配料豐富大碗好吃！在萬物皆漲的時刻真的是物超所值！
服務
內用
餐點類型
晚餐
平均每人消費金額
$1-200
建議的餐點
皮蛋瘦肉粥",5
"從26歲吃到現在36歲了..
從住虎尾 搬到台北 還是忘不了的好滋味
老闆娘老闆人都很nice
湯頭超鮮甜 意麵也是我吃過最好吃的 軟硬度煮得恰到好處
別看這一小碗鍋燒麵..裡面的配料 也是經過精挑細選 鮮度維持的很好
生意很好 等候是值得的
評著評著 口水又快流下來了 「餓🤤……」
😂
服務
外帶
餐點類型
晚餐
平均每人消費金額
$1-200",5
"份量不小 味道也不錯
價格也沒有說很貴
但烏龍麵整個超軟爛真的是完全無法接受..
店內有冷氣 但還是有點熱",3
湯頭很好喝，份量也很大碗，麵的口感不錯，只是人很多等的有點久,5
"鍋燒意麵料滿多的，湯頭很棒，平常我不喝湯的，這次把湯喝光光😆
服務
外帶
餐點類型
其他
平均每人消費金額
$1-200",4
"剛好趕上收攤去買的
店家資訊寫1:00結束營業是錯的
正確的營業時間是到12:00喔
大家注意一下不要白跑一趟了
想吃可以先打電話預約
阿姨人很好 鍋燒麵也超好吃
推爆ouob",5
"份量滿大碗 還不錯吃 但是料的部分很少
生意好的時候裡面會沒有位子
粥類60、70，鍋燒70 餐點內容物比下來70稍貴",3
"高端的服務 買鍋燒雞絲麵送袋子 夠胎哥🤙
拒絕往來戶 謝謝
餐點：1
服務：1
氣氛：1",1
"超好吃虎尾必吃
平均每人消費金額
$1-200
餐點：5
服務：5
氣氛：5",5
"價格便宜、份量夠大
廣東粥和鍋燒麵都很好吃
不過生意太好需要耐心等待😆 …",4
等了30分鐘餐點才到齊，鮮魚粥還不錯，鍋燒冬粉口味普普且份量偏少,4
"我只能說是雲林意麵天花板，老闆娘的湯底都是自己熬的，還喝得出果香！
服務
內用
餐點類型
晚餐
平均每人消費金額
$1-200",5
"碗這麼大 料就這麼一點點？ 我是來吃碗的嗎？
餐點：1
服務：1
氣氛：1",1
出餐速度快，這樣的料七十元算很便宜了，好吃都吃光光了,5
"平價優惠 CP值高
味道很棒
即使客人很多
老闆不會臭臉
客人真的很多 要有心理準備",5
"學生加十塊有加麵，麵好吃不軟爛，環境不錯，但是位置屬實有點少
服務
內用
餐點類型
晚餐
平均每人消費金額
$1-200
建議的餐點
加大鍋燒意麵",4
"價格份量食材不錯👍 麵類味道不錯 😀
但粥尚可 粥擺盤的方式及容器會讓食慾減少，整體再粥的表現普通😐 …",3
"廣東粥好吃~料很多，粥類除了油條外還附肉鬆，吃起來超滿足👍
鍋燒類麵比較軟爛，建議加辣比較好吃~ …",5
湯頭很好喝且份量多😍 …,5
"味道尚可，但不畫單，所以都不知道有沒有照順序，問了之後，還忘記客人要吃啥～不推！
虎尾要吃鍋燒的話，推伊府將；有冷氣，也有畫單機制",1
"價格真的超級親民！每次去都很多人在排隊等餐點，老闆跟員工都很親切！
粥類都很好吃，而且還會加肉鬆，超級特別！！推薦！！
服務
內用
餐點類型
晚餐
平均每人消費金額
$1-200",5
"御鑚小廚的滷味很好吃
服務
內用
餐點類型
晚餐
平均每人消費金額
$1-200
餐點：5
服務：5
氣氛：5",5
吃到菜瓜布絲 跟蟲⋯,1
"餐點還行， 但是生意太好 內用要等40-50分鐘..
建議 點餐用排單 ..
比我晚來我已經等了45分鐘 抱怨後卻先出餐，
這已經不是好不好吃的問題了。
唯一讚許的是工讀生弟弟的服務態度
許多客人受不離開 他很無奈跟大家說抱歉。",2
"人很多，要等
店內有冷氣但不涼",4
"外帶可以事先打電話(常要20分以上)
都吃不加沙茶的鍋燒麵類 試過不加就沒啥味道
推薦廣東粥 口味好 料多
目前最喜歡吃的廣東粥",4
"鍋燒雞絲湯頭棒👍，廣東粥份量十足很有飽足感~
※因為客人多，需等待~
希望饕客們能體諒老闆們的辛苦~ …",5
"鍋燒意麵很大碗
但整體而言整碗是湯多料不多
價格偏貴！
從幾年前從一碗50元一直漲到70元
個人偏愛廣東粥~好吃",2
"粥品還可以，
但是每次打電話預定後到現場還是一樣沒煮，所以很疑惑到底是否可以電話先預訂？",3
點了粥來吃，分量很多，口味跟口感都不錯～用餐當天客人不多上菜很快👍🏻 …,5
"說點餐可以直接講就好
結果點完坐了半個小時
還來問我點單了沒？
不是來跟我確認我點了什麼
是問點了沒？？？？
再點了一次才開始做
記不住顧客的點單就劃單子好嗎
忘記點單還一句不好意思都沒有
態度太差勁了不會再來第二次
不過外面排隊這麼長，少做一個人的生意店家應該也不在乎吧，呵呵。",1
前天第一次去購買，人超多，排隊的人也很多，站在現場排隊，電話一直進來，超多人，雖然等了一下子但是帶回家是好吃的，老闆與服務人員態度也沒有因為很多人態度不好，值得推薦的好賣家!!!!!!!,5
"好吃又大碗，CP值超高！
而且還可以加大，完全滿足大胃口💕
價錢也不貴，是在地人的口袋名單
不過有一個大缺點就是太好吃太多人了😂
建議可以打電話預定，吃飯時間肯定要等
但，美食總值得等待👍👍",5
內用等了半個小時以上，都只先做外帶的。肚子餓個半死、手機用到沒電，都還沒有送餐，氣到離開時，才說要做我的,1
每次去都爆滿，因為人太多都想要減一顆星了╮(▔▽▔)╭ ，湯好喝，有自信說賣到湯沒有才收攤的店家真的有一定水準,5
"昨天去買了兩份鍋燒意面當晚餐

老闆、老闆娘（不確定），手速頗快
夾料、烹調加熱
在幾分鐘左右，就能完成一份鍋燒麵或粥

對於顧客各種繁瑣的要求
（加大、不加蔥、蝦換肉、不加沙茶…
各式各樣的組合，我沒想過鍋燒麵可以這麼複雜）
也幾乎都能神奇的記住、配合

即使料理的動作很匆忙，
但對於顧客的詢問，仍然很客氣的詳細回答

雖然料理完成的速度快，但生意實在太好了
太多的單需要消化
實際等餐等了頗久…

我老婆對於鍋燒意面的評價還不錯
不過我個人認為是中規中矩
就是一般常見的鍋燒麵

料不多、蝦子中偏小
肉片與青菜一般，沒有缺點、也不突出

考量到一份70元的價位
我並不認為是CP值很高的鍋燒麵
（但我老婆覺得物有所值）

附近區域原本就不好停車，
店家位置更是在機車才能通行的巷弄內
想開車前往用餐，可能要考慮一下

總結是雖然不是很厲害的鍋燒麵
但喜歡鍋燒意麵的，可以前往一試～",4
"我吃過最好吃的鍋燒意麵
餐點：5",5
"推薦豬肝皮蛋粥
豬肝嫩，量多
生意很好
不排隊恐怕吃不到
電話預訂有時還得等候些許
但真的值得等
服務
外帶
餐點類型
晚餐",5
板條 意麵跟外面的不太一樣有點失望 碗超大讓人誤以為很大碗 視覺效果 女生吃一碗80 70當晚餐吃不飽 價格偏高 只適合當宵夜,1
"平價美味的海鮮粥
人客滿座",4
"好吃，點了瘦肉粥，不但有滿滿的瘦肉，還放了一顆蛋~
服務
外帶
餐點類型
晚餐
平均每人消費金額
$1-200",4
"沒有菜單 點了半小時餐還沒上 結果根本忘記我們點了什麼
比我們晚到的都吃完走人了我還沒吃到
傻眼
鍋燒和粥70沒有評論說的那麼好吃 偏貴
還有如果有本事不用菜單 就要把顧客的餐記起來",1
生意好，點餐後要稍等，甚至偶會頗久，倒可先去電預訂；粥還不錯吃，C/P嘛！勉可啦！,3
點完餐站在店門前等了半小時，結果忘記還來問我點了什麼，有意思嗎？,1
個人認為是最好吃的鍋燒意麵&粥，在外生活吃了許多的鍋燒意麵，都無法媲美這一家的味道，只是因為生意太好，常常要等很久,5
"虎尾最好吃的鍋燒麵，是絕佳宵夜首選！！！
不過現場等要等有點久，建議先打電話說要外帶哦：）",5
"內行人都知道晚上要去哪裡吃鍋燒意麵
人真的非常多，都要等上半小時以上，
建議先問老闆，不然真的要等很久",5
好吃又新鮮，湯頭有感覺用心熬煮，滿滿的料只要70大洋，老闆真的很佛心,5
"湯頭好，用料實在，生意很好有時須久候
服務
外帶
餐點類型
晚餐
平均每人消費金額
$1-200",5
好吃又大碗（大推,5
"這家就算預定也要等30分鐘
真的是美味
超值得等待的
服務
外帶
餐點類型
晚餐",5
不管是廣東粥還是鍋燒意麵都很好吃 只希望餐具不要用免洗的 容易吃到塑膠,5
"好吃
看運氣要不要排隊
餐期一排就半小時起跳
建議可先電話訂購",5
湯頭還不錯，但從50吃到65元，就…很少去了…現在70…呃…,2
粥甚獲家人好評，吻仔魚粥吻仔魚又大又多，鍋燒麵就還好，是值得來訪的店家，不過要等喔,4
"鍋燒意麵很好吃！
一定要先打電話預訂，不然真的等太久了..",4
好吃哦，料多實在！,5
"非常好吃 對學生非常好的老闆娘
餐點類型
晚餐
平均每人消費金額
$1-200",5
晚餐時間要等很久，但東西不錯,5
"她的鍋燒意麵真的好吃！
但用餐時間人真的很多！",5
給五分料好實在！！超好吃！先電話預訂不然要等,5
老闆沒能力，也不用菜單，比我後到的先送餐再問我點了沒，爛透了！,1
"好吃~價格合理
用餐時間常需等待
可先播電話外帶",5
等了40分鐘，一點問候一點招呼也沒有，就算在好吃也沒用，反應了也沒用，晚來的還比我早拿到，真是誇張,1
"外帶做完一輪了
內用等了四十分鐘都還沒做
真的是謝囉😴 …",1
"好吃，但現場通常需要排隊等候
建議提早打電話預約會比較方便",5
人很多，等很久，趕時間別去，內用坐位擠。很大碗，吃的很滿足。,4
晚餐時間人超級多要排很久，建議開店就去吃，海鮮料多大碗美味,4
平價好吃，但不好停車；點餐至出餐最慢需半小時,5
"從50變成55現在變成70了........
已經不是高cp值的鍋燒麵了",4
好吃😋但也等太久了吧！建議先打電話訂餐 …,3
好吃  嘴饞想吃時候，每次去人好多要等超久,5
超級好吃，但是福民老街警察開單開很兇,4
宵夜的好選擇，品項大多70元以下，料多好吃價格實在。,4
"好吃
餐點：5
服務：5
氣氛：4",5
超好吃，缺點就是人好多都要等好久😄 …,5
大學生最愛大份量飽足感十足！餐點美味,5
比台南有名的鍋燒麵都還好吃！,5
使用的水瓶，裡面還有青苔，還倒在麵裡煮🤮 …,1
"漲價也沒差
吃的是回憶
永遠的第一名",5
內用等了一小時還沒好只做外帶的,1
湯頭好，料多。大碗的太大碗了...,4
人多，真的要先打電話去再去拿，不然要等很久的~~,3
好吃又便宜，料多實在~,5
料多味美，價格平實。推,4
開到滿晚的 便宜口味偏清淡 還滿不錯的,4
很厲害的鍋燒意麵，深得許多大學生的口袋名單,5
"料多實在
服務
外帶
餐點類型
晚餐
平均每人消費金額
$1-200",5
湯頭美味 料多CP質超高,5
不錯人都很多,4
推薦粥品料多實在又好吃,4
便宜大碗，但晚餐時間需要排隊久候,4
"好吃 不會等太久
服務
外帶
餐點類型
晚餐",5
"湯頭好 食材鮮！
服務
內用
餐點類型
晚餐",5
料好，六點後開始要排隊,4
虎尾~生意興隆  榜上有名的店家，不錯吃,4
平價好吃，熱呼呼的，宵夜的好選擇,4
"別家鍋燒麵都可以關門大吉
最i御鼎🥰🥰🥰🥰 …",5
便宜大碗，虎尾鍋燒一把手,5
需要時間等待，因為好吃所以值得,5
好吃。老闆老闆娘很親切,5
料多實在，料理非常快速,4
湯頭極佳，用料新鮮,5
全雲林最好吃的鍋燒麵及粥品,5
"好吃 ，滷味也好吃
服務
內用
餐點類型
晚餐
平均每人消費金額
$1-200",5
生意很好，料多實在,5
好吃～又新鮮,5
老闆的湯頭喝的出用心,4
有著古早味的家味麵!,4
好吃的粥 很飽足感,5
東西好吃，價格親民，讚,5
湯頭不錯,4
好吃實在又便宜,5
"好吃
服務
外帶",5
湯頭不錯,4
好吃～料實在,5
虎尾最好吃的鍋燒麵,5
好吃的粥，好吃的鍋燒麵,5
來虎尾一定要吃的粥！！！！！,5
超讚,5
好吃 大推,5
已停業,1
好吃唸唸不忘,5
粥...就真的整碗都是粥,2
嗯,5
學生優惠讚,5
料好實在,5
廣東粥大推,5
"好吃
服務
內用
餐點類型
晚餐",5
鍋燒意麵,5
排隊排很久,4
,4
湯頭很好,4
便宜好吃,5
非常好吃,5
生意很好。,3
份量不錯,4
擁擠,3
經濟實惠,4
口味不錯,5
好味道,5
料好實在,5
真的好多！,5
低調美食,5
好吃,5
,5
好吃,5
好吃,4
好吃,5
好吃,4
好吃,4
好吃～,4
,4
,5
,5
,5
,5
,5
,5
好的,5
,2
,5
,5
,5
,5
,5
,5
,5
,5
,4
,3
,5
,4
,5
,5
,5
,5
,3
,5
,5
,5
,5
,4
,5
,5
,5
,5
,4
,4
,4
,5
,4
,5
,5
,1
,5
,3
,5
,4
,4
,5
,5
,4
,5
,5
,5
,3
,5
,5
,5
,5
,4
,5
,5
,5
,5
,4
,4
,5
,5
,5
,5
,5
,4
,4
,5
,4
,5
,5
,3
,3
,5
,4
,5
,1
,4
,5
,5
,5
,5
,5
,4
,3
,5
,5
,5
,5
,5
,4
,4
,5
,5
,5
,3
,5
,4
,4
,5
,5
,5
,5
,5
,5
,5
,5
,4
,5
,4
,5
,3
,5
,5
,5
,5
,5
,4
,5
,5
,4
,3
,5
,5
,5
,4
