comment,rating
"用餐時間：2023/09/04平日中午11點（颱風假毛毛雨）
環境雅致舒適，美式風格裝潢，出餐很快。 … 全文",5
"服務很好 儘現金及台灣pay支付 不可刷卡
車位不好停 旁邊有小小的付費停車場
白醬蛤蜊義大利麵 蛤蜊多顆 白醬不膩 … 全文",4
"附近停車資訊：斜對面有小停車場半小時30，吃了一小時多只有60元，支援Line pay/台灣Pay/街口支付等等電子支付很方便。
微樂評價：擺盤與多樣化的餐點，出菜快也好吃，也可以久坐。可惜只有支援現金與台灣Pay，有些不方便，但瑕不掩瑜。 全文",5
"虎尾CP值很高的義式餐廳，海鮮還算新鮮，但服務待加強，同行友人的餐點漏做🥲 …
服務
內用…
全文",4
"餐點（素食-野菇義大利麵）
片狀杏鮑菇，全部黏在一起，連叉子撥都要用力才能撥開，味道吃起來就是調理包的味道，賣這個價錢真的不會再來了。
服務小姐緊急補一份石鍋拌飯的餐點，服務算是非常周到
但是餐點品質很驚人，不會再來了 全文",1
"冬瓜鮮奶是冬瓜➕奶精不是鮮奶
蜂蜜鬆餅的蜂蜜是蜂蜜糖漿➕水稀釋😂 … 全文",2
"餐點選擇多，價格不貴。用餐環境舒適，店員也很友善。燉飯較普通，濃湯不錯喝，現打果汁跟飲料也不錯。
服務
內用…
全文",4
"焗飯好吃、雞腿咖喱飯好吃，份量充足！
環境乾淨、放鬆，座位間隔大，不會太擁擠。
對面有小停車場可以停車。
服務
內用…
全文",5
"好吃的餐食，但用餐環境會聞到油耗味，不悅的氣味，降低了享食的美味
服務
內用…
全文",3
"蠻普通沒什麼特別的,份量和價格這樣算下來算貴,因為份量沒有很多,然後石鍋拌飯的肉吃起來有種怪怪的味道,至於其他沒有不好吃只是普通。
服務
內用…
全文",3
"Cp值很高的餐店，從下午坐到晚上，點了兩輪餐點，後面忘記拍！
很推薦喔！
服務
內用…
全文",5
"店家位置在角落 非常好找
如果是開車附近非常不好停
建議直接停附近的停車場 … 全文",5
"環境挺好的，
海鮮總匯濃湯：料很少不值得這個價格
招牌海鮮燉飯：有蝦、蛤蜊、干貝 算實在 … 全文",4
最近內用的人感覺不多，櫃檯的服務人員態度很好，金黃炸蝦義大利麵200元，蜂蜜鬆餅85元，鬆餅還不錯吃，店內的環境蠻舒適的，也很適合拍照,4
"昨天和朋友一起聚餐！最近蠻常去吃，也知最近物價上漲很明顯～但我必須說狠誇張😱
我每次都點素食的石鍋拌飯說真的一份$160
內容物只有紅蘿蔔絲.木耳絲.豆芽菜.四色豆～又沒肉沒魚只有這些菜也沒很貴欸⋯居然也縮水量真的很不好感受好嗎😓？ … 全文",2
咖啡跟一些餐點都不錯，服務人員素質也還可以，值得在光顧的店家,4
"不推薦！
點了炸蝦白醬燉飯、招牌焗烤白醬燉飯、伯爵奶茶
1.米粒沒熟，吃起來像微波食品，不符合價格 … 全文",1
"餐點好吃，廁所乾淨，環境舒適，很值得再訪
服務
內用…
全文",5
"味道很化學
看似價格很親民
實際上菜的餐點內容物很令人傻眼 … 全文",3
內部裝潢很有巧思，讓人眼睛為之一亮，放鬆愜意的用餐環境。上餐的速度很快，餐點中規中矩，口感上沒有讓人特別有印象。,4
