comment,rating
主餐有標價，但是還是不知道他算錢的標準在哪裡，阿姨說ㄧ格就是10$三格30$（可以多樣菜然後三格）再加主餐的錢，但是結帳還是被加錢了，雖然才5$，但是感覺不優，口味還可以普通，雞肉好柴好硬，菜有點油，附近有停車場，白飯/稀飯可以一直續，有提供熱湯跟紅茶。,3
真的好貴啊.......豬耳朵、炸蝦捲一條、一塊排骨這樣95元，重點在於菜還都是冷的！！...同價位在虎尾可以有更好的選擇。,1
有便當可搭配挑選，也可以單純夾菜回家加菜就好，大多數的主菜會有標價，沒有標價的菜色，就是店員自己估價，不太清楚如何估價，但買了幾次，感覺不會太過昂貴，製作的口味也算不錯，店員會主動推薦他們的好吃菜色。,4
德興市場阿莉素食後面，空間明亮寬廣，夏天內用略熱，沒有冷氣，主打80道菜可供選擇，配菜不錯，主菜價格跟份量標示非常清楚，一份正常份量的便當大約60~70元，還算平價，可惜炸物有點冷掉，如果能提供現炸就更好了,3
價格亂，隨意喊價，一樣菜連續好幾天吃好幾餐，且菜經常是冷的！捨不得給別人吃就別開自助餐了！夾同樣菜色，兩天價格竟不同！,1
菜色豐富 價格公道,5
"菜色多樣美味 價格實在
附餐免費的紅茶及熱湯都超讚👍
週六也有營業喔！ …",5
一樣菜10元，主菜有些會標出價格，有免費紅茶和湯，偶爾吃還可以,4
吃飯時間去菜都冷的，很難吃又貴,1
有標價 選擇多 味道還不錯,4
便宜好吃,5
東西好吃老闆很好,5
老闆人很好^^,5
菜冷又貴,1
還好,2
不好吃,1
,3
,5
,4
,4
,3
,5
