comment,rating
"主廚特製披薩真的超讚
可以自己灑上自助區的辣香料點綴😍

米蘭炸雞、提拉米蘇也都必點！！

好喜歡店內的擺設
第一次看到道地的威尼斯面具
今天這餐真的好幸福🥰
服務
內用
餐點類型
晚餐
平均每人消費金額
$600-800
餐點：5
氣氛：5
建議的餐點
提拉米蘇",5
"20231111
雙十一吃老爹披薩🍕
老爹來自義大利🇮🇹不太會說中文
讓我想到我沈默寡言但眼神充滿慈愛的祖父，
希望下次可以跟老爹多聊天～
店裡裝潢簡約，很舒適的氛圍，看得出有一些義大利裝飾的小巧思，燈飾下方有很精美的面具節裝置藝術，不曉得你發現沒有～

點了一份任性8吋的小孩披薩$159 & 肉丸義大利麵$240
只見老爹咻咻咻就把料鋪好送進烤箱，
然後不到幾分鐘pizza就熱騰騰出爐了！
比我在必x客下單還快！

重點這任性小孩（其實就是燻雞香菇）
餅皮是薄脆口感，披薩邊完全沒有烤焦哦💯
感受的到老爹是用熱情在料理美食～

至於義大利麵是天使細麵，很細很細那種
肉丸口感紮實，也不錯，但是我還是喜歡一般的義大利麵😆

對了，騎車來可以聽門口，開車的話就要在附近找一下停車位啦！
服務
內用
餐點類型
晚餐
平均每人消費金額
$200-400
餐點：5
服務：5
氣氛：5",5
"用餐環境明亮舒適，pizza是薄皮很脆很好吃;炸物拼盤很酥也很美味。
現在還提供拍照用的小牌子，很可愛!
服務
內用
餐點類型
午餐
平均每人消費金額
$200-400
餐點：5
服務：5
氣氛：5",5
"店內裝潢舒適，氣氛不錯。焗烤麵不錯，孩子很喜歡。披薩是薄片蠻脆的，還不錯。點了肉醬麵，是細麵，個人比較不習慣。薯條很酥脆好吃，濃湯是南瓜濃湯，較家常味道，蠻健康的感覺。
服務
內用
餐點類型
晚餐
平均每人消費金額
$200-400
餐點：4
服務：5
氣氛：5
建議的餐點
夏威夷披薩",4
"當天去，沒看到所謂的外國人老闆，裡面也沒什麼人，被告知當天沒有披薩可以點，不太清楚這邊的高評價是不是給披薩，就義大利麵而言，醬汁偏乾，味道也與過去吃過想像中的味道不同，個人不喜歡。

當天的套餐也沒有甜點，結帳後才告知是否要換飲料，應該要結帳前告知才是，後來換了飲料就是一般罐裝飲料。

除非有朋友推薦披薩很好吃，不然以當天的義大麵+套餐，三種義大麵都不推薦。
餐點類型
晚餐
餐點：3
服務：3
氣氛：3",3
"假日11點多還有很多空位，不需要預約；披薩的餅皮又薄又脆，蠻推薦的！
義大利麵的CP值有點低，兩百多的義大利麵只有一些碎肉，下次不會想再嘗試。
服務
內用
餐點類型
午餐
平均每人消費金額
$200-400
餐點：4
服務：4
氣氛：5
建議的餐點
披薩老爹",5
"第二次來訪，老闆兼廚師是外國人，非常親切！餐點好吃，環境也很舒服，熱熱的天氣，自取的白開水貼心的預先冰過，非常消暑！
披薩好吃，另外點的洋蔥圈很有洋蔥味，用料實在啊！
服務
內用
餐點類型
午餐
平均每人消費金額
$200-400
餐點：5
服務：5
氣氛：5",5
"我們參加了披薩老爹的DIY課程，真的是一次非常愉快的經驗。老爹是一位來自義大利的大叔，非常互動活潑且熱情。儘管語言不通，但他的熱情讓我們完全感受到了他的誠意。

在課程中，老爹教我們如何製作正宗的義大利披薩。他很仔細地講解每個步驟，讓我們能夠理解每個細節。他也非常耐心地回答我們的問題，並在我們感到困惑時給予指導。課程非常互動，我們每個人都有機會親自動手製作自己的披薩，並在老爹的指導下完成。

不只是老爹，老闆娘也非常照顧每一個參加者的心情。她總是面帶微笑，為我們提供所需的材料並關心我們的進度。她也會陪著我們一起笑，一起享受這個特別的時刻。

結果，我們製作出一個個美味的披薩，它們看起來不僅美味，而且創意十足。我們每個人都很驕傲地展示著自己的成品，並非常滿意。

大推🫶🏻
服務
內用
餐點類型
其他
平均每人消費金額
$400-600
餐點：5
服務：5
氣氛：5
建議的餐點
提拉米蘇, 夏威夷披薩, 披薩老爹
親子友善程度
DIY 課程 老爹會帶每一個小朋友手把手的操作 即便語言不通也用很大的誠意在陪孩子們體驗 真的很推～老爹真的很熱情 來虎尾的朋友千萬不要錯過披薩老爹",5
"比薩餅皮薄脆很好吃
義大利麵醬汁稍微少一點以外
整體感覺都很不錯",5
同學介紹的美食店！手工披薩🍕，好吃😋美味！義大利🇮🇹麵也好吃！老爹很開心的送菜，隨歌曲起舞，所以做出來的美食也會是美味的！烤雞跟提拉米蘇也是一絕！建議都可以吃吃看喔！ …,5
"八吋披薩照理來說直徑為20公分左右，但我們收到的披薩直徑連17公分都不到，而且配料很少，幾乎都是餅皮，有夠難吃。一碗40塊的濃湯，這個價錢我可以接受，但是一個260cc 的紙碗只給我裝到一半是怎樣，而且是忘記加調味料嗎？濃湯喝起來跟水沒什麼差別而且裡面只有五顆玉米。 總之，這次的用餐體驗很差，希望店家能夠加以改進，下次不會再光顧了。
服務
外送
餐點類型
午餐
平均每人消費金額
$200-400
餐點：1",1
"披薩薄脆，起司香氣足，
雞翅烤色漂亮，皮酥肉嫩
義大利麵Q彈，軟硬適中
南瓜濃湯口味天然
提拉米蘇的蛋糕體濕潤好入喉，層次鮮明甜度適中
服務
內用
餐點類型
午餐
平均每人消費金額
$200-400",5
"哇！真讓人驚艷！我從義大利回來，終於找到道地的義大利Pizza跟義大利麵，而且在雲林，雲林人真好福氣。強烈建議點Pizza跟義大利麵，然後個人私心推薦雞翅跟烤雞，超讚！
服務
內用
餐點類型
晚餐",5
"手工薄餅pizza，非常酥脆好吃！

菇菇G肉麵，由於是白醬的關係，吃到一半，開始覺得膩口…

濃湯的部分喝的出是典型西餐的濃湯，似乎能感受到麵粉的香氣，想起過去上西餐烹調課的日子…
服務
內用
餐點類型
晚餐
平均每人消費金額
$200-400
餐點：4
服務：5
氣氛：4",4
"披薩真的很好吃，今天坐著的位置還看的到老闆在做披薩
中途老闆出來還有詢問餐點如何，很親切",5
"披薩相當美味好吃
是薄皮酥脆的那種
推薦起司森林
層次十足加上西洋梨的甘甜
非常讚
服務
內用
餐點類型
晚餐
平均每人消費金額
$1-200
餐點：5
服務：4
氣氛：4",4
"蘑菇🍄意大利天使面好吃，海鮮披薩不錯，皮是我喜歡的薄脆，沙拉裡面有放藍莓很棒👍🏻！
服務
內用
餐點類型
晚餐
平均每人消費金額
$200-400
建議的餐點",5
"很棒的用餐體驗😋披薩好好吃😋😋，價格合理，還免費送了我們一碗松露薯條！！！很好吃！！！環境也很舒適，是聚餐的好地方👭🏻👭🏻
服務
內用
餐點類型
晚餐
平均每人消費金額
$1-200",5
"披薩餅皮是好吃的
白醬螺旋麵不錯 另一種蛋黃培根 麵太乾了 醬汁可以再多一點
點披薩方式很特別 有趣 吸引孩子好奇心 很棒～",3
"老闆是有故事的義大利人，簡單的英文聊天，加上老闆娘的中文翻譯，體驗道地的義大利現場手作披薩，口位清新，炸雞塊，馬鈴薯口感都有異國風味，值得嚐鮮...
服務
內用
餐點類型
午餐
平均每人消費金額
$200-400
餐點：5
服務：5
氣氛：5",5
"老爹超讚！整家店的氣氛很舒服乾淨
Pizza 是薄餅皮的醬／料搭在一起不互搶風味很喜歡
義大利麵的份量超多220CP值蠻高的，而且是台灣大多數店家吃不到的細麵還有Q度的那種💕💕
餐點：5
服務：5
氣氛：5",5
"從台北回鄉跟家人預約12:30四人，12:33分抵達時被告已把座位給現場其他客人，並未保留位子，現場需再重新等待，以此警惕之後客人最好不要預先訂位，訂位也會以現場為優先
服務
內用
餐點類型
午餐
服務：1
氣氛：1",1
"昨天跟臨時決定想吃披薩...
所以決定google 一下...
後來決定就是披薩老爹了

今天2個人第一次吃！
從裝潢到餐點以及服務人員，整體來說...
滿分十分我給到九分...
剩下的那一分可能是我覺得菜單比較少

今天點了2種披薩跟炸物！
挑食的我們2個一致覺得好吃...
跟以往吃到的不一樣！
是我喜歡的手工薄片
這家披薩店主廚是外國人...

好吃的餐點真的值得推薦！
有來虎尾的朋友可以來這吃吃看
我個人認為CP值不錯
2個人今天吃下來450元很可以👍

#披薩可自選料
#炸物很推

#斗六也有分店唷！",5
"老闆是外國人，店內裝潢有不少夫妻旅遊時的照片，很溫馨
Pizza很道地，味道調的恰到好處👍
但第一次吃到這麼細的義大麵，麵體跟湯汁的融合度沒那麼好，有點可惜
服務
內用
餐點類型
午餐
平均每人消費金額
$400-600",4
"Pizza很好吃，薄、脆，價格便宜，單人份量只要一百出頭.義大利麵比一般台灣義大利麵細、硬，但也很好吃.
沒想到竟然可以在雲林吃到這麼好吃的Pizza🍕 …",5
"非常適合家庭聚餐，披薩.義大利麵.薄餅都非常的美味
服務
內用
餐點類型
午餐
平均每人消費金額
$200-400
餐點：5
服務：5
氣氛：5
素食餐點
非常美味
親子友善程度
非常友善",5
"比較早到因為沒人，
結果10分鐘內客滿
還好早到，但建議還是先訂位
披薩是薄片的香酥可口
份量適中，小的也有切成6片
可以互相分享",5
"老闆是義大利人,披薩麵皮很脆是使用義大利進口的麵粉,價格便宜,我偏好義式薄皮不喜歡美式厚皮披薩,這次點香腸的,很特別的口味,香香甜甜的,義大利麵沒有湯湯水水就像在國外吃的一樣,但要趁熱吃,拍照拍太久會變較乾,炸物拼盤起司條很愛可以拉很長,當然也要趁熱吃,雞塊不是麥克雞,而是可以吃得到肉的雞塊,很軟嫰,薯條也是我愛的那種,不是那種白白的沒味道
整體上給9分,因為比較有改良過,加入台灣人愛的焗烤義大利麵,環境乾境,老闆人很友善",5
"點了主廚特製和瑪格莉特pizza，好吃。
口味很地道，洋蔥圈份量很夠，口感很好
服務
內用
餐點類型
午餐
平均每人消費金額
$200-400",5
披薩很推，天使麵吃起來跟紅麵線的口感有點像XD，濃湯不知道為什麼喝起來有點水水的，有點小失望，服務很親切，吃出餐也很快，整體而言很不錯，下次還會再來吃吃看…,4
"好吃 打卡送到變一個套餐
#雲林虎尾美食推薦 #義大利手工披薩
服務
內用
平均每人消費金額
$200-400",5
"義大利麵非常好吃、烤雞搭配薄餅真是太美味了，百吃不膩呀！
服務
外帶
餐點類型
晚餐
平均每人消費金額
$200-400
餐點：5
服務：5
氣氛：5
建議的餐點
波隆那肉醬麵, 義式香烤雞雞",5
老爹很熱情，也會貼心提醒用餐注意的地方，其他服務人員講解介紹的蠻清楚，可以自選披薩配料挺特別，薄脆餅皮披薩吃起來份量剛好，價格不貴，氣氛佳~,5
"瑪格麗特，跟我幾個月前在義大利🇮🇹吃的幾乎完全一樣， 起司很用心，味道真的是來自義大利，餅皮也是用義大利麵粉製作，只差在不是用燒窯製作少了那個餅皮焦味,但我懂那個很麻煩且成本。這個價錢CP質很高！我無可挑剔🥰😍超級開心，謝謝你讓我可以在台灣就吃到義式pizza, 還做出鳳梨的Pizza 😅. Grazie
下次會試試義大利麵。
服務
外帶
餐點類型
晚餐",5
味道單純簡單，卻能在簡單中，完全體現義大利料理的特色，真是不容易的一家店，點了肉醬義大利麵和瑪格麗特比薩，價格實惠，份量充足，絕對是一間值得一去再去的店。有機會再去到虎尾一定會回頭光顧。,4
"披薩很好吃、環境也很棒、老闆待人親切
平常想吃的口味都可以在菜單上找到，如果想試試看特別的，也可以拿起桌上的小玩具組合成「一肉三菜」製作出自己喜好的口味（而且原本就有提供起司作為配料）。若是跟三五好友一起吃的話，也可以點炸物拼盤，料多味美，令人食指大動。
用餐環境非常整潔清爽，裡面也佈置的一點異國風情，讓客人能體會到置身義大利用餐的感覺。
老闆娘和披薩老爹待人都非常客氣，有時用餐完，老爹還會主動問你他做的披薩好不好吃，雖然語言不通，但也能增加與客人的互動，讓人想要再次造訪。
此店家也有和Re紅包合作，付錢時拿出App掃碼可以賺取回饋金，而只要在店家用FB和IG打卡，也能免費享用一杯清涼解渴的雪碧或是可樂，總而言之，這家店能有五顆星真的是實至名歸🌟🌟🌟🌟🌟",5
個人蠻喜歡的一家店，老闆是義大利人，跟老闆娘一起在台灣落地生根，味道很傳統的義式風格，算是小鎮中的驚喜，離高鐵站不遠真心建議有機會可以來試試，而且特別的是桌上有兩個小鑄鐵鍋造型鍋，利用裡面食材模型點客製化的披薩，這個想法我覺得還蠻新奇的,5
"披薩上面一片片的好像是梨子(西洋梨？）、起司鹹鹹的，配起來鹹甜鹹甜。
服務
內用
餐點類型
午餐
平均每人消費金額
$200-400
餐點：5
服務：5
氣氛：5",5
"看了評論點培根蛋黃..
結果有種被雷到的感覺
麵有點太乾了 也沒有什麼蛋黃味
但起司森林披薩味道很不錯
要趁熱吃比較好吃！",4
