comment,rating
"抱糰料理工作室，虎尾建國眷村內，一位女兒與媽媽開啟的料理故事~~

菜飯(菜頭鹹飯)，配蘿蔔丁些許肉絲，混合紅蔥頭油香拌著米飯，用早期的花邊瓷碗盛裝，入口香氣十足不膩口，單吃也是不錯的選擇。

古早味白菜魯，扁魚及蹦皮這完全是古早味靈魂，完美阿。

QQ肉(筋肉)，適宜的八角香氣搭配醬香滷燒，肉Q不柴不爛下飯。

看似很家常的菜，卻傳遞著好客的溫暖，來客熟識話著家常，吃著便飯，忽然想著店名叫“抱糰”完全合搭，如久見親朋，團聚一桌吃個便飯聊聊家常~這就是女兒與母親所傳達的溫度，
叫做“抱糰”
服務
內用
餐點類型
午餐
餐點：5
服務：5
氣氛：5",5
"餐點好吃符合古早味的眷村風格，復古裝潢環境營造整體很棒，像小時候的古早厝，店家用心四處蒐集老餐具、桌椅，每樣物品都很有故事性。
服務
內用
餐點類型
午餐
平均每人消費金額
$1-200
餐點：5
服務：5
氣氛：5
附近的停車場
免費停車場, 免費路邊停車",5
"服務與味道都超有人情味，就像來到異地的另外一個家，擁有療癒難忘的夜晚，謝謝你們！
餐點：5
服務：5
氣氛：5",5
"用餐氣氛輕鬆，餐點份量剛好，簡單乾淨又好吃，咖啡香醇，最愛點心玫瑰銀耳～爽口軟濡
餐點：5
服務：5
氣氛：5",5
建國眷村裡的美食，中午光照進來超級美，老闆娘人很好又很漂亮，喜歡～,5
"年輕闆娘態度很好、純樸古早味美食、氣氛不錯👍
服務
內用
餐點類型
午餐
平均每人消費金額
$1-200",5
"餐點好吃！很有「家」的感覺💚
人員都很熱情！環境也很舒適！
服務
內用
平均每人消費金額
$1-200
餐點：5
服務：5
氣氛：5
停車位
很多停車位
附近的停車場
免費停車場, 免費路邊停車",5
"獨特的媽媽料理～
很好吃，愛吃肉或愛吃菜都可以跟老闆說，會幫忙配菜，感覺貼心！",5
"深藏在虎尾的當地美食，兒子難得開金口吃飯，
好吧…闆娘超美
服務
內用
餐點類型
午餐
餐點：5
服務：5
氣氛：5",5
"超讚！超有人情味，很像媽媽的味道
餐點：5
服務：5",5
"紅燒肉 加了四次....好吃
餐點類型
午餐
平均每人消費金額
$1-200
餐點：5
服務：5
氣氛：5",5
"超級好吃！！！闆娘親切
服務
內用
餐點：5
服務：5
氣氛：5",5
"好吃，值得推薦
服務
內用
餐點類型
午餐
平均每人消費金額
$1-200
餐點：5
服務：5
氣氛：5",5
"好吃
服務
內用
餐點類型
午餐
平均每人消費金額
$1-200
餐點：5
服務：5
氣氛：5",5
"眷村裡面的古早風味餐
古色古香的房子，裝潢擺設及餐盤用品皆保留古時眷村元素，氣氛滿滿！
用餐氛圍輕鬆愉快，餐點好吃、咖啡超香醇👍🏻
服務
內用
餐點類型
午餐
餐點：5
服務：5
氣氛：5",5
,5
,5
,5
,5
,5
,5
,5
,5
