comment,rating
"雲林·撲鼻 PuBi ぷび (甜品專賣)-眷村店
來到雲林虎尾眷村不要錯過這家隱藏在眷村裡的美味的冰店！

撲鼻 PuBi ぷび (甜品專賣) -眷村店
查看了一下臉書官網才發現原來才之前因為眷村有施工所以休息一陣子，3/11眷村店才重新開始營業！
我是剛好3/12去吃的！太幸運了吧～
另外也還有林森店喔！

▪️招牌黑糖挫冰 （任選四樣）$75
▪️海鹽奶蓋黑糖挫冰 （任選兩樣） $95

當下吃有點驚豔到我～
不得不說他們家的黑糖好香～～
帶點焦香味！
吃得出來是手工熬煮而成，香濃不膩口！
喜歡清爽的口感可以點招牌，喜歡帶
奶味的請試試海鹽奶蓋！！

當日配料有 紅豆 芋圓地瓜圓 粉粿 愛玉鳳梨
都是真材實料的口感！
而且冰跟糖都可以再續🙌🏻

另外店家有貼心小提醒🔔
◇低消 / 每人一個品項(國小以下免計)
◆寵物友善 / 便溺麻煩主人自行清潔
◇入內劃位 / 請勿任意換桌，避免餐點送錯
◆顛峰時段內用60分鐘 / 彈性調整，禁帶外食
◇暫時不接受訂位
◆店內桌椅&裝置擺設珍貴，請大家一起愛護，小孩勿隨意奔跑離席
服務
內用
餐點類型
其他",5
"冰的口味還蠻特殊的，覺得可以一試
碎冰算是比較細緻的剉冰
店內空間不大
假日生意很好
然後因為是玻璃窗
外面會不少來眷村拍照打卡的人
或是在排隊等入座的客人
對某些人來說吃起來可能會有一點點不自在
如果覺得這樣太壓迫的人可以去吃另一家林森分店～
如果是剛好要來逛眷村那就不妨吃一下本店吧🤓
餐點：5",5
"在眷村的一小角落裡，裡面不大，簡單佈置，小歇一會的好地方，冰品不錯。
服務
內用
餐點類型
其他
平均每人消費金額
$200-400
餐點：4
服務：4
氣氛：4
建議的餐點
蕨餅
提供特殊餐點
不確定",5
"📌地點
林森路二段375巷眷村店往右一點就到了
眷村店整修中

🐾環境
整體走復古風 很乾淨

🎩服務
🉑️

🍴餐點
黑糖有焦香味 降低甜膩感
粉圓Q嫩 咬起來不負擔
芋泥綿密 且保有芋頭香味
芋圓就比較遜色沒有什麼記憶點🥲

⚠️注意事項
冰跟糖水可以免費續
但對我來說還是偏甜

👾再訪意願
否
服務
內用
餐點類型
其他
平均每人消費金額
$1-200",4
"黑糖真心好吃，不甜不膩，吃完也不會口渴。初次到訪點了黑糖奶蓋剉冰，上面的奶蓋鹹鹹甜甜，在口味上多了些層次會小小搶了黑糖的味道，若想品嚐單純一點的黑糖風味可以選擇黑糖剉冰。粉粿和芋圓也好吃，喜歡上面的豆豆讓剉冰多了些口感👍🏻
👉🏻疫情期間目前只有外帶 …",5
很純粹的味道，不過日式蕨餅倒是出乎我意料之外的，爽口好吃又帶有濃厚的香味，跟麵茶很搭。剉冰也很棒，用料實在。,5
價位65可以選四種料！不算大碗但是在那邊吃得到這個有種格外幸福的感覺！芋泥不會很甜配上黑糖剉冰很可以(˶‾᷄ ⁻̫ ‾᷅˵),4
"黑糖味十足濃厚，推強，清冰就好好吃，很有誠意的淋法，中間還有一層黑糖，不只是最上一而已。
芋泥更份量誠意十足，一挖起來滿滿的芋泥，十分好吃。
冰點還可以客製化喲",5
"特製挫冰地瓜蛋糕（詳細介紹可參閱店家fb),口味很特別，配上黑糖挫冰還不錯吃🥰。
室內用餐空間不大但很乾淨。 …",4
超好吃的黑糖刨冰 灑滿黑糖水 口口香甜 海鹽奶蓋 上面又灑了烤豆 不僅增加口感 香濃奶味跟淡淡地鹽味 更讓風味更多元 怎麼吃都不會膩 怎麼組合都是新享受 兩個人吃建議一人點清冰 因為會飽!,5
"麵茶蕨餅口味很特別 可以來試吃看看
黑糖剉冰口味算普通的剉冰
但是黑糖凍真的蠻好吃的哦~
服務
內用
餐點類型
其他",4
"喜好奶蓋的推薦點奶蓋，鹹甜可以中和甜味，內用冰跟糖都可以續，黑糖味很濃郁帶點古早焦味，黑糖凍口感像一般果凍那種，芋圓有芋頭香蠻有嚼勁。
候位順序沒有分配的很好，我們2位等比較久，因為比我們晚來的三、四個組都自己先搶位置坐，有點搞不清楚怎麼排，店面比較小如果不想等太久建議不要假日來。",4
鬆軟綿密的芋頭 Q彈有勁的黑糖粿 搭配上鹹鹹甜甜的海鹽奶蓋 每一口的搭配都讓人感到驚艷 非常透心涼～,5
"很久以前的第一次到訪
就愛上了店裡的黑糖剉冰
因而結識老闆娘（熱愛潛水、游泳）
這裡的黑糖不會過於甜膩
還帶一點焦焦的苦味
#根本是愛情
從博愛路店店換到文青風的建國一村
必須來支持
也希望生意越來越好",5
"奶蓋黑糖冰價錢合理好吃
粉粿是很Q的口感
但飲料冬瓜檸檬不推薦
實在是太甜了
服務
內用",5
"我點的是黑糖剉冰：配料有黑糖粿、黑糖粉粿、芋圓和芋泥！真是絕配！芋泥也令我流連忘返，還有那黑糖香！我想就算光吃黑糖清冰都很爽😋😋😋
朋友喝的是冬瓜檸檬，她也是很滿意，很清爽不甜膩！
再搭上蕨餅，外面裹著麵茶，真是幸福滿滿🤗🤗🤗 …",5
