comment,rating
"這樣只要新台幣235元！！重點是好好吃！！
湯菜麵都很不錯！隨興點！

大家要常來這裡幫做素食三十年的阿姨捧場！
用新台幣讓美味的食物早點進肚！！",5
每一道菜都不錯，紅燒菇和煎蛋都料理得很好，平常不吃素，只是因為大甲遶境經過，完全沒有在吃素菜的不習慣感。老闆娘很親切。,5
超級便宜的小吃攤。,4
"餐點很便宜
夾一堆還有蒸蛋才60元😍
服務
外帶
餐點類型
午餐
平均每人消費金額
$1-200
餐點：4
服務：5
氣氛：5
建議的餐點
60元",5
"推薦自助餐！
炒茄子、豆腐、炸菇都很好吃。",4
"好吃又便宜的素食店，👍
值得前來光顧的店家！😋 …",5
"因為我兒子吃素食，常去買這間自助餐，阿姨人也很親切，價格也很合理
餐點：5",5
菜超級油，尤其長豆超油，整個飯盒都是油,1
"老闆娘算的錢價格很親民！給飯也很慷慨！
超級好吃的素食店，餐點豐富多元，而且不會很油膩！",5
老闆娘很客氣，夾菜不手軟！超便宜又好吃，都會另外買一包炸秀珍菇來吃，30元就好大包了～,5
我不是肉食主義者，但也不是吃素的，晚餐都會來這買便當吃，是採自助式的，聽說也有炒麵，雖然還沒吃過,5
"小小攤販，菜色大大美味
調味的很剛好！醬燒茄子與酥炸菇類很好吃
CP值👍🏻👍🏻👍🏻
我在攤子吃，老闆還很貼心
問我會不會熱，要開電風扇給我吹
喜歡單純人情味的小攤",5
"菜色多樣，好吃又便宜，是我常光顧的素食自助餐廳，讚！
服務
外帶
餐點類型
其他",5
"有自助餐和麵類
服務
內用
餐點類型
晚餐
平均每人消費金額
$1-200
餐點：5
服務：4
氣氛：4",4
"佛心來的店！價格便宜、份量多，又好吃！
老闆人也很好！
很難找到這樣的店了！",5
雖是素食，但餐點有油香味，葷食者如果不要有「絕不吃素食」的偏見，應該是可以光臨，偶而素一素。,4
平價好吃的美食 炸秀珍菇跟醬燒茄子都是招牌 老闆對學生不錯,4
"便宜、好吃、又大碗
CP值超高",5
平價的素食便當自助餐，也有麵食類選擇，都不錯喔！,5
每樣菜都很入味，老闆娘的㕑藝真的很棒，待人又親切。,5
阿姨做的菜非常好吃。只是油品可以考慮升級。,5
6/8買晚餐白飯有夠難吃請注意,1
價錢公道，老闆娘服務親切，菜色美味不錯。,4
很貴，算新鮮，可以喝湯到飽,3
超級無敵霹靂好吃，超推泡菜和炸香菇,5
每天都有好多菜色可任意挑選又衛生可囗。,5
老闆娘手受傷了，要休息一個月。,4
量多。便宜。味道尚可,3
很好吃 阿姨很棒,5
好吃，便宜，新鮮。,5
虎尾吃素的好選擇！,4
菜色豐富，美味可口,5
好吃😋麻醬麵好吃😋 …,5
很好,5
好吃又便宜,4
美味好吃😋 …,5
很好吃,5
虎尾好吃的素食,5
不錯,4
菜色不錯,3
便宜又好吃👍👍👍 …,5
太好吃了,5
素食的家常料理,4
不錯,4
好吃又便宜,5
,5
,4
,5
,5
,4
,5
,4
,1
,5
,4
,4
,5
,5
,5
,3
,1
,5
,5
,4
,4
,4
,5
,5
,3
,5
,4
,5
,5
,5
,4
