comment,rating
"原本的涵香舘，風味一如往常的美味，韓式炸醬麵、辣豆腐腦湯、海鮮煎餅、石鍋拌飯、韓式炸雞，樣樣是懷念的美食，大力推薦！
服務
內用
餐點：5
服務：5
氣氛：4",5
"以前的涵香館，現在改名了
老闆娘很熱情的介紹餐點，但餐點吃起來還好，跟我們去吃過的韓式料理不太一樣，算有點失望吧…😅😅😅
餐點：2
服務：3
氣氛：3",3
"先說優點吧！老闆會很熱情問你的口味如何，跟你推薦餐點，用料也算實在蠻大份的！
以下個人用餐主觀經驗，老闆雖很自豪自己的餐點，但老實說算很台式的韓式料理，也許我運氣比較差，點的石鍋拌飯飯是黏的完全沒有鍋巴，攪拌完大量的韓式醬讓整鍋飯變得更濕黏黏稠稠的，真的蠻失敗的！另個餐點冷麵，只能說口味不符吧！老闆有自己的解釋說和風醬就是這樣的味道，但確實跟以往我們吃過口味不同，黑醋味太重，滿滿的台式感！
另外個人是蠻不喜歡邊用餐邊被詢問口味如何，我才剛吃一口就來問，如果我說口味不符不喜歡，你們能接受或再做一份新的餐點嗎？餐點道不道地相信你們開餐館前也做過功課，不是頻頻問每一個客人，因為也不可能針對每個客人做調整不是嗎？
以上個人淺見，給予三顆星算是鼓勵，希望你們再加油進步！
服務
內用
餐點類型
午餐
平均每人消費金額
$200-400
餐點：3
服務：5
氣氛：4",3
"上星期二去吃，提早下班，想說要吃石鍋拌飯就隨便google一間，看到下午4:30就開始營業，然後就選擇這一間。
大約4:27 28的時侯到，門是開的，所以我們就直接走進去，一進去，我覺得店員有看到我們，不過他直接往廚房走，大約過了三到五分鐘他才走出來，問我們怎麼這麼早？我們整個問號❓啊Google不是寫4:30！
他還說他們正確說五點開始營業，害我們還道歉說不好意思，搞得像是我們的錯一樣😌
一進去櫃檯有菜單（沒圖片的），我們最下來之後，店員把有圖片的菜單給我們，我們看了圖片的和只有文字的菜單價格不一樣，我想說只有文字的可能是外帶（因為有需要用到紙盒所以比較貴），因此我們選好了之後跟店員說我們要點餐，他就走過來說直接畫在只有文字的菜單上，還笑著說我們第一次來喔？啊就算不是第一次來，也應該要說吧🤔。
最後結帳的金額是只有文字上的那個，這也沒有跟我們說😟。
石鍋拌飯還不錯吃，如同大家評價說的，有鍋巴，脆脆的超好吃！我個人覺得石鍋拌飯的辣剛剛好，很美味，推薦，一份160。
同事點了一份豆腐腦湯，100元，店員有告訴我們份量是單人的。我個人覺得不便宜，但是蠻好喝的。
我們一起點了一份韓式炸雞，我們的個人餐點都上了之後，店員又到廚房去忙，然後我們吃到一半，店員出來說因為炸雞的粉沒有了，然後老闆目前不在，所以要等等才能做，反正我們不及，就跟他說慢慢來沒關係。
等我們各自點的餐點都吃完之後，還等了一會兒，炸雞才送過來，一送過來看起來就不大像韓式炸雞，旁邊還有附像是麥當勞一樣的薯條，個人覺得，不大好吃。炸雞吃起來就像是台式炸雞，古早味的那種，面皮吃起來實在是不大行。又硬又乾。
當初店員說備料沒有的時候我們應該取消的☹️。

因為石鍋拌飯，和店員其實人蠻好的（除了很多店員該做的沒有做得完美外），這間給三顆星。
服務
內用
餐點類型
晚餐
平均每人消費金額
$200-400
餐點：3
服務：4
氣氛：3
建議的餐點
石鍋牛烤肉拌飯",3
"3.5顆星，價格略高一點點，口味大眾半台半韓式味道不夠重，石鍋拌飯牛肉150元，蔬菜份量多，肉份量還好，拌好放一下有鍋巴更好吃，味道建議老闆如果能多加一匙韓式辣醬會更好。海鮮煎餅160元，海鮮料很多，煎餅酥脆，但醬汁不太搭。辣豆腐海鮮鍋200元，有點小鍋，但泡發魷魚，肉片，蝦子料不錯，味道偏清淡。春川炒雞360元，上桌很大鍋，起司放很多，要趁熱吃，雞肉嫩，但醬汁味道還是差那麼一點。
服務
內用
餐點類型
午餐
平均每人消費金額
$200-400
餐點：3
服務：4
氣氛：3",3
"我是吃素食的，第一次來吃韓式素食，價錢不貴味道很好就是太大碗。
服務
外帶
餐點類型
晚餐
平均每人消費金額
$1-200
餐點：5
服務：5
氣氛：5",5
"老闆娘都很親切，價格合理，份量足夠，春川炒雞肉質軟嫩，但雞肉不夠入味，能在加強。
推薦石鍋拌飯，泡菜牛肉很好吃哦！
環境舒適，是聚餐聊天的好去處。
服務
內用
餐點類型
午餐",5
"老闆娘熱情 東西吃起來新鮮
環境明亮舒適 冷氣夠涼 有超濃決明子茶

最酷的是超fresh自種的芝麻葉（相較外面吃過的吃起來葉子味沒那麼重 挺喜歡👍

韓式料理本來就比較重口味  但是老闆味道調的很剛好 相對於吃過很多的韓式餐廳 較清淡
每樣餐點都有一定的水準 我覺得可以

有緣再來吃",5
"阿姨很親切，但店內只有一人作業，用餐尖峰期需耐心等候。內用有免費的麥茶和小菜可取用，竹筍炒肉絲很下飯。

石鍋豬肉拌飯$120：會加韓式辣醬，可跟阿姨調辣度，豬肉拌飯很香好吃！

豆腐腦湯$80：豆腐滑嫩，湯頭鮮甜，有洋蔥、菜頭、蔥花提味，黑胡椒味道極濃。
服務
內用
餐點類型
晚餐",5
"台式韓國料理
微調後更可以接受的辣度

部隊鍋
湯頭不錯配料很多元
麵體Q彈  份量也很足
跟售價相比  可接受

炸雞
約2口量的雞塊大小
保住溫體雞肉的鮮嫩多汁
外皮脆而乾爽
微冷後也還能保持一定炸雞品質
可以推薦

老闆閒暇時會稍微了解客人對辣的接受度
讓人不至於直接接受原汁原味
韓式辣度  真的是有貼心到
餐點：5
服務：5
氣氛：5",5
