comment,rating
"一樓用餐空間感覺還不錯，因為第一次來訪，所以選擇二樓貓咪互動加用餐區，環境整理乾淨，但空氣中還是瀰漫一股異味，可能是有貓咪的關係吧…對於味道比較敏感的人選擇在一樓用餐會比較好。

店員態度都很親切友善，介紹不會含糊不清👍

餐點價格都還可以接受，牛丼加量超大碗，調味偏重鹹，配飯吃很爽，內含泡菜跟很入味的杏鮑菇，增加很多味道及口感，可惜沒有溏心蛋或溫泉蛋，少了一個靈魂的感覺。

舒芙蕾口味偏清爽，口感軟香綿密，加上微苦的巧克力醬，吃完不會過膩，搭配旁邊的鮮奶油及布朗尼，整體味道很棒，再喝上一口無糖金萱茶，完美！

遵守店內規則，貓咪們都很友善，不會到不屑人類的感覺，貓咪擼起來很爽，就差沒把臉埋進去吸而已，衡量自己的能力，領養代替購買，多互動，感覺對了，就帶他們回家吧！",4
"平日下午一點到訪
貓咪們都正在午睡補眠 可惜沒有過多互動
牆上有張貼收支表 這點很讚
貓咪們雖然在睡覺但看起來非常健康
這次單點手沖咖啡 還不錯～
店員送餐時有提醒要留意飲料(怕貓偷喝)以及告知口罩要收進包內(怕異食癖貓咪啃咬)
讓人覺得十分貼心
另一方面也真的覺得是真心把貓咪擺第一

之後一定還會在回訪支持店家的
服務
內用
餐點類型
早午餐
平均每人消費金額
$1-200
餐點：5
服務：5
氣氛：5",5
"感覺到他們都很用心照顧貓咪！上二樓參觀打開門一剎那才會聞到一點貓砂味道，但還好，比自己的貓味道還輕了😂
貓咪都很親人！店員更親人（？）感謝店員很親切，本來致電也在擔心會不會很容易被趕走（畢竟孩子還太小，不好溝通，三歲內真的很難教）還好女兒沒有被趕出去⋯⋯
雖然女兒沒有做出粗魯行為，但興奮尖叫連連對貓咪來說不太好…
餐點：5
服務：5
氣氛：5",5
"非常有愛心的老闆
把貓貓照顧的非常好，環境也非常整潔
餐點很好吃，配上療癒貓咪實在很愜意
#領養代替購買
這兒也可認養貓貓，喜歡貓咪的愛貓人士可來認養
非常推薦！🫶🏻🫶🏻🫶🏻",5
餐點很好吃，點心也很棒，除了是一個貓咪餐廳以外，也是一個貓咪中途所，能領養貓咪🐈，貓咪是從收容所救助出來的，在這邊受到很好的照顧，都很活潑親人。強力推薦可以來此用餐，也可以來領養有眼緣的貓咪喔！ …,5
"提早訂位，於是訂了有貓咪坐檯的2樓，現場候位大概是排不到2樓座位的，但實際來過以後，比較推薦先在一樓用完餐，再上樓擼貓，因為2樓的氣味實在讓人提不起食慾，尤其廁所...上樓梯時就被廁所濃厚的異味薰暈了...
炸雞偏乾柴，不推，但布丁很好吃，跟店員說不要糖漬櫻桃，貼心地幫我換成新鮮藍莓了，上桌時驚喜了一陣，貓咪照顧得很好，每隻貓貓都有著柔柔亮亮、閃閃動人的毛皮，神情態度看起來也十分放鬆，感覺得到店員們用心照料貓貓身心健康，好有愛~
不太好停車，只好去附近全聯消費加付停車費了，建議大家共乘過來，減少停車需求哦！",4
"雲林虎尾是一個具有地方特色的小鎮，一個風塵僕僕的鄉村，却不失地方風格也算一個中等的鄉鎮，頗具知名的虎尾科技大學就在這裡，還有虎尾糖廠（是一個仍有載運甘蔗加工製造砂糖的觀光工廠），以及每每媽祖繞境都會來的福安宮媽祖廟，因鄰近糖廠又有其名《糖廠媽祖》。附近知名景點還有～雲林布袋戲館•雲林故事館•興隆毛巾工廠•虎尾鐵橋•青埔落雨松秘境•澄霖沉香味道森林館•建國眷村•美食店家虎珍堂•土庫驛可可莊園……等。
午餐有一個愛貓人可以來的餐廳，
雲林虎尾一家貓的咖啡餐廳，店家裡很多驚豔的裝修風格，愛貓的旅客可以一邊用餐一邊欣賞貓，看中喜歡的貓更可以認養回家，餐點好吃價格實惠，用餐環境有一樓區及二樓賞貓用餐區，進去2樓之前會有一個公告用餐的規則，整體而言是是一個不錯的地方喔～。

美味程度: 9/10
CP值:     8/10
回訪意願: 9/10",5
"餐點口味還可以，咖喱飯還是貓咪的造型～
二樓可以和貓咪互動，有幾隻特別愛撒嬌的貓，會坐在座位上讓人邊摸摸邊吃飯，實在是人生的大享受～
如果不喜歡與貓咪一起吃飯也可以選擇樓下的位置唷～",5
"餐點都好吃，早午餐鮭魚很值得品嚐。
2F的小貓貓們超可愛，希望每隻貓貓都有位好歸宿。",5
"很有愛心的一家店
收留浪浪做中途 幫他們節育打預防針
店內也可以申請領養貓咪哦
平均每人消費金額
$200-400",5
環境維持乾淨，二樓才有貓貓可嚕。給家裡不能養貓的顧客來這吸貓。適合邊吃下午茶邊看貓。,4
餐點跟舒芙蕾都十分好吃，服務人員也很親切，重點貓貓都超可愛😍😍😍好療癒的地方下次有機會會再光顧的！ …,5
"提供一個用餐環境並且送養浪貓，很有意義。
主要是來看貓貓，餐點個人覺得普通，舒芙蕾口感不錯",5
