comment,rating
"之前都是叫家人去外帶，點的餐點很好吃，已經回購很多回了😋😋
今天第一次自己去外帶回家，服務人員很親切，點餐時也不會有不耐煩的樣子，有機會再來內用看看😁😁
服務
外帶
平均每人消費金額
$1-200
餐點：4
服務：4
氣氛：4",4
"點了卡拉雞海苔飯捲及咖哩飯，卡拉雞好吃！
酥酥脆脆，生菜跟肉比例剛好，好吃！

這次活動卡拉雞飯捲買二送一，原本擔心吃不完沒拿多送的飯捲，但吃完後立刻後悔…
好吃！

還好老闆很好，願意結帳後再補送一條飯捲給我們！！

五顆星！！
服務
內用
餐點類型
午餐
平均每人消費金額
$1-200
餐點：5
服務：5
氣氛：5",5
"位於中正路上的明洞海苔飯捲，
店門口能停幾輛機車，
若開車則較不方便。
餐點都是現點現做，
若要外帶先打電話訂購，
可以節省許多時間，
也不用擔心海苔會變潮濕而不脆，
因爲店家會將飯捲和海苔隔開，
等要食用時再拉開透明塑膠，
這樣就能完美呈現飯捲的美味！

飯捲吃起來很爽口，
非常適合想吃清淡一點，
又能有飽足感道人來享用，
裡面的豆芽菜非常脆口，
豐富了飯捲的口感。

店內除了飯捲還有其他餐點，
像是燴飯、粥、鍋燒類和炸物，
都是正餐的好選擇。

店內有少數座位區，
可以在店內吹著冷氣，
好好的享用餐點。
門口還有許多可愛的公仔，
讓人忍不住的一看再看呢！
服務
外帶
餐點類型
晚餐
平均每人消費金額
$1-200",5
"服務態度良好，環境整潔乾淨明亮，終於有家飯捲店🤍，讓我們更方便吃到，店內許多熊熊公仔桌椅設備工業風非常美麗，上餐時還教我們怎麼把飯捲拿出來
卡啦雞腿飯捲、醬爆雞丁飯捲
打卡送花枝丸1份！！！
服務
內用
餐點類型
早餐
餐點：5
服務：5
氣氛：5",5
"服務人員好和藹可親喔！
空間看起來好舒服、竟然還有熊熊的牆面可以看耶，也太可愛了😍😍
飯捲超級方便超級好吃😋
好喜歡脆皮卡拉雞，加泡菜好好吃🤤

感謝虎尾又有新美食可以選擇了😍😍😍",5
"好吃的海苔飯捲，已二次回訪
湯是味增湯，上面的蔥是乾燥蔥
套餐加點飲料（紅茶或冬瓜）+薯條只要55
服務
內用
餐點類型
晚餐
平均每人消費金額
$1-200
餐點：5
服務：5
氣氛：5",5
"價格有點偏高，份量偏少，三兩下就吃完了，但是東西還不錯吃，我點的是卡拉雞海苔飯捲75💰，吃完還是很餓🥲
服務
外帶
餐點類型
晚餐",3
"飯捲飯量不算多，沒有占滿整個海苔片，男生吃一卷可能不會有飽足感，口味變化多，吃起來也不錯，飯粒有點顆顆分明，米心硬了一點，抽出飯捲內膜後，手會有油膩的感覺。

店面座位不多，生意很好，建議可預先點餐，避免現點現做的時間讓人久候。
服務
外帶
餐點類型
午餐
平均每人消費金額
$1-200
停車場
虎尾中正路上停車不易，建議不要貿然開車前往店門口臨停，除非已預訂好餐點，可以隨到隨取，否則容易阻礙交通喔！",4
"服務人員細心親切 服務極佳 上餐速度迅速 打卡還有送花枝丸 環境良好 推薦大家來吃
服務
內用
餐點類型
早午餐
平均每人消費金額
$1-200",5
"店員服務很好～講解很仔細！餐點好吃！
服務
外帶
餐點類型
晚餐
平均每人消費金額
$1-200",5
"飯捲普通，我買燻雞的，個人覺得料不多，口味偏清淡。但是打卡送花枝丸還是要先給5星
服務
外帶
餐點類型
晚餐
平均每人消費金額
$1-200",5
"店員人好好，很有耐心，結帳速度也很快，東西便宜然後超好吃，那個炸雞整個喔買嘎，超讚～～很多樣化，可以吃好幾天🥰🫶🫶
服務
外帶
餐點類型
晚餐
平均每人消費金額
$1-200",5
店員非常沒有禮貌，打電話問能不能外送 ，回不能就直接給我掛斷。,1
