comment,rating
"超好吃的脆皮豬！！本以為會像鹹豬肉一樣乾乾的，意想不到外皮真的酥肉還超嫩！！超推🥰！！
餐點：5
服務：5
氣氛：5",5
脆皮豬，皮酥脆，脂肪已轉為膠質。瘦肉部分仍舊軟嫩不乾。搭配辣椒粉氣味更香。環境清潔，開放明亮。,5
"脆皮豬肉好吃😋，敢吃辣的還可以沾他們的辣粉，味道會更好

蔥油拌麵的麵體我超級喜歡，煮的很透不會有那種沒煮透的感覺，而蔥油的味道也是很好吃😋

店內的環境很乾淨也很明亮
是一個聚會的好地方

真的很推薦大家來吃❤️
服務
內用
餐點類型
其他
平均每人消費金額
$200-400
餐點：5
服務：5
氣氛：5
建議的餐點
脆皮豬噴香蔥油拌麵",5
"🍽️ Xl多肉油潑辣子拌麵套餐 $239 附飲料

1.油潑辣子拌麵：麵本體是寬麵，非常有嚼勁好吃～口味微辣，本體吃起來味道就非常足夠，搭配上旁邊的台式泡菜、洋蔥更好吃了

2.脆皮豬：在旁邊等待的過程中，就聽到切豬肉超！級！脆！的聲音，回家吃的時候真的不負眾望🤣爸爸甚至說感覺吃到阿祖的味道🤣推推推好好吃。對怕油的朋友來說也沒問題！有洋蔥跟泡菜可以綜合～

3.配菜：湯匙菜、地瓜、番茄。湯匙菜因為自己不喜歡所以無法覺得好吃🤣；地瓜很甜！能綜合一下辣感；番茄我覺得主要效果是讓整個便當顏色搭配很漂亮😆食慾大增！

4.附贈的飲料：我選擇紅茶微糖！他是很可愛的一袋的飲料😍不過拿到的時候還是一半冷凍狀態🤣希望可以有完全液態的版本（？至於飲料的味道！！紅茶非常好喝！！帶有甜甜的花蜜香～喝不夠啦🥳
服務
外帶
餐點類型
午餐
平均每人消費金額
$200-400
餐點：5
服務：4
氣氛：4",5
"開有一段時間囉，終於有機會來嚐鮮看看啦🤤🤤🤤
一直有在想嚐鮮脆皮豬看看，但買一整條覺得有點貴，而且也怕吃不完，還好店家後來有出餐盒，所以就買來吃看看囉，點了一份油蔥口味的乾拌麵，因店家是現做的，所以有等一下下，然後老闆娘還請我進去坐著等😁😁
後來看到餐盒，看起來美味極了，還有附贈一瓶飲料喔👍👍👍
回家吃了乾拌麵還蠻好吃的，油蔥拌的很均勻不會死鹹，其他菜色也不錯，脆皮豬也很好吃，脆脆的口感，也不油膩，就算不搭配附贈的辣粉和梅粉，單吃也很好吃，而且配上黃金泡菜也很好吃呦！有機會再來購買😋😋😋",4
"脆皮豬拌麵….我覺得好吃！真的好吃
辣度大概微辣辣的剛好
但份量是會吃的剛好，但沒有到飽的程度
價格有點小貴….好像150
但是好吃🥺(有附一瓶小飲料
服務
外帶
餐點類型
午餐
平均每人消費金額
$1-200
建議的餐點
脆皮豬噴香蔥油拌麵",4
"專程來吃果真沒失望，皮好脆，份量剛好，會再找時間來吃，推推
服務
內用
餐點類型
午餐
平均每人消費金額
$200-400
餐點：5
服務：5
氣氛：5",5
"搬家到新地址了，脆皮豬還是一樣超級好吃👍還推出脆皮豬拌麵跟米食。也有內用座位，位置算多也舒適，超推薦～地點在鐵道巷子裡，不要懷疑走進來就對了。
服務
內用
餐點類型
晚餐
平均每人消費金額
$1-200
餐點：5
服務：5
氣氛：5
建議的餐點
脆皮豬噴香蔥油拌麵",5
"豬肉香脆不膩口，白飯的香氣很足
鹽蔥醬用來拌飯真的100分

超好吃🧡🧡🧡會再訪
服務
內用",5
"餐點均衡美味！服務親切、用餐環境也很舒服～～
服務
內用
餐點：5
服務：5
氣氛：5",5
"東西稍比便當貴個3、50塊，東西都是好吃的，但是口味偏油香，因此減肥或怕油的人不會想選這家，再者雖然主食挺香，但油是真的加太多了，再加上炸豬肉，""炸""本身很油，""五花肉""本身也很油，主食又油又鹹會顯得所有東西都太油，期待之後減少主食的油量，重點放在多加點泡菜、醃蘿蔔來壓制""重鹹重油""的味道，就跟放梅子粉或洋蔥是同樣道理。
餐點：5
服務：5
氣氛：5",5
"脆皮豬 麻油雞麵線 好吃
服務
內用
餐點類型
晚餐
平均每人消費金額
$1-200
餐點：5
服務：5
氣氛：5",5
