comment,rating
"抱歉了店家
因為我朋友跟我說菜很多選擇，也不錯吃，就選擇吃這間看看，點了雞排，要100！，肉超薄就算了，還變成肉乾⋯吃了超級痛苦

幫你們平反一下下，還是有有肉的地方啦，但就這樣而已…
也許會給第二次機會去點別的主菜吃看看吧🥲
服務
外帶
餐點類型
午餐
平均每人消費金額
$1-200",2
"連續兩天都吃了杉午，第一天點了雞排便當$100（忘了拍照），肉有點少，幾乎是骨頭，湯是冬瓜湯，第二天點了雞腿便當，售價$105，雞腿部分有點小隻，湯也是冬瓜湯；每天的配菜都有變化，很好吃，反而是主角肉類普普！另外，此家店並無紅茶，只有熱湯，以這種售價而言，應該要有紅茶之類的冷飲，整體來說，這家店值得推薦！
餐點：4
服務：4
氣氛：4",4
"到虎尾辦點事，順便買個便當，這雞腿便當$105，我覺得有點小貴，配菜給的不多，雞腿炸的很乾，在我所居住的台中市，這樣的價錢，我可以買到較好的
餐點類型
午餐
平均每人消費金額
$1-200
餐點：3
服務：3
氣氛：1",3
"這已經不是菜蟲了吧
食慾都沒了 傻眼
餐點：1",1
"每天來報到，菜色豐富多樣化，員工熱情招呼，盡力滿足顧客的需求，以目前萬物皆漲的情況，餐點價格實在，CP值超高👍，每到用餐時間顧客大排長龍！這樣可以印證上述內容，拜託老闆您要撐下去，您這樣優惠的價格是有沒有賺錢啊？🤔️很擔心耶！為了支持您的忠實粉絲們，您要含著眼淚🥲帶微笑😊，繼續加油撐下去嘿！🤣🤣🤣
餐點：5
服務：5
氣氛：5",5
"訂了會議便當，主、配菜調味不錯。份量適中。
餐點類型
午餐
平均每人消費金額
$1-200
餐點：4
服務：3
氣氛：3",4
"菜色選擇雖然不算少可以任選但種類需要再加油增加比較有飽足感的配菜相信會更好，吃起來只能說不難吃可以止餓沒問題
服務
外帶
餐點：4
服務：4",4
"內用座位約16個，用餐區還算舒適，不會擁擠，內用有飲料與例湯，門口不好停車，若外帶臨停一下可以，久停就不建議了。

出餐速度還算快，不過比較不會注意客人來的先後順序，人少其實還好，但人多可能就會比較有爭議。

飯量多，女生可吃飽，一主菜外，搭三樣自選配菜，菜和肉調味都還不錯，口味算清淡，價格平價不算貴。",4
"▪️招牌排骨💲75⁡
雖然外表顏色有點黑、看起來普通⁡
但吃起來真的很香很好吃~~~⁡
可以選擇的菜色還都是我愛的、又好吃⁡
也算是我的愛店~~~⁡
⁡
▪️糖醋排骨💲75⁡
⁡
▪️魯排骨💲75⁡
非常濕潤、肉質軟嫩⁡
與白飯貼齊的那面會掉皮⁡
⁡
▪️紅燒飯💲75⁡
⁡
購買速度快！！⁡
外帶還可以免費拿一碗湯品👍⁡
疫情前可內用，座位偏少⁡
可以湯品、飲料免費喝🥰⁡
⁡
⚠️ 主餐排名：招牌排骨<紅燒<糖醋<魯排⁡",5
"各種便當除主菜之外，另外自行選擇四種喜歡的配菜，自主性十足。三杯雞便當、炸雞腿便當都很好吃。
服務
外帶
餐點類型
午餐
平均每人消費金額
$1-200
餐點：5
服務：4
氣氛：4",5
