comment,rating
"要上大學前才發現這家店🥲 之後到外地不知道能不能在找到那麼高cp 質的店。雞腿便當價格約落在70左右，三個菜一顆蛋，這價錢我真的服了😭
餐點類型
午餐
平均每人消費金額
$1-200
餐點：5
服務：5
氣氛：5",5
"買了3個便當菜 主菜是排骨配菜3樣（菜色多樣份量多自己夾），白飯2碗（滿滿滿尖尖），結果結帳才160  有點嚇到.….….懷疑是不是算錯！
回家吃覺得很美味，連挑嘴獸兒子都一直跨好吃，日後會常去光顧
服務
外帶
餐點類型
午餐
平均每人消費金額
$1-200
餐點：5
服務：4
氣氛：4",5
"平均一餐60元左右就能吃到飽
青菜有鑊氣十分好吃
雖然環境較為髒亂
但就是便宜實惠對得起價格的小資族最愛
服務
內用
餐點類型
晚餐
平均每人消費金額
$1-200",4
"第一次吃，這樣50，便宜到哭出來
吃起來的感覺
瓜仔肉燥>豬腳>爌肉
魯的都有味道，但爌肉膩感沒拉掉小可惜
豬耳朵味道不錯，微醺的感覺，可試試
青菜、豆皮穩定發揮
P.S 炸無骨雞腿夾了會到75，估計一塊約30$

整體來說口味還行，價格超值，我會回訪
——————7個月後補——————
我又去了兩次，夾好夾滿
結果依然都還是50$而已
佛心店家，學生荷包的救星
之後只要我想不到吃什麼
就來這裡報到",5
夾了茄子豆乾加一碗飯要50元！這樣還不如去吃鮮如美比較划算，鮮如美有白飯吃到飽加荷包蛋加3樣菜加一大塊豬排才50元，然後紅茶也比較好喝！鮮如美最讚,2
東西都太難吃了、場地很不衛生、有蟑螂老鼠、東西賣不出去都放到隔天一放在放,1
除了白飯很硬以外減一顆星，菜色的美味、價格 五顆星奉上，真的非常CP,4
"超讚👍
便宜又好吃
相見恨晚大四才發現這間店ಥ_ಥ …",5
"第一次來被嚇到
超多菜可以選 還熱騰騰的
重點是價格更是嚇死我 這樣才50！",5
"不吃還好，ㄧ吃嚇一跳！這樣才40元，還以為我聽錯了😆
番茄很有味道，魚排好吃
難怪每次經過生意都很好….感謝佛心店家 …",5
"從左到右
一條魚、鹹豬肉、杏鮑菇、花椰菜、豬肝、豆子、彩椒
五碗飯、一袋湯
總共$160
隊友讓我猜猜看我猜$250，結果聽到$160還以為我聽錯😂
真的推薦，便宜又好吃👍👍👍",5
"雖然較重口味偏油，但真的真的很便宜！！！這樣加半碗飯只要$25！！！

茄子、大陸妹和豬耳朵好吃，蠔油茄子入味，大陸妹爽脆可口，豬耳朵煙燻味很香，蛋口感較硬，豆腐偏鹹，豬肝普普。
服務
外帶
餐點類型
午餐",4
"菜色多，價格便宜，老闆親切。
服務
外帶
餐點類型
午餐
平均每人消費金額
$1-200
餐點：5
服務：5
氣氛：5",5
"平價清爽，老闆娘親切，效率高
餐點：3
服務：4
氣氛：3",4
"下午電話詢問還有嗎 說有  過去後  鎖門  廚房內有人看到我們也不理  打電話不接 ...
餐點：1
服務：1
氣氛：1",1
"在這個洪流的時代！
感謝老闆溫飽付出！
這樣115
佛
服務
內用
餐點類型
午餐
平均每人消費金額
$1-200",5
怎麼夾都超便宜 大火炒的菜很好吃,5
便宜！烹調可再清淡一點點點就好,5
"便宜到嚇死人 感覺老闆虧本在做生意
服務
外帶
餐點類型
晚餐
平均每人消費金額
$1-200
餐點：5
服務：5
氣氛：5",5
"菜色多樣化，味道適中，值得推薦！
服務
內用
餐點類型
午餐
平均每人消費金額
$1-200
餐點：5
服務：4
氣氛：4
建議的餐點
雞腿便當",4
便宜到爆的佛店家😻青菜和肉夾好夾滿才50 月底救星再+1 …,5
"超級無敵便宜自助餐，也因為超便宜所以很早很早就沒菜了，建議早去，學生的救星。
餐點：3
服務：5
氣氛：5",5
"老闆娘超級好的，不僅菜色豐富又好吃也超級便宜，超級推的🤩，一定要早點去買不然會被夾光，早知道大一就每天去吃這家了~~
餐點：5
服務：5
氣氛：5",5
"真的便宜，可惜飯不是免費續
跟宿舍門口鮮如美比
差不多的錢可以吃到更多菜
但胃口大，想吃飽一點的
還是推鮮如美，內用白飯無限，飲料也好喝一些
服務
內用
餐點類型
晚餐
平均每人消費金額
$1-200
餐點：5
服務：5
氣氛：5",5
這樣50元，算CP值高。,4
"這樣$55
好吃又很平價的午餐，學生黨可衝
每週必吃。",5
超超超便宜!夾4菜一滷蛋只要$35 當下還以為自己聽錯XD老闆真的有在賺錢嗎XD難怪每次經過都大排長龍 好奇買來吃吃看 菜的部分我覺得挺清淡的 沒有很重口味 還不錯!!,5
"便宜到不可思議！！
一個肉+5樣菜才$50
真的不知道阿姨有在賺錢嗎？
口味也都不錯 好吃！",5
"真便宜，而且老闆娘還主動拿餐盤問我要不要用
服務
外帶
餐點類型
晚餐
平均每人消費金額
$1-200
餐點：5
服務：5
氣氛：3",5
"自助餐在天橋下的旁邊，正對面是虎尾科大校區的圓環，此處交通紊亂不易停車，建議用摩托車在店家門口卡位，確保你的愛車不被三寶撞翻。
以自助餐的價位來說，這間簡直是在布施，不像其他自助餐以秤重方式計價，純粹以主菜的種類來決定價格，也就是說如果我主菜今天夾一塊排骨，不管其他配菜是不是塞到滿出來，一樣是六十五元，佛心店家，虎尾自助餐唯一誠摯推薦，學生、小資族快來吃爆。",5
"好吃又便宜!讚！讚！讚
服務
外帶
餐點：5
服務：5
氣氛：5",5
便宜又大碗 真的佛心,5
非常讚的餐點🥰🥰🥰 …,5
很便宜，菜色不少，味道也不錯。,4
"很常關顧這間自助餐
覺得很不錯
有次反應菜內有蝸牛
就被老闆罵 我是都市來的沒住過鄉下
我覺得很無辜
因為我是鄉下長大的
要罵人之前先問清楚餒👌",2
"還蠻便宜的
口味就看個人
服務
外帶
餐點類型
午餐
平均每人消費金額
$1-200
餐點：5
服務：5
氣氛：3",5
換老闆以後，吃了幾次青菜有點生！也許有人喜歡，但不是我。,4
價錢一講出來就嚇到 好人會有好報 感謝照故虎科學生,5
"菜色乾淨清爽，價格便宜，用餐人員不少，值得好評。
服務
內用
餐點類型
午餐",5
"東西多樣化、價格合理，東西好吃
服務
外帶
餐點類型
晚餐
平均每人消費金額
$1-200
建議的餐點
雞腿便當",5
"便宜又大碗
大推讚讚
餐點：5
服務：5
氣氛：5",5
菜色多樣又好吃，菜是炒薑那種很爽口，價格也很親民❤️,5
"超級巨划算
餐點：5
服務：5
氣氛：5",5
滿滿的菜加一個荷包蛋只要30  窮學生的救贖,5
"超便宜
服務
內用
餐點類型
午餐
平均每人消費金額
$1-200
餐點：5
服務：5
氣氛：5",5
"價格實在
服務
內用
餐點類型
午餐
平均每人消費金額
$1-200
餐點：5
服務：4
氣氛：4",5
"沒有任何缺點
服務
內用
餐點類型
午餐
平均每人消費金額
$1-200",5
便宜又好吃 月底救星,5
"便宜 太狠了
服務
內用
餐點類型
午餐
平均每人消費金額
$1-200
餐點：5
服務：5
氣氛：5",5
"闆娘親切待人,食物美味好吃",5
"便宜好吃，快速
服務
外帶
餐點類型
午餐
平均每人消費金額
$1-200
餐點：4
服務：5
氣氛：3",5
很多不同的，滿喜歡自助餐太棒,5
虎尾科技大學學生餐廳,5
便宜，CP值高。,4
量多美味超好吃,5
"好吃便宜
服務
外帶",5
虎尾必來的地方,5
"很便宜
餐點：5
服務：5
氣氛：5",5
救了學生的我,5
CP值高的自助餐！,5
"便宜
餐點類型
晚餐
平均每人消費金額
$1-200",5
"很棒喔！
服務
內用
餐點類型
晚餐",5
嗯,5
"超優質自助餐
服務
外帶
餐點類型
午餐
平均每人消費金額
$1-200",5
"超便宜
服務
內用
餐點類型
晚餐
平均每人消費金額
$1-200
餐點：5
服務：5
氣氛：5",5
超便宜,5
,5
,5
,5
,5
,5
,5
,5
,4
,5
,5
,5
,5
,3
,5
,5
,4
,5
,5
,4
,5
,5
,5
,5
,5
,4
,5
,5
,5
,5
,5
,5
,4
,5
,5
,5
,3
