comment,rating
大推，海鮮非常新鮮，擺盤用心口味豐富，菜色多(圖為饅魚油飯)。,5
有專屬停車場 ，海鮮食材新鮮，好吃!,5
"去年某個時間，在此舉辦結婚宴客

1、該餐廳的投影布幕小，且在上面播放的影片也根本看不清楚。

2、蒼蠅真的很多，每一桌都有數桌蒼蠅亂飛，就連我換裝回到座位上想好好開始吃飯，蒼蠅也停在我的碗筷上，整個影響食慾。

3、服務人員一問三不知。

4、菜色親友吃覺得還行。",2
食材新鮮美味，用心值得推薦👍🏼 …,5
餐點品質很好，停車也很方便，還會再度光臨👍👍 …,5
去吃了很多次，食材很新鮮，老闆很用心經營，推👍！ …,5
有個重點，現在很少餐廳不給刷卡的，不知是否有金額限制，這裡居然“要現金”，我是一千以上兩千以下的,1
料理很新鮮，停車也方便，服務很不錯！,5
去吃了好多次，店家非常親切，非常好吃👍🏼 …,5
菜色很粗糙，唯二的好處就是有包廂跟停車場,2
價格公道且真材實料，手捲很好吃😍 …,5
方便好停車，菜色吃起來，感覺味道較淡。,3
"我去的時候只有我與內人一桌
東西好吃 ，好停車",3
菜色新鮮，好停車，過節聚餐好選擇,5
"有專屬停車場 ，海鮮食材新鮮，好吃😋
服務
內用
餐點類型
晚餐",5
菜色不錯，食材新鮮美味。,5
來吃喜酒，不確定餐廳本身餐飲素質,5
好吃的 魚卵沙拉 三角炸豆腐 炒烏龍麵 蒸蛋,5
真的很新鮮吃到忘了拍照,4
東西新鮮  但價格有點高,4
太熱，菜色也沒很好,2
包廂，停車場很讚！,1
超级实惠，东西也很好吃，取货也很快,4
料理美味，價格實在,5
用餐環境很不錯,5
普通而已，沒有特色,3
餐點還可以,4
蒼蠅多 東西普通,2
竟然沒附白飯,3
菜色好吃@@,5
好吃,5
最喜歡壽司,5
"服務好
服務
內用
餐點類型
其他",5
服務不錯！！,3
讚讚……清幽,4
讚,5
好吃,5
菜色 普普,1
好吃,4
菜色普普,2
好吃,4
,4
美味的一頓飯。,5
美味的食物,5
,5
,4
,1
,5
,1
,4
,5
,1
,3
,4
,4
,4
,3
,5
,3
,4
,5
,1
,3
,5
,5
,2
,5
,2
,3
,5
,1
,5
,4
,4
,5
,3
,1
,4
,5
,1
,4
,3
,5
,3
,5
,5
,4
,3
,2
,5
,4
,3
,5
,2
,4
