comment,rating
"口袋名單實地造訪再加一，店面不大，甚至一個不注意就會錯過，但是店內給人的感覺很溫馨、有家的味道，雖然內部空間小，但五臟俱全、應有盡有，四菜一湯讓人一餐吃的飽足、美味、幸福，若是白飯吃不夠，還可以跟店員詢問續碗，主菜調味鹹淡非常剛好、好下飯，真的會讓人食指大動、一口接一口，湯品部分用料很足，不是只給清湯而已，忙碌之餘還能吃到像家常菜的簡餐，整餐吃下來非常喜歡，如果吃飽後胃還有空間，店內也有甜點品項可點用
服務
內用
餐點類型
晚餐
平均每人消費金額
$200-400
餐點：5
服務：5
氣氛：5
建議的餐點
海鮮紅咖哩, 椒鹽松阪豬",5
"很溫馨的小店。普通的菜色但就是過幾天會再想起的好味道 松阪豬好吃
建議的餐點
椒鹽松阪豬, 麻油松阪豬",5
"從2019年吃到現在
依然是我心中在虎尾用餐想尋求放鬆與自在感時的首選

栮苳的餐走的是簡樸實在的日式台式家常味
簡單乾淨又很下飯～最愛會辣的海鮮紅咖哩，不辣的也好吃
松阪豬從沒讓約來這聚餐的友人失望過
芝麻奶酪更是入口即化超美味🤤
其實每道餐都有一定水準

不是那種一口驚豔強推的美食類型
但是會讓人吃的滿意開心，不時會想去用餐的店",5
"很適合跟親朋好友聚餐的餐廳，簡樸的裝潢跟桌椅讓人感覺很放鬆
🔸椒鹽松阪豬
剛開始吃豬肉上面帶著油脂搭上椒鹽吃起來很香，口感很嫩，很下飯，吃到後面會有點膩，但小菜弄得很清爽解膩份量也很多，可以菜跟肉一起吃也有不同風味
服務
內用
餐點類型
午餐
平均每人消費金額
$200-400
餐點：4
服務：5
氣氛：5",5
"很文青的一家店，店家小小的很容易錯過，附近有收費停車場，店內位置不多，餐點都是現煮的所以上菜速度有點慢，口味不錯，很精緻！
服務
內用
餐點類型
午餐
平均每人消費金額
$200-400
餐點：5
服務：5
氣氛：5
建議的餐點
附近的停車場
付費停車位, 不提供停車位",5
"食物好吃，份量可以再多一點點就完美了（平常不是食量大的人）。尖峰時段出餐可能要等候比較久。
服務
內用
餐點類型
午餐
平均每人消費金額
$200-400
餐點：4
服務：4
氣氛：3",4
"-﻿
[#吃貨露西in虎尾］﻿
➡️椒鹽松阪豬🐖$210﻿
➡️海鮮紅咖哩🦞$220﻿
➡️梅干扣肉飯🍚$180﻿
➡️紅燒虱目魚柳🐠$200﻿
🔺附白飯（可續）、小菜、湯、飲品（冬瓜檸檬or熱柚子茶），更換飲品折抵$20﻿
➡️焦糖布丁🍮$45﻿
-﻿
✔️多久沒好好坐下來吃一頓飯了呢？虎尾的 #栮苳之家 是間溫馨帶點文青風的簡餐店，「栮苳」由來即是耳東陳，店家希望大家用餐就像到朋友家作客，在舒適的環境中聊天吃飯～從外面看店面不大，走進來是寧靜自在的空間，茶水餐具自助哦～﻿
-﻿
✔️露西點的 #椒鹽松阪豬 是直接乾炒松阪豬，沒有過多的油和調味，簡單撒上胡椒就很下飯！主餐夠味，小菜較清淡，滿符合我的胃口呢～ #海鮮紅咖哩 是印度式的湯咖哩，辣度很剛好，我直接把友人沒吃完的湯拿來拌飯！🤣﻿
-﻿
✔️ #梅干扣肉飯 的肉滷得入味而不死鹹，搭配來自新竹的梅干，我覺得比起傳統口味鹹度有稍微調整，吃起來負擔感覺沒那麼重，加上一顆溫泉蛋直接變成台式丼飯挺有創意🥰～#紅燒虱目魚柳 因為是無刺先加分！⭕️紅燒香味四溢，湯汁滲入整個魚肉和魚皮，佐以九層塔增添風味，這道也是十分下飯的料理！﻿
-﻿
✔️友人愛吃布丁加點的甜點，稍微有點小顆，不過以主餐部分表現得不錯，大家都吃得飽飽的～雲林的質感餐廳越來越多囉，等待露西努力踩點，持續分享給各位～( ˃̶̤́ ꒳ ˂̶̤̀ )﻿
﻿
✅動物友善﻿
﻿
☎️05-6330449﻿
⏰11:00-20:00(14-17點不供餐）﻿
📍雲林縣虎尾鎮公安路113號﻿
#露西吃貨地圖 #栮苳之家 #波波發胖雲林 #popyummy雲林 #雲林美食 #雲林美食推薦 #雲林虎尾 #虎尾美食 #雲林 #虎尾 #yunlinfood #yunlin #huwei #虎科大",4
"老婆推薦，首次來訪；
環境乾淨，裝潢也很簡單溫馨，是我喜歡的用餐感覺。

餐點的部分我點了義式香料雞腿+熱鮮奶茶；叁點的部分我覺得份量是足夠的，尤其我又加了一碗飯。（備註：加飯不用錢，我建議沒有吃飽的話，可以加半碗，對我來說一碗有點多)
因為滿喜歡青菜，所以會希望青菜可以多一點，然後菜有點溫，如果能更熱一點會更好。

熱鮮奶茶是套餐折抵20元 (記得折抵完是應該是65元?!)，因為當天下雨很冷，所以就想說點個熱飲，但飲品本身也是屬於溫的那種，可能店家怕顧客覺得太燙口，只是我覺得很冷，希望是熱熱的飲品，哈哈。

結論：用餐環境不錯、餐點好吃、份量剛好(食量大的可能會覺得少)。",4
常常路過 第一次來嚐鮮 真的乾淨又衛生 東西又好吃 飯量很剛好 不夠又可以免費續一碗 不夠再加點 帶小孩去很好拿捏,5
"下著微微細雨的虎尾，不知道為何，很多店都沒開，我在地圖上找尋想吃的，走了三家沒開、一家爆滿，最後來到這間 #栮苳之家 ，很小很溫暖的店，一樣客滿，但但我進去想問老闆可否候位的時候，有人離開，我就很幸運的吃到了！

非常好吃😋很下飯的梅干扣肉、很有味道的湯、加上三種菜好健康，才180元，而且還有送柚子茶和布丁，真的有種感謝前面店家都沒開的感動，幸福～～",5
