comment,rating
"意外地發現了這間
旁邊有附停車場

份量上一個人剛剛好
三種口味個人偏好雞腿飯
表面恰恰帶點焦香味、肉質也軟嫩
加套餐的紅豆紫米粥
不甜不膩很好喝~

🔺川味紅袍麻婆豆腐268$
🔺焗烤3種起司燒牛飯268$
🔺霸氣半斤溫體雞腿飯268$×2
🔺可爾必思130$
🔺熱帶天堂水果冰醋140$
🔺一顆檸檬紅茶140$

+A套餐68$-紅豆紫米粥、任選飲料折抵80
+B套餐108$-和風豆腐、紅豆紫米粥、任選飲料折抵110

IG：sabina_food113
服務
內用
餐點類型
午餐
餐點：5
服務：5
氣氛：5",5
"今點浦燒鯛魚飯、泡菜燒豚飯、羅曼凱薩木盆，上菜算快，口味上很適合，觀察一些小地方覺得很不錯，1. 走健康料理風：小菜毛豆不鹹，菜也都很新鮮很乾淨。2.內場功夫不錯：水波蛋熟度是讓你可翻至調羹卻不破，一擢蛋黃就灑開，真希望搬來，就可常常吃到，還有其他料理都想試試看🤤
服務
內用
餐點類型
晚餐
平均每人消費金額
$200-400
餐點：5
服務：5
氣氛：5",5
"自助高麗菜絲、味噌湯。
高麗菜絲太粗、菜味很濃！
味噌湯一般！
（經典樂販燒豚飯）好吃！滿足對肉的慾望！但只限於丼飯好吃！配菜一般，泡菜死鹹。
（豬五花雙饗飯）只有肉好吃！麻婆豆腐冷的味道尚可,咖哩冷的味道有些微苦，整體不推！只推（經典樂販燒豚飯）
服務
內用
餐點類型
晚餐
平均每人消費金額
$200-400
餐點：2
服務：3
氣氛：4",2
"特地外帶嚐鮮，結果吃到一塊「疑似」未煎過的牛小排⋯一面煎過、一面沒煎？
有些則是熟到變韌了⋯
服務
外帶
餐點類型
晚餐
平均每人消費金額
$200-400
餐點：2
服務：3
氣氛：3",3
"牛肉軟嫩剛好
不會乾
白米飯好吃😋QQ的
本來不敢吃不熟的蛋  但是吃了溫泉蛋🥚的熟度剛剛好 .
紫米紅豆湯很 濃稠好喝
服務
內用
餐點類型
午餐
平均每人消費金額
$400-600
餐點：5
服務：5
氣氛：5
建議的餐點",5
"起司燒牛飯好吃
自助的高麗菜絲切的不夠細
自助的味增湯偏鹹
桂圓紅棗茶好喝
紅豆紫米粥不錯，沒有我不愛的豆味
服務
內用
餐點類型
午餐
平均每人消費金額
$200-400
餐點：5
服務：5
氣氛：5
建議的餐點",5
"服務親切
不過套餐的東西一開始被遺忘
至於食物就普普而已
餐點：5
服務：5
氣氛：5",5
"餐點好吃，品項選擇又多，用餐體驗佳！
服務
內用
餐點類型
午餐
平均每人消費金額
$200-400
餐點：5
服務：5
氣氛：5",5
"嫩煎厚切牛排飯熟度剛好 好吃讚的勒👍
餐點：5
服務：5
氣氛：5",5
"端上來嚇死人的木盆沙拉！
一人吃飽到翻天～
雞腿很嫩～好吃😋
餐點：5
服務：5
氣氛：5",5
"意外發現很文青的店，餐點也很棒，份量足
餐點：5
服務：5
氣氛：5",5
店裡氣氛不錯，麻婆豆腐是新口味道還不錯，不過可以在麻辣一點。半熟蛋是糕狀...最喜歡醃蘿蔔，搭配著吃解油膩感！味增湯普普。單價偏高。,3
東西好吃，不過室內空間有限，如果太晚去吃，還是要訂位哦！小菜點心蠻少的。但對於一般人來說，食量滿足感大概8分左右。,4
"有點貴但不錯吃
在裡面發現一根頭髮，希望下次能注意一下衛生
平均每人消費金額
$200-400
餐點：4
服務：5
氣氛：5",4
"肉類好吃😋
可以來嚐鮮
家樂福對面有停車地方
服務
內用
餐點類型
午餐
平均每人消費金額
$200-400
餐點：5
服務：5
氣氛：5
停車位
停車不方便
附近的停車場
付費停車位",5
"來吃超高人氣的牛排飯
只是希望套餐的紫米粥可以有更多選擇
像是有濃湯 小份的麵或是甜點
服務
內用
餐點類型
午餐
平均每人消費金額
$400-600
餐點：5
服務：5
氣氛：5
特殊餐點
讚肉肉",5
"餐點份量很足，用餐環境佳，熱飲可再回沖，cp值高，下次會再帶孩子來
服務
內用
餐點類型
午餐
平均每人消費金額
$400-600
餐點：4
服務：4
氣氛：4",4
"用餐環境還不錯，服務也不會太差，餐點走精緻路線！

選擇較少，價位偏高！
最便宜的餐點也要139再加個79才能升級為套餐才會稍微有飽足感，但總價也要破200元。
這樣的份量，我得於我的話...
我是7分飽，會飽的話都是喝湯喝飲料湯湯水水才會飽，所以對我來說沒有足夠的CP值。

這裡的座位有點少，想吃的話就要的提早過來，避開吃飯的高峰期間，不然就要在外面等裡面的吃飽，要等一段時間了~
用餐環境的話，空間不大！稍微擠了一點！

這間店算是我久久才會來一次的店，因為這裡吃精緻的，一樣的價位可以有更多選擇。
不過這裡的氣氛還不錯，口味也好吃！
所以不會排斥這間店。",4
"店裡裝潢不錯
價格不便宜
但餐點、飲料有點普普⋯⋯
餐點：2
服務：2
氣氛：4",2
"今天路過臨時找到這家餐廳用餐
雖然店內空間不大
但對於帶著一歲大的小寶的我們來說是親切友善的
餐點部分我們三個大人跟一個寶寶都喜歡
感謝能有這次不錯的用餐體驗😌
餐點：5
服務：5
氣氛：5",5
去過n次，喜歡他們的「米飯」，更改價錢後第一次去....傻眼，貴超多，現在提供免費味增湯（料多味增很少喔都是鹽巴味），豬肉部位變了，肥多了，也沒有多煮一下（超油會有點噁心），麻婆豆腐味道其實不錯（有四川味），但是份量少的可憐，總之 味道不錯 價錢我是無法接受囉⋯⋯雞翅如果有一點點焦香味會更棒吧⋯⋯整餐就是一個油膩感！,3
"從嘉義玩回台中時，順道來斗六吃美食
許多小吃剛好都周日公休於是因緣際會找到這間
有免費味噌湯跟高麗菜絲無限量供應(高麗菜還能自己+胡麻醬跟油醋)
餐點的豚肉片很香，泡菜很好吃，雞腿肉很嫩
(加溫泉蛋也很棒)

服務人員很親切，用餐的時候我不小心把一根筷子用掉到地上，服務人員立刻拿了一雙新的衝過來，把本來的那雙收去

後來剛好旁邊盛湯區有客人不小心整碗落地灑到我
服務人員也很快衝過來關心我有沒有被燙到
然後也很快速的把地面整理乾淨了

要離開以前，又有另一桌客人飲料打翻
服務人員也是立刻先幫他們換桌，再快速的清理乾淨
(真是辛苦啦)",5
"木盆沙拉很大份，能吃飽又攝取好多蔬果，牛肉的牛油香氣跟清爽的沙拉相得益彰，會再回訪
服務
內用
餐點類型
午餐
平均每人消費金額
$400-600",5
"會吃得很飽，湯很有誠意🙂
餐點：5
服務：5
氣氛：5",5
"出餐速度快，品質還不錯，氣氛超好，但遇到雷客人也沒法度！
味噌湯好喝，海帶芽放超多
餐點：5
服務：5
氣氛：5",5
"環境乾淨氣氛佳，座位不多，不會太吵雜，也適合吃喝聊天。

服務人員積極親切，餐點樣式不多，但點的餐都沒踩雷，下次會再來嘗試別的菜色。

缺點是附近不好停車，要多繞繞～",4
"起司豚肉的肉好吃
但是裡面就只有肉跟起司跟飯
沒其他的料所以整體就變得有點普通
高麗菜絲和味噌湯都可以自己用來吃
對了胡麻醬超級鹹",3
"<樂飯樂販>
來個深夜文 ✨
週日吃了一碗好飯🍚
#麻婆豆腐丼
花椒香 豆腐嫩 很下飯
#起司燒牛丼
起司很濃 可惜蓋掉牛肉味
隨餐的雞蛋豆腐
上方的柴魚給的很大方 🤙
可惜吸到醬汁 有點鹹 😲
味噌湯跟高麗菜 都吃免驚的
加點的 #雙醬薯餅 還不錯

基本上 麻婆豆腐丼 真的很推
以上純屬 個人觀感🙇",4
"吃過斗六店之後心心念念的樂飯！
這次來虎尾店吃看看，還是那個熟悉的味道，推推👍👍
餐點：5
服務：5
氣氛：5",5
"服務人員很親切
餐點也很好吃～
服務
內用
餐點類型
晚餐
平均每人消費金額
$400-600
餐點：3
服務：5
氣氛：3",4
"期待已久，意外發現虎尾店重新開幕了還是跟以前一樣美味；有時間可以到虎尾店用餐不會像斗六店需要預約比較不用等可以悠閑用餐環境一樣舒適性。
服務
內用
餐點類型
午餐
平均每人消費金額
$200-400
餐點：5
服務：5
氣氛：5
停車位
停車位有點難找
附近的停車場
付費停車位",5
"第二次來到虎尾店 依然親切的服務
多了新的餐點-沙拉系列 沒有低消的機制
讓胃比較迷你的兩人同行 能點一份餐點就好
也不怕吃不完浪費或吃太撐 份量足夠 吃到飽
(來不及拍照 補一個去斗六店的照片OwO"")",5
"餐點美味，環境很舒適，服務人員也很仔細整理顧客離開後的座位。整體用餐體驗是很推薦的～
服務
內用
餐點類型
午餐
平均每人消費金額
$200-400
餐點：5
服務：5
氣氛：5
建議的餐點",5
"餐點價格中等
但份量比較少
若主打消費客群是虎科大學生
份量有可能不夠
而且菜單品項比較少
開車要停家樂福停車場",4
