comment,rating
"4/1隻份量，鵝肉很好吃，老闆很貼心會詢問要前段或後段，服務態度很好哦！有經過會再訪
服務
內用
餐點：4
服務：5
氣氛：2",4
"第一次來嚐鮮、價格很平民、鵝肉很嫩好吃、小菜也都好吃、老闆很親切服務態度很好👍
餐點：5
服務：5
氣氛：4",5
"近期嘴饞一直很想吃鵝肉
雖然四處都有賣
但比較挑的吃來吃去還是會覺得民雄的最好吃
但礙於有點距離
就近找了間看起來不錯評價也好的鵝肉店試試
正所謂走過路過千萬不要錯過
路過幾次 但都沒有嚐鮮看看
菜單的定位 跟民雄那條街的鵝肉店賣的品項大同小異
外帶了四分之一隻鵝肉.米血.鵝肝.高麗菜
每一樣都好吃無雷
鵝肉優異的不再贅述
反而要稱讚鵝肝的部分
內臟類處理的好加上切薄片厚片交叉的方式
新鮮又不膩口
打電話去也聽得出老闆娘很熱情
整體很優秀 納入口袋名單
以後突然想吃鵝肉會是優先選擇",5
"老闆態度親切客氣
動作乾淨利落，
我們是外帶，老闆很仔細的將餐點打包完整

鵝肉鮮嫩好吃
湯頭喝起來也很鮮美
乾麵香氣十足

會再回訪的一家店
餐點：5
服務：5
氣氛：5",5
"鵝肉超好吃，不乾柴，其他東西也好吃，整體來講CP值高，口味超讚的！
餐點：5
服務：5
氣氛：5",5
"鵝肉1/4只有小小的鵝胸，哪有1/4？這是鴨的尺寸吧，而且菜單既然寫1/4的，前段應該是胸+翅才對
服務
內用
餐點類型
午餐
平均每人消費金額
$200-400
餐點：2
服務：3
氣氛：3",2
"老闆服務很棒 店內乾淨整潔
鵝肉原味很鮮甜
沾了醬汁也很好吃
鵝肉丸很有香氣",5
"老闆娘親切熱情
在虎尾挑一間鵝肉吃結果意外驚艷
真的跟民雄一樣好吃  價格也不貴
虎尾數一數二的鵝肉店",5
"鵝肉真的很嫩很好吃
價錢也很公道
老闆、老闆娘服務也很親民👍
值得推推推
服務
內用
餐點類型
午餐",5
鹅肉超好吃，回甜，有汁。鹅肠又脆！大家路过不要错过！！！,5
"確有民雄鵝肉的口味，老闆闆娘服務親切，態度低調，不會因有好手藝而自視過高！
老莊鵝肉適合三五好友或家庭用餐的好所在，大推特推呦！加油",5
"一句話，過來吃就知道讚!
切片厚度剛剛好，鵝肉又嫩又香。價格也真的好便宜。下次過來，一定會再光顧。",5
神好吃！鵝肉超嫩！肝也剛剛好，老闆很客氣，上菜是雙手上的，有路過絕對會再來,5
"超好吃的耶😋
肉有夠鮮甜～ 讚讚讚👍🏻👍🏻👍🏻 …
平均每人消費金額
$200-400",5
"老闆老闆娘待客親切
刀功厲害鵝肉大小剛好嫩又好吃
筍乾也是必點滑嫩
服務
內用
餐點類型
晚餐
平均每人消費金額
$200-400",5
誤打誤狀來吃的鵝肉，居然美味到一再追加菜色，內臟類處理的很乾淨又沒腥味，鵝肉嫩到不像話，下次有機會一定還會來吃的美食😋😋😋 …,5
"鵝肉鮮美多汁，不需沾醬就很好吃。
老闆和老闆娘親切，值得推薦。
下次來虎尾，會再次造訪",5
肉好味，好吃到建意吃原味,5
餐廳明亮乾淨，鵝肉好吃🤤🤤 …,5
"服務好又好吃
值得5星好評
餐點：5
服務：5
氣氛：5",5
鵝肉軟嫩好吃，小菜鵝肝，米血也很美味。有到虎尾很值得去吃看看！👍 …,5
"鵝肉好吃，老闆老闆娘非常親切
價格親民實在👍 …
服務
內用",5
"鵝肉新鮮，價格親民，CP值高。
強力推薦，值得再來消費。",5
超高CP值 好吃便宜東西都好大一份 老板服務又親切 下次來一定要來吃 給你們一個 👍讚 …,5
"人間美味在何處？
應在民雄鵝肉裡。
料多實在又新鮮，
應是食神謫下凡。",5
"鵝肉好吃又便宜
老闆夫妻倆服務親切和善
服務
內用
餐點類型
午餐",4
"好吃 肉質鮮嫩 😻
老闆娘美麗親切有活力
超讚 推😻😻❤️ …
服務
外帶",5
"超好吃而且店內超乾淨整潔 老闆跟老闆娘人很好
服務
內用
餐點類型
晚餐
平均每人消費金額
$1-200",5
服務很周到 戴牙套的我有幫忙去骨的服務 真的很甘心😘 …,5
鵝🦢好嫰  筍干油嫩也好好吃 …,5
鵝肉好吃，刀工精贊，棒,5
鵝肉好吃哦,5
"好吃，很像民雄的鵝肉亭。
服務
內用
餐點類型
午餐",4
"超好吃 鮮嫩多汁
服務
內用",5
,5
,5
,4
,5
,5
,5
,5
,4
,5
,5
,5
,5
,5
,5
,5
,5
,5
,5
,5
,3
,5
,4
,3
,5
