comment,rating
"魚跟烤串可以點，很嫩很多汁💧💦💦
🧅大阪燒沒吃過日本的，但我覺得是有點焦？不知道
但是脆脆的好吃，缺點是料蠻少的80%都是高麗菜跟洋蔥😡🥵🥵🥵
🍡那個貢丸整顆都是黑胡椒味，那碗蛋黃拯救整串貢丸😐
🍝墨魚炒麵其實叫墨魚湯麵也可以，炒麵的話要再收乾一點ㄅ？
啊不過我覺得不用點，因為吃起來跟外面快炒店80元的味道一樣快炒店料還比較多==

整間店人手好像只有兩個吧？根本忙不過來所以等超久🫠🤗🥴🥴🥴
這個價位、食物還有等待的時間虎尾一堆居酒屋屌打🥵",2
"濃濃的日本味道
餐點都是現點現做
態度親切
是間舒服的店
服務
內用
餐點類型
晚餐
平均每人消費金額
$400-600
餐點：5
服務：5
氣氛：5
建議的餐點
大阪燒, 綜合魚生, 烤魷魚",5
"入坐後店家先招待了一份沙拉,真貼心!大板燒用料實在來店必點,各式燒烤選擇多多還十分對胃,再喝個飲品、湯品飽的不要不要的,是三五好友聊天打牙祭的好去處。
餐點：5
服務：5
氣氛：5",5
"很棒很溫馨的居酒屋～會讓人一再想蒞臨造訪的美味！
服務
內用
餐點：5
服務：5
氣氛：5",5
"店內好像真的是店員認證的熱，雖然被安排坐外頭，有風扇吹是蠻舒適的
串燒都在水準上還不賴，松阪豬好吃，櫛瓜豬肉也很讚！
大阪燒也蠻大份的，2人吃剛剛好
咖喱炒麵就有點雷了，雖然味道不差，但是跟朋友都吃到了超鹹的咖喱塊…
還有飲料也蠻少的
服務
內用
餐點類型
晚餐
平均每人消費金額
$1,000-1,200",4
"味增湯裡頭鮭魚是完整一小塊，不像很多店家都是散鮭魚肉，味噌明顯不是調和粉沖泡出來的，所以不鹹且有味增醃漬的釀造香氣，最令人驚艷的是湯裡有一顆完整荷包蛋，這湯確實物超所值！

大阪燒的煎製耗時，想吃就直接請店家先做。滿層如山的高麗菜，內餡還點綴有花枝等海鮮，確實煎燒出一層醬底層，卻沒有焦爛，大阪燒也是一樣是這家店賣點品項。

其他燒烤串的份量，也明顯較其他店家多，例如雞心和牛肉都是六顆，口味也是處理得當，非常好吃。

考量每一項的量都有突出的多，價位比是不會偏貴的；串燒、大阪燒本身是需要時間烤製；其開放式廚房的油煙味有明顯改善。

整體是可以再訪的店。
服務
內用
餐點類型
晚餐
平均每人消費金額
$200-400",5
"去居酒屋聚餐 最想要的是氛圍感~餐點好吃 好拍，老闆跟老闆娘也很熱情 只要有空肯定陪你聊聊天，不要害怕一個人來太無聊，還是那常說的那句話~我有酒 你有故事嗎？🤣🤣
服務
內用
餐點類型
晚餐
平均每人消費金額
$800-1,000
餐點：5
服務：5
氣氛：5
建議的餐點
大阪燒",5
"推～大阪燒、烤飯糰雞肉烤串、烤雞心
服務
內用
餐點類型
晚餐
平均每人消費金額
$200-400
餐點：4
服務：5
氣氛：4
建議的餐點
大阪燒",5
"沒裝冷氣 熱死吃到一直流汗
東西貴就算了，端出來也沒價格應有的品質
幾乎是勉強吃的，畢竟花的是辛苦錢
大阪燒根本沒熟啊，整個都麵粉味吃不下去
點了很多只有秋刀魚能吃
不會再來
服務
內用
餐點類型
晚餐
平均每人消費金額
$400-600
餐點：1
服務：5
氣氛：1",1
"今年六月吃過，補個食記，
整體來說不會想再光顧，
干貝沒有熟，裡面還是冰的，反應後店家表示要重做，卻遲遲等不到，最後直接退錢；

手捲更是讓我傻眼，到底「捲」在哪裡？
手捲就是要捲好方便客人吃不是嗎？

整體來說價格不便宜，跟朋友共兩個男生吃了一千多沒有飽，也沒有比較好吃，害我請朋友請到感覺很丟臉。
服務
內用
餐點類型
晚餐
平均每人消費金額
$1,000-1,200",2
"價格不貴，又好吃，老闆細心處理螺肉，炭香燒製，香甜可口🤤
服務
內用
餐點類型
晚餐
平均每人消費金額
$400-600
餐點：5
服務：5
氣氛：5",5
用餐當天為禮拜六，心裡已經有要等很久的打算，沒想到等待的時間遠遠超過預期，將近40分鐘以上才上第一道菜，另一個大阪燒($180)等了一小時才上我也是醉了，重點是口味真的不行；在這之前，服務員有端來一小碟的涼拌小菜，說這請你們吃，連是什麼小菜名也沒說，看了其他來用餐過的客人留下的評價完全不假，首先菜單看起來就是兩張影印的紙，完全沒有任何質感，在虎尾這種地方餐點價格實在偏貴，如果好吃、上菜速度不這麼慢至少還能勉強接受，也許店家只想趕緊賺回本，不會在乎評論，只能說如果有耐心又不追求美味的人可以試看看喔。,1
"從外觀賞是很有氣氛的居酒屋，偶爾外頭座位會有駐唱，店裡座位都是吧台座，燒烤中規中矩( ˙༥˙ )
服務
內用
餐點類型
其他
平均每人消費金額
$200-400",3
"烤魚真的一絕！
老闆娘親合力很高～
店員也親切
店裡氣氛也好棒～不熱又休閒～
服務
內用
餐點類型
晚餐
平均每人消費金額
$400-600
餐點：5
服務：5
氣氛：5",5
"東西好吃😋，體驗不一樣的晚餐
服務
內用
餐點類型
晚餐
餐點：5
服務：5
氣氛：5
建議的餐點
大阪燒",5
"是個讓人一坐下來，就覺得好像來自己家的那種親切感的地方，老闆娘好像都會把客人當成自己家人般的問候，在這邊吃東西小酌很讓人放鬆
服務
內用
餐點類型
其他
平均每人消費金額
$400-600
餐點：5
服務：5
氣氛：5
建議的餐點
特殊餐點
沒吃過這麼好吃的咖哩炒麵，味道恰恰好，主角還是烏龍麵，很豪邁",5
"老闆對燒烤很用心，口味真的很棒,生啤黑+白更是好喝
服務
內用
餐點類型
晚餐
平均每人消費金額
$1,000-1,200
餐點：5
服務：5
氣氛：5",5
"東西不好吃、價格又貴，不會再去吃了
餐點：1
服務：2
氣氛：1",1
"餐點送去給對面就算了
只有熟客才是客人
我們第一次光顧比熟客先點餐
居然把我們點的餐點全部送去給對面
連最後一份螺肉也給對面熟客
建議不是熟客千萬別來
服務
內用
平均每人消費金額
$600-800",1
喜歡大阪燒、東石生蚵、生啤酒，老闆帥老闆娘好客，會暗暗招待她的私房小菜，有值感的居酒屋，很適合一個人來。,5
"肉串普，整體食後感受與服務體驗，真心感覺不行…
服務
內用
餐點類型
晚餐
平均每人消費金額
$600-800",1
"雖然出餐速度略嫌慢點，但還可以接受，飲料啤酒若能更早上會更加分
櫛瓜豬肉味道很好很多汁，小建議可以再增加更多餐點
當天是選擇室外座位，附近車子不多，不會吵雜，天氣也舒適涼爽
總體來說是很適合三五好友小聚的地方👍👍
服務
內用
餐點類型
晚餐
平均每人消費金額
$400-600",5
"到虎尾來水源町，吃的是專業是美味、喝的是故事、感受得到老闆的初衷與用心，大推！
服務
內用
餐點類型
晚餐
平均每人消費金額
超過 $2,000
親子友善程度
環境與店家人員讓我小孩很喜歡來，總之⋯親切服務的好店家！",5
"水源町是一個讓人放鬆的地方、感覺對氣氛好、闆闆&闆娘、待客知道沒話說、個人很推大阪燒好吃😋 …
服務
內用",5
"滿分10分
1⃣️ CP質：5分（貴）
2⃣️ 環境：3分 （擁擠）
3⃣️ 舒適：1分 （未吃先流汗）
4⃣️ 總分：1.5顆星
2男 花23xx元 吃完算不餓
店內店外一樣熱，桌椅不舒適
總結：會阻止親朋好友拜訪🥲
我：希望店家+U👍
服務
內用
餐點類型
晚餐
平均每人消費金額
$1,000-1,200",1
"味道很棒推薦 串燒炭香很棒 起司烘蛋大推 店家人超好👍👍
服務
內用
餐點類型
晚餐
平均每人消費金額
$400-600
提供特殊餐點
不確定",5
"東西好吃，但是速度超慢，酒等了很久還沒上
服務
內用",2
"氣氛不錯，但戶外有蚊子，室內只有吧檯，餐點略貴，
餐點類型
晚餐
平均每人消費金額
$200-400
餐點：4
服務：4
氣氛：4",4
"食物份量太少
完完全全跟價錢差太多
來的人可能要三思
花好幾百  但是肉可能才吃三四口就沒了
平均每人消費金額
$400-600",1
"以為有日本的感覺？
超熱煙味超重
全身都味道很崩潰
生食有待加強
至於烤肉～
我想頂山門可能略勝一籌
服務
內用
餐點類型
晚餐
平均每人消費金額
超過 $2,000",1
"餐點上很慢，菜上完也不會提醒客人，餐點沒上到跟他們反映，店家不是先去確定而是質疑客人說剛收空盤走了，重點他根本沒來收過桌，服務待加強
服務
內用",1
東西好吃、但速度很慢又很貴，選擇性又很少,2
喝酒的好地方,5
"老闆跟老闆娘待人親切，食材飲品都很讚
服務
內用
餐點類型
其他
平均每人消費金額
$600-800
餐點：5
服務：5
氣氛：5
建議的餐點",5
"料理有創意又好吃，CP值很高，店家服務也很客氣。
服務
內用
餐點類型
晚餐
平均每人消費金額
$400-600",5
"超好吃的🤤🤤🤤🤤
必點 …",5
"店內超熱又吵，位置小對著烤的煙，食物難吃
服務
內用
餐點類型
晚餐
平均每人消費金額
$1,000-1,200",1
"非常有溫度的居酒屋
在水源町喝的酒水帶著濃濃的人情味
服務
內用
餐點類型
其他
平均每人消費金額
$200-400",5
價格公道服務一級棒值得推薦的好店家!,5
"餐點好吃 老闆及店員都很親切
服務
內用
餐點類型
晚餐
平均每人消費金額
$800-1,000",5
"比一般擁擠的小居酒屋好一點的空間，其它普普
餐點：3
服務：3
氣氛：3",3
"在店內吃超級熱 椅子超難坐 邊吃邊流汗
服務
內用",1
