comment,rating
餐點都很好吃，特別喜歡炒粄條和炒飯，很有鍋氣,5
"闆娘很親切和善，服務很好。炒飯、炒麵給的份量超滿的啦！

如果覺得不夠，闆娘說加10元份量還會更多，正常份量-已經讓兩個人吃到撐了。

炒飯、炒麵有加沙茶吧！其他特殊調味，應該不是台灣本地的辛香料，口感很不一樣。",5
"更：親愛的~其實我反應的重點是...在我眼前剛進去一個客人，我們要跟著進去，卻被闆娘舉起雙手打個叉叉拒絕，後面卻又允許其他客人進去用餐？字面意思是這樣~沒有其他，只是不明白我們被拒絕的原因是為何？感受不佳才會反應一下過程~謝謝祝福！
20220826特意來覓食，炒台正火熱，店內有4、5位客人有一個在我們前面先進去用餐，玻璃門裡右手邊簡易收銀台？坐著一個女生，看到我們兩老後，直接舉起兩隻手打個XX，拒絕我們進入，時間是19：15~20左右，我們也沒說什麼就離開了，但是在後來我們去別的地方找吃的未果，又繞回來時，炒台仍在炒，裡面依舊有客人，剩下就不解釋了...",1
"Enak banget!
很美味的餐點，人很好的老闆和店員們

口味已經調到合乎台灣人的胃口，吃起來是台灣味中拌著印尼滋味，份量相當大，不油膩、不太辣，任何台灣人都會愛上的

老闆有時候要照顧家人而暫時離開，請別介意～",5
"首次嚐鮮，點了蝦仁炒飯。
炒飯整體乾爽不油膩且香氣十足，米飯潤口、不乾又不會太軟爛，份量和材料給的也很對得起價位。
很滿足，期待再嘗試其他餐點。",5
"調味很特別，還不錯吃！
（題外話：炒麵有加蒜頭歐
老闆娘人很好，看我拿飲料不方便還多給一個袋子XDDD",5
炒板條超好吃!!! 份量又多 CP值很高 湯麵類也很有味道 不像其他店家湯麵吃起來都沒什麼味道 真的大推👍 …,5
炒飯 炒粄條 份量多又好吃 甲粗飽cp值很高,5
闆娘人很親切   炒粄條又好吃 讚讚,5
老闆娘親切的、又漂亮又讚讚讚 👍👍👍 …,5
又好吃又大碗,5
Top nambewannn...Sambele agos ra umom enak'e...帶有吉祥物伊瑪目的密碼😁😁😁 …,5
,5
,4
,5
,5
,5
,4
,5
,5
,5
