comment,rating
"簡單原本食材的美味，有海菜入菜很驚豔，推薦喔
餐點：5
服務：5
氣氛：5",5
"可用linepay、台灣pay結帳。

義式無骨雞腿排$120：雞腿肉肉質普通微硬、雞皮大部分偏肥，偏偏調味十分清淡，吃起來有點可怕。豆腐組織粗糙，口感介於板豆腐和凍豆腐之間，比較接近凍豆腐。高麗菜雖然甜，卻被切成細小碎塊，喪失整片咬的口感。地瓜鬆軟無絲香甜，還不錯。滷蛋滷不入味，可當做加鹽的白煮蛋吃。唯一合胃口的就是玉米筍，鹹香爽脆好吃，調味算是整個清淡便當中最重的。紫米飯微硬需細細咀嚼，但米飯甜度太高，其他配菜調味又偏清淡，導致吃飯配菜整個便當就是甜甜甜！非常不合胃口，在虎尾同價位的健康餐盒有更多好吃的選擇。
服務
外帶
餐點類型
午餐
平均每人消費金額
$1-200",2
份量足夠、且食材好吃，每次的食物吃起來是新鮮的，值得回購的好店~,5
"菜色很棒！ 缺點是紫米飯太過於黏！像再吃米糕…吃多胃不舒服。應該混多點白米煮或是可以提供白飯給人選擇。
服務
外帶
餐點類型
午餐
平均每人消費金額
$1-200",5
虎尾已經開了好多類似這樣子健康餐的店，昨天新開幕，我吃了覺得口味還不錯，紫米非常的Q彈，唯一讓我覺得很棒的是嫩雞胸，家人都覺得很好吃，但是鯛魚片我們家人都覺得實在是太小了，以單點60來說份量真的很少，如果份量可以再大一些我相信應該會比較好,5
不錯吃 菜很新鮮 吃得出來有用心 菜都有各自的味道不是混在一起的 紫米很Q值得再回購😍 …,5
"難得有好吃又健康的餐盒，吃得到食物的原型，肉類部分非常合胃口，份量也足夠，建議先打電話去訂餐
服務
外帶",5
"份量不多，適合食量小的人
很可惜沒有附湯或水
服務
外送
餐點類型
午餐",3
食材新鮮，口味非常合胃口，吃了健康沒負擔，不罪惡，連吃習慣重口味的我也一秒愛上,5
"這家超好吃，都叫外送當晚餐肉很嫩，菜新鮮，飯好好吃！
服務
外送
餐點類型
晚餐
平均每人消費金額
$1-200",5
"餐點好吃~
只是虎尾的健康餐盒都是講好大家一起休六日的嗎..",5
"口味真的很優質
量足新鮮又好吃
價格合理CP值極高
服務
外帶
餐點類型
午餐",5
"好吃 菜都很新鮮
但希望有line pay",5
"食材新鮮，肉品選擇多
份量也剛好
服務
外送
餐點類型
午餐
平均每人消費金額
$1-200",5
食材新鮮、份量剛好,5
食材新鮮 手藝精湛,5
,5
,5
,5
,5
