comment,rating
"某天與家人到虎尾辦事，剛好鄰近午餐時間，想不到要吃什麼，還在苦惱的時候，突然表妹想到潮味決，表示上次跟同學相約讀書，有前往吃過一次，當時覺得還不錯、符合口味，且份量很夠，所以就決定前往用餐，店內環境乾淨、整潔，內用桌算多，菜單說明非常仔細、一目瞭然，這次用餐點的是「楊過最愛菇菇雞套餐-豚骨味最鮮」，看到餐點時，真的如表妹所說份量很夠，不用怕吃不飽，湯頭濃郁好喝、口味剛好、不死鹹，且店家還有學生方案，只要出示學生證，可選擇加肉或加菜，完全就是學生福音
服務
內用
餐點類型
午餐
平均每人消費金額
$1-200
餐點：5
服務：5",5
"老闆大哥服務親切
第一次使用會員耐心教導
味道跟用餐環境不錯
馬鈴薯有熟很棒🙏
服務
內用
餐點類型
晚餐
平均每人消費金額
$1-200
餐點：5
服務：5
氣氛：5
建議的餐點
麻辣湯頭",5
"套餐有附飲料，
綠茶和烏龍都很好喝，
不會苦澀，非常順口👍🏻
豚骨很好喝！推！
個人不會想再點第二次麻辣～
吃完舌頭會很不舒服那種～
我們都點套餐，但都沒有飽🥲",4
"火鍋料感覺是高品質的，點套餐感覺份量大概7分飽。
店裡的佈置很有趣
服務
內用
餐點類型
午餐
平均每人消費金額
$1-200",4
"好好吃 雖然我吃不完
喜歡這裡的食材 跟好好喝的奶茶！！
服務
內用
餐點類型
晚餐
平均每人消費金額
$1-200
餐點：5
服務：5
氣氛：5",5
"門外選要的滷味的牌子，再進門去櫃檯結帳，很有趣。滷味湯頭很特別，竟然有豚骨口味，湯頭鹹淡適中，好喝不膩口(湯是熱呼呼的，沒有之前評論說的冷冷的)。沒想到在虎尾找到合胃口的豚骨湯頭竟然是在滷味店哈哈哈~
服務
內用
餐點類型
晚餐
平均每人消費金額
$1-200",5
"吃過幾種湯頭都很不錯，友人喜歡麻辣和藥膳，魚蛋超好吃一定要試！
今天外帶太晚去拿，老闆人超好，還幫我把湯倒掉加新的熱湯，怎麼能不推爆👍🏻👍🏻👍🏻 …",5
"不用在跑外縣市，在雲林也可以享用到他們的餐點了～
餐點選擇超多樣😋
店員都好親切，輕鬆愉快的氛圍，店內環境明亮又整潔，重點是餐點好好吃，心情也都愉快起來了
服務
內用",5
"之前在台北會吃老先覺火鍋，現在回虎尾常來，好吃。老闆很客氣、實在。
服務
內用
餐點：5
服務：5
氣氛：5",5
"好吃！！氣氛很好、食材新鮮，調味很合口味～
店長很帥😋😋😋
服務
內用
餐點類型
晚餐
平均每人消費金額
$1-200",5
"清爽可口環境乾淨
餐點：5
服務：5
氣氛：5",5
"第一次點餐，發現套餐搭配超多款式，選擇性困難上身😱😱😱😱
還好有好友推薦韓式辛辣湯👍👍👍

小小微微辣，吃起來很順口
湯頭溫度對於貓舌頭的我，剛剛好，不燙口，可以一口接一口👍👍
服務
內用
餐點類型
午餐
平均每人消費金額
$1-200",5
店家很貼心，看到我手上原先已經有一杯飲料了，主動告知套餐的飲料可以換成其他熟食品項，不用強迫一定要配飲料,5
"口味不錯！
服務很好
服務
內用
餐點類型
晚餐
平均每人消費金額
$1-200
餐點：5
服務：5
氣氛：5",5
只要是學生來消費真的都會賺爛 重點是老闆超nice,5
"老闆人很好🥺東西好吃工讀生很帥
餐點：5
服務：5
氣氛：5",5
"禮拜日第一次嚐鮮，吃完隔天拉肚子，害我拉了整整一個禮拜，不會再去光顧。
餐點：1",1
"高麗菜像沒煮熟一樣
玉米筍吃到兩支臭掉的
希望店家能加強食材的挑選與烹煮
服務
外帶",2
"東西好吃，店員親切，愛吃辣的推薦麻辣口味，乾或湯各有風味😋
環境舒適，是聚餐的好場所！ …",5
我是剛剛外帶855號，可能貴店過於繁忙，導致我所點的米血未放入。。。,2
"店面整潔明亮，食物好吃，略貴。
餐點：4
服務：5
氣氛：4",4
"好吃 以學生來說套餐蠻值的 虎科學生有多加肉
餐點：5
服務：5
氣氛：5",5
"食材新鮮乾淨，
一次內用一次外帶，
都吃的很滿足~
餐點：5
服務：5
氣氛：5",5
"老闆超熱情
東西也超好吃
奶茶也很好喝
服務
內用
餐點類型
其他
平均每人消費金額
$1-200
建議的餐點
麻辣湯頭",5
"東西也不錯吃
食材木耳沒挑乾淨
湯可以熱一點",3
"滷味加豚骨湯底，好吃！下次要吃不同口味！
服務
內用
餐點類型
晚餐
平均每人消費金額
$200-400",5
"東西漏給，食物吃起來感覺沒有熟
服務
外帶
餐點類型
晚餐
平均每人消費金額
$1-200",2
"餐點好吃cp質高店員親切👍
服務
外帶
餐點類型
晚餐
平均每人消費金額
$1-200",5
"老闆熱心大好 ♥️
服務
外帶
餐點類型
晚餐
餐點：5
服務：5
氣氛：5",5
"就滷味的火鍋概念
服務
外帶
餐點類型
晚餐
平均每人消費金額
$1-200
餐點：4
服務：5
氣氛：4",4
工讀生很帥,5
水準以上！,5
"推推推
好吃
服務
內用
餐點類型
午餐
平均每人消費金額
$1-200",5
店員太帥了,5
"食材新鮮美味
服務
內用
餐點類型
晚餐
平均每人消費金額
$1-200
餐點：5
服務：5
氣氛：5
建議的餐點
麻辣湯頭, 韓式麻辣魚板",5
,5
,4
,3
,4
,5
,5
,5
,5
,5
,4
,4
,5
,3
,3
,4
,5
,5
,5
