comment,rating
"算是偏中高價位的火鍋店
麻辣湯底蠻好吃的！（麻辣湯底+$90）
個人火鍋套餐可以選擇$170g及$340 … 全文",5
"生日當月很適合來吃，會依據年齡送相同數量的肉片或是蝦子；馬玉山的杏仁茶很好喝、泰式霜淇淋也很特別！
服務
內用…
全文",5
"非常恐怖的用餐體驗，一顆星都點不下去…
1、2個人用餐安排在別人要取餐的路邊…要不要直接去做外面，重點是…不是裡面沒位置…. … 全文",1
"昆布鍋湯頭鮮美，八仙海陸鍋好吃，海鮮有8種，肉可以自己選喜歡的羊肉，雞蛋可以自取，很好吃的🥚👍，牛小排的肉質👍，下次還會揪親朋好友一起去吃的🙂 …
餐點：5…
全文",5
"112.09.28造訪🥰
火鍋湯頭鮮美，菜盤豐富的天然蔬菜，讓人感到幸福，店家還提供了綠豆湯、冰淇淋等甜點～👌 …
服務
內用…
全文",5
"拜訪好幾次了
食材好，給料實在
吃完大滿足",5
"以火鍋來說價格中高
假日來吃建議要先訂位，訂位保留10分鐘
特約的停車場離店面有一小段距離 … 全文",4
"火鍋料很多！大推！服務員也很親切～
服務
內用…
全文",5
首先是餐廳的停車位難找，附近應該是沒有停車場，再來是餐廳的肉質鮮美，蝦子也是相當好吃，甜點推薦紅豆冰淇淋🍦，自助吧非常豐富，飲料和冰淇淋種類都很多，芭樂綠茶好喝👍，缺點是價格偏高。 …,5
"蔬菜肉類 食材的選用都很新鮮
自助區有醬料飲料 冰淇淋和蛋
可以選擇的種類較少
服務
內用…
全文",4
"東西是好吃的 但是員工的教育訓練待加強 菜盤還有一半就過來想收走有點傻眼
餐點：5…
全文",4
"第一次來這邊用餐
我個人是不喜歡吃火鍋料的人
但他們可以把菜盤換成其他東西 我覺得很不錯 不浪費
用餐感受很好
服務
內用…
全文",5
"用餐體驗非常差！
1.餐廳位子很多，偏偏要帶我們去走道人來人往的位子
2.說壽星有優惠，可以送東西，本來很開心，過5分鐘說對不起我們點的餐太便宜了，要換其他的…（不差你幾塊肉，但感覺很差） … 全文",1
2022/07/18新北人路過，火車站附近覓食找到的一間品質中上的火鍋店，以這個價格來說，菜量相當足夠且種類繁多，海陸鍋的肉量偏少，但檸檬雞柳的肉煮完很好吃，很嫩，檸檬醃完把肉味都蓋掉了，free bar有甜湯、冰淇淋、咖啡、茶包可以選擇，整體而言，性價比中上。 全文,5
"餐點很快 品質不錯
餐點：5
服務：5…
全文",5
"龍蝦海陸1980
喜歡吃肉的可以點超值大胃王30盎司
現在加入賴送兩隻小白蝦.... … 全文",3
"N訪的火鍋世家
以前都是點一鍋會吃太飽
菜盤沒有太多火鍋料都是蔬菜 … 全文",5
"🍀二次來訪，這次同行友人想吃肉所以選擇肉狂PK鍋（翼阪牛及牛小排）✌️另外單點了黃金六兩霜降豚😍翼板牛油花分佈很漂亮，不吃牛肉的我覺得雙降豚也沒有失望非常嫩！
🍀火鍋湯底部分這次選擇了麻辣及桂花奶香，麻辣湯頭出乎意料的好喝是我喜歡的類型（麻麻的不是死辣那種）桂花奶香有另外提供一壺牛奶湯給客人滿貼心的❤️
🍀冰品部分是明治，超級愛黑糖珍奶🧋這個口味，超級好吃（默默吃了五球）餅乾也是我喜歡的那種脆脆的不是軟的！ … 全文",5
"麻辣鍋湯頭不錯！肉很新鮮！調味料選擇多！
份量也很足！
但選擇附有自助吧，至少個人覺得會有些開胃小菜，除了飲料，冰淇淋外，只有綠豆湯跟方塊酥😯 …
服務…
全文",4
食材新鮮美味，老闆好佛心，雞蛋竟然在調味料區可以任意自取。,5
湯頭不錯，但是服務多些熱忱，會非常好,3
"用餐環境寬敞舒適，火鍋湯底種類非常多，飲料冰品該有的都有，值得再來
服務
內用…
全文",4
"肉質不錯，蛋可以一直吃，但不太會尋桌收盤補湯，如果坐裡面房間位置，空氣蠻差的。
餐點：5…
全文",4
"肉品種類多 座位多 位置舒適
菜盤可以換肉👍
醬料飲品自助式 冰也好吃👍
不過不方便停車 …
服務
內用…
全文",5
"肉質佳，種類也多，還有多種肉類、海鮮的組合可選，CP值非常高，很讚👍 …
服務
內用…
全文",5
沒有附設停車場，林森路轉進附近的道路大致上可以找到路邊停車。 … 全文,4
"今日到該店消費感覺很不錯！我因行動不便而柱拐杖行走，當時店外被摩托車堵住進不去，過沒多久店員主動出來移車且幫我開著電動門，感覺既細心又暖心👍，喔對了！霜降牛的品質還不錯喔～ …
服務…
全文",5
"看起來沒有很多但吃到很撐～～有冰淇淋吃到飽還有飲料！
但是缺點是蛤蟆沒有吐乾淨 總共五-六顆左右就有2-3顆都這樣",3
"母親節一家人來這用餐慶祝母親節﹐我們選擇柴魚昆布湯頭﹐湯頭喝起來有柴魚昆布的自然甘甜味。
紐西蘭草飼霜降牛﹐油花分佈均勻﹐店家切的厚薄度﹐正好能呈現肉質的鮮美嫩度﹐入口即化的口感吃了很順口。
澳洲穀飼熟成沙朗牛﹐肉的紋路細緻口感軟中帶筋﹐輕涮幾下3分熟就非常美味。 … 全文",5
"火鍋原味湯頭很棒，沒有太多的味道反而能吃到食材的美味，牡蠣飽滿新鮮，肉品也很棒，冰淇淋飲品暢吃，有特約停車場，整體來說非常的棒，會再去光顧！
有些位置還有貼心的插頭可以供手機充電用！",5
"上餐速度很快～服務人員很細心， 會隨時注意加湯. 收餐盤🥰🥰打卡送蝦蝦😁 …
服務
內用…
全文",5
"湯底 還行 清淡原味
肉類 非常不錯！不過我比較吃不出來熟成的感覺
飲料蘆筍汁。（充滿小時候的回憶）
非常喜歡！",4
"好吃又新鲜的海鲜
肉質量又好吃
服務
內用…
全文",5
"中午冷氣很熱
冰淇淋根本挖不動
服務普通 … 全文",3
自助吧飲料甜品較多元化。反而勝過了主角火鍋😅湯頭清淡，配菜盤略顯不夠豐富，肉類量也偏少。不過新店開張有配合打卡活動贈送和當月生日85折優惠👍 …,3
"火鍋有點還好原味湯頭普通偏清淡
菜盤還有一些奇奇怪怪的菜例如茄子
店裡面空間比較擠有一些邊緣的位子 … 全文",3
"CP值超高！食材新鮮多元豐富、衛生可口、服務態度超優質！值得再次光臨👍 …
服務
內用…
全文",5
"冷氣空調吹的好冷但多喝了熱湯就不怎麼冷了，東西非常好吃自助區多樣海鮮與肉非常好吃
服務
內用…
全文",5
"用餐環境不錯，方便好停車，與鄰桌間隔不擁擠，服務人員親切也會主動上前詢問是否需要協助加湯以及主動收拾空盤，服務不錯所以這一成服務費給的合理。
菜盤有別以往其他火鍋店，有許多新鮮蔬菜故火鍋料較少，對於愛吃菜不喜歡火鍋料的我來說很❤️，這是其他火鍋店達不到的，若想多吃火鍋料的客人建議可以另外單點。
湯頭與肉類有眾多選擇，肉類也能自己選擇份量，我選擇的是6盎司（圖中右下）以女生來說份量是絕對足夠的！！店內明治冰淇淋有六種口味採自助方式，整體來說蠻適合與親友聚餐。",5
"篒點好吃，冰淇琳、飲料多，但價位高。
服務
內用…
全文",4
"牛肉豬肉原味湯底下都有一點騷味
不過肉質都很不錯
內用有明治冰淇淋跟雞蛋自助很值得 … 全文",5
生日優惠限制真多，嚴重影響想去消費的意願。,3
"用餐區寬敞舒適，鍋底多樣，值得ㄧ試
服務
內用…
全文",4
海鮮和肉片新鮮，冷飲是一罐罐暢飲，服務員很熱情❤️會再光顧,5
"新鮮，服務好，評價五星送鮑魚
餐點：5
服務：5…
全文",5
"很注重禮貌、細節
很讚
員工訓練得很好👍 …
餐點：5
服務：…
全文",5
"食材新鮮.....好吃😋
服務員服務好，態度佳！
尤其是宛臻熱情講解，超棒👍👍👍👍👍 …",5
沒有遇到服務生態度不佳的問題；有免費雞蛋隨意吃這點我覺得很棒！甜點有甜湯和明治冰淇淋吃到爽，雙人套餐的肉和蝦兩個人根本吃不完，可以三個人分，雖然價格略高，但是我覺得值得再訪！至少比起野川堂我會選擇這家。 … 全文,4
服務態度不錯，東西也不錯吃，空間也算大,4
服務很好，食材cp值高👍 …,5
"要收10%服務費
飲料、汽水、冰淇淋、蛋無限供應
海鮮都不錯
飯可換魯肉飯",4
母親節聚餐到這邊用餐，當天坐位在最裡面，雖然牆上有貼有wifi帳密可以使用，但是完全無法連上，中華電信沒有訊號。另外就是標榜UCC的咖啡豆，但是當天咖啡機似乎故障，機器出來的飲料沒有咖啡只有奶精，是聽到別桌客人在討論才知道原來機器有問題？ … 全文,3
肉片薄嫩、湯頭不錯、高消費。,5
相當不錯，自助區很豐富，菜和海鮮和肉都很新鮮，龍蝦新鮮好吃，冷飲是一罐罐暢飲，服務員很熱情。,5
"1.紐西蘭蘭霜降牛以320元加一成只有四片肉，想吃肉的人不推薦。
2.有要打卡送肉的人，記得不能用麻吉卷，不會有人告訴你，因為連服務人員都不清楚。
3.湯頭普通，肉質不錯，蛋無限吃，除此之外沒其他優點。",2
"175公分以下 1公分可拿一隻蝦（需滿18歲）
158直接算155 拿了20隻蝦🤩
當月壽星可享85折 … 全文",5
服務親切，餐點新鮮，環境衛生,4
大胃王鍋CP值很高，肉質好沒腥味；店內舒適乾淨，推薦！,5
東西超好吃的服務態度也很好,5
"服務親切！食材新鮮多樣化！
吧台的醬料、飲料、點心等⋯選擇很多！肉片薄嫩、湯頭不錯。",5
除了食材新鮮，CP值高，份量超多吃超飽，最重要的還有店內服務生宛臻小姐親切服務，讓我們每次吃鍋都想來這家👍 …,5
"菜盤跟肉還有服務都不錯
可是就是紅蟳怪怪的 我們常吃紅蟳
所以一吃就知道有問題 不是因為冷凍的關係 … 全文",3
"已經來N次 鮮蚵 蛤仔依然新鮮好吃 大顆
飲料很多可以選 蛋不限你吃幾顆
還有冰淇淋🍦  超推活蝦 霜降牛肉 …",5
實際來吃，相當不錯，難怪生意這麼好，自助區很豐富，菜和海鮮和肉都很新鮮，菜盤也很有誠意，有機會再帶家人來，不過座位有點小，不介意再來～,5
"東西好吃 價格尚可 需加一成服務費
湯底及菜盤種類豐富
以蔬菜菜盤來說 … 全文",5
"很讚，大推，食材海鮮超新鮮
餐點：5
服務：5…
全文",5
冷氣超強，東西很好吃，順便幫虎尾彭于晏徵女友，年輕帥氣 有錢有房有車只缺老婆，單身女孩們衝吧,5
"因為上一次去的消費經驗超WOW，還有送10張滿800元可折100的優惠券，所以這次帶著家人共14位前來消費，11/27中午生意很好，服務人員大部份都是主動及貼心的，吃的也開心，到結帳時，因鍋數多加上有1打彈珠及Line集點活動，花了一些時間，拿到店家給的發票時，才發現忘了使用滿800折100的優惠券了......
收銀小姐聽到時，馬上說，已經結完帳，不能再改了，這優惠券可用到明年4月...... … 全文",2
"吃的很飽！
服務超棒的！
而且還有停車場欸！
餐點：5
服務：…
全文",5
肉很多，吃的很飽。 選擇蠻多的，蛋可以無限拿，有多樣飲料咖啡果汁，也有明治冰淇淋,5
青菜樣式多肉質新鮮，有飲料冰淇淋可吃，醬料也新鮮。特推,5
"湯頭跟肉品質都很不錯!!!
現在蛋很缺~還可以葉黃素蛋吃到飽!!
真的蠻划算的XD",5
用心的火鍋店，料好實在。值得嘗試,5
宛臻服務很好。肉肉很好吃⋯最愛大胃王了,5
"氣氛不錯 餐點擺盤看起來比較大方
服務
內用…
全文",5
"CP值很高 還不錯吃
價位便宜",4
"員工友善，點餐介紹詳細熱情還耐心。
環境舒服整潔，副餐用心，連雞蛋都表現出不計成本！
大胃王、小胃王都能被滿足的在地好店！",5
"覺得午班服務人員那位大姐很親切,晚班的就冷漠了點,我吃起來是很飽,喝到飽的飲料,明治冰淇淋很好吃.",4
"第一次去吃，友誼贊助。餐點ok,服務員很親切。
服務
內用…
全文",5
"服務親切東西好吃👍👍 …
服務
內用…
全文",5
"服務好，肉好吃，還有飲料跟冰淇淋可吃，讚！
服務
內用…
全文",5
"服務親切食物好吃太棒了
餐點：5
服務：5…
全文",5
東西好吃😋服務人員宛臻很貼心～讓我們用餐很與愉快～推推推。 …,5
第一次來用餐就遇到非常親切的美女宛臻姊姊，很有耐心的幫我們介紹菜單跟用餐環境,5
好吃，雞蛋無限量,5
"店員很nice，餐點好吃
服務
內用…
全文",5
店家服務生態度良好，食材豐富,5
"可以說是虎尾第一的火鍋店
菜盤讚 肉盤讚（因為自己不吃海鮮所以無法評
冰箱裡的飲料無限暢飲 … 全文",5
"如果有喜歡香菜的朋友可以來體驗一下😂 …
服務
內用…
全文",4
"服務佳，速度快，聚餐好地點
餐點：5
服務：5…
全文",5
"有完善的自助吧（現磨咖啡、可樂、甜點.....
食材新鮮、適合家庭聚餐、停車方便
在雲林地區是首選之一。",5
👍 …,5
"個人火鍋
價位約三到五百塊都可以吃很飽",5
服務人員親切👍 吃火鍋的好選擇 …,5
服務不錯💯，飲料，冰淇淋可以享用，火鍋菜盤跟肉片也很豐富👍 …,5
"8月活動換了25隻蝦
服務人員宛臻超親切
食材很新鮮",5
"食材新鮮，湯頭濃郁，服務熱情，小姊姊漂亮
服務
內用…
全文",5
"還不錯，還有飲料、冰淇淋、霜淇淋等甜點
服務
內用…
全文",5
火鍋世家 餐點好吃 經濟實惠服務優  服務人員  宛臻服務親切 隨和 快速 非常棒,5
"五星好評送蝦子。雞蛋吃到飽
餐點：4
服務：4…
全文",5
很讚的店 冷氣很涼,5
"蝦子新鮮（現在有比身高送蝦）
菜盤豐富，蛋是葉黃素蛋
服務親切，服務人員宛臻很熱心",5
"今天第一次點四人豪華拼盤
真的超級好吃
感謝宛臻小姐的貼心推薦",5
"服務態度不是很好 ，
花了80元的何首烏湯底 煮起來跟清水煮的一樣 沒有什麼味道 …
480元 的牛肉放進火鍋煮 一煮就散
需要加強 😊 …",1
