comment,rating
"店內環境很乾淨
餐點種類偏少 以直接點餐為主
大致的品項都有
特別的品項需要加點
服務
內用
餐點類型
午餐
平均每人消費金額
$400-600
餐點：4
服務：3
氣氛：3
建議的餐點
鮭 魚 生魚片
停車位
很多停車位
附近的停車場
付費停車位, 免費室內停車場
停車場
家樂福內部有機車免費停車",3
"接近晚上9點來用餐，沒什麼客人，服務生來點餐已經寫下來了，還能忘記我們點什麼，服務態度很差
點翼板牛握壽司等很久，送來的時候肉都是冷的
完全不推薦！
服務
內用
平均每人消費金額
$200-400
餐點：1
服務：1
氣氛：1",1
"禮拜六下午用餐
餐點正常，一般來說規模這麼大的店家，餐點水平不會差到哪裡去。唯一覺得有差別的是，這家味噌湯的料是吃過這麼多家分店裡面最少料的，三小塊魚肉，一些豆腐以及海帶芽。
服務中下，一些轉檯沒有的菜色需要點餐，不過服務人員大部分都自顧自的工作，不太去觀察客人有什麼需求。大部分都站在櫃檯跟同事哈啦。接待客人的口吻也比較冷淡。點單的餐點沒上也沒跟客人告知，待客人自己詢問才回答，因為內場師傅認為轉檯上已經有該菜色所以決定不做。以上我等了超過20分鐘才吃到那道壽司。
氣氛普通，但是用餐期間，同一名服務人員掐倒味噌湯一次，摔碗盤兩次。內場人員口罩拉下來聊天。大部分都爭鮮都會有現場主管在Hold全場，不過虎尾家樂福店倒是蠻Free的，也許發條需要上緊一些些。
服務
內用
餐點類型
午餐
平均每人消費金額
$200-400
餐點：3
服務：3
氣氛：3",3
"9/27號 中午時間用餐
名牌03號的店員態度不用那麼差^_^
不知道在輕浮什麼
餐點的手卷也是蠻誇張的 鮮蝦手卷只有一片蝦 其他都是生菜 這樣30？
店內味道很像魚市場一樣 衛生尚需改進
餐點：2
服務：1
氣氛：1",1
"8/18號晚上8:45走過去在櫃檯的09號這位男服務員
請您點個餐態度這麼不情願是有什麼困難嗎？
女生服務人員態度十分良好.
希望服務水平可以齊平一些。
服務
內用
餐點類型
晚餐
平均每人消費金額
$200-400
餐點：3
服務：1
氣氛：2
建議的餐點
鮭 魚 生魚片",1
"有一些新的壽司開發算是不錯的創意。
餐點：4
服務：4
氣氛：4",4
第一次吃爭鮮，對於不吃生魚片和蝦的我，選擇真的不多，不過大致上口味還ok，店員很親切,3
"服務態度很好～能夠立刻知道客人的需求😃
服務
內用
餐點類型
晚餐
平均每人消費金額
$200-400
建議的餐點
鮭 魚 生魚片",5
"櫃檯服務人員訓練不佳，服務態度差，輪到我結帳時，高個子的男櫃檯服務人員只固著跟別的服務生聊天，把顧客當空氣一樣，讓我感覺非常的糟糕，覺得剛才吃的食物都不美味了，非常糟糕的用餐經驗
服務
內用
餐點類型
午餐
平均每人消費金額
$600-800
餐點：3
服務：1
氣氛：3",1
"盤子超級油 根本看不出來有洗
服務
內用
餐點類型
午餐
餐點：1
服務：2
氣氛：3",1
