comment,rating
"這次是第三次來用餐，不知是時隔太久，跟之前來用餐環境和餐點差很多，一進門有相當重的油耗味，其實聞起來不是很舒服，座位也是油脂厚厚的感覺。個別點了2份雙拼，前菜沙拉放有點久，生菜已經都泛黃，牛排口感偏老硬，松阪豬有很重的豬腥味，一吃就知道是放很久的肉品才會有這個味道，個人是吃不下去，雞腿還勉強可以，但是沒有以往的好吃，沒有脆香感，最誇張的是自助吧的濃湯竟然是酸的味道，感覺是壞掉的，跟服務人員反應，有過來致歉，後來整鍋湯有端走，服務人員後來說會給我們補償，招待了小甜點，服務態度還可以。不過經營不用心，和維持食材的新鮮，看來也不會想再光顧了
餐點：1
服務：3
氣氛：1",1
"很久以前吃過印象不錯吃的，剛好來虎尾想說再來吃吃看
牛排光要切就有點難切，雖然菜單上也有註明肉有醃漬過，但一入口那個肉味真的蠻明顯的，雖然店面改的蠻漂亮的，但口味沒有以前好吃了⋯⋯有點小失望⋯⋯
平均每人消費金額
$200-400",3
"餐廳招牌不明顯 要仔細找一下
送餐方式非常特別 有跑車送餐
男服務員服務態度佳
很親切很有耐心為顧客介紹
關心我們的飲食狀況
服務
內用
餐點類型
午餐
平均每人消費金額
$200-400
餐點：4
服務：5
氣氛：5
建議的餐點
前菜",5
"外觀真的比較難注意😅
但店員服務很好 介紹很親切
餐點除了沙瓦以外都還不錯吃
而且牛排份量很多
飲料跟冰淇淋還有濃湯是自助
第一次看到牛排用跑車送餐😆
服務
內用
餐點類型
晚餐
平均每人消費金額
$200-400
餐點：5
服務：5
氣氛：4
建議的餐點
骰子牛排",5
"特色牛排館，食材非常新鮮，原肉，不是再次加工肉體，真正的食物。
外食總是想要健康食品，才不會造成身體負擔。
值得推薦的店家，價格親民大推，讚賞。
餐點：5
服務：5
氣氛：5",5
"這間離我上班超近的
它是餐車送達也
我上次是在台北看過壽司的
原來這個字讀ㄧㄢˋ不是ㄇㄨˇ
🤭長知識了
服務
內用
餐點類型
晚餐
餐點：4
服務：4
氣氛：4",4
"其實雙拼還不錯，加麵也不用錢，湯也免費，味道中規中矩，高階的做得也不錯吃，個人覺得沙拉不太好吃
服務
內用
餐點類型
晚餐
平均每人消費金額
$200-400
餐點：4
服務：4
氣氛：4",4
"超細心+超貼心+超級感心的💯
到店並未告知老婆生日.只是在聊天提到怎麼可以讓壽星動手而已....店員就在餐後送上驚喜生日小蛋糕♥️♥️♥️♥️♥️
服務
內用
餐點類型
晚餐
平均每人消費金額
$200-400
餐點：5
服務：5
氣氛：5
建議的餐點
霜降松阪豬, 前菜, 老饕級腰瘦菲力, 骰子牛排, 戰斧牛排",5
"招牌不太明顯
免費加麵超飽，完全不怕你吃👍🏻
缺點可能就是停車不好停
不過附近有付費停車場
服務
內用
餐點類型
午餐
平均每人消費金額
$200-400
餐點：5
服務：5
氣氛：5",5
"交通部分：店門不太有位置可以停車 可能要在附近找找～

環境部分：新奇的送餐方式！對於第一次前往的客人友善 介紹的很詳細 服務態度不錯～不過希望可以再加強環境清潔～裝潢清幽 適合家庭朋友聚餐的地方～

餐點部分：擺盤的很好看～平價帶有質感！飲料 冰淇淋 湯品飲用！自主無限量！原以為會是高單價的牛排店～ 綜合價格 餐點 環境 新穎度而言 CP值滿高的！",4
"美味的排餐，有趣的送餐方式。
雞腿排香味十足，牛肉鮮嫩多汁，濃湯也好喝。
服務
內用
餐點類型
午餐
平均每人消費金額
$200-400
餐點：5
服務：5
氣氛：5",5
"價格在份量上和飲料濃湯無限量還OK。

濃湯有兩種且好喝。

用車車送餐蠻有意思。

雞腿排略甜不太適合我，牛肉點七分熟像全熟過老，同事點菲力五分熟，外觀和實際吃起來為表面全熟，裡邊約三分熟而且難咬像吃橡皮筋。
服務
內用
餐點類型
晚餐
平均每人消費金額
$200-400",2
"餐點不錯，肉滿嫩的不會有很多筋，甜點擺盤滿可愛的，吃起來是中規中矩，但牛排店的重點是牛排，肉質吃起來好吃比較重要🤣，濃湯有玉米濃湯跟南瓜濃湯兩種，兩種都好喝，送餐方式是以小跑車在軌道上送餐，很有創意，感覺小朋友會很喜歡，這是是一間很有氣氛的店，適合情侶約會。
服務
內用
餐點類型
午餐",5
