comment,rating
"今天帶朋友來用餐，餐點的口味獲得朋友們的一致好評，金沙豆腐、蚵仔酥必點，上菜速度也很快，如果要說有缺點的話，那就是冷氣不夠涼，但是瑕不掩瑜，值得推薦！帶朋友來用餐，不會漏氣啦！👍👍👍
服務
內用
餐點類型
晚餐
餐點：5
服務：5
氣氛：5",5
"推泡菜牛、金沙豆腐、虱目魚肚湯
剝皮辣椒松阪豬跟打拋豬都有點甜個人不太喜歡
整體用餐體驗👍👍
服務
內用
餐點類型
晚餐
平均每人消費金額
$200-400",4
"上菜速度超慢
現場看四桌 兩桌已經出菜了
我們連一道最基本的涼拌洋蔥 也無法先出菜  排出菜問題很大

點滿多道菜
金沙豆腐  水煮魚 是我吃過最難吃的兩道   水煮魚680元 竟然是五郭魚 加鴨血 不知道在吃什麼 很失望！",2
"快炒店看怎麼點，每個人平均花費多少參考就好

停車：老實說靠運氣，附近有停車場但要走一大段距離，我是懶人傾向路邊停車

內用環境：寬敞舒適

服務態度：優
已經來此店用餐多次
頂多一兩次遇到員工不太會處理事情，不然大致上去用餐過程中，都還不錯

滿推薦這間，也是自己愛吃的店
口味都不錯吃
青菜類滿新鮮，炒的也很脆
大部分都沒有太雷的餐點

只是煙味偶爾會伴隨用餐，希望店家可以改善一下
因為有些人本來就沒有再聞煙味，用餐還聞到煙味，用餐心情會受到影響

下次再好好補更多餐點，之前吃的都沒有拍到真可惜！
服務
內用
餐點類型
晚餐",4
"公司聚餐選在這裏🍽️
剛好可以來嚐看看
選了大家愛吃的
來試試看口味
沒想到還真不錯👌

適合一大群人來這裡放鬆🍺
一起點一大堆菜大口大口喝酒
度過美好的夜晚！🌛
服務
內用
餐點類型
晚餐
平均每人消費金額
$200-400",4
金沙中卷好少，但口味是好吃的⋯,4
"外帶炒飯、超級油、飯沒吃完底下一層油……
超級誇張…
服務
外帶
餐點類型
晚餐
平均每人消費金額
$1-200
餐點：1
服務：1
氣氛：1",1
"餐點好吃，適合好友聚聚小酌的好地方！吃過就知道是真好吃！
餐點類型
晚餐
平均每人消費金額
$600-800
餐點：5
服務：4
氣氛：4
親子友善程度
帶小小孩會主動詢問是否要餐椅？以及遞上幼兒的餐碗，服務人員很細心！",5
"東西單價應該不算便宜東西份量少，蒜頭雞湯滿滿的湯雞肉還真少，用餐環境還不錯，口味一般，
服務
內用
餐點類型
晚餐
平均每人消費金額
$400-600
餐點：3
服務：4
氣氛：4",3
"以前很常吃
叫外帶結果份量只有這樣
糖醋排骨沒啥肉
苦瓜鹹蛋有臭味
炒麵沒味道一夾就斷
其他就很普
只能說這種好店不能只有我吃到

給2星大概是白飯的分數
服務
外帶
餐點類型
晚餐",2
"CP值不錯
裝潢氣氛也很讚
服務
內用
餐點：4
服務：5
氣氛：5",5
烤的部份都不錯，炒的就還好,4
快炒美味，分量足夠，環境清潔舒適！,4
"第一次吃到像汆燙般的薑絲大腸 沒湯汁  非常清淡
塔香螺肉 一樣很淡 沒吃過這麼乾的塔香螺肉
鹽酥龍珠 沒有花生 口味清淡
五更腸旺鴨血非常碎 東西沒入味
白飯超小碗 第一次吃熱炒飯要付錢 還超小碗
總結：是一間非常不像熱炒店的熱炒類菜色  很清淡很空虛 以這樣的價位不算便宜 cp值相當低 不會再光顧",2
"比起以前出餐慢好多
而且前台都是年輕妹妹 很多不太熟
感覺手忙腳亂
點餐也出錯
7點入坐7：30才上炒飯
烤類本來就比較久
但7點點餐8：50才上是不是有點久…
服務
內用
餐點類型
晚餐",3
連鎖熱炒店，以為菜色會不錯，菜單皆是經典熱炒或烤品，個人覺得口味不合，簡單概括就是太鹹量太少，熱炒店應該全台都跑過幾家，以平均值算cp不高。2千出頭喫的飽的，差不多快3000還覺得只有五分飽,4
cp值還好，價格跟別家差不多，但是份量差太多了，什錦炒麵沒有料只有肉絲……兩份量看起來只有一份的量而已，蔥爆牛肉只有幾條肉絲而已，不適合家庭用餐,1
不貴的燒烤，夏天喝個生啤酒，嗯不錯,4
東西好吃 聽說最近都只有老闆一人在炒菜 可能需要等待出菜時間 但是服務人員很體貼都會先告知等待時間,5
東西好吃環境也乾淨，但員工看到客人站在櫃檯等點餐都沒有反應，進廁所的進廁所 擦杯子的擦杯子，沒人互相提醒有客人需要點餐，直到櫃檯小姐走出來看到才慢慢走過來拿菜單。,3
