comment,rating
"菜色豐富，有炒飯、炒麵、炒時蔬、豆製品、炸類、小菜、歐式麵包、比薩、蘿蔔糕、熱湯、甜品、養生飲料及咖啡，應有盡有，希望菜色多一些變化，並增加藥膳湯品、山藥、銀杏、牛蒡及芋頭等養生食材。
服務
內用
餐點類型
午餐
平均每人消費金額
$200-400",5
"平淡見真味
好吃無負擔
服務
內用
餐點類型
午餐
平均每人消費金額
$200-400",4
提供健康養生食材的美味素食料理，採自助式的，可以挑選自己喜歡的菜色，菜色非常多元，口味都很不錯，還有多款養生飲品可以選擇。雖然現在平日來吃已經漲價到快300元，但有增加火鍋區，還可自己煮一鍋火鍋，這樣的食材狀態，比起一般簡餐的價位，cp值算高。     ^•^店門口就有3-4個停車位，附近的台糖冰品也有免費停車場。,4
"非常失望，如果能夠給-5星，立馬給-5星。

餐點點了740元，
1.)野生鮭魚套餐$170元/套，鮭魚又薄、又鹹，餐盤裡面的青江菜鹹得無法下嚥，而且是冷冷的冷菜。
2.)法式鴨胸套餐$170元/套，鴨胸是可以給3🌟，不過切的超薄，又少的可憐(量只夠一口吞)，配菜一樣是青江菜既鹹又都是冷冷的。
3.)3322蔬食套餐(素食)$160元/套，主菜不知是何種菇類，竟然也是冷的，而且是超鹹，配菜青江菜也是鹹的、冷的。
4.)有機南瓜堅果濃湯$80元/套，完全沒有一絲堅果味道。
5.)有機南瓜海鮮堅果濃湯$100元/套，濃湯裡面唯一海鮮是2隻小蝦(鹹鹹的蝦)，沒有花枝、沒有文蛤，不知是什麼海鮮？
6.)原味酸奶60元/份，味道還OK。

最後的結果是：二個吃葷食的人半餓著回家，一個吃素食的人完全餓著肚子回家。

冷氣有3台，加上台冷風扇，可是怎麼吹就是還是流大汗。

最後要說的是，前台服務人員1位、廚房1位、收銀員1位，但是全部的工作只有一個人來擔任這三份工作，整個餐廳只有一個女人就包了所有工作，也難怪餐點做出來如此不可口、難下嚥。",1
"菜色不多，但厨藝不錯，味道不重適合養身愛好者。
餐點：4
服務：4
氣氛：4",4
"生機廚房是自助式的，他們提供火鍋區（要自己煮）、熱食熱湯區、冷盤區、麵包區、甜點區和飲料區，雖然每一區的種類都不多，可能都4-5種選擇，但我覺得還可以，味道也不差。

但希望不要再漲價了，目前去過4次，每次去都發現漲一點，如果再漲我覺得CP值不到了，可能也不會再去囉！（一直漲價是給三顆星的主因）

下面評價有人提到菜不補，可能是因為外場工作人員約只有2位在補菜，感覺都蠻認真的，可能人手比較不足，所以補得稍慢一點，但能感受到她們的努力！",3
"環境清爽、舒畅，健康生机饮食与産品购買！👍👍👍👍👍
物美價廉，服务親切！
服務
內用
餐點類型
早午餐
餐點：5
服務：5
氣氛：5",5
味道清單，營養均衡，能在網美古蹟內用餐是多麼幸福的事,5
同心公園旁的餐飲店，帶孩子去完公園跟鐵橋，順道路過發現的生機廚房餐廳，菜色多元豐富，老少咸宜，但口味偏淡，或許是養生比較養生吧！反正值得推一番！,5
在這裡可以悠閒的用餐而且食材很多 讓你吃到飽 味道上不輸給暈食 有主食 涼拌 蔬菜 火鍋 還有甜點 飲料 可以盡情享受,5
