comment,rating
"先前因疫情停辦三年，今年由熱心的中南部同學當爐主的「同學會」選在此舉辦，舒適的包廂，份量十足的精美佳餚，還有KTV可以在酒酣耳熱之際高歌一曲，再加上美女老闆熱情週到的服務，真是一個令人難忘的美味餐廳。
餐點：5
服務：5
氣氛：5",5
"112/11月去吃，價格又調漲了！
服務
內用
餐點類型
午餐
平均每人消費金額
$400-600
餐點：5
服務：5
氣氛：4
建議的餐點
筍乾爌肉 蚵仔酥 麻油松阪豬 蟹黃豆腐煲 蔥爆牛肉 蛤蜊湯",5
"空間ok，有包廂，但是包廂內有濃厚的蟑螂蛋味。建議聚餐可以在外面一般桌就好，不要訂包廂。（小包廂抵消3000，大包廂抵消3500）
菜的口味大致上ok，比較偏向是辦桌菜的味道，但一道菜的菜量偏少，10人吃完大約5千多元，CP值不高。",3
"每道菜均煮的很到味，讚
餐點類型
晚餐
餐點：4
服務：4
氣氛：4",4
"我是用line訂餐，打完菜色後，櫃檯人員馬上打來確認訂單跟取餐時間，服務態度好，又有耐心。雖然是外帶回家吃，但每一樣菜都很新鮮，味道也很好，最喜歡泰式椒麻松板豬肉片跟鮮蝦粉絲煲。
服務
外帶
餐點類型
晚餐
平均每人消費金額
$200-400",4
"上菜速度快，蛤仔湯非常新鮮，脆皮雞是招牌，雞胸部位也不會柴，櫻花蝦炒飯的櫻花蝦略少，但口味很好。 整體餐點都不錯，整體的用餐環境也很棒。 廁所也很乾淨。
服務
內用
餐點類型
晚餐
平均每人消費金額
$400-600",5
家族聚餐點的都是下飯的菜色，很合我們的胃口～完食，酸菜白肉鍋遜了一些，招待水果用整顆的茂谷柑很大器，用餐享免費停車，有到虎尾的話還會再來。,5
"老闆娘親切 東西好吃 點了脆皮雞 東坡割包 三杯豆腐都很好吃 環境廁所都乾淨 有專屬停車場 值得再訪
服務
內用
餐點類型
午餐
平均每人消費金額
$200-400",5
好停車，每樣菜色都很好吃！台式檸檬蝦、脆皮雞、金沙中卷、三杯豆腐推推,5
"👍雲林在地人都推薦的隱藏版私房川菜館👍
我們吃這樣一整桌山珍海味，只要2張小朋友有找喔！
主廚手藝精湛，讓桌菜也能變得很家常味，
每一道不只色、香、味俱全，清爽又少油，
用料非常新鮮又實在龜毛XD
這裡老闆推出的私房菜，不只收服我們的味蕾，
也符合很多爸爸媽媽會喜歡傳統桌菜好味道！
更可以說是許多老饕的最愛。
當紅脆皮烤雞、麻辣水煮黃魚、酒香松坂肉、醬拌牛肉、香菇玉瓜排骨雞鍋、三杯豆腐，
每一口都讓人吃得津津有味、欲罷不能！
價錢超級佛心！值得推薦細細品味啊！",5
"過年訂了五道年菜
覺得很失望，如果大家未來要訂年菜請三思

蔥蒜沙拉海大蝦🍤
沒有蔥蒜 只有蝦而已
應該叫川燙蝦吧🥲
覺得桑心心😭

芋香米糕 米不Q 也沒有芋香

玉露石斑魚 不嫩卻有土味

花膠佛跳牆 沒有香氣跟靈魂

鮑菇烏雞盅 普普的
服務
外送",3
"每一道菜都好好吃～～～～～♥️
服務人員熱情周到
老闆娘好漂亮又親切
用餐環境很舒服～
每一道菜都有著高水準
價格卻很平價
真的是CP值 超～級～高～～～👍
吃了會一直還想再來吃～🥰",5
"菜色很不錯，但是招牌烤魚有點失望，大概是因為我在大陸太久了期望值太高，畢竟在台灣還是要迎合一下客人吧！
服務
內用
餐點類型
晚餐
平均每人消費金額
$800-1,000
餐點：5
服務：4
氣氛：4",5
"太好吃了😋每道料理都好好吃ㄛ！
自己來品嚐就知道 …",5
