comment,rating
"生食、熟食樣式多，點餐上菜速度快，服務人員和善，店家可以事前預約。
比較不舒服的是有些消費者在燒烤過程中製造了大量濃煙，讓人不是很舒服，不適時調整火勢大小。
服務…
全文",4
"雲林少數的吃到飽，優點是什麼都有，cp值也可以，吃飽不吃巧，味道中上。
#生意不錯記得先訂位
服務
內用…
全文",4
"服務人員沒有評論那麼糟，我們遇到的都很好。
有服務鈴可以按，上餐很快速；
空盤放旁邊會收走，服務員也會主動詢問更換烤網~ … 全文",5
"很久沒來石頭了，菜單也跟以前的不太一樣了，感覺餐點變少了
燒肉的部分還好，火鍋湯頭還不錯，服務生也很少，感覺很忙，所以東西有沒送到的，其他大致上來說就還算可以😅😅😅 …
餐點：3…
全文",3
"菜色多樣，上菜速度快，服務人員親切
服務
內用…
全文",4
"極力推薦這家什麼都有的無煙燒肉店。
燒肉/火鍋/炸物/生魚片/日式壽司手捲/甜點/冰淇淋 … 全文",5
"我們ㄧ桌6個人，點菜每一個數量來一個☝️
杯子有蟲也沒有服務人員處理，然後反映內桌烤爐沒有火🔥，店員居然說：因為我們自己沒遇熱，所以現在還要等，原來我們需要自己先幫爐子預熱！
其實食材沒有什麼特別的，服務也普通，價錢普通，所以整體可能🤔就3顆星！ … 全文",3
"8/23 早上一樓外場服務的姊姊很讚
超過時間還給加點
吃飽幫他收的乾乾淨淨",5
餐點是好吃的，整體來說不錯。但是如果晚上吃完飯想去隔壁咖啡廳聊天的話，一定要先把車子開出來，停車場營業至22：00，過了這個時間，停車場的門會鎖起來，上面沒有公告，如果看到我這一則留言的朋友們一定要注意一下這個部分，不要跟我一樣要去牽車發現門被鎖了還要坐計程車才能回家。我有時間還好，如果是隔天一早要用車的人，那真的是會造成很大的困擾 全文,1
8/20提前幾天就先訂位了，到8/22當天入座才告知七夕情人節加收費用一人酌收加100，平日499加一成，當天變599加一成，當然身為消費者也可以當下告知無法接受不吃，但是我們我們有四位不可能入座後又直接離席，七夕就加收我個人覺得不是很合理，也不是國定假日或過年，那如果是單身的人又被加收這筆費用心情真的會很差，總而言之希望員工訓練加強，制度可以改善，如果訂位遇到節日可以需要酌收多餘的費用請提前告知 全文,1
"平日中午價位439/人+10%
其餘539/人+10%
食材還可以，不過牛肉部分都偏油膩 … 全文",3
第一次去以為沒有停車位，還好有詢問工作人員，免費停車場離店家不遠，只要走幾步路就到了，而且停車位有棚架可遮陽，車子不會直接曝曬，食材新鮮上菜快速，會再去消費,5
"228連假來用餐
店內目側客人少許沒坐滿
送餐實在太慢了 食材也真的一般般
三顆星給外場服務員，服務算精明",3
服務好，CP值高，在台北應無法有這樣的價格，第一次在燒烤店內吃到生魚片及握壽司，非常有誠意💯✌👍😁，給食材不手軟。 …,5
"不好意思沒有衛生紙
男服務員說好的等一下幫你補上
然後我一回頭如照片所示 … 全文",1
"以這樣的價位cp值很高了，東西還不錯吃，俗又大碗的概念，一些炸物也算不錯，我最喜歡檸檬魚片，像現炸的椒麻雞。
服務
內用…
全文",4
"時間很久，東西很多樣，比起台北的燒烤，算便宜很多，東西豐富到不怕吃膩，目前吃過的燒烤店，東西跟服務都很好的第一名🥇 …
服務
內用…
全文",5
"想說生日與家人來用餐
結果用餐的服務品質是這樣⋯
請服務人員加個湯 … 全文",1
桌上肉盤已經空無一物，上菜的速度十分的慢.我們在最後時間加點前送單，結果技巧性拖單壓單到用餐時間結束還沒看到加點的食物呈上來，唯一送來的只有單子裡的一樣生菜盤。下次朋友來虎尾玩，應該不會再帶朋友進來這家消費。 全文,1
"服務人員、快速、勤快、常清桌面、收盤子、換烤盤,上菜速度快；

小抱怨~停車位不好找,就算有專屬停車場,也不方便彎過去、只好停到天橋東面的收費停車場。
服務…
全文",5
"店員態度很好 肉還不錯 但也就還不錯
海鮮超推法國海螺 真的好吃😗
其實還有蠻多小菜還蠻喜歡的 … 全文",5
我跟朋友四個人來 在假日晚上七點二十左右開始吃 一開始上菜速度很正常 但是大概到了七點四十也就是二十分鐘之後加點的肉全都吃光了 而後續上菜的速度十分的慢 非常慢 我就看著空烤盤乾等 我認為這個價位（600）屬於中價位 我不會期待吃到好吃的肉 但至少出餐速度可以快點吧 不然我多花三百去吃同性質的小蒙牛就好 真心覺得這家餐廳不值得這個價位 速度慢 服務態度也沒有很好 送餐的人臉都不知道在臭什麼 兩星給肉以外的加點食物還不錯吃 對了這裡白飯也不能自己加 但是奶茶很好喝 所以給兩顆星,2
"剛入坐就發現地板黏黏的 一開始沒在意 直到覺得鞋子黏黏的 於是打開手電筒一看 發現地板有異物 踩的我整雙鞋子都是
掙扎許久麻煩店員拖地 來的時候連一句抱歉 不好意思都沒有
不會再來第二次！ … 全文",1
"肉質不錯，服務還可以可能服務生太少上菜沒有一次都送到，但都是可接受的範圍，還有送生魚片和干貝2選1，有機會會在光顧
服務
內用…
全文",5
"價格有點偏高，有時間限制。適合久久未聚的好友一起到這用餐。
除烤肉外有火鍋可以吃，火鍋的花枝漿是比較吸引我的部分，新鮮好吃，且火鍋的湯頭不錯。
另有提供冰品及甜點，也是無限供應。",3
"桌上還有東西就不能再點，時間還有50分鐘，說桌上的吃完才能再點，7位大人20隻蝦子，剛用好還沒撥蝦子就不能再點蝦子
服務
內用…
全文",1
"我不懂明明有很多空桌為什麼要把兩組客人併在一起 你們好管理 客人感受並不好
餐點類型
晚餐…
全文",1
送肉的速度有點慢...雖然是吃到飽但總感覺剛開始有個斷層時間要我們去拿蛋糕之類的先吃，去的時候可爾必思喝起來像水味道很淡，鳳爪跟水果沙拉還蠻不錯的但手捲跟生魚片就普普，同樣價位我可能去吃同一條路上性質差不多的燒烤吃到飽，送肉速度快隨時有人員看鐵網跟菜單服務鈴按了人也很快來。,3
以吃到飽的餐廳來說 食材算不錯的 選擇種類也多 服務還不錯 會想再來用餐,5
"氣氛不錯👌很讚
服務員態度很好 用餐體驗很棒 …
服務
內用…
全文",4
"6/13 在本店消費
外面沒貼 禁止帶寵物
我是消費者  為什麼 不能用我的消費 … 全文",1
"東西好吃，服務超棒還會再去喔❤️
餐點：5
服務：5…
全文",5
