comment,rating
"在晚餐時段滿懷期待去吃久沒吃的炸豬排定食！在餐時段6：00左右就進去店內用餐，但人潮算很多，座位全部都坐滿了，這次三人一共點了兩人豬雞排特價套餐和炸魚套餐，價位還可以接受，但每一份吃完之後都會有厚厚的油留在盤底，在豬排方面一口咬下去都是滿滿的油脂含在炸粉上，豬排本身沒有腥臭味還可以接受，而雞排吃起來一樣有滿嘴油味，較難入喉，而魚排反而是今天有較好的表現，其餐點的溫度較另兩項溫熱一點，油味就沒那麼重，故今天整體吃下了不知道吃了多少的油脂下肚，而白飯今天再去加時感覺比較乾一點點，但都還ok，看來下次要去吃可能要避開吃飯時間，人潮沒那麼多人時可能品質會好一些吧！
服務
內用
餐點類型
晚餐
平均每人消費金額
$200-400
餐點：3
服務：4
氣氛：3",3
"豬排好吃，可惜湯是冷的。
湯建議要用熱的會加分到5顆星。",4
"在家樂福裡面的餐廳，吃完飯逛個街採買食材很方便，服務人員也都很親切有禮，環境也算乾淨，但是每個月10號會員日已經主動提醒櫃檯結帳人員，最後結帳還是沒有打折。（結帳後才發現，已請店員更正帳單金額，但來來回回很浪費時間）已經不只發生一次，希望結帳人員多注意
烤魚烤雞排，炸豬排都很好吃，尤其是炸豆腐必點
服務
內用
餐點類型
其他
餐點：5
服務：4
氣氛：5",4
"最近去吃三次其實品質滿穩定的，大推魚排跟腰內肉，這兩個超級好吃，感覺比之前改進很多了，偶爾來吃是可以的
服務
內用
餐點類型
晚餐
平均每人消費金額
$200-400
餐點：4
服務：4
氣氛：4
建議的餐點
黃金魚排定食
停車位
很多停車位",5
"滿懷期待去吃好久沒吃的炸豬排！
午餐時段剛開門就進去店內用餐了
點了厚切豬排，每一塊都有一段厚厚的油脂
咬下去都是滿滿的油脂…
滿嘴油膩味，讓我無法下嚥…
不知道是在吃厚切油脂，還是厚切豬排…
而且飲料機也沒開，看我去裝飲料發現沒開，後來店內人員才去開的…
自助區也沒有味噌湯可以續碗…
打開蓋子還是昨天的湯水？
還飄著奇怪的味道…
對虎尾店很失望(｡ ́︿ ̀｡)
服務
內用
餐點類型
午餐
平均每人消費金額
$400-600",1
"搭配福勝亭的APP優惠券，一桌滿滿的只要100元相當划算，餐點好吃環境也很乾淨，沒有遇到其他留言所言的蒼蠅，負責結帳的戴眼鏡女店員也非常親切認真，整體而言我覺得蠻棒的，會再回訪。
服務
內用
餐點類型
晚餐
平均每人消費金額
$1-200",5
"粉久沒來吃，小菜裡有塑膠片，因該是包裝袋，但吃到心情不好。希望能夠在注意一下。
餐點：2
服務：1
氣氛：1",1
"交通：使用foodpanda 外送，實店在家樂福內，有機車/汽車停車場。
價格：店家制式價格。

食物：使用外送，豬排跟豆腐仍然很酥脆，包裝也很完整，附有甜點茶凍，醬料跟湯物完全沒有滴漏。",4
因為有生日慶活動，雞/豬/魚都有139的限定特價，可以再加套餐多小菜或多飲料，份量上我覺得是很夠的，畢竟是炸物，很容易有飽足感，白飯、高麗菜都可以再續，我想要不飽很難；出餐速度尚可，炸物的口感，外層炸衣酥脆，肉汁都有保留在裡面，配菜普通，但小菜的黃金泡菜微辣口感很推薦。缺點確實有蒼蠅會亂飛，桌距也有點近。位於家樂福內停車方便，有停車場。,3
"1。精緻度，份量與價格稍有落差。
2。提供白飯，味噌湯，飲料吃到飽。
3。服務態度可。
(禮拜二中信卡九折)",3
