comment,rating
"優點：出菜速度快，食材新鮮，調味恰當不會太重口味、可以感受廚師對餐點的用心。
缺點：距離較偏僻、不太好停車、座位較擁擠、光線稍嫌不足
這間的炒菠菜是從以前吃到現在最好吃的菠菜天花板，菠菜鮮嫩不油，看起來像清燙的，但入口卻又滿滿的鍋氣非常香。
清燙鮮蚵330元很大很新鮮量也不少（印象中大大小小加起來有20幾顆，喜歡吃烤生蠔的朋友不一定要去夜市吃，個人覺得這邊比較划算。搭配小黃瓜絲跟洋蔥非常清爽。
甘蔗筍蠻特別的第一次吃，有網友推薦檳榔菜當天已經賣完所以沒點。
點餐人員推薦的豬肝非常驚艷，此種料理手法完全沒有腥味而且保留了嫩度，搭配香菜滿解膩的。
唯一覺得可惜的是海鮮米粉湯880元，雖然有中卷、蝦子7隻、蚵仔、蛤仔但還是覺得有點空虛。湯頭很鮮但當天調味不夠沒什麼味道。
另外韓式泡菜跟拔絲地瓜很好吃！作為餐點的配菜跟甜點是一個很棒的用餐體驗，推薦給想要吃合菜的朋友。
服務
內用
餐點類型
晚餐
平均每人消費金額
$400-600",5
"好吃 價錢合理 老闆娘服務很親切
服務
內用
餐點類型
午餐
平均每人消費金額
$400-600
餐點：5
服務：5
氣氛：5",5
"食材超鮮新！老闆夫妻很客氣！
每一道菜都有特色，好飽好好吃喔！
餐點類型
午餐
餐點：5
服務：5
氣氛：5
建議的餐點
鐵板蚵仔煎",5
"我最愛的煎豬肝，
還是一樣美味～
服務態度非常好👍
食物美味👍
小朋友也很喜歡😋
服務
內用
餐點類型
晚餐",5
非常好吃，因為到了雲林高鐵～在等朋友來接的時間裡想說找找附近有沒有好吃的，看到google評論這家分數很高，想說來吃吃看！真的CP值高 ，我們點了蔭鼓鱈魚片、金沙中卷、炒飯、煎豬肝跟虱目魚肚湯，都很讚！兩個人吃超級飽！,5
每一樣菜都很好吃！環境也很乾淨喔！,5
"東西好吃 👍🏻
適合人多聚餐 🍻 推薦
服務
內用
餐點類型
午餐
平均每人消費金額
$800-1,000",5
"家人都說好吃，值得在來
餐點：5
服務：5
氣氛：5",5
經濟實惠的在地餐廳，煎豬肝是主廚特推果然不錯，菜色十足份量也大，到虎尾科學園區可以順道嚐鮮。,5
"服務相當親切，還會貼心提醒餐點份量給客人參考，餐點相當美味，價格實惠！
相當推薦！
服務
內用
餐點類型
午餐
平均每人消費金額
$400-600",5
很好吃～要去搭雲林高鐵時剛好經過，想試一試，結果發現超好吃的～師傅炒工很厲害，魚湯也都很好喝，三杯好吃,5
