comment,rating
"今天跟朋友到貴店用餐，我點的是花雕雞腿煲，一開始覺得不錯吃，但吃到後面有點鹹。有帶小朋友或帶狗的，這裡是不錯的選擇。熱紅茶是用茶包沒什麼特色，套餐的小菜是冷的，整體而言算還能接受
餐點：4…
全文",4
"老式的農莊，設備老舊沒有汰換，食材還好沒有特色，燈光昏暗應該加強，服務人員不足導致點餐速度變慢，來過一次之後就沒有想再來的意願
服務
內用…
全文",3
"餐廳四周環境沒話說～規劃的不錯，很適合用餐及下午茶，但夏天樹木多小黑蚊也得注意。另餐點方面～個人感覺CP值很高～只是本人口味喜歡淡一點，但主食給人感覺都～鹹了一點～值得加油
服務…
全文",5
"蠻不錯的農場餐廳，有一些庭園造景可以讓小孩子走走看看。餐廳裡的餐點也蠻精緻好吃的，平日也很多人喔❤️
餐點：5…
全文",5
"1.農場除了餐廳，戶外除了小水池、搖椅並沒有特別特色的地方。
2.停車空間不足，需要停到路邊。 … 全文",2
"漲價後貴，跟以前的服務態度相比超級差，上菜速度不平均，前面都快吃完簡餐才上，才七點半，上不到一小時十分鐘內催收三次，要服務員加湯跟我說還沒到一半不要加（我點南瓜鍋 不加就會燒焦）
前面櫃檯濕紙巾不夠跟櫃檯阿姨要，第一次不理第二次指著我手上五包說不夠嗎？我們六大一小要是夠我還需要跟你要嗎？？？原本桌上就沒有放濕紙巾喔
最後還沒吃完餐上甜點，那個奶酪的量真的有夠小氣，只有碗的1/4，真的是以後都不敢帶朋友來了 全文",2
"朋友遠道而來，米多力是個小聚、用餐的好地方，停車方便、餐點口味還不錯，談天說地無憂無慮。
服務
內用…
全文",4
"超推他的牛奶鍋 超香 超濃的牛奶味
爆米花也好吃喔⋯⋯
焗烤也可以點
服務
內用…
全文",5
"好吃但是紅茶去冰會變成半杯
服務
內用…
全文",5
"地點普通，餐點普通偏貴，上菜很慢，不想去第二次。
服務
內用…
全文",4
"1、客家滷三丰偏鹹，但還算下飯。
2、藥膳鍋好喝，味道濃郁推推。
3、鬆餅薯條雞塊一般般，炸蝦吃起來偏清淡但挺順口的。
服務
內用…
全文",5
就在菜單上寫說要去冰了，送來還是一堆冰塊，8-1,1
"規劃完善的休閒農場，有兒童遊戲區，景觀休閒區，餐點也非常可口多樣。

另有會議室可供聚會討論，服務人員熱情而親切，推薦可以來此聚會用餐！",5
整體感覺不錯、室內室外都有桌椅可用餐.室外有小黑蚊.室內坐位蠻多有冷氣.個人感覺火鍋醬料太少了..沒有專買火鍋店多樣.有點可惜..,5
"東西好吃，但食量大的，飯/麵量要再加點，
停車位置方便，部份環境好拍，用餐時間沒有限制，唯人員服務態度真的建議要更友善ㄧ些；下次有機會還會再去試試其它餐點。
服務…
全文",4
"好停車，環境又大乾淨舒服，很適合帶小孩來用餐因為還有遊樂設施可以消耗小孩體力，餐點沒有特別突出，但這價位還可以吃很飽算不錯，用餐前還是建議提早訂位，整體推薦
服務…
全文",4
"1.南瓜鍋湯頭濃郁，非常好喝！
2.喜歡吃蔬菜的人來這裡建議點火鍋！火鍋附的高麗菜幾乎有半顆👍👍👍
3.這裡很適合聚餐，氣氛佳 …
餐點：5…
全文",5
"泰式香茅檸檬鍋$380元，傻眼，這肉6塊，火鍋料少的可憐，建議喜歡吃肉的人，不要來這，吃完覺得空虛感，cp值很低
平均每人消費金額
$200-4…
全文",1
奶油雞肉焗烤不錯，但濃湯上來時就已經冷掉了，甜點奶酪甜而不膩，有停車場方便停車，乾淨整潔，整體價位偏高300到400之間，若是價格能降到250-350更好,4
"餐點多樣化有火鍋及各式套餐 另設獨立包廂 有戶外庭園環境清悠
服務
內用…
全文",5
"停車方便.餐點都還不錯吃.這次去碰巧看到樹葡萄生產季.也看到2隻松鼠🐿️在吃樹葡萄🍇覺得景象難得一見.與大家分享 …
服務
內用…
全文",5
"收餐的速度很快，一直過來詢問吃完沒，吃飯吃的很有壓力!小孩還沒吃完，服務員就在詢問是否上飲料，因為點的是冰沙，有跟服務員說晚點上，結果還是很快就上了!讓人覺得整頓飯一直被趕著吃，不太舒服
餐點：…
全文",1
"家人點了宮保雞丁，肉有點柴，又甜，不喜歡！還好我點的是豆酥鱈魚，味道還可以！這裏蠻適合帶小朋友去，飯後可以走一走，消化一下肚子！
平均每人消費金額…
全文",4
已經來過好多次了，好像沒有讓我覺的不好吃的耶🤣🤣🤣，上菜速度也很快，服務也不錯，價格公道👍👍👍 …,5
餐點精緻又美味、份量多，女生可以拍美美的餐點照，也不怕男生吃不飽，且內有停車位與兒童遊戲區，相當適合家庭客！非常喜歡，是聚餐的好地方~,5
"香茅雞腿很大，炸的很酥，但是三樣小配菜很難吃。
餐點：2
服務：…
全文",3
"個人覺得，口味上尚可，份量很足，服務也還可以，價格以庭園式的來說也還可以平均每人三百初，環境好空間大，氣氛還不錯。
Ps:其實這間的隱藏版美食是，爆米花。好吃，我每次來必點。",3
"火鍋的高麗菜有夠難吃，吃起來硬硬的，菜又黃黃感覺放很久的樣子，比普通火鍋還要⋯價錢又貴
餐點：1…
全文",1
"說是寵物友善餐廳並不友善，進店本來一位男服務生帶我們去挺好的位置，突然另一位女服務員臉色不滿要帶我們去一個比較擠的角位，而且要求我們的寵物車像貨品般要放到座位後面放雜物的位置，一直強調不要影響到其他客人，又問寵物會不會叫，如其這樣何必做寵物友善，後來我們要求轉坐其他位置，也是滿不願意的還一直強調不想影響其他客人。
食物水準焗烤飯還好，義大利麵不好吃，飲品不好喝一杯太酸另一杯太淡，以這種價錢在雲林的話服務跟食物都不值",2
"餐點還不錯，副餐有養生茶的選項還蠻特別的；吃完還能附近花園走走還不錯，有停車位也是一大優點～這次吃太快忘了拍照～有機會光臨再補照片了( ´▽｀)
服務…
全文",4
"330元的原味火鍋湯頭不錯
朋友說 火鍋豬肉片無腥味好吃
350元的鹽烤鯖魚 魚烤的不柴 … 全文",3
"餐點偏貴、送餐很慢、送餐慢就算了還被限制用餐時間、服務生滿臉不耐煩、異國？哪來的異國風味？
服務
內用…
全文",1
"好吃是一回事，服務又是另一回事，請那位大姐如果心情不好不如不要來上班，來這邊擺一張臭臉給我並不會比較好….
平均每人消費金額
$400-600…
全文",2
"庭園式餐廳，停車場有樹蔭，夏天不會那麼熱

點了南瓜海鮮焗烤通心粉，有附濃湯飲料還有餐後甜點，蝦子大隻也很新鮮，cp值蠻高的。
服務
內用…
全文",5
"朋友介紹，米多力休閒農莊，採庭園式風景優美，舒服。讚
平均每人消費金額
$200-400…
全文",5
"蒙古藥膳火鍋，餐點上面顯示有辣椒🌶️
但一點都不辣，沒有什麼味道
很少讓我有吃不下的火鍋，不好吃 …
餐點：2…
全文",1
"好吃～很有飽足感 服務親切～氣氛佳 但有時晚餐人手不足會公休⋯
服務
內用…
全文",5
"工作人員好沒水準喔，錢用丟的請問誰看不起人嗎？車牌AXV-****的短頭髮大媽，您真的很爛
餐點：1…
全文",1
"誤打誤撞來這間餐廳
結果還不錯耶！火鍋份量很大
魚也新鮮 … 全文",4
"舒適的空間，聚會的場合很適合。餐點清爽，不油膩過度的鹹。
服務
內用…
全文",5
