comment,rating
"水產都很新鮮
吃原味沒問題
紅蟳的品質好，肉多
最後上的地瓜很好吃
外面是像糖葫蘆那種硬的糖衣
但裡面是鬆軟的熱蕃薯
旁邊就有專用停車場很方便
是會想再訪的店
平均每人消費金額
$1,400-1,600",5
"父親70歲壽宴到這邊來慶祝，衝著它們的招牌蔥油鷄飯跟新鮮紅蟳，真的沒有令人失望，完美守住了老店的招牌！基本上每一道菜都有在水準之上。停車方便還有服務員態度也很友善不會有老店的囂張感，唯一缺點大概是因為是老店所以裝潢比較不現代感，如果不求燈光美氣氛佳我認為這間真的值得前往品嚐，在台中工作多年吃過多間裝潢華麗的餐廳但往往美味程度不比裝潢，身為雲林人真的對這間相見恨晚阿~如果有需要宴請同事朋友或長輩菜色與美味絕對不會讓你丟臉的店家！推推！（甜點拔絲地瓜也很讚！）
服務
內用
餐點類型
午餐
平均每人消費金額
$800-1,000",5
"睽違兩年後再度造訪，雞油飯依然超讚，停車場擴大了更方便，蝦子超新鮮，每一樣都非常好吃，老闆親切，店員上菜很有禮貌，大推。

出菜速度超快，口味很棒，每道菜都好吃，油雞腿飯大推，招待的甜點好可愛，小孩超買單，蝦子跟生魚片很新鮮，停車場很大，很方便，服務人員都很親切，整體滿分推薦。",5
油雞蔥飯好吃，其實每一道都還可以，服務員很親切，我們11個人吃5000元一桌含酒水，菜色算便宜啊，上菜速度可以，來虎尾可以來這家吃飯,5
"吃一品香也有拿一品香代幣
騎車載人進去停車場要開車出來而已
店員出來管我摩托車不能騎進去？

不爽的話停車場不要跟一品香一起啊蟹老闆==",1
"有超大的停車場🅿️，完全不用擔心停車問題。(不過喝酒不開車 開車不喝酒)
上菜速度超級快，感覺剛在外面點完菜，才洗手坐下來，就已經開始上菜了。非常喜歡吃蚵仔酥，海鮮類也都新鮮。最後還有招待地瓜拔絲，會附上一碗冰塊加水，所以不用擔心會黏牙唷！整體都好吃！ …",5
味美量足 適合家庭聚餐。油雞腿飯必須點 好吃到我來不及拍照。剝皮辣椒雞湯味道濃郁到位 沒特別吃海鮮 但目測應該有基本水平,4
"口味好，上餐快。
因為忙碌、店員說話與動作較直接簡潔，但不會讓人感覺失禮。

在地用餐推薦。",4
"有停車場🅿️
招待的拔絲地瓜泡冰塊吃很特別耶！北部沒有在招待拔絲地瓜的，覺得很新鮮！
鮪魚味噌湯很好喝唷！魚類的肉都很嫩又新鮮！
炒飯也是炒得鹹香鹹香整個一碗接一碗、三杯中卷好Q不會很硬，蒜頭九層塔又很多超爆香的！
出菜很快肚子餓馬上能獲得救贖！",5
"餐點好吃，適合家庭聚會，巨推雞油飯，無敵好吃，很單純的味道卻讓人驚艷忍不住一碗接著一碗，飯後的企鵝小餐包很可愛也好吃，口感軟QQ,我們外帶了2份冷凍企鵝回家。為了雞油飯會再回訪",5
"食材新鮮賣相好，油雞飯超好吃，還有拔絲地瓜也很讚
服務
內用
餐點類型
晚餐
平均每人消費金額
$600-800
餐點：5
服務：5
氣氛：5
建議的餐點
拔絲地瓜, 油雞腿拌飯, 清蒸螃蟹",5
"食材真的很新鮮，口味也不錯
停車場超大 免除找車位的煩惱",5
"魚米粉 螃蟹好吃
服務
內用
餐點類型
晚餐
平均每人消費金額
$400-600
餐點：4
服務：4
氣氛：4",4
"菜的價位尚可，菜很吃，白飯一碗20，店員詢問是否要一鍋，結果一鍋半要近400？但一鍋半每每個碗盛一盛卻不到15碗的量，真的不知道店家的算法😅😅
服務
內用
餐點類型
午餐
平均每人消費金額
$200-400
餐點：4
服務：3
氣氛：3
建議的餐點
雞油飯",3
"好吃不貴。水晶魚硬是比別的地方好，不會含油酥脆好吃，一桶油雞飯就吃飽了一桌人。
服務
內用
餐點類型
晚餐
平均每人消費金額
$400-600
餐點：5
服務：5
氣氛：5
建議的餐點
雞油飯
停車位
很多停車位
附近的停車場
免費停車場, 付費室內停車場
停車場
隔壁就是專屬停車場",5
"第一次去聚餐無法好好吃，有機會再去嚐鮮看看他的招牌雞肉飯小卷
餐點：2
服務：2
氣氛：2",2
停車方便，菜色美味，贈送甜點拔絲地瓜外脆內嫩、齒頰留香～,5
